<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDGE.US,5,20250224,153000,16.27,16.3,16.27,16.3,6422,0
HDGE.US,5,20250224,153500,16.332,16.35,16.33,16.35,3000,0
HDGE.US,5,20250224,154000,16.35,16.35,16.35,16.35,2992,0
HDGE.US,5,20250224,154500,16.315,16.315,16.315,16.315,100,0
HDGE.US,5,20250224,155000,16.34,16.34,16.33,16.33,1000,0
HDGE.US,5,20250224,155500,16.3499,16.35,16.3499,16.35,7614,0
HDGE.US,5,20250224,161500,16.295,16.295,16.295,16.295,1500,0
HDGE.US,5,20250224,163000,16.305,16.305,16.305,16.305,119,0
HDGE.US,5,20250224,164000,16.3079,16.3079,16.3079,16.3079,900,0
HDGE.US,5,20250224,164500,16.32,16.32,16.32,16.32,300,0
HDGE.US,5,20250224,165000,16.301,16.3386,16.3,16.3386,4452,0
HDGE.US,5,20250224,165500,16.3385,16.3385,16.3385,16.3385,300,0
HDGE.US,5,20250224,172000,16.285,16.285,16.26,16.261,2637,0
HDGE.US,5,20250224,172500,16.2404,16.28,16.2404,16.2452,1635,0
HDGE.US,5,20250224,173500,16.255,16.255,16.255,16.255,100,0
HDGE.US,5,20250224,174000,16.26,16.26,16.26,16.26,200,0
HDGE.US,5,20250224,175000,16.2658,16.2658,16.2596,16.2596,372,0
HDGE.US,5,20250224,175500,16.27,16.27,16.27,16.27,200,0
HDGE.US,5,20250224,182000,16.2853,16.2853,16.2853,16.2853,200,0
HDGE.US,5,20250224,184000,16.25,16.25,16.245,16.245,700,0
HDGE.US,5,20250224,185000,16.245,16.245,16.245,16.245,100,0
HDGE.US,5,20250224,191000,16.24,16.26,16.24,16.26,2081,0
HDGE.US,5,20250224,192000,16.25,16.25,16.235,16.235,981,0
HDGE.US,5,20250224,194500,16.25,16.25,16.25,16.25,100,0
HDGE.US,5,20250224,201000,16.26,16.26,16.25,16.25,200,0
HDGE.US,5,20250224,201500,16.26,16.26,16.26,16.26,100,0
HDGE.US,5,20250224,204500,16.28,16.28,16.28,16.28,200,0
HDGE.US,5,20250224,210000,16.29,16.29,16.29,16.29,200,0
HDGE.US,5,20250224,211500,16.275,16.275,16.275,16.275,100,0
HDGE.US,5,20250224,212000,16.29,16.29,16.29,16.29,200,0
HDGE.US,5,20250224,212500,16.3,16.3,16.3,16.3,100,0
HDGE.US,5,20250224,214000,16.3,16.3197,16.3,16.3197,325,0
HDGE.US,5,20250224,214500,16.31,16.3154,16.31,16.3154,1487,0
HDGE.US,5,20250224,215000,16.3176,16.34,16.31,16.34,17473,0
HDGE.US,5,20250224,215500,16.34,16.35,16.34,16.35,2408,0
HDGE.US,5,20250225,154500,16.371,16.371,16.371,16.371,451,0
HDGE.US,5,20250225,155500,16.4009,16.4009,16.4009,16.4009,590,0
HDGE.US,5,20250225,161000,16.45,16.46,16.45,16.46,2650,0
HDGE.US,5,20250225,161500,16.47,16.47,16.47,16.47,500,0
HDGE.US,5,20250225,162000,16.49,16.49,16.49,16.49,500,0
HDGE.US,5,20250225,162500,16.5,16.53,16.5,16.53,1215,0
HDGE.US,5,20250225,163500,16.5001,16.5087,16.5,16.5087,1500,0
HDGE.US,5,20250225,164000,16.5,16.5,16.5,16.5,100,0
HDGE.US,5,20250225,164500,16.5,16.5,16.5,16.5,500,0
HDGE.US,5,20250225,170000,16.47,16.47,16.47,16.47,900,0
HDGE.US,5,20250225,171000,16.5096,16.5096,16.4529,16.4529,1740,0
HDGE.US,5,20250225,171500,16.4506,16.47,16.4506,16.4506,300,0
HDGE.US,5,20250225,172500,16.52,16.53,16.5036,16.53,700,0
HDGE.US,5,20250225,173000,16.53,16.55,16.495,16.54,1600,0
