<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMOP.US,5,20250224,164000,38.92,38.92,38.9199,38.9199,1000,0
HMOP.US,5,20250224,170000,38.9667,38.9667,38.9667,38.9667,253,0
HMOP.US,5,20250224,172000,38.945,38.945,38.945,38.945,440,0
HMOP.US,5,20250224,172500,38.9493,38.9493,38.9493,38.9493,573,0
HMOP.US,5,20250224,173500,38.95,38.95,38.95,38.95,100,0
HMOP.US,5,20250224,174000,38.94,38.94,38.94,38.94,100,0
HMOP.US,5,20250224,175000,38.96,38.96,38.96,38.96,1394,0
HMOP.US,5,20250224,180000,38.96,38.98,38.9599,38.9599,3974,0
HMOP.US,5,20250224,180500,38.96,38.98,38.95,38.95,11900,0
HMOP.US,5,20250224,183500,38.945,38.945,38.945,38.945,171,0
HMOP.US,5,20250224,193000,38.945,38.945,38.945,38.945,500,0
HMOP.US,5,20250224,194000,38.96,38.96,38.96,38.96,152,0
HMOP.US,5,20250224,194500,38.9321,38.9321,38.9321,38.9321,200,0
HMOP.US,5,20250224,200000,38.9599,38.9599,38.9599,38.9599,1538,0
HMOP.US,5,20250224,200500,38.945,38.96,38.945,38.949509,2353,0
HMOP.US,5,20250224,201500,38.9442,38.97,38.9442,38.9502,2814,0
HMOP.US,5,20250224,202500,38.965,38.97,38.96,38.97,1053,0
HMOP.US,5,20250224,203000,38.96,38.96,38.96,38.96,206,0
HMOP.US,5,20250224,205000,38.9584,38.9584,38.9584,38.9584,125,0
HMOP.US,5,20250224,211000,38.9483,38.9483,38.9483,38.9483,642,0
HMOP.US,5,20250224,211500,38.955,38.955,38.955,38.955,211,0
HMOP.US,5,20250224,212500,38.97,38.97,38.97,38.97,800,0
HMOP.US,5,20250224,213000,38.961697,38.961697,38.961697,38.961697,260,0
HMOP.US,5,20250224,213500,38.979,39.079,38.955,38.955,11222,0
HMOP.US,5,20250224,214000,38.97,38.97,38.955,38.955,1058,0
HMOP.US,5,20250224,214500,38.97,38.97,38.96,38.96,2036,0
HMOP.US,5,20250224,215000,38.96,38.97,38.95,38.97,2000,0
HMOP.US,5,20250224,215500,38.98,38.98,38.98,38.98,243,0
HMOP.US,5,20250225,154000,39.11,39.11,39.01,39.04,641,0
HMOP.US,5,20250225,155000,39.0433,39.0433,39.0433,39.0433,131,0
HMOP.US,5,20250225,155500,39.01,39.03,39.01,39.03,400,0
HMOP.US,5,20250225,160000,39.0333,39.0333,39.0333,39.0333,244,0
HMOP.US,5,20250225,161500,39.08,39.08,39.08,39.08,100,0
HMOP.US,5,20250225,162000,39.08,39.08,39.08,39.08,370,0
HMOP.US,5,20250225,163000,39.07,39.07,39.07,39.07,223,0
HMOP.US,5,20250225,163500,39.096,39.096,39.096,39.096,173,0
HMOP.US,5,20250225,164000,39.081504,39.248,39.081504,39.248,969,0
HMOP.US,5,20250225,164500,39.1,39.1,39.0999,39.1,938,0
HMOP.US,5,20250225,165000,39.1,39.1,39.1,39.1,400,0
HMOP.US,5,20250225,165500,39.1,39.1098,39.1,39.1098,279,0
HMOP.US,5,20250225,170000,39.0908,39.1091,39.0908,39.1091,272,0
HMOP.US,5,20250225,170500,39.085,39.085,39.085,39.085,201,0
HMOP.US,5,20250225,171000,39.1,39.1,39.0884,39.0884,1400,0
HMOP.US,5,20250225,172000,39.0642,39.0642,39.0642,39.0642,102,0
HMOP.US,5,20250225,172500,39.09,39.1,39.09,39.0999,3221,0
HMOP.US,5,20250225,173000,39.08,39.08,39.08,39.08,196,0
HMOP.US,5,20250225,173500,39.1,39.1,39.1,39.1,100,0
HMOP.US,5,20250225,174500,39.0999,39.1,39.0999,39.1,238,0
HMOP.US,5,20250225,180000,39.1,39.1,39.1,39.1,1854,0
HMOP.US,5,20250225,181500,39.09,39.09,39.085,39.085,200,0
HMOP.US,5,20250225,183000,39.15,39.15,39.15,39.15,400,0
HMOP.US,5,20250225,184000,39.0501,39.0501,39.0501,39.0501,1023,0
HMOP.US,5,20250225,185500,39.1,39.1099,39.1,39.1099,2448,0
HMOP.US,5,20250225,190000,39.155,39.16,39.09,39.16,800,0
HMOP.US,5,20250225,190500,39.11,39.11,39.1095,39.1095,794,0
HMOP.US,5,20250225,191500,39.0605,39.0605,39.0605,39.0605,122,0
HMOP.US,5,20250225,193500,39.1,39.1,39.1,39.1,100,0
HMOP.US,5,20250225,194500,39.1,39.1,39.0935,39.0935,1559,0
HMOP.US,5,20250225,210000,39.22,39.22,39.22,39.22,100,0
HMOP.US,5,20250225,210500,39.1112,39.1112,39.1,39.1,258,0
HMOP.US,5,20250225,211000,39.1,39.105,39.1,39.105,300,0
HMOP.US,5,20250225,212500,39.1,39.13,39.09,39.11,33524,0
HMOP.US,5,20250225,213500,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250225,214000,39.09,39.105,39.09,39.105,2630,0
HMOP.US,5,20250225,214500,39.1,39.1,39.0855,39.0855,2769,0
HMOP.US,5,20250225,215000,39.08,39.095,39.06,39.095,1180,0
HMOP.US,5,20250225,215500,39.07,39.07,39.01,39.07,1218,0
HMOP.US,5,20250226,153500,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250226,154500,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250226,160500,39.07,39.07,39.07,39.07,700,0
HMOP.US,5,20250226,161500,39.08,39.08,39.08,39.08,527,0
HMOP.US,5,20250226,162000,39.095,39.095,39.095,39.095,300,0
HMOP.US,5,20250226,162500,39.095,39.095,39.08,39.08,1191,0
HMOP.US,5,20250226,165000,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250226,170500,39.11,39.11,39.090254,39.090254,354,0
HMOP.US,5,20250226,171000,39.1004,39.1004,39.1004,39.1004,1829,0
HMOP.US,5,20250226,171500,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250226,173000,39.1099,39.1099,39.1099,39.1099,275,0
HMOP.US,5,20250226,173500,39.11,39.11,39.11,39.11,100,0
HMOP.US,5,20250226,175000,39.09,39.12,39.09,39.12,1758,0
HMOP.US,5,20250226,180500,39.105,39.105,39.105,39.105,409,0
HMOP.US,5,20250226,181000,39.12,39.12,39.12,39.12,100,0
HMOP.US,5,20250226,183000,39.12,39.12,39.09,39.09,740,0
HMOP.US,5,20250226,183500,39.09,39.09,39.09,39.09,700,0
HMOP.US,5,20250226,184000,39.0974,39.105,39.0974,39.105,649,0
HMOP.US,5,20250226,185500,39.12,39.12,39.11,39.11,566,0
HMOP.US,5,20250226,190500,39.09,39.09,39.09,39.09,100,0
HMOP.US,5,20250226,191500,39.1071,39.12,39.09,39.1,6068,0
HMOP.US,5,20250226,192500,39.1199,39.1199,39.1199,39.1199,355,0
HMOP.US,5,20250226,193000,39.11,39.11,39.1,39.1,1800,0
HMOP.US,5,20250226,193500,39.1,39.11,39.1,39.1,2700,0
HMOP.US,5,20250226,194000,39.14,39.14,39.14,39.14,100,0
HMOP.US,5,20250226,195500,39.135,39.135,39.115,39.115,319,0
HMOP.US,5,20250226,200000,39.1444,39.15,39.1444,39.15,222,0
HMOP.US,5,20250226,201500,39.1292,39.1292,39.1292,39.1292,221,0
HMOP.US,5,20250226,202500,39.14,39.14,39.14,39.14,100,0
HMOP.US,5,20250226,203000,39.115,39.115,39.1,39.1,3754,0
HMOP.US,5,20250226,203500,39.1399,39.1399,39.1399,39.1399,858,0
HMOP.US,5,20250226,204500,39.14,39.14,39.1,39.1,300,0
HMOP.US,5,20250226,205000,39.1,39.1,39.1,39.1,100,0
HMOP.US,5,20250226,210500,39.14,39.14,39.1,39.1,200,0
HMOP.US,5,20250226,211000,39.1101,39.1101,39.1101,39.1101,964,0
HMOP.US,5,20250226,211500,39.1,39.12,39.1,39.12,1438,0
HMOP.US,5,20250226,212000,39.1272,39.1272,39.1272,39.1272,814,0
HMOP.US,5,20250226,212500,39.12,39.1272,39.1,39.12,1941,0
HMOP.US,5,20250226,213000,39.1,39.1128,39.1,39.1128,897,0
HMOP.US,5,20250226,214000,39.11,39.13,39.1,39.1,390,0
HMOP.US,5,20250226,214500,39.11,39.12,39.1,39.12,509,0
HMOP.US,5,20250226,215000,39.11,39.12,39.1,39.12,900,0
HMOP.US,5,20250226,215500,39.13,39.15,39.08,39.15,1054,0
HMOP.US,5,20250227,153000,38.987,38.987,38.96,38.96,700,0
HMOP.US,5,20250227,160000,38.94,38.96,38.94,38.96,205,0
HMOP.US,5,20250227,160500,38.93,38.93,38.93,38.93,100,0
HMOP.US,5,20250227,161500,38.96,38.96,38.96,38.96,200,0
HMOP.US,5,20250227,162000,38.97,38.97,38.97,38.97,100,0
HMOP.US,5,20250227,163500,38.99,38.99,38.9159,38.9159,731,0
HMOP.US,5,20250227,164000,38.95,38.95,38.95,38.95,100,0
HMOP.US,5,20250227,170500,38.9599,38.9599,38.9599,38.9599,300,0
HMOP.US,5,20250227,171000,39.0023,39.0023,39.0023,39.0023,2000,0
HMOP.US,5,20250227,171500,38.96,38.97,38.96,38.97,528,0
HMOP.US,5,20250227,174000,38.935,38.9631,38.935,38.9631,5489,0
HMOP.US,5,20250227,183500,38.9899,38.9899,38.9899,38.9899,413,0
HMOP.US,5,20250227,184500,38.917,38.9899,38.917,38.9899,1231,0
HMOP.US,5,20250227,190500,38.964221,38.98,38.964221,38.98,559,0
HMOP.US,5,20250227,191000,38.96,38.96,38.96,38.96,11689,0
HMOP.US,5,20250227,192000,38.92,38.92,38.92,38.92,200,0
HMOP.US,5,20250227,193500,38.9201,38.9201,38.9201,38.9201,229,0
HMOP.US,5,20250227,200500,38.97,38.97,38.97,38.97,204,0
HMOP.US,5,20250227,201000,38.98,38.98,38.98,38.98,10900,0
HMOP.US,5,20250227,201500,38.9844,38.9844,38.9844,38.9844,630,0
HMOP.US,5,20250227,202000,38.97,38.97,38.97,38.97,255,0
HMOP.US,5,20250227,203000,38.9824,38.9824,38.9824,38.9824,1795,0
HMOP.US,5,20250227,203500,38.94,38.94,38.94,38.94,2279,0
HMOP.US,5,20250227,204000,38.9472,38.9472,38.9472,38.9472,379,0
HMOP.US,5,20250227,204500,39.0033,39.0033,39.0033,39.0033,190,0
HMOP.US,5,20250227,205500,38.9508,39.009,38.9508,39.009,2241,0
HMOP.US,5,20250227,210500,38.94,39.0199,38.94,39.0199,2259,0
HMOP.US,5,20250227,211000,38.94,38.9825,38.94,38.9825,1066,0
HMOP.US,5,20250227,211500,38.98,39.0088,38.975,39.0065,10807,0
HMOP.US,5,20250227,212000,38.95,38.995,38.95,38.9621,1311,0
HMOP.US,5,20250227,212500,39.01,39.01,38.94,38.9876,10688,0
HMOP.US,5,20250227,213000,39,39,38.94,38.9776,5872,0
HMOP.US,5,20250227,213500,38.9391,38.9391,38.9391,38.9391,130,0
HMOP.US,5,20250227,214000,38.9888,38.9888,38.9888,38.9888,1267,0
HMOP.US,5,20250227,214500,38.99,38.99,38.9877,38.9877,886,0
HMOP.US,5,20250227,215500,38.98,39.045,38.94,39.045,3860,0
HMOP.US,5,20250228,153500,39.03,39.03,38.98,38.98,1486,0
HMOP.US,5,20250228,162500,39.005,39.005,39.005,39.005,200,0
HMOP.US,5,20250228,170000,39.03,39.03,39.01,39.01,500,0
HMOP.US,5,20250228,172000,39.01,39.0487,39.01,39.01,3275,0
HMOP.US,5,20250228,173500,39.01,39.01,39.01,39.01,100,0
HMOP.US,5,20250228,180000,39.01,39.01,39.01,39.01,100,0
HMOP.US,5,20250228,183500,39.01,39.01,39.01,39.01,797,0
HMOP.US,5,20250228,184000,39.0037,39.0037,39.0037,39.0037,693,0
HMOP.US,5,20250228,190500,39.0384,39.04,39.0384,39.04,400,0
HMOP.US,5,20250228,191000,39.06,39.06,39.05,39.05,700,0
HMOP.US,5,20250228,191500,39.05,39.06,39.05,39.055,1630,0
HMOP.US,5,20250228,192000,39.09,39.09,39.09,39.09,1802,0
HMOP.US,5,20250228,193000,39.06,39.06,39.03,39.03,700,0
HMOP.US,5,20250228,194000,39.0885,39.0885,39.02,39.02,518,0
HMOP.US,5,20250228,195000,39.0838,39.0838,39.0838,39.0838,512,0
HMOP.US,5,20250228,195500,39.0899,39.0899,39.0899,39.0899,500,0
HMOP.US,5,20250228,200500,39.08,39.0899,39.0795,39.0795,1525,0
HMOP.US,5,20250228,203000,39.037,39.037,39.037,39.037,175,0
HMOP.US,5,20250228,203500,39.0999,39.0999,39.0427,39.0427,399,0
HMOP.US,5,20250228,204500,39.0994,39.0994,39.03,39.0501,1222,0
HMOP.US,5,20250228,205000,39.0695,39.0695,39.0695,39.0695,174,0
HMOP.US,5,20250228,210500,39.0816,39.0816,39.03,39.0776,3244,0
HMOP.US,5,20250228,211000,39.0375,39.0375,39.0375,39.0375,157,0
HMOP.US,5,20250228,211500,39.0301,39.07,39.03,39.07,5866,0
HMOP.US,5,20250228,212000,39.0301,39.0899,39.0301,39.0899,1212,0
HMOP.US,5,20250228,214000,39.0525,39.0525,39.0525,39.0525,821,0
HMOP.US,5,20250228,214500,39.08,39.09,39.067,39.08,3139,0
HMOP.US,5,20250228,215000,39.065,39.075,39.01,39.0601,98994,0
HMOP.US,5,20250228,215500,39.07,39.07,39.07,39.07,100,0
HMOP.US,5,20250303,154500,39.03,39.03,39.03,39.03,100,0
HMOP.US,5,20250303,160000,39.1435,39.1435,39.1435,39.1435,664,0
HMOP.US,5,20250303,162000,39.0135,39.0135,39.0135,39.0135,255,0
HMOP.US,5,20250303,163000,39.04,39.0903,39.03,39.03,870,0
HMOP.US,5,20250303,163500,39.07,39.07,39.07,39.07,100,0
HMOP.US,5,20250303,165000,39.07,39.09,39.02,39.08,6534,0
HMOP.US,5,20250303,171000,39.09,39.1,39.09,39.1,700,0
HMOP.US,5,20250303,171500,39.06,39.06,39.06,39.06,700,0
HMOP.US,5,20250303,172000,39.06,39.06,39.06,39.06,296,0
HMOP.US,5,20250303,172500,39.07,39.07,39.07,39.07,100,0
HMOP.US,5,20250303,173000,39.0401,39.0401,39.0401,39.0401,250,0
HMOP.US,5,20250303,174000,39.07,39.07,39.07,39.07,100,0
HMOP.US,5,20250303,174500,39.04,39.04,39.04,39.04,100,0
HMOP.US,5,20250303,175000,39.06,39.06,39.06,39.06,100,0
HMOP.US,5,20250303,180500,39.03,39.03,39.03,39.03,100,0
HMOP.US,5,20250303,181000,39.05,39.05,39.03,39.03,204,0
HMOP.US,5,20250303,183000,39.015,39.05,39.015,39.05,509,0
HMOP.US,5,20250303,190500,39.025,39.025,39.025,39.025,317,0
HMOP.US,5,20250303,191000,39.08,39.08,39.0049,39.0049,2366,0
HMOP.US,5,20250303,192000,39.06,39.06,39.06,39.06,100,0
HMOP.US,5,20250303,193500,39.06,39.06,39.042,39.042,1800,0
HMOP.US,5,20250303,194000,39.0224,39.0476,39.0224,39.0476,473,0
HMOP.US,5,20250303,194500,39.06,39.06,39.035,39.035,484,0
HMOP.US,5,20250303,201000,39.05,39.05,39.0001,39.035,2562,0
HMOP.US,5,20250303,201500,39.06,39.06,39.06,39.06,100,0
HMOP.US,5,20250303,202500,39.0001,39.0001,39.0001,39.0001,126,0
HMOP.US,5,20250303,203500,39.06,39.069,39.0472,39.0472,4178,0
HMOP.US,5,20250303,204000,39.06,39.07,39.06,39.07,425,0
HMOP.US,5,20250303,204500,39.03,39.03,39.03,39.03,100,0
HMOP.US,5,20250303,205000,39.03,39.0301,39.03,39.0301,415,0
HMOP.US,5,20250303,205500,39.07,39.07,39.055,39.055,200,0
HMOP.US,5,20250303,210000,39.0301,39.0301,39.025,39.025,3285,0
HMOP.US,5,20250303,210500,39.05,39.05,39.05,39.05,100,0
HMOP.US,5,20250303,211000,39.05,39.059,39.025,39.025,6122,0
HMOP.US,5,20250303,211500,39.05,39.05,39.025,39.025,453,0
HMOP.US,5,20250303,212000,39.0597,39.0597,39.0597,39.0597,194,0
HMOP.US,5,20250303,212500,39.04,39.0591,39.04,39.0591,443,0
HMOP.US,5,20250303,214000,39.04,39.04,39.04,39.04,100,0
HMOP.US,5,20250303,214500,39.01,39.01,39.01,39.01,185,0
HMOP.US,5,20250303,215000,39.04,39.04,39.04,39.04,100,0
HMOP.US,5,20250303,215500,39.06,39.06,39.06,39.06,166,0
HMOP.US,5,20250304,153000,39.08,39.08,39.08,39.08,100,0
HMOP.US,5,20250304,153500,39.05,39.05,39.05,39.05,100,0
HMOP.US,5,20250304,155000,39.09,39.09,39.09,39.09,100,0
HMOP.US,5,20250304,155500,39.0301,39.0301,39.0301,39.0301,108,0
HMOP.US,5,20250304,161000,39.07,39.0999,39.04,39.04,3589,0
HMOP.US,5,20250304,161500,39.0812,39.0812,39.0812,39.0812,102,0
HMOP.US,5,20250304,164000,39.05,39.05,39.05,39.05,100,0
