<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEDI.US,5,20250224,155500,54.35,54.35,54.35,54.35,150,0
IEDI.US,5,20250224,161000,54.2983,54.2983,54.2983,54.2983,161,0
IEDI.US,5,20250224,163000,54.3288,54.3288,54.3288,54.3288,185,0
IEDI.US,5,20250224,164500,54.2085,54.2085,54.2085,54.2085,147,0
IEDI.US,5,20250224,170000,54.2,54.2,54.2,54.2,228,0
IEDI.US,5,20250224,173500,54.435,54.435,54.435,54.435,550,0
IEDI.US,5,20250224,174500,54.4477,54.49,54.4477,54.49,339,0
IEDI.US,5,20250224,175500,54.45,54.45,54.45,54.45,459,0
IEDI.US,5,20250224,181000,54.44,54.44,54.44,54.44,300,0
IEDI.US,5,20250224,193500,54.57,54.5701,54.57,54.5701,200,0
IEDI.US,5,20250224,211000,54.5,54.5,54.5,54.5,200,0
IEDI.US,5,20250225,155000,54.632,54.632,54.632,54.632,180,0
IEDI.US,5,20250225,160000,54.47,54.47,54.47,54.47,146,0
IEDI.US,5,20250225,164000,54.64,54.64,54.64,54.64,169,0
IEDI.US,5,20250225,175500,54.81,54.81,54.81,54.81,350,0
IEDI.US,5,20250225,181000,54.77,54.77,54.77,54.77,100,0
IEDI.US,5,20250225,185500,55.04,55.04,55.04,55.04,101,0
IEDI.US,5,20250225,192500,55.06,55.06,54.98,54.98,342,0
IEDI.US,5,20250225,200000,54.99,54.99,54.99,54.99,218,0
IEDI.US,5,20250225,204000,55.03,55.03,55.03,55.03,217,0
IEDI.US,5,20250225,205500,55,55,55,55,184,0
IEDI.US,5,20250225,210500,55.035,55.035,55.035,55.035,180,0
IEDI.US,5,20250225,211000,54.98,54.98,54.98,54.98,180,0
IEDI.US,5,20250225,215000,55.0216,55.0216,55.0216,55.0216,100,0
IEDI.US,5,20250226,161500,55.43,55.43,55.43,55.43,180,0
IEDI.US,5,20250226,162500,55.6,55.6,55.6,55.6,150,0
IEDI.US,5,20250226,163500,55.65,55.65,55.65,55.65,190,0
IEDI.US,5,20250226,172500,55.6485,55.6485,55.6485,55.6485,116,0
IEDI.US,5,20250226,182500,55.58,55.6,55.5532,55.5532,1000,0
IEDI.US,5,20250226,190500,55.3,55.3,55.3,55.3,100,0
IEDI.US,5,20250226,214000,55.0915,55.0915,55.0915,55.0915,200,0
IEDI.US,5,20250226,215500,54.93,54.95,54.93,54.95,380,0
IEDI.US,5,20250227,171000,55.2185,55.2185,55.2185,55.2185,300,0
IEDI.US,5,20250227,174500,55.0508,55.0508,55.0508,55.0508,443,0
IEDI.US,5,20250227,184500,55.05,55.05,55.05,55.05,395,0
IEDI.US,5,20250227,191000,55.08,55.08,55.045,55.08,420,0
IEDI.US,5,20250227,191500,55.06,55.06,55.06,55.06,180,0
IEDI.US,5,20250227,194000,55.1574,55.1574,55.1574,55.1574,165,0
IEDI.US,5,20250227,202500,54.875,54.875,54.875,54.875,910,0
IEDI.US,5,20250227,203500,54.79,54.79,54.79,54.79,100,0
IEDI.US,5,20250227,204000,54.7333,54.7333,54.7333,54.7333,1368,0
IEDI.US,5,20250227,210500,54.64,54.68,54.64,54.68,400,0
IEDI.US,5,20250227,213500,54.6347,54.66,54.6347,54.66,380,0
IEDI.US,5,20250227,214000,54.5763,54.5763,54.5763,54.5763,100,0
IEDI.US,5,20250228,154500,54.83,54.83,54.83,54.83,175,0
IEDI.US,5,20250228,155000,54.79,54.79,54.79,54.79,182,0
IEDI.US,5,20250228,170000,54.9599,54.9599,54.9599,54.9599,909,0
IEDI.US,5,20250228,171500,54.78,54.78,54.78,54.78,100,0
IEDI.US,5,20250228,183000,54.8,54.8,54.8,54.8,100,0
IEDI.US,5,20250228,200000,54.51,54.57,54.51,54.57,370,0
IEDI.US,5,20250228,203500,54.7407,54.75,54.7407,54.75,320,0
IEDI.US,5,20250228,213000,54.9,54.9,54.9,54.9,230,0
IEDI.US,5,20250303,154000,55.7,55.7,55.7,55.7,198,0
IEDI.US,5,20250303,170500,55.3,55.3,55.3,55.3,100,0
IEDI.US,5,20250303,174000,55.0201,55.0201,55.0201,55.0201,163,0
IEDI.US,5,20250303,175500,55.1608,55.1608,55.1608,55.1608,100,0
IEDI.US,5,20250303,181500,55.32,55.32,55.32,55.32,100,0
IEDI.US,5,20250303,183000,55.34,55.34,55.34,55.34,167,0
IEDI.US,5,20250303,190500,55.04,55.0401,55.04,55.04,2099,0
IEDI.US,5,20250303,201500,54.9311,54.9311,54.9311,54.9311,150,0
IEDI.US,5,20250303,205000,54.7116,54.7116,54.7116,54.7116,100,0
IEDI.US,5,20250303,211500,54.4204,54.45,54.4204,54.45,370,0
IEDI.US,5,20250303,213000,54.3,54.3,54.3,54.3,100,0
IEDI.US,5,20250304,153000,53.53,53.53,53.41,53.41,3720,0
IEDI.US,5,20250304,153500,53.59,53.59,53.59,53.59,517,0
IEDI.US,5,20250304,154500,53.6,53.6,53.6,53.6,224,0
IEDI.US,5,20250304,155000,53.49,53.49,53.49,53.49,225,0
IEDI.US,5,20250304,155500,53.515,53.515,53.515,53.515,315,0
IEDI.US,5,20250304,160500,53.45,53.45,53.44,53.44,300,0
IEDI.US,5,20250304,173000,53.23,53.23,53.23,53.23,300,0
IEDI.US,5,20250304,174500,53.35,53.3501,53.3301,53.3301,349,0
IEDI.US,5,20250304,184500,53.6226,53.6226,53.6226,53.6226,160,0
IEDI.US,5,20250304,200500,54.08,54.08,54.08,54.08,630,0
IEDI.US,5,20250304,201000,54.092913,54.092913,54.092913,54.092913,400,0
IEDI.US,5,20250304,202000,54.095,54.095,54.095,54.095,100,0
IEDI.US,5,20250304,210000,54.15,54.15,54.15,54.15,100,0
IEDI.US,5,20250304,214500,53.68,53.68,53.68,53.68,200,0
IEDI.US,5,20250304,215500,53.53,53.53,53.52,53.52,1206,0
IEDI.US,5,20250305,160000,53.82,53.82,53.82,53.82,100,0
IEDI.US,5,20250305,163000,53.65,53.65,53.63,53.63,632,0
IEDI.US,5,20250305,171000,53.46,53.4602,53.39,53.39,10772,0
IEDI.US,5,20250305,175000,53.3222,53.3222,53.3222,53.3222,216,0
IEDI.US,5,20250305,175500,53.44,53.4401,53.43,53.4401,1218,0
