<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGTR.US,5,20250224,153000,25.1748,25.1748,25.1748,25.1748,300,0
IGTR.US,5,20250224,154500,25.15,25.15,25.15,25.15,22571,0
IGTR.US,5,20250224,160000,25.07,25.07,25.07,25.07,33331,0
IGTR.US,5,20250224,161000,25.05,25.05,25.05,25.05,100,0
IGTR.US,5,20250224,162000,25.05,25.0501,25.05,25.05,1100,0
IGTR.US,5,20250224,165500,25,25,25,25,100,0
IGTR.US,5,20250224,172500,25.11,25.11,25.1,25.1,200,0
IGTR.US,5,20250224,175000,25.11,25.1101,25.11,25.1101,3658,0
IGTR.US,5,20250224,180000,25.12,25.12,25.12,25.12,100,0
IGTR.US,5,20250224,181500,25.14,25.14,25.14,25.14,300,0
IGTR.US,5,20250224,182000,25.165,25.165,25.165,25.165,1726,0
IGTR.US,5,20250224,184000,25.18,25.18,25.18,25.18,2520,0
IGTR.US,5,20250224,185000,25.15,25.15,25.15,25.15,100,0
IGTR.US,5,20250224,191500,25.15,25.16,25.15,25.16,200,0
IGTR.US,5,20250224,201500,25.131,25.1397,25.131,25.1397,2092,0
IGTR.US,5,20250224,202500,25.1,25.1,25.1,25.1,100,0
IGTR.US,5,20250224,203000,25.12,25.12,25.12,25.12,100,0
IGTR.US,5,20250225,162000,24.76,24.76,24.76,24.76,200,0
IGTR.US,5,20250225,172000,24.7443,24.7443,24.7443,24.7443,451,0
IGTR.US,5,20250225,174500,24.75,24.77,24.75,24.77,8370,0
IGTR.US,5,20250225,183000,24.855,24.855,24.855,24.855,350,0
IGTR.US,5,20250225,185500,24.87,24.88,24.87,24.88,200,0
IGTR.US,5,20250225,204000,24.9219,24.9219,24.9219,24.9219,965,0
IGTR.US,5,20250225,204500,24.91,24.91,24.89,24.89,648,0
IGTR.US,5,20250225,210000,24.8999,24.8999,24.8999,24.8999,2373,0
IGTR.US,5,20250225,212000,24.9299,24.965,24.9299,24.96,2568,0
IGTR.US,5,20250225,212500,24.965,24.965,24.935,24.935,1200,0
IGTR.US,5,20250225,213000,24.92,24.925,24.91,24.925,1700,0
IGTR.US,5,20250225,213500,24.905,24.905,24.885,24.89,1200,0
IGTR.US,5,20250225,214000,24.875,24.875,24.87,24.87,1900,0
IGTR.US,5,20250225,214500,24.865,24.88,24.865,24.88,900,0
IGTR.US,5,20250225,215000,24.87,24.87,24.855,24.855,3400,0
IGTR.US,5,20250225,215500,24.86,24.875,24.851,24.851,4572,0
IGTR.US,5,20250226,153000,24.9,24.9,24.9,24.9,100,0
IGTR.US,5,20250226,161500,25.07,25.07,25.07,25.07,3823,0
IGTR.US,5,20250226,162000,25.07,25.07,25.07,25.07,100,0
IGTR.US,5,20250226,163000,25.04,25.04,25.04,25.04,100,0
IGTR.US,5,20250226,173000,25.0653,25.0653,25.05,25.05,28466,0
IGTR.US,5,20250226,203500,24.87,24.87,24.87,24.87,1600,0
IGTR.US,5,20250226,204000,24.88,24.88,24.88,24.88,400,0
IGTR.US,5,20250226,205000,24.86,24.86,24.86,24.86,351,0
IGTR.US,5,20250226,205500,24.85,24.88,24.85,24.88,2595,0
IGTR.US,5,20250226,210000,24.8,24.8,24.8,24.8,100,0
IGTR.US,5,20250226,210500,24.83,24.83,24.83,24.83,400,0
IGTR.US,5,20250226,212000,24.84,24.85,24.84,24.85,300,0
IGTR.US,5,20250226,215000,24.89,24.8901,24.88,24.88,1622,0
IGTR.US,5,20250227,154500,24.94,24.94,24.94,24.94,100,0
IGTR.US,5,20250227,155500,24.8,24.8,24.8,24.8,3740,0
IGTR.US,5,20250227,161000,24.84,24.84,24.83,24.84,300,0
IGTR.US,5,20250227,163000,24.8936,24.8936,24.8936,24.8936,199,0
IGTR.US,5,20250227,180000,24.825,24.825,24.81,24.825,2879,0
IGTR.US,5,20250227,180500,24.8,24.8,24.8,24.8,100,0
IGTR.US,5,20250227,182000,24.79,24.79,24.79,24.79,300,0
IGTR.US,5,20250227,182500,24.81,24.83,24.81,24.83,200,0
IGTR.US,5,20250227,203000,24.67,24.67,24.67,24.67,2325,0
IGTR.US,5,20250227,203500,24.675,24.675,24.67,24.67,200,0
IGTR.US,5,20250227,204500,24.66,24.67,24.66,24.67,300,0
IGTR.US,5,20250227,205000,24.68,24.6862,24.68,24.6862,305,0
IGTR.US,5,20250227,210000,24.59,24.59,24.59,24.59,100,0
IGTR.US,5,20250227,210500,24.61,24.61,24.61,24.61,100,0
IGTR.US,5,20250228,173000,24.53,24.57,24.53,24.57,455,0
IGTR.US,5,20250228,181000,24.58,24.58,24.58,24.58,18824,0
IGTR.US,5,20250228,182000,24.62,24.63,24.62,24.63,700,0
IGTR.US,5,20250228,182500,24.59,24.59,24.59,24.59,405,0
IGTR.US,5,20250228,183000,24.58,24.58,24.58,24.58,1700,0
IGTR.US,5,20250228,184500,24.51,24.51,24.51,24.51,400,0
IGTR.US,5,20250228,185000,24.48,24.5,24.48,24.5,1300,0
IGTR.US,5,20250228,190000,24.46,24.46,24.46,24.46,100,0
IGTR.US,5,20250228,192000,24.42,24.42,24.42,24.42,900,0
IGTR.US,5,20250228,192500,24.43,24.47,24.43,24.47,600,0
IGTR.US,5,20250228,195500,24.47,24.47,24.47,24.47,3529,0
IGTR.US,5,20250228,203500,24.58,24.5802,24.58,24.5802,364,0
IGTR.US,5,20250228,204000,24.59,24.59,24.59,24.59,100,0
IGTR.US,5,20250228,204500,24.61,24.61,24.61,24.61,100,0
IGTR.US,5,20250228,205500,24.6001,24.615,24.6001,24.61,4608,0
IGTR.US,5,20250228,210000,24.65,24.65,24.65,24.65,100,0
IGTR.US,5,20250228,212000,24.61,24.61,24.61,24.61,100,0
IGTR.US,5,20250228,212500,24.64,24.67,24.64,24.67,200,0
IGTR.US,5,20250228,214500,24.7,24.7065,24.7,24.7065,652,0
IGTR.US,5,20250228,215500,24.88,24.88,24.88,24.88,108,0
IGTR.US,5,20250303,163000,24.875,24.875,24.875,24.875,1019,0
IGTR.US,5,20250303,175500,24.82,24.8297,24.82,24.8297,422,0
IGTR.US,5,20250303,180500,24.84,24.84,24.84,24.84,100,0
