<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWFG.US,5,20250224,161500,47.31,47.31,47.31,47.31,100,0
IWFG.US,5,20250224,215500,47.16,47.16,47.16,47.16,184,0
IWFG.US,5,20250225,161000,46.56,46.56,46.56,46.56,100,0
IWFG.US,5,20250226,162500,47.53,47.53,47.53,47.53,100,0
IWFG.US,5,20250227,164500,47.13,47.13,47.13,47.13,100,0
IWFG.US,5,20250227,212500,46.32,46.32,46.32,46.32,100,0
IWFG.US,5,20250227,215500,46.03,46.03,46.03,46.03,128,0
IWFG.US,5,20250303,154500,46.71,46.71,46.71,46.71,145,0
IWFG.US,5,20250303,163000,46.71,46.71,46.71,46.71,100,0
IWFG.US,5,20250303,194500,46.31,46.31,46.31,46.31,200,0
IWFG.US,5,20250303,215500,45.73,45.73,45.73,45.73,133,0
IWFG.US,5,20250304,215000,45.4,45.4,45.4,45.4,164,0
IWFG.US,5,20250305,190500,45.78,45.78,45.78,45.78,200,0
IWFG.US,5,20250305,201500,46.09,46.09,46.09,46.09,100,0
IWFG.US,5,20250305,214500,46.02,46.02,46.02,46.02,100,0
IWFG.US,5,20250306,170000,45.53,45.53,45.53,45.53,100,0
IWFG.US,5,20250306,184500,44.72,44.72,44.72,44.72,110,0
IWFG.US,5,20250306,185500,44.7167,44.7167,44.7167,44.7167,100,0
IWFG.US,5,20250306,201500,44.55,44.55,44.52,44.52,236,0
IWFG.US,5,20250307,164500,43.76,43.76,43.76,43.76,145,0
IWFG.US,5,20250307,190500,44.1099,44.1099,44.1099,44.1099,200,0
IWFG.US,5,20250311,151000,43.08,43.08,43.08,43.08,100,0
IWFG.US,5,20250319,155000,43.68,43.68,43.68,43.68,100,0
IWFG.US,5,20250320,153500,44.27,44.27,44.27,44.27,100,0
IWFG.US,5,20250320,170500,44.18,44.18,44.18,44.18,123,0
IWFG.US,5,20250320,205000,43.91,43.91,43.91,43.91,120,0
IWFG.US,5,20250321,153500,43.61,43.61,43.61,43.61,100,0
IWFG.US,5,20250324,201500,44.9,44.9,44.9,44.9,400,0
IWFG.US,5,20250328,152000,43.31,43.31,43.31,43.31,100,0
IWFG.US,5,20250331,210000,42.48,42.4946,42.48,42.4946,900,0
IWFG.US,5,20250402,171000,43.16,43.16,43.16,43.16,100,0
IWFG.US,5,20250403,163500,41.51,41.51,41.51,41.51,100,0
IWFG.US,5,20250404,162000,39.61,39.61,39.61,39.61,100,0
IWFG.US,5,20250404,204500,38.8416,38.8479,38.36,38.84,36334,0
IWFG.US,5,20250404,214500,39.09,39.09,39.09,39.09,100,0
IWFG.US,5,20250404,215000,39.04,39.04,39.04,39.04,100,0
IWFG.US,5,20250404,215500,38.74,38.74,38.74,38.74,100,0
IWFG.US,5,20250407,161000,38.68,38.68,38.68,38.68,100,0
IWFG.US,5,20250407,174500,38.68,38.69,38.68,38.69,200,0
IWFG.US,5,20250407,184000,38.53,38.54,38.53,38.54,300,0
IWFG.US,5,20250407,185000,38.41,38.41,38.36,38.36,400,0
IWFG.US,5,20250407,185500,38.25,38.25,38.25,38.25,200,0
IWFG.US,5,20250407,191500,38.81,38.81,38.81,38.81,100,0
IWFG.US,5,20250407,193500,38.91,38.91,38.91,38.91,100,0
IWFG.US,5,20250407,194500,39.3,39.3,39.3,39.3,100,0
IWFG.US,5,20250408,162500,40.85,40.85,40.85,40.85,100,0
IWFG.US,5,20250408,164000,40.6,40.6,40.6,40.6,300,0
IWFG.US,5,20250408,193500,39.01,39.01,39.01,39.01,100,0
IWFG.US,5,20250408,194500,39.46,39.46,39.46,39.46,100,0
IWFG.US,5,20250408,203000,39.07,39.07,39.07,39.07,100,0
IWFG.US,5,20250408,204500,39.02,39.02,39.02,39.02,100,0
IWFG.US,5,20250409,165000,38.76,38.76,38.76,38.76,100,0
IWFG.US,5,20250409,192500,41.17,41.17,41.17,41.17,100,0
IWFG.US,5,20250409,215000,42.77,42.9899,42.77,42.9899,200,0
IWFG.US,5,20250410,194000,40.86,41.19,40.82,41.19,8820,0
IWFG.US,5,20250410,194500,41.025,41.025,41.025,41.025,100,0
IWFG.US,5,20250410,195000,41.03,41.03,41.03,41.03,100,0
IWFG.US,5,20250410,200500,41.295,41.295,41.1,41.1,600,0
IWFG.US,5,20250410,202000,40.98,40.98,40.98,40.98,100,0
IWFG.US,5,20250410,205000,41.17,41.17,41.17,41.17,100,0
IWFG.US,5,20250410,210500,41.39,41.39,41.21,41.21,200,0
IWFG.US,5,20250410,212500,41.36,41.36,41.36,41.36,100,0
IWFG.US,5,20250410,213500,40.87,40.87,40.87,40.87,300,0
