<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JULZ.US,5,20250224,160500,42.24,42.24,42.24,42.24,100,0
JULZ.US,5,20250224,172500,42.39,42.39,42.39,42.39,100,0
JULZ.US,5,20250224,192500,42.44,42.44,42.44,42.44,158,0
JULZ.US,5,20250224,215000,42.28,42.28,42.28,42.28,100,0
JULZ.US,5,20250225,154500,42.22,42.22,42.22,42.22,100,0
JULZ.US,5,20250225,161500,41.95,41.95,41.95,41.95,100,0
JULZ.US,5,20250225,164000,41.91,41.91,41.91,41.91,100,0
JULZ.US,5,20250225,193000,41.97,41.97,41.97,41.97,13093,0
JULZ.US,5,20250225,193500,42,42.055,42,42.055,22600,0
JULZ.US,5,20250225,194000,42.05,42.15,41.97,42.095,9054,0
JULZ.US,5,20250225,212000,42.08,42.11,42.04,42.11,10538,0
JULZ.US,5,20250225,214500,42.02,42.02,42.02,42.02,137,0
JULZ.US,5,20250226,162500,42.24,42.24,42.24,42.24,100,0
JULZ.US,5,20250226,171000,42.33,42.33,42.33,42.33,3948,0
JULZ.US,5,20250226,172500,42.26,42.26,42.26,42.26,100,0
JULZ.US,5,20250226,174500,42.23,42.275,42.22,42.275,2248,0
JULZ.US,5,20250226,175000,42.2201,42.2201,42.2201,42.2201,468,0
JULZ.US,5,20250226,180000,42.27,42.27,42.27,42.27,101,0
JULZ.US,5,20250226,180500,42.2001,42.2001,42.2001,42.2001,407,0
JULZ.US,5,20250226,181500,42.24,42.24,42.24,42.24,500,0
JULZ.US,5,20250226,183500,42.17,42.17,42.17,42.17,350,0
JULZ.US,5,20250226,201500,41.8801,41.8801,41.8801,41.8801,400,0
JULZ.US,5,20250227,161000,41.87,41.87,41.87,41.87,123,0
JULZ.US,5,20250227,162500,42.08,42.08,42.08,42.08,100,0
JULZ.US,5,20250227,164500,42.0779,42.0779,42.0779,42.0779,103,0
JULZ.US,5,20250227,192000,42.03,42.03,42.03,42.03,501,0
JULZ.US,5,20250227,192500,42.06,42.06,42.06,42.06,773,0
JULZ.US,5,20250227,193000,42,42,42,42,200,0
JULZ.US,5,20250227,195500,41.98,41.98,41.98,41.98,100,0
JULZ.US,5,20250227,210000,41.6286,41.6286,41.6286,41.6286,144,0
JULZ.US,5,20250227,211500,41.55,41.55,41.55,41.55,246,0
JULZ.US,5,20250227,212500,41.58,41.58,41.58,41.58,737,0
JULZ.US,5,20250227,213500,41.597834,41.597834,41.597834,41.597834,300,0
JULZ.US,5,20250227,214000,41.52,41.52,41.52,41.52,1202,0
JULZ.US,5,20250228,162000,41.59,41.59,41.59,41.59,129,0
JULZ.US,5,20250228,182000,41.66,41.7099,41.61,41.625,1023,0
JULZ.US,5,20250228,191500,41.4,41.4,41.4,41.4,1000,0
JULZ.US,5,20250228,195500,41.525,41.525,41.525,41.525,115,0
JULZ.US,5,20250228,201500,41.57,41.57,41.57,41.57,100,0
JULZ.US,5,20250228,211500,41.705,41.705,41.705,41.705,129,0
JULZ.US,5,20250228,214000,41.71,41.71,41.71,41.71,100,0
JULZ.US,5,20250228,215500,41.92,41.92,41.92,41.92,1000,0
JULZ.US,5,20250303,161000,41.9,41.9,41.9,41.9,100,0
JULZ.US,5,20250303,190000,41.84,41.84,41.84,41.84,500,0
JULZ.US,5,20250303,203500,41.7,41.7,41.7,41.7,100,0
JULZ.US,5,20250303,205000,41.64,41.64,41.64,41.64,493,0
JULZ.US,5,20250303,215000,41.3999,41.3999,41.3999,41.3999,206,0
JULZ.US,5,20250303,215500,41.39,41.39,41.39,41.39,200,0
JULZ.US,5,20250304,161500,40.9,40.9,40.9,40.9,100,0
JULZ.US,5,20250304,165000,40.9,40.9,40.9,40.9,3556,0
JULZ.US,5,20250304,191000,41.135,41.135,41.135,41.135,133,0
JULZ.US,5,20250304,202500,41.31,41.31,41.31,41.31,100,0
JULZ.US,5,20250304,205500,41.32,41.32,41.32,41.32,523,0
JULZ.US,5,20250304,210000,41.35,41.35,41.35,41.35,100,0
JULZ.US,5,20250304,213500,41.2799,41.2799,41.2799,41.2799,192,0
JULZ.US,5,20250304,215000,41.07,41.07,41.03,41.03,922,0
JULZ.US,5,20250305,161500,41.1,41.1,41.1,41.1,100,0
JULZ.US,5,20250305,170000,41.03,41.03,41.03,41.03,100,0
JULZ.US,5,20250305,174500,40.89,40.89,40.89,40.89,672,0
JULZ.US,5,20250305,184500,41.08,41.08,41.08,41.08,435,0
JULZ.US,5,20250305,190500,41.14,41.14,41.14,41.14,100,0
JULZ.US,5,20250305,195000,41.24,41.24,41.24,41.24,100,0
JULZ.US,5,20250305,211500,41.4555,41.4555,41.41,41.41,267,0
JULZ.US,5,20250305,215500,41.4399,41.4399,41.4399,41.4399,113,0
JULZ.US,5,20250306,191000,40.778,40.778,40.778,40.778,196,0
JULZ.US,5,20250306,192500,40.83,40.83,40.83,40.83,100,0
JULZ.US,5,20250306,214500,40.73,40.73,40.73,40.73,100,0
JULZ.US,5,20250307,163500,40.64,40.64,40.62,40.64,680,0
JULZ.US,5,20250307,184000,40.62,40.62,40.62,40.62,100,0
JULZ.US,5,20250307,185500,40.74,40.74,40.74,40.74,500,0
JULZ.US,5,20250307,191000,40.81,40.81,40.81,40.81,600,0
JULZ.US,5,20250307,204500,41.07,41.07,40.93,40.97,951,0
JULZ.US,5,20250307,205500,40.95,40.95,40.95,40.95,108,0
JULZ.US,5,20250307,211500,40.96,40.96,40.96,40.96,100,0
JULZ.US,5,20250307,215000,40.91,40.91,40.91,40.91,1225,0
JULZ.US,5,20250310,164000,40.335,40.335,40.335,40.335,121,0
JULZ.US,5,20250310,182000,40.22,40.22,40.21,40.2101,1546,0
JULZ.US,5,20250310,182500,40.23,40.23,40.23,40.23,200,0
JULZ.US,5,20250310,184500,40.17,40.17,40.17,40.17,100,0
JULZ.US,5,20250310,195500,40,40,40,40,200,0
JULZ.US,5,20250310,204000,40.12,40.12,40.12,40.12,100,0
JULZ.US,5,20250310,205500,40.1,40.1,40.1,40.1,100,0
JULZ.US,5,20250311,151000,40.06,40.06,40.06,40.06,100,0
JULZ.US,5,20250311,153000,39.8801,39.8801,39.88,39.88,220,0
JULZ.US,5,20250311,165500,40.09,40.09,40.09,40.09,108,0
JULZ.US,5,20250311,185000,39.89,39.89,39.89,39.89,100,0
JULZ.US,5,20250311,203000,40.08,40.08,40.08,40.08,100,0
JULZ.US,5,20250311,204000,40.11,40.11,40.11,40.11,4552,0
JULZ.US,5,20250311,204500,40.0929,40.0929,40.0911,40.0911,448,0
JULZ.US,5,20250311,205000,40.07,40.07,40.07,40.07,848,0
JULZ.US,5,20250311,205500,39.93,39.93,39.93,39.93,100,0
JULZ.US,5,20250312,154000,39.97,39.97,39.97,39.97,100,0
JULZ.US,5,20250312,164000,40.03,40.03,40.03,40.03,154,0
JULZ.US,5,20250312,175500,40.1,40.1,40.1,40.1,100,0
JULZ.US,5,20250312,182000,40.14,40.14,40.14,40.14,200,0
JULZ.US,5,20250312,195500,40.22,40.22,40.22,40.22,100,0
JULZ.US,5,20250312,200000,40.15,40.15,40.15,40.15,100,0
JULZ.US,5,20250312,203000,40.1999,40.1999,40.0801,40.0801,278,0
JULZ.US,5,20250312,204000,40.03,40.03,40.03,40.03,200,0
JULZ.US,5,20250312,205000,40.05,40.05,40.05,40.05,100,0
JULZ.US,5,20250313,175000,39.8299,39.8299,39.7758,39.7758,259,0
JULZ.US,5,20250313,181000,39.7,39.7,39.7,39.7,100,0
JULZ.US,5,20250313,193500,39.75,39.75,39.75,39.75,192,0
JULZ.US,5,20250313,194000,39.83,39.83,39.83,39.83,303,0
