<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KAPR.US,5,20250224,153000,32.29,32.29,32.29,32.29,200,0
KAPR.US,5,20250224,161500,32.15,32.15,32.15,32.15,188,0
KAPR.US,5,20250224,162000,32.14,32.14,32.14,32.14,100,0
KAPR.US,5,20250224,164000,32.07,32.07,32.07,32.07,100,0
KAPR.US,5,20250224,170000,32.0884,32.0884,32.05,32.05,224,0
KAPR.US,5,20250224,170500,32.09,32.09,32.09,32.09,200,0
KAPR.US,5,20250224,173000,32.19,32.19,32.19,32.19,100,0
KAPR.US,5,20250224,175000,32.181,32.19,32.1806,32.1806,635,0
KAPR.US,5,20250224,180500,32.18,32.18,32.18,32.18,100,0
KAPR.US,5,20250224,181000,32.18,32.18,32.18,32.18,5000,0
KAPR.US,5,20250224,181500,32.215,32.215,32.215,32.215,100,0
KAPR.US,5,20250224,182000,32.22,32.22,32.22,32.22,100,0
KAPR.US,5,20250224,183000,32.18,32.18,32.18,32.18,100,0
KAPR.US,5,20250224,191500,32.243,32.243,32.243,32.243,100,0
KAPR.US,5,20250224,195000,32.24,32.24,32.24,32.24,400,0
KAPR.US,5,20250224,195500,32.241,32.241,32.241,32.241,516,0
KAPR.US,5,20250224,200000,32.27,32.27,32.27,32.27,858,0
KAPR.US,5,20250224,200500,32.2553,32.2553,32.2553,32.2553,250,0
KAPR.US,5,20250224,201000,32.24,32.24,32.24,32.24,100,0
KAPR.US,5,20250224,205000,32.19,32.2027,32.19,32.2027,2300,0
KAPR.US,5,20250224,210500,32.22,32.22,32.17,32.17,300,0
KAPR.US,5,20250224,211000,32.18,32.18,32.18,32.18,100,0
KAPR.US,5,20250224,211500,32.18,32.18,32.18,32.18,100,0
KAPR.US,5,20250224,214000,32.19,32.19,32.19,32.19,1306,0
KAPR.US,5,20250225,160000,32.01,32.01,32.01,32.01,100,0
KAPR.US,5,20250225,163000,31.9,31.9,31.9,31.9,1400,0
KAPR.US,5,20250225,164500,31.9827,31.9827,31.9827,31.9827,1000,0
KAPR.US,5,20250225,165000,32.01,32.01,32.01,32.01,100,0
KAPR.US,5,20250225,170500,31.95,31.95,31.95,31.95,100,0
KAPR.US,5,20250225,172000,31.925,31.925,31.925,31.925,592,0
KAPR.US,5,20250225,173500,31.84,31.875,31.84,31.875,200,0
KAPR.US,5,20250225,174500,31.9,31.9,31.9,31.9,100,0
KAPR.US,5,20250225,180500,31.89,31.89,31.89,31.89,100,0
KAPR.US,5,20250225,182500,31.92,31.92,31.92,31.92,100,0
KAPR.US,5,20250225,184000,31.96,31.96,31.96,31.96,100,0
KAPR.US,5,20250225,185000,31.99,31.99,31.99,31.99,610,0
KAPR.US,5,20250225,190000,32.03,32.03,32.03,32.03,100,0
KAPR.US,5,20250225,191500,32.01,32.01,32.01,32.01,100,0
KAPR.US,5,20250225,195500,32.02,32.02,32,32,816,0
KAPR.US,5,20250225,200500,31.99,31.99,31.98,31.99,500,0
KAPR.US,5,20250225,201500,31.96,31.96,31.96,31.96,100,0
KAPR.US,5,20250225,202500,31.94,31.94,31.93,31.93,1300,0
KAPR.US,5,20250225,203000,31.97,31.97,31.97,31.97,100,0
KAPR.US,5,20250225,203500,31.99,32,31.99,32,300,0
KAPR.US,5,20250225,204500,32.03,32.03,32.03,32.03,100,0
KAPR.US,5,20250225,213000,32.08,32.08,32.08,32.08,100,0
KAPR.US,5,20250225,214500,32.0381,32.0381,32.0381,32.0381,490,0
KAPR.US,5,20250226,153000,32.1,32.1,32.1,32.1,1222,0
KAPR.US,5,20250226,155500,32.23,32.23,32.23,32.23,100,0
KAPR.US,5,20250226,164000,32.26,32.26,32.26,32.26,100,0
KAPR.US,5,20250226,170000,32.25,32.25,32.25,32.25,100,0
KAPR.US,5,20250226,174500,32.265,32.265,32.265,32.265,3299,0
KAPR.US,5,20250226,181000,32.22,32.22,32.22,32.22,100,0
KAPR.US,5,20250226,181500,32.225,32.225,32.225,32.225,100,0
KAPR.US,5,20250226,182000,32.1806,32.1806,32.1601,32.1601,724,0
KAPR.US,5,20250226,182500,32.2068,32.2068,32.2068,32.2068,459,0
KAPR.US,5,20250226,184000,32.1,32.1,32.1,32.1,100,0
KAPR.US,5,20250226,210000,32,32,31.9501,31.9501,832,0
KAPR.US,5,20250226,213500,31.971,31.971,31.971,31.971,100,0
KAPR.US,5,20250226,214000,32,32,32,32,100,0
KAPR.US,5,20250227,154500,32.03,32.03,32.03,32.03,299,0
KAPR.US,5,20250227,160000,31.87,31.87,31.87,31.87,100,0
KAPR.US,5,20250227,161000,32,32,32,32,200,0
KAPR.US,5,20250227,170500,32.0282,32.0282,32.0282,32.0282,313,0
KAPR.US,5,20250227,171500,32.035,32.06,32.035,32.06,200,0
KAPR.US,5,20250227,173000,32.02,32.02,32.02,32.02,100,0
KAPR.US,5,20250227,174500,32,32.025,32,32.025,318,0
KAPR.US,5,20250227,180500,31.97,31.97,31.97,31.97,100,0
KAPR.US,5,20250227,182500,31.96,31.96,31.96,31.96,100,0
KAPR.US,5,20250227,193500,32.0299,32.0299,32.0299,32.0299,189,0
KAPR.US,5,20250228,160000,31.72,31.72,31.72,31.72,100,0
KAPR.US,5,20250228,162000,31.825,31.825,31.825,31.825,100,0
KAPR.US,5,20250228,163000,31.85,31.85,31.85,31.85,200,0
KAPR.US,5,20250228,164500,31.8,31.8,31.8,31.8,100,0
KAPR.US,5,20250228,170500,31.86,31.8692,31.86,31.8692,300,0
KAPR.US,5,20250228,171500,31.8,31.825,31.79,31.825,1100,0
KAPR.US,5,20250228,172000,31.845,31.845,31.845,31.845,100,0
KAPR.US,5,20250228,174500,31.84,31.84,31.84,31.84,100,0
KAPR.US,5,20250228,175000,31.84,31.84,31.84,31.84,100,0
KAPR.US,5,20250228,181000,31.83,31.83,31.83,31.83,100,0
KAPR.US,5,20250228,185500,31.68,31.685,31.67,31.685,5030,0
KAPR.US,5,20250228,192000,31.63,31.63,31.63,31.63,100,0
KAPR.US,5,20250228,193000,31.72,31.72,31.72,31.72,169,0
KAPR.US,5,20250228,194500,31.73,31.73,31.73,31.73,100,0
KAPR.US,5,20250228,201000,31.671,31.671,31.671,31.671,500,0
KAPR.US,5,20250228,202500,31.71,31.71,31.71,31.71,100,0
KAPR.US,5,20250228,203500,31.75,31.76,31.75,31.76,200,0
KAPR.US,5,20250228,204500,31.76,31.76,31.76,31.76,100,0
KAPR.US,5,20250228,205000,31.785,31.7969,31.785,31.7969,400,0
KAPR.US,5,20250228,211500,31.78,31.78,31.78,31.78,100,0
KAPR.US,5,20250228,213500,31.8056,31.8056,31.8056,31.8056,145,0
KAPR.US,5,20250303,155000,31.88,31.88,31.88,31.88,100,0
KAPR.US,5,20250303,163000,31.9,31.9,31.8903,31.8903,873,0
KAPR.US,5,20250303,165000,31.87,31.87,31.87,31.87,100,0
KAPR.US,5,20250303,174000,31.7409,31.7409,31.7409,31.7409,265,0
KAPR.US,5,20250303,180000,31.8,31.8,31.8,31.8,200,0
KAPR.US,5,20250303,192000,31.6878,31.6878,31.6878,31.6878,113,0
KAPR.US,5,20250303,192500,31.6801,31.6801,31.6801,31.6801,214,0
KAPR.US,5,20250303,195500,31.67,31.67,31.67,31.67,450,0
KAPR.US,5,20250303,203000,31.6401,31.6401,31.6401,31.6401,246,0
KAPR.US,5,20250303,211000,31.4,31.4,31.4,31.4,100,0
KAPR.US,5,20250303,211500,31.43,31.45,31.43,31.45,300,0
KAPR.US,5,20250303,212000,31.41,31.41,31.41,31.41,100,0
KAPR.US,5,20250303,215000,31.41,31.41,31.41,31.41,100,0
KAPR.US,5,20250303,215500,31.41,31.42,31.41,31.42,400,0
KAPR.US,5,20250304,153500,31.19,31.19,31.19,31.19,200,0
KAPR.US,5,20250304,155500,31.185,31.227,31.185,31.227,1313,0
KAPR.US,5,20250304,160000,31.1876,31.1876,31.1876,31.1876,2044,0
KAPR.US,5,20250304,163000,31.16,31.16,31.16,31.16,100,0
KAPR.US,5,20250304,170000,31.17,31.17,31.17,31.17,100,0
KAPR.US,5,20250304,173000,31.12,31.12,31.1155,31.1155,361,0
KAPR.US,5,20250304,175000,31.22,31.22,31.22,31.22,100,0
KAPR.US,5,20250304,182500,31.23,31.23,31.23,31.23,160,0
KAPR.US,5,20250304,183000,31.1505,31.1505,31.1505,31.1505,795,0
KAPR.US,5,20250304,184000,31.1901,31.1901,31.1901,31.1901,268,0
KAPR.US,5,20250304,184500,31.2282,31.27,31.21,31.21,1393,0
KAPR.US,5,20250304,191000,31.3699,31.3699,31.3699,31.3699,196,0
KAPR.US,5,20250304,192000,31.3,31.3,31.3,31.3,1500,0
KAPR.US,5,20250304,192500,31.31,31.31,31.31,31.31,1500,0
KAPR.US,5,20250304,195000,31.36,31.36,31.335,31.335,1100,0
KAPR.US,5,20250304,195500,31.3101,31.3101,31.3101,31.3101,235,0
KAPR.US,5,20250304,200500,31.39,31.39,31.39,31.39,156,0
KAPR.US,5,20250304,201000,31.45,31.459,31.45,31.45,900,0
KAPR.US,5,20250304,202000,31.4227,31.4227,31.4227,31.4227,1981,0
KAPR.US,5,20250304,202500,31.405,31.405,31.405,31.405,611,0
KAPR.US,5,20250304,203500,31.43,31.43,31.4049,31.4049,853,0
KAPR.US,5,20250304,204000,31.43,31.43,31.43,31.43,781,0
KAPR.US,5,20250304,204500,31.42,31.42,31.42,31.42,538,0
KAPR.US,5,20250304,205000,31.4098,31.4098,31.4098,31.4098,160,0
KAPR.US,5,20250304,213500,31.4,31.4,31.3509,31.39,29415,0
KAPR.US,5,20250304,215000,31.3,31.35,31.3,31.34,2247,0
KAPR.US,5,20250304,215500,31.31,31.31,31.31,31.31,1000,0
KAPR.US,5,20250305,165500,31.33,31.34,31.33,31.34,1282,0
KAPR.US,5,20250305,170000,31.3299,31.3299,31.25,31.25,812,0
KAPR.US,5,20250305,170500,31.28,31.28,31.28,31.28,1800,0
KAPR.US,5,20250305,171000,31.26,31.26,31.26,31.26,117,0
KAPR.US,5,20250305,174000,31.2599,31.2599,31.2485,31.2485,2849,0
KAPR.US,5,20250305,174500,31.26,31.27,31.25,31.27,2246,0
KAPR.US,5,20250305,185500,31.3093,31.3093,31.3093,31.3093,367,0
KAPR.US,5,20250305,190000,31.3362,31.3999,31.335,31.38,15058,0
KAPR.US,5,20250305,190500,31.38,31.39,31.28,31.2975,7444,0
KAPR.US,5,20250305,192000,31.31,31.31,31.31,31.31,100,0
KAPR.US,5,20250305,194500,31.24,31.24,31.2328,31.2328,305,0
KAPR.US,5,20250305,200000,31.39,31.39,31.39,31.39,125,0
KAPR.US,5,20250305,201000,31.4129,31.4129,31.4129,31.4129,500,0
KAPR.US,5,20250305,202000,31.46,31.4687,31.46,31.4687,2928,0
KAPR.US,5,20250305,203000,31.39,31.39,31.3813,31.3813,1000,0
KAPR.US,5,20250305,205000,31.469,31.4699,31.425,31.425,1551,0
KAPR.US,5,20250305,211500,31.44,31.44,31.44,31.44,100,0
KAPR.US,5,20250305,215000,31.44,31.44,31.44,31.44,796,0
KAPR.US,5,20250305,215500,31.4067,31.4067,31.4067,31.4067,800,0
KAPR.US,5,20250306,153500,31.15,31.17,31.15,31.17,2800,0
KAPR.US,5,20250306,154000,31.16,31.16,31.13,31.13,5200,0
KAPR.US,5,20250306,161500,31.36,31.37,31.3065,31.36,8813,0
KAPR.US,5,20250306,162500,31.29,31.29,31.29,31.29,650,0
KAPR.US,5,20250306,173500,31.29,31.29,31.2818,31.2818,520,0
