<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDYG.US,5,20250224,153000,85.69,85.97,85.68,85.97,1449,0
MDYG.US,5,20250224,154000,85.63,85.63,85.63,85.63,114,0
MDYG.US,5,20250224,154500,85.5449,85.5449,85.5449,85.5449,406,0
MDYG.US,5,20250224,155500,85.24,85.24,85.24,85.24,465,0
MDYG.US,5,20250224,160000,84.81,84.81,84.81,84.81,100,0
MDYG.US,5,20250224,160500,84.745,84.8569,84.745,84.8569,269,0
MDYG.US,5,20250224,161000,85.045,85.045,85.045,85.045,153,0
MDYG.US,5,20250224,161500,85.2549,85.26,85.145,85.145,684,0
MDYG.US,5,20250224,162500,85.3199,85.3199,85.3199,85.3199,248,0
MDYG.US,5,20250224,163000,85.0584,85.0584,85.0584,85.0584,1050,0
MDYG.US,5,20250224,163500,85.0209,85.05,85.0209,85.05,941,0
MDYG.US,5,20250224,164000,84.9613,85.1002,84.9613,84.98,793,0
MDYG.US,5,20250224,164500,85,85,84.96,84.96,377,0
MDYG.US,5,20250224,165000,85.0738,85.0738,84.9718,84.9718,381,0
MDYG.US,5,20250224,170000,84.97,85.03,84.97,85.03,200,0
MDYG.US,5,20250224,170500,85.09,85.16,85.09,85.16,200,0
MDYG.US,5,20250224,171000,85.13,85.23,85.13,85.23,1116,0
MDYG.US,5,20250224,172000,85.355,85.38,85.3322,85.3322,1282,0
MDYG.US,5,20250224,172500,85.46,85.505,85.4599,85.505,1400,0
MDYG.US,5,20250224,173000,85.652,85.652,85.61,85.61,509,0
MDYG.US,5,20250224,173500,85.4602,85.4602,85.4602,85.4602,1279,0
MDYG.US,5,20250224,174000,85.3953,85.52,85.3953,85.4686,1142,0
MDYG.US,5,20250224,174500,85.6,85.6391,85.5501,85.6391,1179,0
MDYG.US,5,20250224,175000,85.56,85.56,85.56,85.56,200,0
MDYG.US,5,20250224,175500,85.5079,85.5079,85.5079,85.5079,256,0
MDYG.US,5,20250224,181500,85.6481,85.6481,85.63,85.63,341,0
MDYG.US,5,20250224,182000,85.73,85.744,85.6921,85.744,899,0
MDYG.US,5,20250224,182500,85.71,85.76,85.7,85.7,457,0
MDYG.US,5,20250224,183000,85.7189,85.7189,85.65,85.69,1053,0
MDYG.US,5,20250224,183500,85.7199,85.7199,85.67,85.67,654,0
MDYG.US,5,20250224,184000,85.78,85.7834,85.74,85.7834,886,0
MDYG.US,5,20250224,184500,85.82,85.82,85.745,85.81,1984,0
MDYG.US,5,20250224,185000,85.78,85.8175,85.78,85.8175,216,0
MDYG.US,5,20250224,185500,85.73,85.79,85.714,85.74,1314,0
MDYG.US,5,20250224,191000,85.7131,85.7684,85.7131,85.7573,805,0
MDYG.US,5,20250224,191500,85.78,85.78,85.78,85.78,100,0
MDYG.US,5,20250224,192500,85.7975,85.7975,85.7975,85.7975,193,0
MDYG.US,5,20250224,193000,85.765,85.79,85.765,85.77,502,0
MDYG.US,5,20250224,193500,85.8642,85.8787,85.825,85.825,716,0
MDYG.US,5,20250224,194000,85.855,85.8683,85.82,85.8534,10040,0
MDYG.US,5,20250224,194500,85.9,85.9,85.9,85.9,154,0
MDYG.US,5,20250224,195500,85.7399,85.7399,85.67,85.67,217,0
MDYG.US,5,20250224,200000,85.79,85.81,85.79,85.81,214,0
MDYG.US,5,20250224,201500,85.7326,85.81,85.6434,85.6434,1824,0
MDYG.US,5,20250224,202000,85.7,85.7,85.69,85.69,404,0
MDYG.US,5,20250224,202500,85.767,85.767,85.691,85.731,3164,0
MDYG.US,5,20250224,203000,85.755,85.8,85.7122,85.7728,1583,0
MDYG.US,5,20250224,203500,85.8,85.8,85.8,85.8,312,0
MDYG.US,5,20250224,204000,85.77,85.77,85.725,85.73,962,0
MDYG.US,5,20250224,204500,85.67,85.77,85.65,85.77,3901,0
MDYG.US,5,20250224,205000,85.73,85.78,85.73,85.735,1128,0
MDYG.US,5,20250224,210000,85.67,85.67,85.63,85.64,797,0
MDYG.US,5,20250224,210500,85.6741,85.6741,85.6741,85.6741,351,0
MDYG.US,5,20250224,211000,85.6929,85.7,85.67,85.69,3060,0
MDYG.US,5,20250224,211500,85.76,85.78,85.6901,85.78,2296,0
MDYG.US,5,20250224,212000,85.755,85.755,85.655,85.655,200,0
MDYG.US,5,20250224,212500,85.7,85.7,85.7,85.7,228,0
MDYG.US,5,20250224,213000,85.8,85.8,85.8,85.8,108,0
MDYG.US,5,20250224,213500,85.71,85.7494,85.69,85.7494,1518,0
MDYG.US,5,20250224,214000,85.655,85.6999,85.63,85.6999,1178,0
MDYG.US,5,20250224,214500,85.615,85.7399,85.615,85.7399,554,0
MDYG.US,5,20250224,215000,85.7,85.7,85.42,85.42,1739,0
MDYG.US,5,20250224,215500,85.41,85.41,85.27,85.27,854,0
MDYG.US,5,20250225,153000,85.3864,85.6403,85.23,85.6403,557,0
MDYG.US,5,20250225,154500,85.6,85.6,85.6,85.6,100,0
MDYG.US,5,20250225,155000,85.45,85.45,85.22,85.22,235,0
MDYG.US,5,20250225,155500,85.3748,85.3748,85.211,85.211,364,0
MDYG.US,5,20250225,160000,85.21,85.21,84.85,84.85,3644,0
MDYG.US,5,20250225,161500,84.7993,84.7993,84.66,84.66,2947,0
