<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNA.US,5,20250224,154000,33.67,33.69,33.67,33.69,4499,0
MNA.US,5,20250224,155000,33.67,33.67,33.67,33.67,100,0
MNA.US,5,20250224,160000,33.67,33.67,33.67,33.67,100,0
MNA.US,5,20250224,163500,33.65,33.65,33.65,33.65,100,0
MNA.US,5,20250224,164000,33.65,33.6543,33.65,33.6543,236,0
MNA.US,5,20250224,165500,33.65,33.65,33.65,33.65,100,0
MNA.US,5,20250224,170500,33.68,33.68,33.68,33.68,500,0
MNA.US,5,20250224,171000,33.6405,33.6405,33.6405,33.6405,535,0
MNA.US,5,20250224,174500,33.65,33.65,33.65,33.65,100,0
MNA.US,5,20250224,175000,33.66,33.66,33.65,33.6501,800,0
MNA.US,5,20250224,175500,33.65,33.65,33.65,33.65,100,0
MNA.US,5,20250224,180000,33.6865,33.6865,33.6865,33.6865,204,0
MNA.US,5,20250224,181500,33.64,33.65,33.64,33.65,532,0
MNA.US,5,20250224,182500,33.69,33.69,33.6799,33.68,2014,0
MNA.US,5,20250224,192000,33.665,33.665,33.665,33.665,190,0
MNA.US,5,20250224,200500,33.65,33.6501,33.65,33.6501,1278,0
MNA.US,5,20250224,201500,33.6867,33.6867,33.6867,33.6867,741,0
MNA.US,5,20250224,202500,33.67,33.67,33.67,33.67,293,0
MNA.US,5,20250224,203000,33.65,33.6501,33.58,33.64,3596,0
MNA.US,5,20250224,210000,33.669,33.67,33.63,33.63,2803,0
MNA.US,5,20250224,211500,33.6493,33.6493,33.6493,33.6493,118,0
MNA.US,5,20250224,212000,33.66,33.66,33.66,33.66,268,0
MNA.US,5,20250224,215000,33.66,33.66,33.66,33.66,600,0
MNA.US,5,20250225,161000,33.71,33.71,33.7,33.7,611,0
MNA.US,5,20250225,161500,33.6633,33.6633,33.6633,33.6633,205,0
MNA.US,5,20250225,162000,33.6633,33.6633,33.6633,33.6633,150,0
MNA.US,5,20250225,164500,33.685,33.71,33.685,33.71,790,0
MNA.US,5,20250225,171000,33.68,33.69,33.68,33.681,827,0
MNA.US,5,20250225,172500,33.688,33.688,33.688,33.688,308,0
MNA.US,5,20250225,173000,33.67,33.67,33.67,33.67,127,0
MNA.US,5,20250225,175500,33.68,33.71,33.68,33.71,500,0
MNA.US,5,20250225,182500,33.66,33.66,33.66,33.66,800,0
MNA.US,5,20250225,183000,33.66,33.66,33.65,33.65,200,0
MNA.US,5,20250225,185000,33.66,33.66,33.65,33.66,768,0
MNA.US,5,20250225,201000,33.66,33.66,33.66,33.66,120,0
MNA.US,5,20250225,204000,33.67,33.67,33.67,33.67,100,0
MNA.US,5,20250225,204500,33.664353,33.664353,33.664353,33.664353,563,0
MNA.US,5,20250225,205500,33.67,33.67,33.67,33.67,300,0
MNA.US,5,20250225,210500,33.67,33.7,33.67,33.69,5332,0
MNA.US,5,20250225,211000,33.6854,33.6854,33.6854,33.6854,200,0
MNA.US,5,20250225,215500,33.68,33.68,33.68,33.68,180,0
MNA.US,5,20250226,155000,33.7333,33.7333,33.7333,33.7333,142,0
MNA.US,5,20250226,160000,33.69,33.69,33.6895,33.69,1743,0
MNA.US,5,20250226,161500,33.71,33.71,33.71,33.71,1500,0
MNA.US,5,20250226,164000,33.7001,33.7001,33.7001,33.7001,271,0
MNA.US,5,20250226,165000,33.7,33.7001,33.7,33.7001,1200,0
MNA.US,5,20250226,170500,33.71,33.71,33.71,33.71,281,0
MNA.US,5,20250226,171000,33.72,33.72,33.72,33.72,200,0
MNA.US,5,20250226,183000,33.7193,33.7193,33.7193,33.7193,313,0
MNA.US,5,20250226,183500,33.7099,33.7099,33.7099,33.7099,431,0
MNA.US,5,20250226,184500,33.7185,33.7185,33.7185,33.7185,180,0
MNA.US,5,20250226,185500,33.705,33.705,33.705,33.705,100,0
MNA.US,5,20250226,192500,33.7,33.7,33.7,33.7,100,0
MNA.US,5,20250226,193000,33.71,33.71,33.71,33.71,100,0
MNA.US,5,20250226,193500,33.7036,33.7036,33.692,33.692,749,0
MNA.US,5,20250226,195000,33.7,33.7,33.7,33.7,225,0
MNA.US,5,20250226,195500,33.7,33.7,33.7,33.7,693,0
MNA.US,5,20250226,200000,33.7,33.7,33.7,33.7,100,0
MNA.US,5,20250226,200500,33.7001,33.7001,33.7001,33.7001,250,0
MNA.US,5,20250226,201000,33.7,33.7,33.7,33.7,117,0
MNA.US,5,20250226,202000,33.7,33.7,33.7,33.7,200,0
MNA.US,5,20250226,202500,33.71,33.71,33.71,33.71,238,0
MNA.US,5,20250226,205000,33.7,33.7,33.7,33.7,100,0
MNA.US,5,20250226,215500,33.7083,33.7083,33.7,33.7,248,0
MNA.US,5,20250227,165500,33.7999,33.7999,33.7999,33.7999,103,0
MNA.US,5,20250227,174500,33.74,33.74,33.74,33.74,188,0
