<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUMG.US,5,20250224,155000,45.6424,45.6424,45.6424,45.6424,292,0
NUMG.US,5,20250224,155500,45.4191,45.525,45.4191,45.525,1450,0
NUMG.US,5,20250224,164000,45.61,45.6649,45.6,45.6,900,0
NUMG.US,5,20250224,165500,45.505,45.505,45.505,45.505,576,0
NUMG.US,5,20250224,174500,46,46,46,46,250,0
NUMG.US,5,20250224,175500,45.9668,45.9668,45.9668,45.9668,217,0
NUMG.US,5,20250224,181000,45.9874,45.9874,45.9874,45.9874,1150,0
NUMG.US,5,20250224,181500,46.045,46.045,46.045,46.045,128,0
NUMG.US,5,20250224,182500,46.1385,46.145,46.12,46.145,795,0
NUMG.US,5,20250224,183000,46.105,46.1553,46.09,46.1553,322,0
NUMG.US,5,20250224,184000,46.145,46.145,46.145,46.145,653,0
NUMG.US,5,20250224,184500,46.19,46.19,46.19,46.19,557,0
NUMG.US,5,20250224,185000,46.13,46.13,46.13,46.13,200,0
NUMG.US,5,20250224,190500,46.15,46.15,46.15,46.15,1090,0
NUMG.US,5,20250224,191000,46.18,46.18,46.18,46.18,169,0
NUMG.US,5,20250224,193500,46.18,46.18,46.18,46.18,334,0
NUMG.US,5,20250224,194000,46.15,46.15,46.15,46.15,100,0
NUMG.US,5,20250224,194500,46.1894,46.1894,46.16,46.16,229,0
NUMG.US,5,20250224,200000,46.15,46.1576,46.12,46.1576,1130,0
NUMG.US,5,20250224,202000,46.068,46.068,46.068,46.068,150,0
NUMG.US,5,20250224,203500,46.0903,46.0903,46.0903,46.0903,197,0
NUMG.US,5,20250224,204000,46.17,46.17,46.09,46.09,425,0
NUMG.US,5,20250224,204500,46.08,46.08,46.08,46.08,602,0
NUMG.US,5,20250224,205000,46.11,46.11,46.11,46.11,7700,0
NUMG.US,5,20250224,205500,46.06,46.06,46.0301,46.04,550,0
NUMG.US,5,20250224,210000,46.0699,46.0699,46.0699,46.0699,352,0
NUMG.US,5,20250224,210500,46.0587,46.07,46.01,46.0598,1862,0
NUMG.US,5,20250224,211000,46.085,46.085,46.085,46.085,220,0
NUMG.US,5,20250224,211500,46.0709,46.08,46.0709,46.08,489,0
NUMG.US,5,20250224,213000,46.065,46.13,46.0501,46.13,2455,0
NUMG.US,5,20250224,213500,46.09,46.1,46.0893,46.09,4778,0
NUMG.US,5,20250224,215500,45.91,45.91,45.9,45.9,705,0
NUMG.US,5,20250225,164000,45.3607,45.3607,45.3607,45.3607,150,0
NUMG.US,5,20250225,164500,45.3401,45.3401,45.3401,45.3401,441,0
NUMG.US,5,20250225,165500,45.65,45.65,45.52,45.52,1140,0
NUMG.US,5,20250225,170000,45.415,45.415,45.415,45.415,372,0
NUMG.US,5,20250225,170500,45.42,45.42,45.36,45.36,1300,0
NUMG.US,5,20250225,171500,45.54,45.54,45.54,45.54,142,0
NUMG.US,5,20250225,174500,45.41,45.41,45.34,45.34,351,0
NUMG.US,5,20250225,181500,45.45,45.45,45.45,45.45,100,0
NUMG.US,5,20250225,182500,45.44,45.44,45.44,45.44,100,0
NUMG.US,5,20250225,183000,45.4191,45.42,45.4191,45.42,1309,0
NUMG.US,5,20250225,184000,45.555,45.61,45.555,45.6099,1211,0
NUMG.US,5,20250225,185000,45.56,45.56,45.56,45.56,100,0
NUMG.US,5,20250225,185500,45.6899,45.6899,45.6899,45.6899,103,0
NUMG.US,5,20250225,190500,45.8001,45.8001,45.8001,45.8001,160,0
NUMG.US,5,20250225,193000,45.7,45.7,45.6,45.6,343,0
NUMG.US,5,20250225,194000,45.7231,45.775,45.7231,45.775,250,0
NUMG.US,5,20250225,200000,45.77,45.77,45.73,45.73,1057,0
NUMG.US,5,20250225,201000,45.7865,45.7865,45.74,45.75,3909,0
NUMG.US,5,20250225,201500,45.725,45.725,45.68,45.68,936,0
NUMG.US,5,20250225,203000,45.7011,45.7011,45.7011,45.7011,154,0
NUMG.US,5,20250225,204000,45.8801,45.89,45.8801,45.89,271,0
NUMG.US,5,20250225,211000,45.87,45.87,45.87,45.87,100,0
NUMG.US,5,20250225,211500,45.87,45.96,45.87,45.9499,1082,0
NUMG.US,5,20250225,212000,45.91,46.05,45.91,46.05,300,0
NUMG.US,5,20250225,213000,45.97,45.98,45.96,45.96,700,0
NUMG.US,5,20250225,213500,45.91,45.91,45.83,45.83,798,0
NUMG.US,5,20250225,214000,45.78,45.82,45.77,45.78,4017,0
NUMG.US,5,20250225,214500,45.78,45.78,45.78,45.78,100,0
NUMG.US,5,20250225,215000,45.84,45.84,45.755,45.755,533,0
NUMG.US,5,20250225,215500,45.78,45.79,45.72,45.73,810,0
NUMG.US,5,20250226,161500,46.731,46.82,46.731,46.82,455,0
NUMG.US,5,20250226,162000,46.82,46.82,46.82,46.82,400,0
NUMG.US,5,20250226,165500,46.88,46.9,46.79,46.9,2284,0
NUMG.US,5,20250226,170000,46.9,46.9,46.8201,46.8201,494,0
NUMG.US,5,20250226,171000,46.93,46.93,46.93,46.93,200,0
NUMG.US,5,20250226,174000,46.8799,46.8799,46.8799,46.8799,215,0
NUMG.US,5,20250226,174500,46.84,46.84,46.84,46.84,100,0
NUMG.US,5,20250226,175000,46.9144,46.9144,46.9144,46.9144,152,0
NUMG.US,5,20250226,181500,46.84,46.84,46.74,46.78,572,0
NUMG.US,5,20250226,182500,46.82,46.82,46.82,46.82,100,0
