<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCIO.US,5,20250224,191000,34.91,34.91,34.91,34.91,200,0
OCIO.US,5,20250224,201500,34.8001,34.8001,34.8001,34.8001,175,0
OCIO.US,5,20250224,211000,34.835,34.8495,34.835,34.8495,361,0
OCIO.US,5,20250224,214000,34.81,34.81,34.81,34.81,100,0
OCIO.US,5,20250224,215500,34.8,34.8,34.8,34.8,200,0
OCIO.US,5,20250225,170000,34.5599,34.5599,34.5599,34.5599,288,0
OCIO.US,5,20250226,174000,34.93,34.93,34.93,34.93,100,0
OCIO.US,5,20250226,180000,34.88,34.88,34.88,34.88,100,0
OCIO.US,5,20250226,182000,34.9,34.9,34.9,34.9,100,0
OCIO.US,5,20250226,184500,34.84,34.84,34.84,34.84,100,0
OCIO.US,5,20250226,185000,34.8,34.8,34.8,34.8,100,0
OCIO.US,5,20250226,185500,34.8,34.8,34.79,34.79,200,0
OCIO.US,5,20250226,190500,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,193000,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,195500,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,202000,34.795,34.795,34.795,34.795,100,0
OCIO.US,5,20250226,204500,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,211000,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,212000,34.7999,34.7999,34.7999,34.7999,196,0
OCIO.US,5,20250226,212500,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,214000,34.79,34.79,34.79,34.79,100,0
OCIO.US,5,20250226,215500,34.795,34.795,34.79,34.79,341,0
OCIO.US,5,20250227,183500,34.66,34.73,34.66,34.73,20000,0
OCIO.US,5,20250227,192000,34.6101,34.6101,34.6101,34.6101,132,0
OCIO.US,5,20250227,193500,34.6493,34.6493,34.6493,34.6493,231,0
OCIO.US,5,20250227,200000,34.55,34.55,34.55,34.55,100,0
OCIO.US,5,20250228,181000,34.3226,34.3226,34.3226,34.3226,326,0
OCIO.US,5,20250228,184000,34.26,34.26,34.26,34.26,100,0
OCIO.US,5,20250228,203000,34.26,34.27,34.26,34.27,226,0
OCIO.US,5,20250228,215500,34.45,34.45,34.45,34.45,100,0
OCIO.US,5,20250303,205000,34.55,34.55,34.37,34.37,900,0
OCIO.US,5,20250303,210500,34.13,34.13,34.13,34.13,167,0
OCIO.US,5,20250303,212500,34.14,34.14,34.14,34.14,100,0
OCIO.US,5,20250303,215500,34.23,34.23,34.23,34.23,100,0
OCIO.US,5,20250304,213000,34.31,34.31,34.24,34.24,500,0
OCIO.US,5,20250304,214000,34.16,34.16,34.15,34.15,1000,0
OCIO.US,5,20250304,215000,33.96,33.96,33.96,33.96,500,0
OCIO.US,5,20250305,163000,34.08,34.08,34.08,34.08,100,0
OCIO.US,5,20250305,172000,33.98,34.03,33.98,34.03,258,0
OCIO.US,5,20250305,184500,34.03,34.03,34.03,34.03,211,0
OCIO.US,5,20250306,163500,34,34,34,34,485,0
OCIO.US,5,20250306,204500,33.88,33.93,33.88,33.93,200,0
OCIO.US,5,20250306,205000,33.96,33.96,33.96,33.96,100,0
OCIO.US,5,20250306,205500,33.82,33.82,33.82,33.82,100,0
OCIO.US,5,20250306,212000,33.85,33.85,33.8499,33.8499,582,0
OCIO.US,5,20250307,193000,33.76,33.76,33.73,33.73,400,0
OCIO.US,5,20250307,194500,33.89,33.89,33.89,33.89,111,0
OCIO.US,5,20250311,160000,33.0938,33.0938,33.0938,33.0938,118,0
OCIO.US,5,20250311,200500,33.4234,33.4234,33.4234,33.4234,100,0
OCIO.US,5,20250312,184000,33.47,33.47,33.47,33.47,250,0
OCIO.US,5,20250314,145500,33.3873,33.3873,33.345,33.345,350,0
OCIO.US,5,20250317,144500,33.7285,33.7285,33.7285,33.7285,100,0
OCIO.US,5,20250317,155000,33.6293,33.6293,33.6293,33.6293,100,0
OCIO.US,5,20250317,160500,33.66,33.66,33.66,33.66,100,0
OCIO.US,5,20250317,164500,33.55,33.55,33.55,33.55,227,0
OCIO.US,5,20250318,171000,33.57,33.57,33.57,33.57,110,0
OCIO.US,5,20250318,202500,33.59,33.59,33.59,33.59,420,0
OCIO.US,5,20250319,155500,33.59,33.59,33.59,33.59,118,0
OCIO.US,5,20250320,193000,33.74,33.74,33.74,33.74,1000,0
OCIO.US,5,20250320,195500,33.79,33.79,33.79,33.79,500,0
OCIO.US,5,20250321,200500,33.57,33.57,33.57,33.57,1190,0
OCIO.US,5,20250324,155000,33.84,33.84,33.84,33.84,100,0
OCIO.US,5,20250324,164000,33.85,33.85,33.85,33.85,200,0
OCIO.US,5,20250324,203500,33.89,33.89,33.89,33.89,1912,0
OCIO.US,5,20250324,205500,33.87,33.87,33.87,33.87,362,0
OCIO.US,5,20250325,195000,34.02,34.02,34.02,34.02,100,0
OCIO.US,5,20250325,195500,34.03,34.03,34.03,34.03,100,0
OCIO.US,5,20250325,201500,34.01,34.01,34.01,34.01,1435,0
OCIO.US,5,20250326,153500,33.81,33.81,33.81,33.81,100,0
OCIO.US,5,20250326,155500,33.8871,33.8871,33.8205,33.8205,409,0
OCIO.US,5,20250326,202500,33.6,33.6,33.6,33.6,128,0
OCIO.US,5,20250327,204000,33.7255,33.7255,33.7255,33.7255,264,0
OCIO.US,5,20250328,181500,33.175,33.175,33.175,33.175,164,0
OCIO.US,5,20250331,214000,33.19,33.19,33.19,33.19,19544,0
OCIO.US,5,20250331,215000,33.32,33.32,33.32,33.32,249,0
OCIO.US,5,20250331,215500,33.17,33.17,33.17,33.17,9154,0
OCIO.US,5,20250401,215500,33.24,33.24,33.24,33.24,100,0
OCIO.US,5,20250403,154000,32.8126,32.88,32.7,32.7,7402,0
OCIO.US,5,20250403,164500,32.6999,32.6999,32.6999,32.6999,155,0
OCIO.US,5,20250404,171000,31.71,31.71,31.581,31.5811,1204,0
OCIO.US,5,20250404,180500,31.52,31.52,31.52,31.52,100,0
OCIO.US,5,20250404,213000,31.35,31.35,31.35,31.35,108,0
OCIO.US,5,20250404,215500,31.19,31.19,31.19,31.19,891,0
OCIO.US,5,20250407,200000,31.2728,31.2728,31.2728,31.2728,300,0
OCIO.US,5,20250407,212000,30.94,30.94,30.88,30.88,1289,0
OCIO.US,5,20250407,214500,30.91,30.91,30.86,30.86,698,0
OCIO.US,5,20250407,215000,30.99,31.05,30.99,31.05,300,0
OCIO.US,5,20250407,215500,31.02,31.13,30.91,30.91,900,0
OCIO.US,5,20250408,165500,31.54,31.55,31.51,31.52,1200,0
OCIO.US,5,20250408,174000,31.5395,31.5395,31.5395,31.5395,208,0
OCIO.US,5,20250408,175000,31.5276,31.54,31.5276,31.54,200,0
OCIO.US,5,20250408,190000,31.2,31.2,31.06,31.06,211,0
OCIO.US,5,20250408,201500,31.13,31.2,30.97,30.97,1400,0
OCIO.US,5,20250408,202000,30.9501,30.9501,30.9501,30.9501,167,0
OCIO.US,5,20250408,204500,30.9,30.9,30.9,30.9,100,0
OCIO.US,5,20250409,161000,30.71,30.71,30.71,30.71,169,0
OCIO.US,5,20250409,162000,30.78,30.78,30.73,30.73,200,0
OCIO.US,5,20250409,202000,32.1515,32.1515,32.1515,32.1515,559,0
OCIO.US,5,20250409,210000,32.06,32.06,32.05,32.05,3771,0
OCIO.US,5,20250409,212000,32.35,32.35,32.35,32.35,200,0
OCIO.US,5,20250409,212500,32.37,32.39,32.34,32.34,3500,0
OCIO.US,5,20250409,213000,32.42,32.44,32.23,32.25,3400,0
OCIO.US,5,20250409,213500,32.27,32.27,31.23,32.21,5600,0
OCIO.US,5,20250409,214000,32.2,32.21,32.17,32.19,1800,0
OCIO.US,5,20250410,174500,31.6301,31.6301,31.6301,31.6301,184,0
OCIO.US,5,20250410,183500,31.46,31.46,31.46,31.46,100,0
OCIO.US,5,20250411,194500,32.1,32.1,32.09,32.09,940,0
OCIO.US,5,20250411,195000,32.2886,32.2886,32.2886,32.2886,335,0
OCIO.US,5,20250411,202000,32.25,32.25,32.05,32.05,200,0
OCIO.US,5,20250411,205500,32.09,32.09,32.09,32.09,100,0
OCIO.US,5,20250414,155500,32.53,32.53,32.53,32.53,100,0
OCIO.US,5,20250414,192000,32.55,32.55,32.55,32.55,100,0
OCIO.US,5,20250414,215500,32.37,32.37,32.37,32.37,100,0
OCIO.US,5,20250415,162500,32.565,32.565,32.565,32.565,191,0
OCIO.US,5,20250415,203500,32.66,32.66,32.44,32.44,653,0
OCIO.US,5,20250416,215000,32.07,32.07,32.07,32.07,385,0
OCIO.US,5,20250417,173000,32.258,32.258,32.258,32.258,422,0
OCIO.US,5,20250417,185000,32.31,32.31,32.31,32.31,100,0
OCIO.US,5,20250417,215500,32.09,32.09,32.09,32.09,100,0
OCIO.US,5,20250421,172000,31.73,31.73,31.73,31.73,178,0
OCIO.US,5,20250421,193000,31.64,31.64,31.64,31.64,232,0
OCIO.US,5,20250421,214000,31.63,31.85,31.63,31.85,893,0
OCIO.US,5,20250422,191000,32.2917,32.2917,32.2917,32.2917,274,0
OCIO.US,5,20250422,202500,32.1501,32.1501,32.1501,32.1501,358,0
OCIO.US,5,20250422,205500,32.285,32.285,32.285,32.285,208,0
OCIO.US,5,20250422,215500,32.19,32.19,32.19,32.19,100,0
OCIO.US,5,20250424,181500,33.0286,33.0286,33.0286,33.0286,200,0
OCIO.US,5,20250424,183000,33.08,33.1,33.06,33.1,2100,0
OCIO.US,5,20250424,183500,33.1,33.1,33.1,33.1,100,0
OCIO.US,5,20250424,184500,33.1,33.1,33.1,33.1,100,0
OCIO.US,5,20250424,192500,33.1,33.1,33.1,33.1,117,0
OCIO.US,5,20250425,184500,33.05,33.05,33.03,33.03,1495,0
OCIO.US,5,20250425,190000,33.17,33.17,33.17,33.17,369,0
OCIO.US,5,20250425,215500,33.11,33.11,33.11,33.11,100,0
OCIO.US,5,20250428,185000,33.11,33.11,33.11,33.11,200,0
OCIO.US,5,20250428,213000,33.21,33.21,33.21,33.21,1199,0
OCIO.US,5,20250428,215000,33.15,33.15,33.15,33.15,100,0
OCIO.US,5,20250428,215500,33.17,33.17,33.17,33.17,249,0
OCIO.US,5,20250430,200500,33.2,33.2,33.2,33.2,200,0
OCIO.US,5,20250430,212000,33.24,33.24,33.2,33.2,2356,0
OCIO.US,5,20250430,212500,33.18,33.18,33.18,33.18,100,0
OCIO.US,5,20250430,215500,33.32,33.32,33.32,33.32,210,0
OCIO.US,5,20250501,154000,33.38,33.38,33.36,33.36,900,0
OCIO.US,5,20250501,215500,33.55,33.55,33.55,33.55,1500,0
OCIO.US,5,20250502,184500,33.7,33.7,33.7,33.7,100,0
OCIO.US,5,20250502,215500,33.7,33.7,33.7,33.7,100,0
OCIO.US,5,20250505,215500,33.59,33.59,33.59,33.59,100,0
OCIO.US,5,20250506,215500,33.51,33.51,33.51,33.51,100,0
OCIO.US,5,20250507,215500,33.55,33.55,33.55,33.55,100,0
OCIO.US,5,20250508,203000,33.8999,33.8999,33.8999,33.8999,103,0
OCIO.US,5,20250508,215500,33.61,33.61,33.61,33.61,100,0
OCIO.US,5,20250509,174000,33.76,33.76,33.76,33.76,117,0
OCIO.US,5,20250509,211500,33.7,33.7,33.7,33.7,6612,0
OCIO.US,5,20250512,191000,34.19,34.19,34.18,34.18,300,0
OCIO.US,5,20250512,215500,33.96,33.96,33.96,33.96,100,0
OCIO.US,5,20250513,180000,34.0801,34.0801,34.0801,34.0801,230,0
OCIO.US,5,20250513,215500,34.08,34.08,34.08,34.08,100,0
OCIO.US,5,20250514,172000,34.27,34.28,34.27,34.2799,416,0
OCIO.US,5,20250514,215500,34.07,34.07,34.07,34.07,100,0
OCIO.US,5,20250515,202500,34.13,34.1645,34.13,34.13,1492,0
OCIO.US,5,20250516,173000,34.29,34.29,34.29,34.29,200,0
OCIO.US,5,20250516,202000,34.3,34.3,34.22,34.22,962,0
OCIO.US,5,20250516,212500,34.29,34.29,34.29,34.29,828,0
OCIO.US,5,20250519,215500,34.28,34.28,34.28,34.28,100,0
OCIO.US,5,20250520,215500,34.25,34.25,34.25,34.25,100,0
OCIO.US,5,20250521,175500,34.24,34.24,34.22,34.22,841,0
OCIO.US,5,20250521,182500,34.24,34.24,34.24,34.24,100,0
OCIO.US,5,20250521,203500,34.06,34.06,34.06,34.06,100,0
OCIO.US,5,20250521,212500,33.9401,33.9401,33.9401,33.9401,184,0
OCIO.US,5,20250521,215500,34,34,34,34,100,0
OCIO.US,5,20250527,202000,34.52,34.52,34.52,34.52,100,0
OCIO.US,5,20250528,164500,34.325,34.325,34.325,34.325,100,0
OCIO.US,5,20250530,181000,34.2,34.2,34.2,34.2,207,0
OCIO.US,5,20250530,181500,34.41,34.42,34.41,34.42,206,0
OCIO.US,5,20250530,212000,34.41,34.41,34.41,34.41,736,0
OCIO.US,5,20250530,214500,34.48,34.48,34.48,34.48,302,0
OCIO.US,5,20250602,162500,34.3328,34.3328,34.3328,34.3328,100,0
OCIO.US,5,20250602,215500,34.36,34.36,34.36,34.36,100,0
OCIO.US,5,20250604,181000,34.6384,34.6384,34.6384,34.6384,100,0
OCIO.US,5,20250605,161000,34.71,34.71,34.71,34.71,100,0
OCIO.US,5,20250606,171500,34.69,34.69,34.69,34.69,144,0
OCIO.US,5,20250609,160000,34.71,34.71,34.71,34.71,100,0
OCIO.US,5,20250609,192500,34.7999,34.7999,34.7999,34.7999,143,0
OCIO.US,5,20250609,215500,34.59,34.59,34.59,34.59,100,0
OCIO.US,5,20250610,165500,34.79,34.8,34.79,34.8,2402,0
OCIO.US,5,20250610,171500,34.8,34.87,34.8,34.87,215,0
OCIO.US,5,20250610,175500,34.79,34.79,34.715,34.715,200,0
OCIO.US,5,20250610,215500,34.68,34.68,34.68,34.68,100,0
OCIO.US,5,20250611,164500,34.7901,34.7901,34.7901,34.7901,200,0
OCIO.US,5,20250612,153500,34.72,34.72,34.72,34.72,100,0
