<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCTJ.US,5,20250224,175500,24.0665,24.0665,24.0665,24.0665,139,0
OCTJ.US,5,20250224,183500,24.0814,24.0814,24.0814,24.0814,224,0
OCTJ.US,5,20250224,191000,24.12,24.12,24.12,24.12,203,0
OCTJ.US,5,20250224,193000,24.05,24.085,24.05,24.085,2467,0
OCTJ.US,5,20250225,205000,24.0693,24.0693,24.0693,24.0693,621,0
OCTJ.US,5,20250225,211500,24.04,24.04,24.04,24.04,345,0
OCTJ.US,5,20250226,153000,24.01,24.01,24.01,24.01,165,0
OCTJ.US,5,20250227,153500,24.1,24.1,24.1,24.1,409,0
OCTJ.US,5,20250227,180000,24.04,24.09,24.04,24.09,600,0
OCTJ.US,5,20250227,182000,24.04,24.04,24.04,24.04,100,0
OCTJ.US,5,20250227,182500,24.1,24.1,24.1,24.1,401,0
OCTJ.US,5,20250228,182500,24.055,24.055,24.055,24.055,362,0
OCTJ.US,5,20250228,183000,24.09,24.09,24.09,24.09,495,0
OCTJ.US,5,20250303,181000,24.05,24.05,24.05,24.05,100,0
OCTJ.US,5,20250304,185000,24.025,24.025,24,24,200,0
OCTJ.US,5,20250304,212000,24.05,24.05,24.05,24.05,111,0
OCTJ.US,5,20250305,205500,24.1,24.1,24.1,24.1,205,0
OCTJ.US,5,20250305,214000,24.015,24.015,24.015,24.015,161,0
OCTJ.US,5,20250307,202000,23.97,23.97,23.97,23.97,256,0
OCTJ.US,5,20250310,160000,23.945,23.945,23.945,23.945,305,0
OCTJ.US,5,20250310,162000,23.9999,23.9999,23.9999,23.9999,124,0
OCTJ.US,5,20250310,163500,23.9999,23.9999,23.955,23.955,366,0
OCTJ.US,5,20250310,170000,23.999,23.999,23.999,23.999,226,0
OCTJ.US,5,20250310,203000,23.92,23.92,23.92,23.92,119,0
OCTJ.US,5,20250311,190000,23.93,23.93,23.93,23.93,100,0
OCTJ.US,5,20250311,191000,23.8201,23.8201,23.8201,23.8201,194,0
OCTJ.US,5,20250311,193000,23.8501,23.8501,23.8501,23.8501,143,0
OCTJ.US,5,20250311,202500,23.8601,23.8601,23.8601,23.8601,146,0
OCTJ.US,5,20250313,194000,24,24,24,24,200,0
OCTJ.US,5,20250313,195500,24,24,24,24,100,0
OCTJ.US,5,20250314,175500,23.99,23.99,23.99,23.99,473,0
OCTJ.US,5,20250314,181500,23.9701,23.9701,23.9701,23.9701,118,0
OCTJ.US,5,20250314,185500,23.98,23.98,23.97,23.98,600,0
OCTJ.US,5,20250314,190000,23.98,23.98,23.98,23.98,328,0
OCTJ.US,5,20250314,190500,24.0799,24.0799,24.0799,24.0799,190,0
OCTJ.US,5,20250314,192000,23.9817,23.9817,23.9817,23.9817,500,0
OCTJ.US,5,20250317,164000,24.0001,24.0001,24.0001,24.0001,210,0
OCTJ.US,5,20250317,175500,24.02,24.02,24.01,24.01,538,0
OCTJ.US,5,20250317,193000,24.085,24.085,24.085,24.085,246,0
OCTJ.US,5,20250317,205500,24.0101,24.0101,24.0101,24.0101,260,0
OCTJ.US,5,20250318,160500,23.9801,23.9801,23.9801,23.9801,222,0
OCTJ.US,5,20250318,175000,24.01,24.01,24.01,24.01,814,0
OCTJ.US,5,20250318,183000,24,24,24,24,500,0
OCTJ.US,5,20250318,184000,23.9801,23.9801,23.9801,23.9801,178,0
OCTJ.US,5,20250318,185500,23.99,23.99,23.99,23.99,100,0
OCTJ.US,5,20250318,194500,24.01,24.01,24.01,24.01,441,0
OCTJ.US,5,20250318,203000,23.9901,23.9901,23.9901,23.9901,106,0
OCTJ.US,5,20250318,203500,24.01,24.01,23.9901,23.9901,278,0
OCTJ.US,5,20250318,204500,23.9901,23.9901,23.9901,23.9901,182,0
OCTJ.US,5,20250318,205500,23.9901,23.9901,23.9901,23.9901,126,0
OCTJ.US,5,20250319,153500,24.0101,24.0101,24.0101,24.0101,104,0
OCTJ.US,5,20250319,161500,24.07,24.07,24.05,24.05,280,0
OCTJ.US,5,20250319,163500,24.12,24.13,24.12,24.13,1420,0
OCTJ.US,5,20250319,165000,24.0201,24.1399,24.0201,24.1399,375,0
OCTJ.US,5,20250319,170000,24.0301,24.0301,24.0301,24.0301,102,0
OCTJ.US,5,20250319,180500,24.04,24.04,24.04,24.04,100,0
OCTJ.US,5,20250319,182000,24.04,24.04,24.04,24.04,716,0
OCTJ.US,5,20250319,200500,24.08,24.08,24.07,24.07,617,0
OCTJ.US,5,20250320,182000,24.05,24.07,24.04,24.07,1683,0
OCTJ.US,5,20250320,190000,24.05,24.05,24.04,24.04,983,0
OCTJ.US,5,20250320,202500,24.05,24.05,24.05,24.05,600,0
OCTJ.US,5,20250320,205000,24.07,24.07,24.07,24.07,141,0
OCTJ.US,5,20250325,205500,24.16,24.16,24.16,24.16,414,0
OCTJ.US,5,20250326,164500,24.165,24.165,24.165,24.165,420,0
OCTJ.US,5,20250326,170000,24.19,24.19,24.19,24.19,100,0
OCTJ.US,5,20250326,175000,24.12,24.12,24.105,24.105,200,0
OCTJ.US,5,20250326,181500,24.11,24.11,24.11,24.11,15075,0
OCTJ.US,5,20250326,183000,24.15,24.15,24.15,24.15,127,0
OCTJ.US,5,20250326,192000,24.11,24.11,24.11,24.11,200,0
OCTJ.US,5,20250326,194500,24.1,24.1,24.1,24.1,400,0
OCTJ.US,5,20250326,200500,24.0801,24.0801,24.0801,24.0801,141,0
OCTJ.US,5,20250327,160000,24.16,24.16,24.16,24.16,211,0
OCTJ.US,5,20250327,162500,24.2199,24.2199,24.16,24.16,854,0
OCTJ.US,5,20250328,154000,24.08,24.08,24.08,24.08,220,0
OCTJ.US,5,20250328,201000,24.05,24.05,24.05,24.05,200,0
OCTJ.US,5,20250331,211500,23.783,23.783,23.783,23.783,105,0
OCTJ.US,5,20250331,214000,23.765,23.765,23.765,23.765,100,0
OCTJ.US,5,20250401,173000,23.8,23.8,23.8,23.8,100,0
OCTJ.US,5,20250401,174500,23.8,23.81,23.775,23.775,1314,0
OCTJ.US,5,20250401,182500,23.8599,23.8599,23.8599,23.8599,112,0
OCTJ.US,5,20250401,210500,23.82,23.82,23.82,23.82,122,0
OCTJ.US,5,20250402,162000,23.785,23.82,23.785,23.82,2611,0
OCTJ.US,5,20250402,191000,23.84,23.84,23.84,23.84,487,0
OCTJ.US,5,20250402,194500,23.78,23.78,23.78,23.78,200,0
OCTJ.US,5,20250402,195000,23.77,23.77,23.77,23.77,900,0
OCTJ.US,5,20250402,211500,23.84,23.84,23.805,23.84,1849,0
OCTJ.US,5,20250402,215500,23.78,23.81,23.78,23.81,547,0
OCTJ.US,5,20250403,155500,23.68,23.68,23.68,23.68,111,0
OCTJ.US,5,20250403,180500,23.6,23.6,23.58,23.58,1000,0
OCTJ.US,5,20250403,181000,23.58,23.6,23.58,23.6,4700,0
OCTJ.US,5,20250403,205500,23.5601,23.57,23.56,23.57,653,0
OCTJ.US,5,20250403,211000,23.56,23.56,23.56,23.56,200,0
OCTJ.US,5,20250404,155500,23.26,23.26,23.26,23.26,1254,0
OCTJ.US,5,20250404,160000,23.21,23.53,23.17,23.17,15000,0
OCTJ.US,5,20250404,160500,23.17,23.275,23.14,23.275,20138,0
OCTJ.US,5,20250404,163000,23.276,23.276,23.276,23.276,428,0
OCTJ.US,5,20250404,174500,23.2,23.2,23.2,23.2,2086,0
OCTJ.US,5,20250404,183000,23.13,23.13,23.11,23.13,10100,0
OCTJ.US,5,20250404,201500,23.06,23.06,23.04,23.05,7300,0
OCTJ.US,5,20250404,202000,23.05,23.05,22.96,23.025,39292,0
OCTJ.US,5,20250404,202500,23.02,23.02,22.88,22.88,23334,0
OCTJ.US,5,20250404,203000,22.88,22.88,22.88,22.88,393,0
OCTJ.US,5,20250404,203500,22.87,23.02,22.85,22.98,32709,0
OCTJ.US,5,20250404,204000,22.86,22.86,22.86,22.86,1702,0
OCTJ.US,5,20250404,210000,22.8601,22.8601,22.8601,22.8601,420,0
OCTJ.US,5,20250404,213000,22.94,22.9411,22.94,22.9411,589,0
OCTJ.US,5,20250404,213500,23.1546,23.1546,23.1546,23.1546,164,0
OCTJ.US,5,20250407,154500,22.6299,22.6299,22.6299,22.6299,2000,0
OCTJ.US,5,20250407,164500,22.85,22.85,22.85,22.85,3000,0
OCTJ.US,5,20250407,181500,22.86,22.88,22.86,22.88,2000,0
OCTJ.US,5,20250407,191500,22.7391,22.7391,22.7391,22.7391,200,0
OCTJ.US,5,20250407,194000,22.78,22.82,22.77,22.81,9800,0
OCTJ.US,5,20250407,194500,22.81,22.81,22.75,22.77,4253,0
OCTJ.US,5,20250407,211500,22.8999,22.8999,22.8999,22.8999,1000,0
OCTJ.US,5,20250407,212500,22.7201,22.7201,22.7201,22.7201,108,0
OCTJ.US,5,20250407,213000,22.85,22.85,22.85,22.85,100,0
OCTJ.US,5,20250408,155500,23.23,23.25,23.22,23.22,500,0
OCTJ.US,5,20250408,181500,23.12,23.12,23.12,23.12,100,0
OCTJ.US,5,20250408,184500,22.97,22.97,22.96,22.965,1000,0
OCTJ.US,5,20250408,185500,22.98,22.98,22.98,22.98,100,0
OCTJ.US,5,20250408,210500,22.73,22.73,22.67,22.67,2200,0
OCTJ.US,5,20250408,211000,22.715,22.715,22.715,22.715,842,0
OCTJ.US,5,20250408,211500,22.67,22.67,22.67,22.67,100,0
OCTJ.US,5,20250408,212000,22.6,22.6,22.6,22.6,200,0
OCTJ.US,5,20250408,213500,22.6,22.6,22.6,22.6,200,0
OCTJ.US,5,20250409,175500,22.56,22.56,22.56,22.56,100,0
OCTJ.US,5,20250409,195000,23.4099,23.4099,23.4099,23.4099,1000,0
OCTJ.US,5,20250409,205500,23.34,23.34,23.34,23.34,100,0
OCTJ.US,5,20250409,211500,23.3401,23.3401,23.3401,23.3401,119,0
OCTJ.US,5,20250409,214000,23.53,23.53,23.53,23.53,173,0
OCTJ.US,5,20250409,214500,23.505,23.505,23.505,23.505,575,0
OCTJ.US,5,20250410,154000,23.38,23.38,23.32,23.32,599,0
OCTJ.US,5,20250410,155500,23.37,23.37,23.37,23.37,129,0
OCTJ.US,5,20250410,163000,23.2301,23.2301,23.2301,23.2301,223,0
OCTJ.US,5,20250410,185500,23.05,23.05,23.05,23.05,240,0
OCTJ.US,5,20250410,191000,22.87,22.87,22.87,22.87,700,0
OCTJ.US,5,20250410,194000,23.0835,23.1,23.015,23.0999,4774,0
OCTJ.US,5,20250410,200000,23.075,23.075,23.075,23.075,297,0
OCTJ.US,5,20250410,201000,23.05,23.05,23.05,23.05,100,0
OCTJ.US,5,20250410,201500,23.1299,23.1299,23.1299,23.1299,151,0
OCTJ.US,5,20250410,202000,23.085,23.085,23.085,23.085,167,0
OCTJ.US,5,20250410,214000,23,23.15,23,23.13,23237,0
OCTJ.US,5,20250411,172000,23.12,23.12,23.12,23.12,100,0
OCTJ.US,5,20250411,174500,23.15,23.15,23.15,23.15,147,0
OCTJ.US,5,20250411,180500,23.17,23.17,23.17,23.17,100,0
OCTJ.US,5,20250411,184500,23.25,23.25,23.25,23.25,100,0
OCTJ.US,5,20250411,185500,23.27,23.3099,23.27,23.3099,2000,0
OCTJ.US,5,20250411,192500,23.26,23.26,23.26,23.26,100,0
OCTJ.US,5,20250411,193000,23.24,23.24,23.24,23.24,100,0
OCTJ.US,5,20250411,194000,23.32,23.32,23.3,23.32,600,0
OCTJ.US,5,20250411,200000,23.2001,23.32,23.2001,23.32,207,0
OCTJ.US,5,20250411,202000,23.31,23.31,23.31,23.31,100,0
OCTJ.US,5,20250411,204500,23.31,23.31,23.31,23.31,1100,0
OCTJ.US,5,20250411,210000,23.3,23.32,23.3,23.32,600,0
OCTJ.US,5,20250411,211500,23.34,23.34,23.33,23.33,200,0
OCTJ.US,5,20250411,213000,23.35,23.35,23.35,23.35,100,0
OCTJ.US,5,20250411,213500,23.36,23.36,23.36,23.36,500,0
OCTJ.US,5,20250411,215000,23.37,23.37,23.36,23.37,1000,0
OCTJ.US,5,20250414,162500,23.445,23.445,23.445,23.445,274,0
OCTJ.US,5,20250414,165500,23.57,23.57,23.57,23.57,100,0
OCTJ.US,5,20250414,171000,23.51,23.52,23.51,23.52,265,0
OCTJ.US,5,20250414,181000,23.4,23.4,23.4,23.4,200,0
OCTJ.US,5,20250414,182000,23.43,23.43,23.43,23.43,100,0
OCTJ.US,5,20250414,183000,23.44,23.44,23.44,23.44,552,0
OCTJ.US,5,20250414,183500,23.44,23.45,23.44,23.45,200,0
OCTJ.US,5,20250414,184500,23.45,23.45,23.45,23.45,200,0
OCTJ.US,5,20250414,191500,23.47,23.47,23.44,23.47,400,0
OCTJ.US,5,20250414,193000,23.47,23.47,23.47,23.47,100,0
OCTJ.US,5,20250414,194500,23.46,23.47,23.46,23.46,1484,0
OCTJ.US,5,20250414,195000,23.3301,23.3301,23.3301,23.3301,152,0
OCTJ.US,5,20250414,202000,23.52,23.52,23.52,23.52,1000,0
OCTJ.US,5,20250414,203000,23.52,23.55,23.52,23.55,200,0
OCTJ.US,5,20250414,203500,23.56,23.56,23.53,23.53,700,0
OCTJ.US,5,20250414,204000,23.53,23.56,23.53,23.53,500,0
OCTJ.US,5,20250414,204500,23.43,23.57,23.43,23.56,800,0
OCTJ.US,5,20250414,205000,23.53,23.53,23.53,23.53,800,0
OCTJ.US,5,20250414,205500,23.53,23.57,23.53,23.53,825,0
OCTJ.US,5,20250414,211500,23.56,23.57,23.42,23.42,1800,0
OCTJ.US,5,20250414,213500,23.4201,23.4201,23.4201,23.4201,174,0
OCTJ.US,5,20250414,214000,23.4201,23.4201,23.4201,23.4201,161,0
OCTJ.US,5,20250415,162000,23.55,23.55,23.55,23.55,100,0
OCTJ.US,5,20250415,165000,23.5,23.5,23.5,23.5,258,0
OCTJ.US,5,20250415,210500,23.4701,23.4701,23.4701,23.4701,128,0
OCTJ.US,5,20250415,211500,23.4701,23.4701,23.4701,23.4701,273,0
OCTJ.US,5,20250415,213000,23.4701,23.4701,23.4701,23.4701,155,0
OCTJ.US,5,20250416,160500,23.36,23.36,23.36,23.36,400,0
OCTJ.US,5,20250416,161000,23.36,23.36,23.36,23.36,276,0
OCTJ.US,5,20250416,193000,23.46,23.46,23.46,23.46,323,0
OCTJ.US,5,20250416,194000,23.45,23.4899,23.45,23.4899,389,0
OCTJ.US,5,20250416,194500,23.44,23.44,23.44,23.44,100,0
OCTJ.US,5,20250416,195000,23.41,23.41,23.41,23.41,200,0
OCTJ.US,5,20250416,213000,23.32,23.32,23.32,23.32,100,0
OCTJ.US,5,20250416,213500,23.38,23.38,23.37,23.37,569,0
OCTJ.US,5,20250417,210000,23.5,23.5,23.5,23.5,314,0
OCTJ.US,5,20250417,214000,23.49,23.49,23.49,23.49,577,0
OCTJ.US,5,20250421,175500,23.28,23.28,23.28,23.28,100,0
OCTJ.US,5,20250421,182000,23.3,23.3,23.3,23.3,100,0
OCTJ.US,5,20250421,192000,23.255,23.255,23.255,23.255,400,0
OCTJ.US,5,20250421,194000,23.2101,23.27,23.2101,23.27,222,0
OCTJ.US,5,20250421,205500,23.21,23.21,23.21,23.21,100,0
OCTJ.US,5,20250421,215000,23.1901,23.1901,23.1901,23.1901,214,0
OCTJ.US,5,20250421,215500,23.34,23.34,23.34,23.34,2634,0
OCTJ.US,5,20250422,190000,23.49,23.49,23.49,23.49,508,0
OCTJ.US,5,20250422,193500,23.42,23.42,23.42,23.42,100,0
OCTJ.US,5,20250423,175000,23.5601,23.5601,23.5601,23.5601,155,0
OCTJ.US,5,20250423,184500,23.62,23.62,23.62,23.62,306,0
OCTJ.US,5,20250423,214500,23.6,23.6,23.6,23.6,472,0
OCTJ.US,5,20250424,163000,23.655,23.655,23.655,23.655,278,0
OCTJ.US,5,20250424,170000,23.5901,23.5901,23.5901,23.5901,104,0
OCTJ.US,5,20250424,184500,23.64,23.64,23.64,23.64,447,0
OCTJ.US,5,20250424,185500,23.65,23.65,23.65,23.65,386,0
OCTJ.US,5,20250425,184500,23.6506,23.6506,23.6506,23.6506,1025,0
OCTJ.US,5,20250425,192000,23.69,23.69,23.69,23.69,106,0
OCTJ.US,5,20250425,204500,23.715,23.715,23.6765,23.6765,1230,0
OCTJ.US,5,20250425,210000,23.715,23.715,23.68,23.68,420,0
OCTJ.US,5,20250425,210500,23.735,23.735,23.68,23.68,326,0
OCTJ.US,5,20250425,212000,23.68,23.73,23.68,23.73,3400,0
OCTJ.US,5,20250428,192500,23.7125,23.7125,23.7125,23.7125,248,0
OCTJ.US,5,20250428,212000,23.78,23.78,23.78,23.78,1000,0
OCTJ.US,5,20250429,184500,23.8099,23.81,23.745,23.79,71880,0
OCTJ.US,5,20250429,191500,23.79,23.79,23.79,23.79,100,0
OCTJ.US,5,20250429,210000,23.81,23.81,23.81,23.81,100,0
OCTJ.US,5,20250429,214000,23.7201,23.7201,23.7201,23.7201,420,0
OCTJ.US,5,20250430,160500,23.71,23.71,23.71,23.71,100,0
OCTJ.US,5,20250430,205500,23.72,23.72,23.72,23.72,4166,0
OCTJ.US,5,20250501,165500,23.805,23.805,23.805,23.805,752,0
OCTJ.US,5,20250501,170500,23.85,23.86,23.85,23.85,1037,0
OCTJ.US,5,20250501,175500,23.83,23.83,23.83,23.83,200,0
OCTJ.US,5,20250501,183000,23.7501,23.7501,23.7501,23.7501,1048,0
OCTJ.US,5,20250502,155000,23.87,23.87,23.87,23.87,100,0
OCTJ.US,5,20250502,201500,23.85,23.85,23.85,23.85,382,0
OCTJ.US,5,20250502,203000,23.9,23.9,23.9,23.9,400,0
OCTJ.US,5,20250502,203500,23.91,23.91,23.91,23.91,300,0
OCTJ.US,5,20250502,204000,23.91,23.91,23.91,23.91,700,0
OCTJ.US,5,20250502,204500,23.91,23.91,23.91,23.91,400,0
OCTJ.US,5,20250502,205000,23.9,23.9,23.9,23.9,800,0
OCTJ.US,5,20250502,205500,23.91,23.91,23.9,23.9,800,0
OCTJ.US,5,20250502,211500,23.9,23.92,23.9,23.9,3287,0
OCTJ.US,5,20250502,214000,23.91,23.91,23.91,23.91,100,0
OCTJ.US,5,20250505,155000,23.87,23.87,23.87,23.87,100,0
OCTJ.US,5,20250505,163500,23.89,23.89,23.89,23.89,100,0
OCTJ.US,5,20250505,165500,23.7801,23.7801,23.7801,23.7801,219,0
OCTJ.US,5,20250505,172500,23.89,23.89,23.89,23.89,100,0
OCTJ.US,5,20250505,175000,23.89,23.89,23.89,23.89,100,0
OCTJ.US,5,20250505,182500,23.89,23.89,23.89,23.89,100,0
OCTJ.US,5,20250505,190500,23.839,23.9,23.8,23.9,13021,0
OCTJ.US,5,20250505,195500,23.9,23.9,23.9,23.9,100,0
OCTJ.US,5,20250505,201500,23.91,23.91,23.91,23.91,100,0
OCTJ.US,5,20250505,204000,23.91,23.91,23.91,23.91,100,0
OCTJ.US,5,20250505,213500,23.91,23.91,23.91,23.91,100,0
OCTJ.US,5,20250506,201500,23.79,23.88,23.79,23.88,268,0
OCTJ.US,5,20250507,195000,23.845,23.845,23.845,23.845,630,0
OCTJ.US,5,20250507,202000,23.83,23.83,23.83,23.83,164,0
OCTJ.US,5,20250508,192000,23.89,23.89,23.89,23.89,1067,0
OCTJ.US,5,20250508,203000,23.96,23.96,23.96,23.96,100,0
OCTJ.US,5,20250508,203500,23.96,23.96,23.96,23.96,100,0
OCTJ.US,5,20250508,204000,23.96,23.96,23.96,23.96,200,0
OCTJ.US,5,20250508,204500,23.96,23.96,23.96,23.96,200,0
OCTJ.US,5,20250508,205000,23.97,23.97,23.96,23.96,200,0
OCTJ.US,5,20250508,205500,23.97,23.97,23.97,23.97,200,0
OCTJ.US,5,20250509,202500,23.87,23.87,23.86,23.86,1100,0
OCTJ.US,5,20250509,204000,23.87,23.87,23.87,23.87,100,0
OCTJ.US,5,20250512,162000,24.06,24.06,24.06,24.06,100,0
OCTJ.US,5,20250512,180000,24,24,23.965,23.965,806,0
OCTJ.US,5,20250512,183000,24,24,23.9873,23.9873,244,0
OCTJ.US,5,20250512,183500,23.9829,23.9829,23.9829,23.9829,226,0
OCTJ.US,5,20250512,184500,23.9301,23.9301,23.9301,23.9301,155,0
OCTJ.US,5,20250512,185000,24,24,24,24,100,0
OCTJ.US,5,20250512,215500,24,24,24,24,131,0
OCTJ.US,5,20250513,163000,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250513,171500,24.1,24.1,24.1,24.1,152,0
OCTJ.US,5,20250513,173000,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250513,181500,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250513,184000,23.9701,23.9701,23.9701,23.9701,100,0
OCTJ.US,5,20250513,184500,23.99,23.9901,23.99,23.9901,334,0
OCTJ.US,5,20250513,194000,23.9701,23.9701,23.9701,23.9701,220,0
OCTJ.US,5,20250513,195000,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250513,202000,23.9701,23.9701,23.9701,23.9701,168,0
OCTJ.US,5,20250513,204500,23.99,23.99,23.99,23.99,1000,0
OCTJ.US,5,20250513,212500,24.0999,24.0999,24.0999,24.0999,280,0
OCTJ.US,5,20250514,163500,24.07,24.08,24.07,24.08,1100,0
OCTJ.US,5,20250514,164000,24.0899,24.0899,24.0899,24.0899,1100,0
OCTJ.US,5,20250514,164500,24.0899,24.0899,24.0899,24.0899,800,0
OCTJ.US,5,20250514,181500,24.025,24.025,24.025,24.025,236,0
OCTJ.US,5,20250514,214500,24.0055,24.0055,24.0055,24.0055,110,0
OCTJ.US,5,20250515,174500,24.07,24.07,24.07,24.07,188,0
OCTJ.US,5,20250515,180500,24.07,24.07,24.07,24.07,100,0
OCTJ.US,5,20250515,201500,23.9601,23.9601,23.9601,23.9601,256,0
OCTJ.US,5,20250515,210000,23.98,23.98,23.98,23.98,277,0
OCTJ.US,5,20250515,215500,24.08,24.08,24.08,24.08,583,0
OCTJ.US,5,20250516,174000,24.08,24.0999,24.08,24.0999,1916,0
OCTJ.US,5,20250516,182000,23.98,23.98,23.98,23.98,637,0
OCTJ.US,5,20250519,163000,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250519,173000,23.9701,23.9701,23.9701,23.9701,164,0
OCTJ.US,5,20250519,190500,24.08,24.09,24.08,24.09,637,0
OCTJ.US,5,20250519,201000,24.07,24.07,24.07,24.07,100,0
OCTJ.US,5,20250519,213500,23.9801,23.9801,23.9801,23.9801,163,0
OCTJ.US,5,20250520,174500,24,24.07,23.98,24.07,6700,0
OCTJ.US,5,20250520,190000,23.9801,23.9801,23.9801,23.9801,144,0
OCTJ.US,5,20250520,192500,24,24,23.99,23.99,229,0
OCTJ.US,5,20250520,193500,24,24,24,24,100,0
OCTJ.US,5,20250520,200500,23.9814,23.9814,23.9814,23.9814,209,0
OCTJ.US,5,20250521,162500,24.09,24.0999,24.09,24.0999,298,0
OCTJ.US,5,20250521,191000,24,24,24,24,400,0
OCTJ.US,5,20250528,160000,23.9912,23.9912,23.9912,23.9912,360,0
OCTJ.US,5,20250528,174000,24.04,24.1,24.04,24.045,1244,0
OCTJ.US,5,20250530,213500,24.02,24.02,24.02,24.02,1050,0
OCTJ.US,5,20250602,161500,24.01,24.01,24.01,24.01,100,0
OCTJ.US,5,20250602,181500,24.074,24.074,24.074,24.074,128,0
OCTJ.US,5,20250602,202000,24.03,24.03,24.02,24.03,1600,0
OCTJ.US,5,20250602,211000,24.0111,24.0111,24.0111,24.0111,147,0
OCTJ.US,5,20250602,213000,24.03,24.03,24.03,24.03,100,0
OCTJ.US,5,20250603,172000,24.04,24.04,24.04,24.04,100,0
OCTJ.US,5,20250603,211500,24.06,24.06,24.06,24.06,1426,0
OCTJ.US,5,20250604,214000,24.06,24.16,24.05,24.16,4600,0
OCTJ.US,5,20250605,161500,24.05,24.05,24.05,24.05,100,0
OCTJ.US,5,20250605,182000,24.1699,24.1699,24.1699,24.1699,552,0
OCTJ.US,5,20250605,211000,24.07,24.07,24.07,24.07,517,0
OCTJ.US,5,20250606,171500,24.115,24.115,24.115,24.115,112,0
OCTJ.US,5,20250606,193000,24.07,24.07,24.07,24.07,100,0
OCTJ.US,5,20250606,194000,24.07,24.07,24.07,24.07,600,0
OCTJ.US,5,20250606,194500,24.115,24.115,24.115,24.115,120,0
OCTJ.US,5,20250606,205000,24.05,24.07,24.05,24.07,999,0
OCTJ.US,5,20250609,183500,24.12,24.12,24.05,24.05,478,0
OCTJ.US,5,20250609,215500,24.07,24.07,24.07,24.07,430,0
OCTJ.US,5,20250610,191000,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250610,193000,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250610,200500,24.08,24.08,24.08,24.08,528,0
OCTJ.US,5,20250610,201000,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250610,212000,24.1899,24.1899,24.1899,24.1899,210,0
OCTJ.US,5,20250610,213000,24.0701,24.0701,24.0701,24.0701,103,0
OCTJ.US,5,20250610,214000,24.112,24.112,24.112,24.112,340,0
OCTJ.US,5,20250611,161500,24.09,24.09,24.09,24.09,100,0
OCTJ.US,5,20250611,214000,24.17,24.17,24.06,24.06,600,0
OCTJ.US,5,20250612,161500,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250612,184000,24.1121,24.1121,24.1121,24.1121,366,0
OCTJ.US,5,20250612,194500,24.1,24.1,24.1,24.1,278,0
OCTJ.US,5,20250613,174000,24.07,24.07,24.07,24.07,100,0
OCTJ.US,5,20250613,184000,24.125,24.125,24.125,24.125,105,0
OCTJ.US,5,20250616,153500,24.13,24.13,24.13,24.13,630,0
OCTJ.US,5,20250616,183000,24.18,24.18,24.18,24.18,100,0
OCTJ.US,5,20250616,215500,24.18,24.18,24.18,24.18,400,0
OCTJ.US,5,20250617,153000,24.08,24.08,24.08,24.08,128,0
OCTJ.US,5,20250617,184000,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250618,171000,24.16,24.16,24.16,24.16,400,0
OCTJ.US,5,20250618,173500,24.08,24.08,24.08,24.08,100,0
OCTJ.US,5,20250618,200000,24.05,24.05,24.05,24.05,155,0
OCTJ.US,5,20250620,190000,24.1999,24.1999,24.1999,24.1999,542,0
OCTJ.US,5,20250623,170500,24.0801,24.0801,24.0801,24.0801,194,0
OCTJ.US,5,20250623,200000,24.095,24.0951,24.0815,24.0815,600,0
OCTJ.US,5,20250623,213000,24.2,24.2,24.2,24.2,750,0
OCTJ.US,5,20250624,184500,24.13,24.13,24.13,24.13,264,0
OCTJ.US,5,20250624,215000,24.1114,24.1114,24.1114,24.1114,1309,0
OCTJ.US,5,20250625,205000,24.14,24.14,24.14,24.14,100,0
OCTJ.US,5,20250627,173500,24.16,24.16,24.16,24.16,439,0
OCTJ.US,5,20250630,191000,23.89,23.89,23.89,23.89,1023,0
OCTJ.US,5,20250630,195500,23.84,23.85,23.84,23.84,400,0
OCTJ.US,5,20250630,201000,23.85,23.85,23.85,23.85,600,0
OCTJ.US,5,20250630,202500,23.85,23.85,23.85,23.85,100,0
OCTJ.US,5,20250701,160000,23.9799,23.9799,23.9799,23.9799,112,0
OCTJ.US,5,20250701,161500,23.841,23.841,23.841,23.841,102,0
OCTJ.US,5,20250701,180000,23.86,23.95,23.82,23.95,10448,0
OCTJ.US,5,20250701,180500,23.905,23.905,23.905,23.905,191,0
OCTJ.US,5,20250701,181000,23.96,23.96,23.84,23.84,386,0
