<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGX.US,5,20250224,153000,11.57,11.58,11.56,11.565,25299,0
PGX.US,5,20250224,153500,11.565,11.5699,11.5649,11.5699,5950,0
PGX.US,5,20250224,154000,11.5699,11.575,11.5631,11.5631,36759,0
PGX.US,5,20250224,154500,11.565,11.5699,11.562741,11.565,11712,0
PGX.US,5,20250224,155000,11.56,11.57,11.56,11.57,48390,0
PGX.US,5,20250224,155500,11.57,11.57,11.56,11.56,15710,0
PGX.US,5,20250224,160000,11.56,11.57,11.55,11.55,22504,0
PGX.US,5,20250224,160500,11.5556,11.5789,11.55,11.57,104393,0
PGX.US,5,20250224,161000,11.58,11.58,11.56,11.58,69304,0
PGX.US,5,20250224,161500,11.5701,11.58,11.5701,11.575,3588,0
PGX.US,5,20250224,162000,11.571,11.5751,11.57,11.571,7741,0
PGX.US,5,20250224,162500,11.571,11.5751,11.561,11.561,8507,0
PGX.US,5,20250224,163000,11.561,11.58,11.561,11.5797,147373,0
PGX.US,5,20250224,163500,11.58,11.59,11.5749,11.5899,27923,0
PGX.US,5,20250224,164000,11.5835,11.6099,11.5835,11.605,91856,0
PGX.US,5,20250224,164500,11.61,11.61,11.585,11.59,351072,0
PGX.US,5,20250224,165000,11.5899,11.6,11.58,11.595,118080,0
PGX.US,5,20250224,165500,11.595,11.6,11.595,11.595,14262,0
PGX.US,5,20250224,170000,11.595,11.595,11.591,11.595,3300,0
PGX.US,5,20250224,170500,11.595,11.5986,11.591,11.595,11340,0
PGX.US,5,20250224,171000,11.5988,11.5999,11.5946,11.595,8363,0
PGX.US,5,20250224,171500,11.595,11.6,11.595,11.595,4476,0
PGX.US,5,20250224,172000,11.59,11.6,11.59,11.595,12173,0
PGX.US,5,20250224,172500,11.595,11.6,11.59,11.595,25370,0
PGX.US,5,20250224,173000,11.595,11.61,11.59,11.595,250878,0
PGX.US,5,20250224,173500,11.595,11.6,11.595,11.595,29824,0
PGX.US,5,20250224,174000,11.595,11.6,11.5901,11.595,14456,0
PGX.US,5,20250224,174500,11.595,11.5974,11.5933,11.595,10745,0
PGX.US,5,20250224,175000,11.595,11.5957,11.59,11.595,12237,0
PGX.US,5,20250224,175500,11.591,11.6,11.59,11.591,9073,0
PGX.US,5,20250224,180000,11.595,11.5997,11.59,11.59,8173,0
PGX.US,5,20250224,180500,11.59,11.5903,11.58,11.584,61642,0
PGX.US,5,20250224,181000,11.58,11.5867,11.57,11.575,66822,0
PGX.US,5,20250224,181500,11.57,11.58,11.57,11.575,24251,0
PGX.US,5,20250224,182000,11.575,11.58,11.57,11.575,83428,0
PGX.US,5,20250224,182500,11.575,11.58,11.5701,11.575,43045,0
PGX.US,5,20250224,183000,11.575,11.58,11.57,11.57,144235,0
PGX.US,5,20250224,183500,11.57,11.58,11.57,11.57,45159,0
PGX.US,5,20250224,184000,11.57,11.575,11.56,11.57,104535,0
PGX.US,5,20250224,184500,11.56,11.58,11.56,11.57,219048,0
PGX.US,5,20250224,185000,11.57,11.58,11.57,11.575,12134,0
PGX.US,5,20250224,185500,11.575,11.575,11.5718,11.575,10502,0
PGX.US,5,20250224,190000,11.5751,11.58,11.57,11.571,19712,0
PGX.US,5,20250224,190500,11.57,11.58,11.57,11.5792,17102,0
PGX.US,5,20250224,191000,11.5769,11.58,11.57,11.575,220636,0
PGX.US,5,20250224,191500,11.575,11.58,11.57,11.575,24038,0
PGX.US,5,20250224,192000,11.575,11.59,11.575,11.585,74907,0
PGX.US,5,20250224,192500,11.5801,11.59,11.58,11.5814,76421,0
PGX.US,5,20250224,193000,11.58,11.59,11.58,11.58,16199,0
PGX.US,5,20250224,193500,11.5851,11.59,11.58,11.585,34412,0
PGX.US,5,20250224,194000,11.581,11.585,11.57,11.575,161256,0
PGX.US,5,20250224,194500,11.575,11.58,11.571,11.575,30944,0
PGX.US,5,20250224,195000,11.5701,11.58,11.57,11.575,10017,0
PGX.US,5,20250224,195500,11.575,11.58,11.57,11.571,45097,0
PGX.US,5,20250224,200000,11.575,11.575,11.57,11.575,19559,0
PGX.US,5,20250224,200500,11.57,11.58,11.57,11.57,71798,0
PGX.US,5,20250224,201000,11.575,11.575,11.56,11.5699,245441,0
PGX.US,5,20250224,201500,11.565,11.57,11.56,11.565,23196,0
PGX.US,5,20250224,202000,11.565,11.57,11.56,11.5601,177347,0
PGX.US,5,20250224,202500,11.565,11.57,11.5601,11.5633,17795,0
PGX.US,5,20250224,203000,11.565,11.57,11.561,11.565,39327,0
PGX.US,5,20250224,203500,11.565,11.57,11.56,11.565,36289,0
PGX.US,5,20250224,204000,11.561,11.57,11.561,11.565,25021,0
PGX.US,5,20250224,204500,11.565,11.57,11.56,11.565,73735,0
PGX.US,5,20250224,205000,11.565,11.58,11.56,11.575,302879,0
PGX.US,5,20250224,205500,11.5714,11.58,11.56,11.56,413156,0
PGX.US,5,20250224,210000,11.565,11.57,11.56,11.565,73747,0
PGX.US,5,20250224,210500,11.5685,11.57,11.56,11.565,94529,0
PGX.US,5,20250224,211000,11.565,11.58,11.565,11.57,339125,0
PGX.US,5,20250224,211500,11.57,11.58,11.57,11.57,63430,0
PGX.US,5,20250224,212000,11.575,11.59,11.57,11.5841,493249,0
PGX.US,5,20250224,212500,11.585,11.59,11.57,11.575,476154,0
PGX.US,5,20250224,213000,11.575,11.58,11.57,11.575,63000,0
PGX.US,5,20250224,213500,11.575,11.575,11.57,11.575,21515,0
PGX.US,5,20250224,214000,11.575,11.58,11.57,11.575,22447,0
PGX.US,5,20250224,214500,11.575,11.58,11.5733,11.575,77401,0
PGX.US,5,20250224,215000,11.5733,11.585,11.57,11.585,218177,0
PGX.US,5,20250224,215500,11.585,11.59,11.58,11.59,207649,0
PGX.US,5,20250225,153000,11.63,11.67,11.63,11.665,61442,0
PGX.US,5,20250225,153500,11.66,11.66,11.6439,11.6461,95226,0
PGX.US,5,20250225,154000,11.6401,11.6593,11.6401,11.6551,13823,0
PGX.US,5,20250225,154500,11.6597,11.67,11.6597,11.6651,24401,0
PGX.US,5,20250225,155000,11.665,11.6667,11.659,11.659,5529,0
PGX.US,5,20250225,155500,11.6551,11.67,11.655,11.6601,84278,0
PGX.US,5,20250225,160000,11.6699,11.67,11.65,11.655,186573,0
PGX.US,5,20250225,160500,11.655,11.66,11.6501,11.66,71831,0
PGX.US,5,20250225,161000,11.6573,11.6573,11.65,11.6501,9686,0
PGX.US,5,20250225,161500,11.65,11.65,11.63,11.635,31862,0
PGX.US,5,20250225,162000,11.6399,11.64,11.635,11.64,80852,0
PGX.US,5,20250225,162500,11.64,11.647,11.63,11.64,106917,0
PGX.US,5,20250225,163000,11.64,11.64,11.635,11.635,11849,0
PGX.US,5,20250225,163500,11.635,11.65,11.635,11.643,113202,0
PGX.US,5,20250225,164000,11.645,11.65,11.64,11.645,38834,0
PGX.US,5,20250225,164500,11.643,11.645,11.64,11.645,6076,0
PGX.US,5,20250225,165000,11.645,11.6599,11.645,11.655,48095,0
PGX.US,5,20250225,165500,11.65,11.66,11.65,11.65,79496,0
PGX.US,5,20250225,170000,11.65,11.6551,11.64,11.645,158011,0
PGX.US,5,20250225,170500,11.645,11.66,11.64,11.6501,103153,0
PGX.US,5,20250225,171000,11.655,11.66,11.65,11.6599,23013,0
PGX.US,5,20250225,171500,11.6537,11.66,11.65,11.65,37905,0
PGX.US,5,20250225,172000,11.65,11.6551,11.65,11.65,8543,0
PGX.US,5,20250225,172500,11.6501,11.655,11.65,11.65,9970,0
PGX.US,5,20250225,173000,11.65,11.6551,11.64,11.645,90389,0
PGX.US,5,20250225,173500,11.645,11.646027,11.6401,11.645,9827,0
PGX.US,5,20250225,174000,11.645,11.65,11.643,11.645,108226,0
PGX.US,5,20250225,174500,11.645,11.65,11.64,11.64,16848,0
