<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVER.US,5,20250224,172000,30.96,30.96,30.9502,30.9502,200,0
RVER.US,5,20250224,173500,31.06,31.06,31.06,31.06,100,0
RVER.US,5,20250224,183000,31.13,31.13,31.1299,31.1299,200,0
RVER.US,5,20250224,183500,31.17,31.17,31.1699,31.1699,200,0
RVER.US,5,20250224,184000,31.2168,31.2168,31.2168,31.2168,100,0
RVER.US,5,20250224,184500,31.23,31.23,31.23,31.23,100,0
RVER.US,5,20250224,215500,30.92,30.92,30.92,30.92,552,0
RVER.US,5,20250225,165500,30.47,30.47,30.47,30.47,100,0
RVER.US,5,20250225,211000,30.58,30.58,30.58,30.58,100,0
RVER.US,5,20250225,212500,30.6868,30.6868,30.6868,30.6868,100,0
RVER.US,5,20250225,214500,30.575,30.575,30.57,30.57,200,0
RVER.US,5,20250225,215500,30.57,30.57,30.57,30.57,323,0
RVER.US,5,20250226,154500,30.7199,30.7199,30.7199,30.7199,100,0
RVER.US,5,20250226,160500,30.8672,30.8672,30.8672,30.8672,100,0
RVER.US,5,20250226,175500,30.72,30.72,30.72,30.72,200,0
RVER.US,5,20250226,180500,30.73,30.73,30.73,30.73,100,0
RVER.US,5,20250226,193000,30.49,30.49,30.49,30.49,100,0
RVER.US,5,20250226,215000,30.55,30.55,30.5499,30.5499,200,0
RVER.US,5,20250226,215500,30.53,30.53,30.53,30.53,550,0
RVER.US,5,20250227,174000,30.585,30.585,30.585,30.585,100,0
RVER.US,5,20250227,215500,29.86,29.89,29.8372,29.88,10780,0
RVER.US,5,20250228,154000,29.76,29.76,29.76,29.76,100,0
RVER.US,5,20250228,162500,30.09,30.09,30.0899,30.0899,200,0
RVER.US,5,20250228,171000,30.09,30.09,30.09,30.09,100,0
RVER.US,5,20250228,172500,29.85,29.85,29.85,29.85,100,0
RVER.US,5,20250228,174000,30.02,30.04,30.0199,30.04,2400,0
RVER.US,5,20250228,180500,29.96,29.96,29.96,29.96,100,0
RVER.US,5,20250228,203500,29.82,29.82,29.82,29.82,200,0
RVER.US,5,20250228,204500,29.84,29.84,29.84,29.84,200,0
RVER.US,5,20250228,205000,29.88,29.88,29.8637,29.8637,400,0
RVER.US,5,20250228,205500,29.89,29.91,29.89,29.91,304,0
RVER.US,5,20250228,213500,29.92,29.92,29.92,29.92,100,0
RVER.US,5,20250228,215000,30.02,30.06,29.9972,30.0372,2147,0
RVER.US,5,20250228,215500,30.16,30.19,30.1405,30.17,1200,0
RVER.US,5,20250303,154000,30.06,30.06,30.06,30.06,100,0
RVER.US,5,20250303,160500,29.86,29.86,29.8599,29.8599,200,0
RVER.US,5,20250303,161000,29.85,29.88,29.85,29.88,200,0
RVER.US,5,20250303,173000,29.96,29.96,29.96,29.96,100,0
RVER.US,5,20250303,191000,29.6,29.61,29.5999,29.61,20253,0
RVER.US,5,20250303,192000,29.62,29.62,29.62,29.62,187,0
RVER.US,5,20250303,192500,29.57,29.57,29.57,29.57,100,0
RVER.US,5,20250303,193000,29.56,29.56,29.56,29.56,100,0
RVER.US,5,20250303,204000,29.69,29.69,29.69,29.69,100,0
RVER.US,5,20250303,212500,29.04,29.04,29.04,29.04,100,0
RVER.US,5,20250303,215500,29.13,29.14,29.13,29.14,1500,0
RVER.US,5,20250304,153500,28.69,28.69,28.69,28.69,100,0
RVER.US,5,20250304,162000,28.3,28.3,28.3,28.3,100,0
RVER.US,5,20250304,175000,28.8,28.82,28.78,28.8099,18950,0
RVER.US,5,20250304,180000,28.8267,28.8267,28.8267,28.8267,182,0
RVER.US,5,20250304,181500,28.9244,28.9244,28.9244,28.9244,100,0
RVER.US,5,20250304,183500,29.0476,29.0476,29.0476,29.0476,100,0
RVER.US,5,20250304,184000,29.06,29.06,29.06,29.06,100,0
RVER.US,5,20250304,191000,29.19,29.19,29.1899,29.1899,200,0
RVER.US,5,20250304,191500,29.225,29.26,29.225,29.26,211,0
RVER.US,5,20250304,192500,29.16,29.16,29.16,29.16,100,0
RVER.US,5,20250304,195000,29.2676,29.2676,29.2676,29.2676,100,0
RVER.US,5,20250304,200000,29.365,29.365,29.365,29.365,100,0
RVER.US,5,20250304,200500,29.4204,29.4204,29.4204,29.4204,100,0
RVER.US,5,20250304,201000,29.4,29.4,29.4,29.4,100,0
RVER.US,5,20250304,202500,29.4908,29.4908,29.45,29.45,200,0
RVER.US,5,20250304,204500,29.49,29.49,29.49,29.49,100,0
RVER.US,5,20250304,210000,29.54,29.54,29.54,29.54,200,0
RVER.US,5,20250304,212500,29.69,29.69,29.6899,29.6899,200,0
RVER.US,5,20250304,213500,29.4395,29.4395,29.4395,29.4395,500,0
RVER.US,5,20250304,215000,29.15,29.15,29.13,29.13,7285,0
RVER.US,5,20250304,215500,29.18,29.18,29.1799,29.18,1946,0
RVER.US,5,20250305,160000,29.31,29.31,29.31,29.31,526,0
RVER.US,5,20250305,175500,29.3308,29.3308,29.3308,29.3308,100,0
RVER.US,5,20250305,180000,29.38,29.38,29.3799,29.3799,200,0
RVER.US,5,20250305,183500,29.42,29.42,29.42,29.42,100,0
RVER.US,5,20250305,190500,29.56,29.56,29.5417,29.5417,200,0
RVER.US,5,20250305,193500,29.43,29.43,29.43,29.43,100,0
RVER.US,5,20250305,205000,29.7,29.7,29.6999,29.6999,200,0
RVER.US,5,20250305,215500,29.75,29.75,29.75,29.75,664,0
RVER.US,5,20250306,162000,29.57,29.57,29.5699,29.5699,400,0
