<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBIT.US,5,20250224,153000,53.3325,53.3575,52.8826,53.1326,16054.473791079356,0
SBIT.US,5,20250224,153500,53.2076,53.3325,53.1576,53.3325,5100.875604732439,0
SBIT.US,5,20250224,154000,53.3325,53.6824,53.2681,53.6784,14804.663236374166,0
SBIT.US,5,20250224,154500,53.6324,53.7574,53.4324,53.7324,12940.250788911757,0
SBIT.US,5,20250224,155000,53.7324,54.1322,53.7324,54.0572,6301.670057964479,0
SBIT.US,5,20250224,155500,54.0822,54.3821,54.0722,54.2321,9308.657834052045,0
SBIT.US,5,20250224,160000,54.2821,54.682,54.1822,54.5825,13584.062276832567,0
SBIT.US,5,20250224,160500,54.557,54.882,54.2571,54.4821,16236.933727991654,0
SBIT.US,5,20250224,161000,54.4821,54.4821,53.8573,53.9572,16217.127221682098,0
SBIT.US,5,20250224,161500,53.9822,54.582,53.9073,54.4821,16494.218244295622,0
SBIT.US,5,20250224,162000,54.4321,54.4821,54.1337,54.1337,10271.774211569378,0
SBIT.US,5,20250224,162500,54.2571,54.682,54.2321,54.682,4103.547989044047,0
SBIT.US,5,20250224,163000,54.632,54.707,54.4821,54.707,5472.3976473268895,0
SBIT.US,5,20250224,163500,54.6895,54.882,54.682,54.782,12986.666036021024,0
SBIT.US,5,20250224,164000,54.882,54.932,54.657,54.882,9276.647318804273,0
SBIT.US,5,20250224,164500,54.907,55.2068,54.8885,55.0819,14612.200013446938,0
SBIT.US,5,20250224,165000,55.0319,55.1318,54.782,55.0324,8734.26915107484,0
SBIT.US,5,20250224,165500,54.9749,55.1243,54.732,54.732,5554.424592649306,0
SBIT.US,5,20250224,170000,54.7315,54.782,54.657,54.682,9720.393086426508,0
SBIT.US,5,20250224,170500,54.632,54.632,54.2101,54.2321,9190.21892763529,0
SBIT.US,5,20250224,171000,54.2321,54.2326,53.8823,54.1072,22071.850460499565,0
SBIT.US,5,20250224,171500,54.1572,54.4821,54.0822,54.4821,14192.46213226053,0
SBIT.US,5,20250224,172000,54.4326,54.582,54.2321,54.2321,8510.195544340435,0
SBIT.US,5,20250224,172500,54.2321,54.2321,53.9322,54.0322,14378.323186417905,0
SBIT.US,5,20250224,173000,54.0822,54.2571,54.0322,54.1322,19636.25038158472,0
SBIT.US,5,20250224,173500,54.1322,54.4321,54.1322,54.3821,9482.314879271205,0
SBIT.US,5,20250224,174000,54.3771,54.4821,54.0822,54.0822,12237.820044943466,0
SBIT.US,5,20250224,174500,54.1072,54.3326,53.9822,54.3326,2475.813288694851,0
SBIT.US,5,20250224,175000,54.3821,54.532,54.3731,54.3731,8320.733307217686,0
SBIT.US,5,20250224,175500,54.3921,54.632,54.3921,54.582,3460.1366325638346,0
SBIT.US,5,20250224,180000,54.582,54.6605,54.4571,54.4571,17192.64767385794,0
SBIT.US,5,20250224,180500,54.4821,54.632,54.3821,54.4821,8449.975762530565,0
SBIT.US,5,20250224,181000,54.4821,54.4826,54.2426,54.3821,9163.21005539498,0
SBIT.US,5,20250224,181500,54.3321,54.3321,53.8324,53.8823,13460.421661688048,0
SBIT.US,5,20250224,182000,53.9073,53.9692,53.5824,53.8818,17849.66349931846,0
SBIT.US,5,20250224,182500,53.8823,53.9597,53.7324,53.8823,20641.58062608506,0
SBIT.US,5,20250224,183000,53.8823,53.9572,53.6824,53.9073,13097.902576507033,0
SBIT.US,5,20250224,183500,53.9317,53.9317,53.7324,53.7574,10597.281138495158,0
SBIT.US,5,20250224,184000,53.6874,53.7824,53.6324,53.6824,13919.172358332677,0
SBIT.US,5,20250224,184500,53.6324,53.9322,53.6324,53.8324,11334.123186354807,0
SBIT.US,5,20250224,185000,53.8773,54.1457,53.8404,54.1387,11671.4339907782,0
SBIT.US,5,20250224,185500,54.1312,54.3321,54.1312,54.2071,6698.000249875953,0
SBIT.US,5,20250224,190000,54.2321,54.2826,54.1322,54.2571,6103.004797707995,0
SBIT.US,5,20250224,190500,54.2821,54.3821,54.1322,54.1822,20148.81875698967,0
SBIT.US,5,20250224,191000,54.1822,54.2571,54.1322,54.2071,6536.947345035602,0
SBIT.US,5,20250224,191500,54.2321,54.2321,53.9337,54.0817,4982.236632595384,0
SBIT.US,5,20250224,192000,54.0322,54.2821,53.9822,54.2571,10130.327747318286,0
SBIT.US,5,20250224,192500,54.2821,54.4321,54.2571,54.3821,5056.661080546453,0
SBIT.US,5,20250224,193000,54.4321,54.6315,54.3406,54.4816,15467.48096772334,0
SBIT.US,5,20250224,193500,54.4821,54.537,54.3931,54.4816,16330.564485091389,0
SBIT.US,5,20250224,194000,54.525,54.632,54.4071,54.632,9560.540575907948,0
SBIT.US,5,20250224,194500,54.633,54.707,54.532,54.592,8461.779640028179,0
SBIT.US,5,20250224,195000,54.532,54.632,54.4666,54.632,10122.325118506344,0
SBIT.US,5,20250224,195500,54.6325,54.886,54.607,54.836,14134.042941933349,0
SBIT.US,5,20250224,200000,54.857,54.882,54.4821,54.532,16381.981375208123,0
SBIT.US,5,20250224,200500,54.582,54.832,54.582,54.7655,6937.478917073347,0
SBIT.US,5,20250224,201000,54.782,54.874,54.532,54.582,16336.566456700346,0
SBIT.US,5,20250224,201500,54.682,54.722,54.532,54.632,9219.42852279888,0
SBIT.US,5,20250224,202000,54.682,54.732,54.3821,54.4321,20070.793126073226,0
SBIT.US,5,20250224,202500,54.4071,54.582,54.3481,54.582,10302.38426677506,0
SBIT.US,5,20250224,203000,54.5405,54.682,54.4321,54.657,23856.236619842544,0
SBIT.US,5,20250224,203500,54.707,54.907,54.707,54.907,8395.157755168755,0
SBIT.US,5,20250224,204000,54.882,55.2818,54.882,55.2818,19287.33576538401,0
SBIT.US,5,20250224,204500,55.3068,55.3568,55.0319,55.0319,19984.964932065137,0
SBIT.US,5,20250224,205000,55.1318,55.2068,54.932,55.1318,8375.151183138896,0
SBIT.US,5,20250224,205500,55.0569,55.2068,54.9819,55.1069,14649.212171702173,0
SBIT.US,5,20250224,210000,55.0819,55.2318,54.907,54.907,10629.691785183528,0
SBIT.US,5,20250224,210500,54.832,54.9819,54.782,54.782,5016.848002207038,0
SBIT.US,5,20250224,211000,54.7825,54.832,54.682,54.732,10853.165194757035,0
SBIT.US,5,20250224,211500,54.7325,54.7905,54.4821,54.782,15526.900486652017,0
SBIT.US,5,20250224,212000,54.682,54.782,54.5071,54.6825,5513.010988547501,0
SBIT.US,5,20250224,212500,54.682,54.882,54.682,54.8315,5540.019860787809,0
SBIT.US,5,20250224,213000,54.7855,54.7855,54.3571,54.3821,12893.835541802486,0
SBIT.US,5,20250224,213500,54.4321,54.4821,54.3571,54.4231,7140.345557456099,0
SBIT.US,5,20250224,214000,54.4321,54.682,54.4321,54.632,10749.531151642372,0
SBIT.US,5,20250224,214500,54.607,54.607,54.2821,54.3321,7071.522949673392,0
SBIT.US,5,20250224,215000,54.3321,54.832,54.3321,54.7885,8493.790155275952,0
SBIT.US,5,20250224,215500,54.782,54.9819,54.757,54.932,14546.378391468706,0
SBIT.US,5,20250225,153000,60.63,61.3298,60.63,60.9295,47428.57998258141,0
SBIT.US,5,20250225,153500,60.98,61.6798,60.78,61.4443,16444.401879941273,0
SBIT.US,5,20250225,154000,61.4798,62.1046,61.4798,62.0791,33340.552156316735,0
