<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIHY.US,5,20250224,155500,45.885,45.91,45.885,45.91,200,0
SIHY.US,5,20250224,160000,45.9099,45.975,45.9082,45.9082,1000,0
SIHY.US,5,20250224,162500,45.89,45.89,45.89,45.89,100,0
SIHY.US,5,20250224,164500,45.89,45.89,45.89,45.89,200,0
SIHY.US,5,20250224,165000,45.87,45.87,45.87,45.87,100,0
SIHY.US,5,20250224,165500,45.94,45.94,45.94,45.94,501,0
SIHY.US,5,20250224,171500,45.931,45.931,45.931,45.931,294,0
SIHY.US,5,20250224,172000,45.93,45.93,45.93,45.93,100,0
SIHY.US,5,20250224,181500,45.935,45.935,45.89,45.89,450,0
SIHY.US,5,20250224,182000,45.93,45.93,45.93,45.93,3000,0
SIHY.US,5,20250224,185500,45.9014,45.9014,45.9,45.9,200,0
SIHY.US,5,20250224,190000,45.9,45.9,45.9,45.9,100,0
SIHY.US,5,20250224,191000,45.95,45.95,45.95,45.95,100,0
SIHY.US,5,20250224,194500,45.935,45.935,45.935,45.935,126,0
SIHY.US,5,20250224,195500,45.95,45.95,45.95,45.95,100,0
SIHY.US,5,20250224,200000,45.92,45.92,45.92,45.92,100,0
SIHY.US,5,20250224,204000,45.9328,45.9328,45.9328,45.9328,142,0
SIHY.US,5,20250224,205500,45.9899,45.9899,45.9607,45.9607,900,0
SIHY.US,5,20250225,172500,45.96,45.96,45.96,45.96,100,0
SIHY.US,5,20250225,174000,46.0193,46.0193,46.0193,46.0193,400,0
SIHY.US,5,20250225,175000,46,46,46,46,108,0
SIHY.US,5,20250225,194500,45.98,46.01,45.98,46.01,400,0
SIHY.US,5,20250225,195500,45.97,45.97,45.97,45.97,100,0
SIHY.US,5,20250225,201500,45.95,45.95,45.94,45.94,300,0
SIHY.US,5,20250225,202000,45.94,45.94,45.94,45.94,400,0
SIHY.US,5,20250225,202500,45.94,45.94,45.92,45.92,500,0
SIHY.US,5,20250225,203000,45.93,45.93,45.93,45.93,100,0
SIHY.US,5,20250225,203500,45.93,45.93,45.93,45.93,400,0
SIHY.US,5,20250225,204000,45.975,45.975,45.93,45.93,1154,0
SIHY.US,5,20250225,204500,45.92,45.92,45.92,45.92,100,0
SIHY.US,5,20250225,205000,45.92,45.98,45.81,45.9,700,0
SIHY.US,5,20250225,205500,45.92,45.92,45.92,45.92,100,0
SIHY.US,5,20250225,210000,45.92,45.92,45.9,45.92,300,0
SIHY.US,5,20250225,210500,45.91,45.91,45.91,45.91,400,0
SIHY.US,5,20250225,211000,45.91,45.94,45.845,45.94,2808,0
SIHY.US,5,20250225,212000,45.9001,45.94,45.9001,45.92,1002,0
SIHY.US,5,20250225,212500,45.92,45.92,45.885,45.885,300,0
SIHY.US,5,20250225,213000,45.91,45.91,45.87,45.9,900,0
SIHY.US,5,20250225,213500,45.89,45.89,45.795,45.845,2550,0
SIHY.US,5,20250225,214000,45.86,45.9,45.85,45.86,1400,0
SIHY.US,5,20250225,214500,45.82,45.87,45.82,45.87,1482,0
SIHY.US,5,20250225,215000,45.88,45.91,45.88,45.91,1300,0
SIHY.US,5,20250225,215500,45.91,45.91,45.8,45.81,5078,0
SIHY.US,5,20250226,153000,46.02,46.02,46.02,46.02,1002,0
SIHY.US,5,20250226,154500,45.95,45.95,45.95,45.95,100,0
SIHY.US,5,20250226,160500,45.98,45.98,45.98,45.98,100,0
SIHY.US,5,20250226,164000,45.99,45.99,45.99,45.99,100,0
SIHY.US,5,20250226,171500,46.08,46.08,46.08,46.08,340,0
SIHY.US,5,20250226,172000,46.0088,46.0088,46.0088,46.0088,104,0
SIHY.US,5,20250226,174000,46.0344,46.0344,46.0344,46.0344,1560,0
SIHY.US,5,20250226,174500,46.02,46.02,46.02,46.02,450,0
SIHY.US,5,20250226,175000,46.0068,46.0344,46.0068,46.0344,800,0
SIHY.US,5,20250226,185500,46.024,46.024,46.024,46.024,200,0
SIHY.US,5,20250226,191500,46.05,46.06,45.96,45.96,1200,0
SIHY.US,5,20250226,194500,46.069,46.07,46.069,46.0699,1200,0
SIHY.US,5,20250226,195000,46.0319,46.0319,46.0319,46.0319,600,0
SIHY.US,5,20250226,200000,46,46,46,46,100,0
SIHY.US,5,20250226,202500,46.0293,46.0293,46.0293,46.0293,308,0
SIHY.US,5,20250226,203000,46.0382,46.0382,46.0382,46.0382,500,0
SIHY.US,5,20250226,204500,46.04,46.04,46.04,46.04,100,0
SIHY.US,5,20250226,210500,46.05,46.05,46.05,46.05,100,0
SIHY.US,5,20250226,211000,46.06,46.06,46.06,46.06,300,0
SIHY.US,5,20250226,215500,46.06,46.06,46.06,46.06,100,0
SIHY.US,5,20250227,153000,46.105,46.105,46.07,46.07,200,0
SIHY.US,5,20250227,153500,46.05,46.05,46.05,46.05,100,0
SIHY.US,5,20250227,155500,45.985,46.01,45.985,46.01,208,0
SIHY.US,5,20250227,164000,46.04,46.05,46.04,46.05,200,0
SIHY.US,5,20250227,164500,46.0401,46.0401,46.0401,46.0401,116,0
SIHY.US,5,20250227,171000,46.06,46.06,46.06,46.06,100,0
SIHY.US,5,20250227,182500,46.05,46.05,46.05,46.05,100,0
SIHY.US,5,20250227,192000,46.08,46.08,46.08,46.08,100,0
SIHY.US,5,20250227,200000,45.9755,45.9755,45.9755,45.9755,430,0
SIHY.US,5,20250227,203500,46.04,46.04,46.04,46.04,100,0
SIHY.US,5,20250227,204000,46.02,46.02,46.02,46.02,100,0
SIHY.US,5,20250227,204500,46.02,46.02,46.02,46.02,74155,0
SIHY.US,5,20250227,205500,46.0079,46.0079,46.0079,46.0079,220,0
SIHY.US,5,20250227,210000,46.005,46.005,46.005,46.005,200,0
SIHY.US,5,20250227,212500,45.97,45.99,45.97,45.99,432,0
SIHY.US,5,20250227,213500,46.03,46.03,46.03,46.03,100,0
SIHY.US,5,20250227,215000,45.99,45.99,45.99,45.99,100,0
SIHY.US,5,20250227,215500,45.98,45.98,45.86,45.86,2780,0
SIHY.US,5,20250228,163000,46.02,46.03,46.02,46.0299,700,0
SIHY.US,5,20250228,165500,46.01,46.01,46.01,46.01,100,0
SIHY.US,5,20250228,171500,45.9668,45.9668,45.9668,45.9668,790,0
SIHY.US,5,20250228,192500,45.98,45.98,45.98,45.98,100,0
SIHY.US,5,20250228,195500,46.015,46.015,46.015,46.015,100,0
SIHY.US,5,20250228,205000,46.04,46.04,46.04,46.04,100,0
SIHY.US,5,20250228,211000,46.02,46.03,46.02,46.03,4600,0
SIHY.US,5,20250228,212500,46.03,46.11,46.0299,46.0299,400,0
SIHY.US,5,20250228,213500,46.0108,46.0108,46.0108,46.0108,395,0
SIHY.US,5,20250228,214500,46.015,46.015,46.015,46.015,391,0
SIHY.US,5,20250228,215500,46.08,46.09,46.08,46.09,233,0
SIHY.US,5,20250303,164000,45.699,45.699,45.699,45.699,100,0
SIHY.US,5,20250303,171000,45.65,45.65,45.65,45.65,100,0
SIHY.US,5,20250303,172000,45.61,45.61,45.61,45.61,656,0
SIHY.US,5,20250303,172500,45.61,45.61,45.61,45.61,2000,0
SIHY.US,5,20250303,192000,45.649,45.65,45.649,45.6499,1590,0
SIHY.US,5,20250303,194500,45.64,45.64,45.6399,45.6399,200,0
SIHY.US,5,20250303,200000,45.615,45.615,45.615,45.615,386,0
SIHY.US,5,20250303,200500,45.65,45.65,45.65,45.65,100,0
SIHY.US,5,20250303,203000,45.65,45.65,45.65,45.65,100,0
SIHY.US,5,20250303,203500,45.605,45.63,45.5805,45.5805,873,0
SIHY.US,5,20250303,204500,45.61,45.61,45.605,45.605,1314,0
SIHY.US,5,20250303,205000,45.6,45.6,45.6,45.6,100,0
SIHY.US,5,20250303,210000,45.5807,45.5807,45.5807,45.5807,319,0
SIHY.US,5,20250303,212000,45.58,45.58,45.58,45.58,100,0
SIHY.US,5,20250303,214500,45.5159,45.5159,45.5159,45.5159,149,0
SIHY.US,5,20250304,155500,45.5401,45.5401,45.5401,45.5401,187,0
SIHY.US,5,20250304,161500,45.54,45.54,45.54,45.54,305,0
SIHY.US,5,20250304,165000,45.45,45.45,45.45,45.45,240,0
SIHY.US,5,20250304,174500,45.46,45.46,45.46,45.46,153,0
SIHY.US,5,20250304,175000,45.441,45.441,45.441,45.441,1230,0
SIHY.US,5,20250304,184000,45.49,45.49,45.49,45.49,265,0
SIHY.US,5,20250304,191000,45.49,45.5001,45.49,45.5001,1009,0
SIHY.US,5,20250304,200500,45.55,45.55,45.55,45.55,114,0
SIHY.US,5,20250304,215500,45.5883,45.5883,45.5883,45.5883,548,0
SIHY.US,5,20250305,155500,45.565,45.565,45.565,45.565,757,0
SIHY.US,5,20250305,163500,45.56,45.56,45.56,45.56,318,0
SIHY.US,5,20250305,170500,45.557,45.557,45.557,45.557,121,0
SIHY.US,5,20250305,172500,45.55,45.55,45.55,45.55,100,0
SIHY.US,5,20250305,174000,45.58,45.58,45.58,45.58,2088,0
SIHY.US,5,20250305,182000,45.6392,45.6392,45.6392,45.6392,250,0
SIHY.US,5,20250305,191500,45.5801,45.5962,45.5801,45.5801,696,0
SIHY.US,5,20250305,193500,45.6079,45.6079,45.6079,45.6079,100,0
SIHY.US,5,20250305,195000,45.64,45.649,45.64,45.649,400,0
SIHY.US,5,20250305,202500,45.6001,45.63,45.51,45.54,19419,0
SIHY.US,5,20250305,203000,45.55,45.58,45.51,45.552,3153,0
SIHY.US,5,20250305,203500,45.62,45.62,45.55,45.5501,1091,0
SIHY.US,5,20250305,204000,45.5514,45.576,45.51,45.54,5213,0
SIHY.US,5,20250305,205000,45.595,45.595,45.595,45.595,173,0
SIHY.US,5,20250305,211500,45.54,45.5849,45.54,45.5849,200,0
SIHY.US,5,20250305,213000,45.572,45.572,45.572,45.572,130,0
SIHY.US,5,20250306,153000,45.55,45.55,45.49,45.5099,745,0
SIHY.US,5,20250306,160000,45.4505,45.4505,45.4505,45.4505,889,0
SIHY.US,5,20250306,160500,45.51,45.51,45.51,45.51,2302,0
SIHY.US,5,20250306,162500,45.48,45.48,45.48,45.48,919,0
SIHY.US,5,20250306,163000,45.53,45.53,45.53,45.53,100,0
SIHY.US,5,20250306,164500,45.56,45.56,45.56,45.56,100,0
SIHY.US,5,20250306,173000,45.54,45.54,45.54,45.54,137,0
SIHY.US,5,20250306,175500,45.5,45.5,45.5,45.5,114,0
SIHY.US,5,20250306,191500,45.49,45.49,45.49,45.49,1800,0
SIHY.US,5,20250306,192500,45.485,45.485,45.485,45.485,345,0
SIHY.US,5,20250306,194500,45.5,45.5,45.5,45.5,424,0
SIHY.US,5,20250306,195500,45.47,45.47,45.47,45.47,100,0
SIHY.US,5,20250306,200500,45.4799,45.4799,45.4799,45.4799,300,0
SIHY.US,5,20250306,203500,45.4672,45.4672,45.4672,45.4672,125,0
SIHY.US,5,20250306,210000,45.4801,45.4801,45.4801,45.4801,396,0
SIHY.US,5,20250306,210500,45.49,45.49,45.49,45.49,1000,0
SIHY.US,5,20250306,211500,45.49,45.4969,45.49,45.4969,336,0
SIHY.US,5,20250306,212000,45.5,45.5,45.5,45.5,241,0
SIHY.US,5,20250307,170000,45.54,45.54,45.54,45.54,200,0
SIHY.US,5,20250307,172000,45.5299,45.5299,45.5299,45.5299,220,0
SIHY.US,5,20250307,174500,45.52,45.52,45.52,45.52,1053,0
SIHY.US,5,20250307,185000,45.515,45.549,45.515,45.549,200,0
SIHY.US,5,20250307,193000,45.495,45.495,45.495,45.495,994,0
SIHY.US,5,20250307,202000,45.47,45.47,45.47,45.47,100,0
SIHY.US,5,20250307,204000,45.51,45.51,45.5,45.5,1688,0
SIHY.US,5,20250307,204500,45.47,45.54,45.46,45.54,1689,0
SIHY.US,5,20250307,205000,45.5432,45.5432,45.5432,45.5432,384,0
SIHY.US,5,20250307,205500,45.55,45.55,45.55,45.55,200,0
SIHY.US,5,20250307,210500,45.5004,45.5004,45.5004,45.5004,290,0
