<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SURI.US,5,20250225,164500,16.7841,16.7841,16.7841,16.7841,600,0
SURI.US,5,20250225,182500,16.67,16.67,16.67,16.67,100,0
SURI.US,5,20250225,211000,16.84,16.84,16.84,16.84,500,0
SURI.US,5,20250226,161000,17.12,17.12,17.12,17.12,100,0
SURI.US,5,20250226,205000,17.03,17.03,17.03,17.03,116,0
SURI.US,5,20250227,153500,17.2399,17.2399,17.2399,17.2399,100,0
SURI.US,5,20250227,154000,17.1,17.1,17.1,17.1,214,0
SURI.US,5,20250227,160000,16.92,16.92,16.92,16.92,634,0
SURI.US,5,20250227,163000,17.12,17.1201,17.12,17.12,3854,0
SURI.US,5,20250227,201000,17.112,17.112,17.112,17.112,100,0
SURI.US,5,20250228,153000,16.5,16.5,16.09,16.09,284,0
SURI.US,5,20250228,162000,16.8111,16.8111,16.8111,16.8111,128,0
SURI.US,5,20250228,181500,17.0501,17.0501,17.0501,17.0501,197,0
SURI.US,5,20250228,211000,17.0089,17.0089,17.0089,17.0089,100,0
SURI.US,5,20250228,214000,16.95,16.95,16.95,16.95,583,0
SURI.US,5,20250228,215500,16.68,16.68,16.68,16.68,102,0
SURI.US,5,20250303,161000,16.9,16.95,16.9,16.95,245,0
SURI.US,5,20250303,164500,16.8462,16.8462,16.8462,16.8462,300,0
SURI.US,5,20250303,205000,16.68,16.68,16.68,16.68,286,0
SURI.US,5,20250304,161500,16.02,16.02,16.02,16.02,500,0
SURI.US,5,20250304,165500,16.1,16.1,16.1,16.1,100,0
SURI.US,5,20250304,181000,16.23,16.23,16.23,16.23,132,0
SURI.US,5,20250304,185000,16.27,16.28,16.27,16.28,300,0
SURI.US,5,20250304,202000,16.34,16.34,16.34,16.34,100,0
SURI.US,5,20250304,215500,15.78,15.78,15.78,15.78,300,0
SURI.US,5,20250305,154000,16.46,16.46,16.4599,16.4599,200,0
SURI.US,5,20250305,161000,16.4799,16.4799,16.4799,16.4799,400,0
SURI.US,5,20250307,153500,16.22,16.22,16.22,16.22,100,0
SURI.US,5,20250307,192500,16.425,16.425,16.425,16.425,208,0
SURI.US,5,20250310,155500,16.0228,16.0228,16.0228,16.0228,199,0
SURI.US,5,20250310,160000,15.98,15.98,15.98,15.98,100,0
SURI.US,5,20250310,184000,15.996,15.996,15.996,15.996,300,0
SURI.US,5,20250310,184500,16.0076,16.0076,16.0076,16.0076,100,0
SURI.US,5,20250310,194500,16.04,16.04,16.04,16.04,100,0
SURI.US,5,20250310,203000,15.98,15.98,15.98,15.98,188,0
SURI.US,5,20250311,172500,16.02,16.02,16.02,16.02,100,0
SURI.US,5,20250311,181000,15.95,15.95,15.95,15.95,830,0
SURI.US,5,20250311,183000,15.93,15.93,15.93,15.93,2500,0
SURI.US,5,20250311,200000,16.29,16.29,16.29,16.29,2494,0
SURI.US,5,20250312,162500,16.51,16.51,16.51,16.51,119,0
SURI.US,5,20250312,191000,16.53,16.53,16.53,16.53,200,0
SURI.US,5,20250313,171500,16.29,16.29,16.29,16.29,1000,0
SURI.US,5,20250313,174000,16.29,16.29,16.29,16.29,1000,0
SURI.US,5,20250313,182000,16.28,16.28,16.2796,16.2796,1758,0
SURI.US,5,20250314,185000,16.55,16.55,16.55,16.55,114,0
SURI.US,5,20250314,195500,16.55,16.55,16.55,16.55,200,0
SURI.US,5,20250314,202500,16.53,16.53,16.53,16.53,200,0
SURI.US,5,20250314,204000,16.51,16.51,16.51,16.51,200,0
SURI.US,5,20250314,205000,16.54,16.54,16.54,16.54,200,0
SURI.US,5,20250314,205500,16.54,16.54,16.54,16.54,200,0
SURI.US,5,20250317,151000,16.65,16.65,16.65,16.65,100,0
SURI.US,5,20250317,152500,16.64,16.64,16.64,16.64,100,0
SURI.US,5,20250317,154000,16.64,16.64,16.64,16.64,100,0
SURI.US,5,20250317,155500,16.64,16.64,16.64,16.64,100,0
SURI.US,5,20250317,161500,16.68,16.68,16.68,16.68,100,0
SURI.US,5,20250317,163500,16.68,16.68,16.68,16.68,100,0
SURI.US,5,20250317,165500,16.7,16.7,16.7,16.7,100,0
SURI.US,5,20250317,172000,16.77,16.77,16.77,16.77,100,0
SURI.US,5,20250317,175000,16.81,16.81,16.81,16.81,100,0
SURI.US,5,20250317,181500,16.79,16.79,16.79,16.79,100,0
SURI.US,5,20250317,184500,16.79,16.79,16.79,16.79,100,0
SURI.US,5,20250317,191500,16.81,16.81,16.81,16.81,100,0
SURI.US,5,20250317,194000,16.83,16.83,16.83,16.83,100,0
SURI.US,5,20250317,200500,16.85,16.85,16.85,16.85,100,0
SURI.US,5,20250317,202500,16.8,16.8,16.8,16.8,100,0
SURI.US,5,20250317,204500,16.81,16.81,16.81,16.81,100,0
SURI.US,5,20250318,154000,16.69,16.69,16.69,16.69,451,0
SURI.US,5,20250319,160000,16.52,16.52,16.52,16.52,200,0
SURI.US,5,20250319,161000,16.53,16.53,16.53,16.53,361,0
SURI.US,5,20250325,150500,16.83,16.83,16.83,16.83,200,0
SURI.US,5,20250325,190500,16.8399,16.8399,16.8399,16.8399,100,0
SURI.US,5,20250326,163500,16.13,16.1599,16.13,16.1599,400,0
SURI.US,5,20250326,201000,16.0087,16.0087,16.0087,16.0087,200,0
SURI.US,5,20250327,162500,16.06,16.0601,16.06,16.0601,200,0
SURI.US,5,20250328,151000,15.75,15.75,15.75,15.75,300,0
SURI.US,5,20250328,152500,15.82,15.82,15.82,15.82,105,0
SURI.US,5,20250328,153500,15.64,15.64,15.64,15.64,100,0
SURI.US,5,20250328,155500,15.78,15.78,15.7065,15.7065,400,0
SURI.US,5,20250328,160500,15.78,15.78,15.78,15.78,105,0
SURI.US,5,20250328,164500,15.8,15.8,15.8,15.8,105,0
SURI.US,5,20250328,165500,15.79,15.79,15.79,15.79,108,0
SURI.US,5,20250328,170500,15.83,15.83,15.83,15.83,105,0
SURI.US,5,20250328,172500,15.8,15.8,15.8,15.8,105,0
SURI.US,5,20250328,173500,15.81,15.81,15.81,15.81,105,0
SURI.US,5,20250328,181000,15.81,15.81,15.81,15.81,105,0
SURI.US,5,20250328,184000,15.76,15.76,15.76,15.76,105,0
SURI.US,5,20250328,185500,15.75,15.75,15.75,15.75,105,0
SURI.US,5,20250328,190500,15.78,15.78,15.78,15.78,108,0
SURI.US,5,20250328,193500,15.73,15.73,15.73,15.73,100,0
SURI.US,5,20250328,194500,15.73,15.73,15.73,15.73,105,0
SURI.US,5,20250328,195500,15.73,15.73,15.73,15.73,100,0
SURI.US,5,20250331,160000,15.44,15.44,15.4399,15.4399,338,0
SURI.US,5,20250331,215000,15.31,15.31,15.31,15.31,100,0
SURI.US,5,20250402,165500,15.41,15.41,15.41,15.41,100,0
SURI.US,5,20250402,205000,15.34,15.34,15.34,15.34,100,0
SURI.US,5,20250402,214500,15.3016,15.3016,15.3016,15.3016,176,0
SURI.US,5,20250403,215500,14.5,14.5,14.5,14.5,111,0
SURI.US,5,20250404,182500,13.75,13.75,13.75,13.75,131,0
SURI.US,5,20250404,210500,13.6935,13.6935,13.6935,13.6935,100,0
SURI.US,5,20250407,215500,13.37,13.37,13.37,13.37,1000,0
SURI.US,5,20250411,184500,13,13,13,13,79900,0
SURI.US,5,20250411,185000,13.01,13.01,13.01,13.01,6552,0
SURI.US,5,20250411,185500,13,13,13,13,33300,0
SURI.US,5,20250414,162500,13.685,13.685,13.685,13.685,143,0
SURI.US,5,20250415,212000,13.73,13.73,13.72,13.72,295,0
SURI.US,5,20250416,172000,13.5811,13.5811,13.5811,13.5811,100,0
SURI.US,5,20250416,214000,13.47,13.47,13.47,13.47,100,0
SURI.US,5,20250421,154000,13.575,13.575,13.575,13.575,140,0
SURI.US,5,20250422,190500,14.0452,14.0452,14.0452,14.0452,208,0
SURI.US,5,20250423,172000,14.4,14.4,14.4,14.4,100,0
SURI.US,5,20250424,195500,14.46,14.46,14.46,14.46,165,0
SURI.US,5,20250425,170000,14.503,14.503,14.503,14.503,100,0
SURI.US,5,20250425,180000,14.54,14.76,14.54,14.76,984,0
SURI.US,5,20250425,204500,14.57,14.57,14.57,14.57,100,0
SURI.US,5,20250425,205000,14.578,14.578,14.578,14.578,100,0
SURI.US,5,20250430,175500,14.6081,14.6081,14.6081,14.6081,100,0
SURI.US,5,20250502,193500,14.4505,14.4505,14.4505,14.4505,100,0
SURI.US,5,20250505,175500,14.16,14.16,14.16,14.16,100,0
SURI.US,5,20250507,193000,13.7,13.7,13.7,13.7,144,0
SURI.US,5,20250508,203500,13.95,13.95,13.95,13.95,100,0
SURI.US,5,20250509,165500,13.8401,13.8401,13.8401,13.8401,100,0
SURI.US,5,20250509,195500,13.9,13.9,13.9,13.9,400,0
SURI.US,5,20250509,202000,13.8001,13.8001,13.8001,13.8001,100,0
SURI.US,5,20250512,183500,14.1,14.1,14.1,14.1,100,0
SURI.US,5,20250513,164500,14.2382,14.2382,14.1101,14.1101,200,0
SURI.US,5,20250513,194500,14.23,14.23,14.23,14.23,100,0
SURI.US,5,20250514,164500,14.1582,14.1582,14.1582,14.1582,100,0
SURI.US,5,20250514,184000,13.99,13.99,13.99,13.99,100,0
SURI.US,5,20250515,161000,14.1,14.1,14.1,14.1,100,0
SURI.US,5,20250515,175000,14.1,14.1,14.1,14.1,100,0
SURI.US,5,20250515,180500,14.1,14.1,14.1,14.1,100,0
SURI.US,5,20250516,190000,14.4335,14.4335,14.4335,14.4335,120,0
SURI.US,5,20250516,204000,14.49,14.49,14.49,14.49,431,0
SURI.US,5,20250516,214500,14.5001,14.5001,14.5001,14.5001,150,0
SURI.US,5,20250519,153000,14.55,14.55,14.55,14.55,212,0
SURI.US,5,20250519,204000,14.39,14.39,14.39,14.39,100,0
SURI.US,5,20250521,181000,14.72,14.72,14.72,14.72,339,0
SURI.US,5,20250521,192000,14.53,14.53,14.53,14.53,135,0
SURI.US,5,20250522,183000,14.6011,14.6011,14.6011,14.6011,100,0
SURI.US,5,20250522,185000,14.69,14.76,14.69,14.76,6263,0
SURI.US,5,20250527,211500,14.35,14.35,14.35,14.35,179,0
SURI.US,5,20250528,213500,14.27,14.27,14.27,14.27,200,0
SURI.US,5,20250528,214500,14.425,14.425,14.425,14.425,329,0
SURI.US,5,20250529,155000,14.393,14.393,14.393,14.393,126,0
SURI.US,5,20250529,175000,14.5,14.5,14.5,14.5,172,0
SURI.US,5,20250529,213000,14.61,14.61,14.61,14.61,200,0
SURI.US,5,20250530,154000,14.62,14.62,14.62,14.62,100,0
SURI.US,5,20250530,170000,14.6,14.6,14.6,14.6,140,0
SURI.US,5,20250530,215000,14.5841,14.5841,14.5841,14.5841,100,0
SURI.US,5,20250602,155500,14.73,14.73,14.53,14.53,200,0
SURI.US,5,20250602,192000,14.69,14.69,14.69,14.69,278,0
SURI.US,5,20250603,163500,14.9,14.9,14.9,14.9,100,0
SURI.US,5,20250603,200500,14.95,14.95,14.95,14.95,130,0
SURI.US,5,20250604,192000,15.31,15.32,15.31,15.32,946,0
SURI.US,5,20250605,153000,15.15,15.15,15.15,15.15,460,0
SURI.US,5,20250606,153500,15.43,15.43,15.43,15.43,1900,0
SURI.US,5,20250609,163000,16.1114,16.1114,16.1114,16.1114,200,0
SURI.US,5,20250609,170000,16.0054,16.0054,16.0054,16.0054,200,0
SURI.US,5,20250609,184500,15.95,16.04,15.95,16.04,388,0
SURI.US,5,20250609,192000,16.05,16.05,16.05,16.05,500,0
SURI.US,5,20250609,193500,16.06,16.06,16.06,16.06,500,0
SURI.US,5,20250609,195000,16.08,16.08,16.08,16.08,500,0
SURI.US,5,20250609,200500,16.08,16.08,16.08,16.08,500,0
SURI.US,5,20250609,202000,16.1,16.1,16.1,16.1,500,0
SURI.US,5,20250609,203500,16.08,16.08,16.08,16.08,308,0
SURI.US,5,20250610,203000,16.1115,16.1115,16.1115,16.1115,637,0
SURI.US,5,20250611,190000,16.0545,16.0545,16.0545,16.0545,311,0
SURI.US,5,20250613,154000,16.68,16.68,16.68,16.68,100,0
SURI.US,5,20250613,160000,16.35,16.35,16.35,16.35,100,0
SURI.US,5,20250613,161500,16.4,16.4,16.4,16.4,200,0
SURI.US,5,20250613,164500,16.37,16.37,16.37,16.37,100,0
SURI.US,5,20250613,170500,16.41,16.41,16.41,16.41,283,0
SURI.US,5,20250613,173000,16.2,16.21,16.2,16.21,370,0
SURI.US,5,20250613,174500,16.38,16.38,16.38,16.38,100,0
SURI.US,5,20250613,175000,16.23,16.23,16.23,16.23,150,0
SURI.US,5,20250613,181500,16.22,16.22,16.22,16.22,150,0
SURI.US,5,20250613,184000,16.355,16.37,16.355,16.37,300,0
