<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPLE.US,5,20250224,162000,26.0565,26.0565,26.0565,26.0565,3620,0
TPLE.US,5,20250224,202500,26.1599,26.1599,26.1599,26.1599,100,0
TPLE.US,5,20250224,203000,26.1542,26.1542,26.1542,26.1542,100,0
TPLE.US,5,20250224,214500,26.11,26.12,26.105,26.105,700,0
TPLE.US,5,20250225,183500,26.0185,26.0185,26.0185,26.0185,300,0
TPLE.US,5,20250225,185500,26.0642,26.0642,26.0642,26.0642,191,0
TPLE.US,5,20250225,194000,26.12,26.1294,26.11,26.1294,5789,0
TPLE.US,5,20250226,180000,26.23,26.24,26.19,26.2399,2318,0
TPLE.US,5,20250226,211000,26.0805,26.0805,26.0805,26.0805,200,0
TPLE.US,5,20250226,211500,26.085,26.085,26.06,26.06,200,0
TPLE.US,5,20250226,213500,26.09,26.09,26.09,26.09,100,0
TPLE.US,5,20250227,210000,25.9,25.9001,25.9,25.9001,200,0
TPLE.US,5,20250227,212000,25.89,25.89,25.88,25.88,600,0
TPLE.US,5,20250228,172000,25.95,25.95,25.92,25.92,424,0
TPLE.US,5,20250228,181000,25.9527,25.9527,25.9527,25.9527,899,0
TPLE.US,5,20250303,205000,25.99,25.99,25.99,25.99,205,0
TPLE.US,5,20250303,215500,25.86,25.87,25.85,25.87,359,0
TPLE.US,5,20250304,174500,25.34,25.34,25.34,25.34,100,0
TPLE.US,5,20250304,180000,25.41,25.41,25.41,25.41,1845,0
TPLE.US,5,20250304,182500,25.51,25.51,25.51,25.51,734,0
TPLE.US,5,20250305,164500,25.46,25.46,25.46,25.46,866,0
TPLE.US,5,20250305,181000,25.417,25.417,25.417,25.417,1844,0
TPLE.US,5,20250305,212500,25.66,25.66,25.66,25.66,100,0
TPLE.US,5,20250306,170000,25.55,25.55,25.55,25.55,100,0
TPLE.US,5,20250306,172500,25.54,25.54,25.54,25.54,100,0
TPLE.US,5,20250306,175000,25.45,25.45,25.45,25.45,300,0
TPLE.US,5,20250306,180500,25.35,25.35,25.35,25.35,100,0
TPLE.US,5,20250306,182000,25.38,25.38,25.38,25.38,200,0
TPLE.US,5,20250306,211000,25.39,25.4,25.36,25.39,3615,0
TPLE.US,5,20250306,213500,25.3905,25.3905,25.3905,25.3905,141,0
TPLE.US,5,20250306,214500,25.41,25.42,25.41,25.42,300,0
TPLE.US,5,20250307,182500,25.22,25.22,25.22,25.22,4815,0
TPLE.US,5,20250307,190500,25.4687,25.4687,25.4537,25.4537,817,0
TPLE.US,5,20250307,211000,25.62,25.62,25.62,25.62,304,0
TPLE.US,5,20250307,214000,25.5,25.5,25.5,25.5,300,0
TPLE.US,5,20250310,152500,25.42,25.42,25.42,25.42,1300,0
TPLE.US,5,20250310,191500,25.22,25.22,25.22,25.22,100,0
TPLE.US,5,20250310,192000,25.181,25.181,25.181,25.181,115,0
TPLE.US,5,20250310,192500,25.2136,25.2136,25.2136,25.2136,3393,0
TPLE.US,5,20250311,164500,25.0507,25.0507,25.0507,25.0507,458,0
TPLE.US,5,20250311,170500,24.9795,24.9795,24.9795,24.9795,378,0
TPLE.US,5,20250311,185000,24.8754,24.8754,24.8754,24.8754,238,0
TPLE.US,5,20250311,204000,24.99,24.99,24.99,24.99,362,0
TPLE.US,5,20250312,171000,24.93,24.93,24.93,24.93,3525,0
TPLE.US,5,20250313,170000,24.64,24.64,24.64,24.64,100,0
TPLE.US,5,20250313,201500,24.591,24.6099,24.591,24.6099,300,0
TPLE.US,5,20250313,204000,24.5468,24.5468,24.5468,24.5468,500,0
TPLE.US,5,20250313,204500,24.551,24.551,24.551,24.551,125,0
TPLE.US,5,20250313,205500,24.58,24.58,24.58,24.58,100,0
TPLE.US,5,20250314,170500,25.05,25.05,25.05,25.05,4384,0
TPLE.US,5,20250314,171500,24.97,24.97,24.97,24.97,198,0
TPLE.US,5,20250317,162500,25.32,25.3297,25.32,25.3297,200,0
TPLE.US,5,20250317,170500,25.311,25.3299,25.311,25.3299,304,0
TPLE.US,5,20250317,172000,25.33,25.33,25.33,25.33,2796,0
TPLE.US,5,20250317,191500,25.4514,25.4514,25.4514,25.4514,500,0
TPLE.US,5,20250317,192500,25.47,25.47,25.47,25.47,216,0
TPLE.US,5,20250318,161500,25.22,25.22,25.22,25.22,123,0
TPLE.US,5,20250318,170500,25.1623,25.1623,25.1623,25.1623,160,0
TPLE.US,5,20250318,171000,25.2,25.2,25.2,25.2,2735,0
TPLE.US,5,20250318,195500,25.25,25.25,25.25,25.25,100,0
TPLE.US,5,20250318,202000,25.25,25.25,25.2495,25.2495,288,0
TPLE.US,5,20250318,205500,25.28,25.28,25.28,25.28,129,0
TPLE.US,5,20250319,183000,25.33,25.33,25.33,25.33,1950,0
TPLE.US,5,20250319,192000,25.392,25.392,25.392,25.392,4327,0
TPLE.US,5,20250319,195500,25.495,25.495,25.495,25.495,169,0
