<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UGL.US,5,20250224,153000,28.74,28.794,28.705,28.7775,47088,0
UGL.US,5,20250224,153500,28.7025,28.7025,28.635,28.635,9344,0
UGL.US,5,20250224,154000,28.625,28.7875,28.5925,28.785,38268,0
UGL.US,5,20250224,154500,28.7975,28.8225,28.7275,28.7275,5200,0
UGL.US,5,20250224,155000,28.7612,28.7612,28.725,28.745,6640,0
UGL.US,5,20250224,155500,28.75,28.7675,28.7074,28.7074,3968,0
UGL.US,5,20250224,160000,28.675,28.6862,28.56,28.56,39640,0
UGL.US,5,20250224,160500,28.5739,28.6062,28.5675,28.5675,11128,0
UGL.US,5,20250224,161000,28.555,28.6725,28.5475,28.6675,28492,0
UGL.US,5,20250224,161500,28.665,28.685,28.6438,28.6688,7860,0
UGL.US,5,20250224,162000,28.67,28.67,28.6275,28.6275,19156,0
UGL.US,5,20250224,162500,28.645,28.645,28.6425,28.6425,1348,0
UGL.US,5,20250224,163000,28.6425,28.6425,28.6425,28.6425,1200,0
UGL.US,5,20250224,163500,28.5875,28.6412,28.5875,28.6412,800,0
UGL.US,5,20250224,164000,28.6538,28.6538,28.6538,28.6538,3488,0
UGL.US,5,20250224,164500,28.6562,28.675,28.6562,28.675,3860,0
UGL.US,5,20250224,165000,28.6675,28.6825,28.665,28.6825,3200,0
UGL.US,5,20250224,165500,28.7,28.7,28.6575,28.6575,4876,0
UGL.US,5,20250224,170000,28.72,28.7225,28.71,28.7225,7200,0
UGL.US,5,20250224,170500,28.74,28.795,28.74,28.775,7036,0
UGL.US,5,20250224,171000,28.7692,28.8075,28.7692,28.8075,3596,0
UGL.US,5,20250224,171500,28.8012,28.8175,28.785,28.785,10668,0
UGL.US,5,20250224,172000,28.765,28.7847,28.7525,28.7575,14188,0
UGL.US,5,20250224,172500,28.75,28.7675,28.7493,28.76,3828,0
UGL.US,5,20250224,173000,28.781,28.781,28.781,28.781,700,0
UGL.US,5,20250224,173500,28.76,28.7775,28.76,28.7625,4444,0
UGL.US,5,20250224,174000,28.7425,28.7425,28.7228,28.7228,3784,0
UGL.US,5,20250224,174500,28.7925,28.7925,28.7925,28.7925,400,0
UGL.US,5,20250224,175500,28.775,28.775,28.775,28.775,1200,0
UGL.US,5,20250224,180000,28.7925,28.8062,28.7725,28.8062,7512,0
UGL.US,5,20250224,180500,28.7699,28.7848,28.7688,28.77,6984,0
UGL.US,5,20250224,181000,28.7625,28.8025,28.745,28.8025,10572,0
UGL.US,5,20250224,181500,28.8075,28.8075,28.7775,28.7775,1200,0
UGL.US,5,20250224,182000,28.7798,28.7798,28.7798,28.7798,872,0
UGL.US,5,20250224,182500,28.8075,28.8075,28.8,28.8,5600,0
UGL.US,5,20250224,183000,28.8026,28.8075,28.8025,28.8075,5152,0
UGL.US,5,20250224,183500,28.8074,28.8225,28.795,28.81,8508,0
UGL.US,5,20250224,184000,28.8106,28.8106,28.8017,28.8017,1872,0
UGL.US,5,20250224,184500,28.82,28.82,28.785,28.785,2400,0
UGL.US,5,20250224,185000,28.79,28.79,28.7738,28.7738,18800,0
UGL.US,5,20250224,185500,28.795,28.795,28.7725,28.7725,1560,0
UGL.US,5,20250224,190000,28.7812,28.805,28.7812,28.805,920,0
UGL.US,5,20250224,190500,28.805,28.8175,28.805,28.8175,1200,0
UGL.US,5,20250224,191500,28.8212,28.8212,28.8212,28.8212,800,0
UGL.US,5,20250224,192000,28.835,28.8396,28.835,28.8396,10900,0
UGL.US,5,20250224,192500,28.8425,28.875,28.8425,28.875,16492,0
UGL.US,5,20250224,193000,28.87,28.875,28.8675,28.875,7864,0
UGL.US,5,20250224,193500,28.8725,28.9064,28.8725,28.89,12776,0
UGL.US,5,20250224,194000,28.8712,28.8712,28.87,28.87,2572,0
UGL.US,5,20250224,194500,28.8675,28.8763,28.8675,28.8725,2800,0
UGL.US,5,20250224,195000,28.8842,28.8842,28.8675,28.8675,14608,0
UGL.US,5,20250224,195500,28.8675,28.8775,28.865,28.8775,13416,0
UGL.US,5,20250224,200000,28.875,28.905,28.875,28.905,2640,0
UGL.US,5,20250224,200500,28.91,28.9125,28.895,28.895,3600,0
UGL.US,5,20250224,201000,28.895,28.91,28.895,28.91,18624,0
UGL.US,5,20250224,201500,28.9175,28.9387,28.8558,28.8558,3300,0
UGL.US,5,20250224,202000,28.8558,28.8872,28.8558,28.8872,6200,0
UGL.US,5,20250224,202500,28.885,28.885,28.8575,28.8575,5196,0
UGL.US,5,20250224,203000,28.8688,28.875,28.8626,28.875,4240,0
UGL.US,5,20250224,203500,28.88,28.89,28.88,28.89,2236,0
UGL.US,5,20250224,204000,28.8838,28.8924,28.8838,28.8924,1600,0
UGL.US,5,20250224,204500,28.885,28.9075,28.885,28.9075,11220,0
UGL.US,5,20250224,205000,28.8925,28.8925,28.8925,28.8925,800,0
UGL.US,5,20250224,205500,28.8925,28.92,28.883,28.883,6296,0
UGL.US,5,20250224,210000,28.8925,28.902,28.885,28.89,8928,0
UGL.US,5,20250224,210500,28.89,28.89,28.8825,28.8825,800,0
UGL.US,5,20250224,211000,28.8868,28.8925,28.8868,28.8925,17524,0
UGL.US,5,20250224,211500,28.9,28.9,28.8925,28.8925,2344,0
UGL.US,5,20250224,212000,28.9,28.9325,28.885,28.8875,5388,0
UGL.US,5,20250224,212500,28.8706,28.89,28.8475,28.8625,18816,0
UGL.US,5,20250224,213000,28.8625,28.8625,28.8625,28.8625,696,0
UGL.US,5,20250224,213500,28.8835,28.8875,28.8825,28.8834,6136,0
UGL.US,5,20250224,214000,28.9062,28.915,28.895,28.8975,5808,0
UGL.US,5,20250224,214500,28.8988,28.925,28.8988,28.925,800,0
UGL.US,5,20250224,215000,28.93,28.9375,28.925,28.9274,13056,0
UGL.US,5,20250224,215500,28.9125,28.9225,28.8975,28.915,16232,0
UGL.US,5,20250225,153000,28.77,28.77,28.7475,28.75,13412,0
UGL.US,5,20250225,153500,28.7875,28.7875,28.7625,28.7625,4144,0
UGL.US,5,20250225,154000,28.7225,28.7325,28.67,28.675,57932,0
UGL.US,5,20250225,154500,28.6775,28.69,28.625,28.6325,11400,0
UGL.US,5,20250225,155000,28.61,28.61,28.59,28.6028,4680,0
UGL.US,5,20250225,155500,28.58,28.585,28.5275,28.5525,20304,0
UGL.US,5,20250225,160000,28.55,28.58,28.52,28.54,14400,0
UGL.US,5,20250225,160500,28.5492,28.5492,28.495,28.5025,8176,0
UGL.US,5,20250225,161000,28.4363,28.4658,28.4363,28.46,17408,0
UGL.US,5,20250225,161500,28.4025,28.42,28.2575,28.3,74592,0
UGL.US,5,20250225,162000,28.2775,28.2775,28.06,28.06,69076,0
UGL.US,5,20250225,162500,28.0325,28.1625,28.0325,28.0841,19704,0
UGL.US,5,20250225,163000,28.0762,28.0775,27.87,28.025,95184,0
UGL.US,5,20250225,163500,28.035,28.0902,28.005,28.005,18400,0
UGL.US,5,20250225,164000,27.9875,28.005,27.95,27.95,5776,0
UGL.US,5,20250225,164500,27.9825,28.045,27.9825,28,8920,0
UGL.US,5,20250225,165000,28.03,28.03,28.01,28.025,1600,0
UGL.US,5,20250225,165500,28.0125,28.025,27.9944,27.9944,6704,0
UGL.US,5,20250225,170000,27.975,28.005,27.95,27.95,8944,0
UGL.US,5,20250225,170500,27.9425,27.9425,27.64,27.7212,113776,0
UGL.US,5,20250225,171000,27.755,27.8375,27.755,27.81,19512,0
UGL.US,5,20250225,171500,27.835,27.9039,27.835,27.8575,29004,0
UGL.US,5,20250225,172000,27.87,27.8775,27.8125,27.85,29116,0
UGL.US,5,20250225,172500,27.8112,27.8112,27.712,27.712,5200,0
UGL.US,5,20250225,173000,27.7125,27.7838,27.6725,27.7638,38096,0
UGL.US,5,20250225,173500,27.79,27.85,27.7725,27.8454,17608,0
UGL.US,5,20250225,174000,27.845,27.845,27.7925,27.7925,6600,0
UGL.US,5,20250225,174500,27.7729,27.805,27.6975,27.805,11000,0
UGL.US,5,20250225,175000,27.79,27.81,27.79,27.81,17484,0
UGL.US,5,20250225,175500,27.805,27.8342,27.7825,27.8342,7632,0
UGL.US,5,20250225,180000,27.8067,27.8067,27.75,27.75,12208,0
UGL.US,5,20250225,180500,27.79,27.79,27.765,27.7724,7984,0
UGL.US,5,20250225,181000,27.7975,27.805,27.77,27.79,7200,0
UGL.US,5,20250225,181500,27.8275,27.84,27.8275,27.84,980,0
UGL.US,5,20250225,182000,27.8271,27.8475,27.8271,27.8475,4692,0
UGL.US,5,20250225,182500,27.855,27.8991,27.85,27.8991,6680,0
UGL.US,5,20250225,183000,27.9075,27.945,27.9075,27.91,17168,0
UGL.US,5,20250225,183500,27.9212,27.9212,27.9,27.905,1200,0
UGL.US,5,20250225,184000,27.91,27.9588,27.91,27.9588,2364,0
UGL.US,5,20250225,184500,27.9772,27.985,27.965,27.965,2800,0
UGL.US,5,20250225,185000,27.9945,28.01,27.9938,28.0068,2400,0
UGL.US,5,20250225,185500,28.005,28.0625,28.005,28.0625,4000,0
UGL.US,5,20250225,190000,28.06,28.0798,28.035,28.0575,13380,0
UGL.US,5,20250225,190500,28.085,28.1,28.085,28.1,9172,0
UGL.US,5,20250225,191000,28.0862,28.0862,28.06,28.06,1600,0
UGL.US,5,20250225,191500,28.0325,28.0325,28.0125,28.02,6680,0
UGL.US,5,20250225,192000,28.0343,28.0575,28.0163,28.0163,47240,0
UGL.US,5,20250225,192500,28.045,28.045,28.015,28.015,25300,0
UGL.US,5,20250225,193000,28.01,28.0475,28.01,28.0425,1200,0
UGL.US,5,20250225,193500,28.0775,28.0775,28.05,28.0706,23608,0
UGL.US,5,20250225,194000,28.075,28.0775,28.0625,28.0625,5768,0
UGL.US,5,20250225,194500,28.08,28.1018,28.08,28.095,1368,0
UGL.US,5,20250225,195000,28.0875,28.09,28.075,28.09,4440,0
UGL.US,5,20250225,195500,28.0812,28.09,28.0675,28.0738,47440,0
UGL.US,5,20250225,200000,28.073,28.073,28.073,28.073,2400,0
UGL.US,5,20250225,200500,28.055,28.075,28.055,28.075,1272,0
UGL.US,5,20250225,201000,28.055,28.055,28.04,28.04,800,0
UGL.US,5,20250225,202000,27.9925,28.0212,27.9925,28.0025,2592,0
UGL.US,5,20250225,202500,28.0275,28.0275,28.0101,28.02,6164,0
UGL.US,5,20250225,203000,28.055,28.0625,28.055,28.0625,4400,0
UGL.US,5,20250225,203500,28.07,28.07,28.0638,28.0638,960,0
UGL.US,5,20250225,204000,28.12,28.12,28.12,28.12,564,0
UGL.US,5,20250225,204500,28.1225,28.13,28.1225,28.13,4580,0
UGL.US,5,20250225,205000,28.1325,28.145,28.1325,28.1325,3316,0
UGL.US,5,20250225,205500,28.1294,28.1325,28.1225,28.1225,2596,0
UGL.US,5,20250225,210000,28.121,28.1319,28.121,28.1319,3736,0
UGL.US,5,20250225,210500,28.1375,28.1375,28.1321,28.1321,800,0
UGL.US,5,20250225,211000,28.12,28.127,28.1075,28.1075,5036,0
UGL.US,5,20250225,211500,28.115,28.125,28.115,28.125,800,0
UGL.US,5,20250225,212000,28.1325,28.14,28.1325,28.14,1200,0
UGL.US,5,20250225,212500,28.145,28.155,28.1375,28.155,1212,0
UGL.US,5,20250225,213500,28.1275,28.1275,28.1172,28.1175,6800,0
UGL.US,5,20250225,214000,28.1075,28.15,28.1075,28.125,8832,0
UGL.US,5,20250225,214500,28.115,28.1225,28.115,28.1225,2068,0
UGL.US,5,20250225,215000,28.1272,28.1425,28.12,28.1231,8788,0
UGL.US,5,20250225,215500,28.1375,28.1462,28.1318,28.135,12156,0
UGL.US,5,20250226,153000,27.7988,27.8575,27.7464,27.7822,17828,0
UGL.US,5,20250226,153500,27.79,27.8242,27.7425,27.7425,9820,0
UGL.US,5,20250226,154000,27.745,27.815,27.745,27.815,3636,0
UGL.US,5,20250226,154500,27.85,27.9825,27.8412,27.9825,8908,0
UGL.US,5,20250226,155000,27.975,28.0025,27.975,27.9925,3520,0
