<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VAW.US,5,20250224,153000,195.17,195.17,195.17,195.17,192,0
VAW.US,5,20250224,153500,194.905,194.905,194.905,194.905,100,0
VAW.US,5,20250224,154000,194.58,194.58,194.58,194.58,100,0
VAW.US,5,20250224,154500,194.61,194.61,194.61,194.61,154,0
VAW.US,5,20250224,155000,194.68,194.8,194.5333,194.71,1680,0
VAW.US,5,20250224,160000,194.94,194.94,194.94,194.94,1000,0
VAW.US,5,20250224,161000,195.185,195.185,195.185,195.185,140,0
VAW.US,5,20250224,162000,195.39,195.39,195.39,195.39,175,0
VAW.US,5,20250224,163000,195.1804,195.2842,195.1804,195.2842,286,0
VAW.US,5,20250224,163500,195.235,195.235,195.235,195.235,257,0
VAW.US,5,20250224,164500,195.42,195.42,195.42,195.42,100,0
VAW.US,5,20250224,165000,195.3625,195.3625,195.3625,195.3625,644,0
VAW.US,5,20250224,165500,195.42,195.42,195.42,195.42,100,0
VAW.US,5,20250224,170000,195.24,195.46,195.24,195.4283,383,0
VAW.US,5,20250224,171000,195.53,195.58,195.53,195.58,315,0
VAW.US,5,20250224,171500,195.615,195.74,195.615,195.7,413,0
VAW.US,5,20250224,172000,195.82,195.82,195.5291,195.5291,236,0
VAW.US,5,20250224,172500,195.8397,195.8397,195.8397,195.8397,135,0
VAW.US,5,20250224,173000,195.8869,196.02,195.8869,196.02,331,0
VAW.US,5,20250224,174000,195.7462,195.7462,195.7462,195.7462,101,0
VAW.US,5,20250224,175500,195.8,195.8,195.8,195.8,124,0
VAW.US,5,20250224,180000,195.5712,195.5712,195.5712,195.5712,407,0
VAW.US,5,20250224,182000,195.7445,195.7445,195.7445,195.7445,277,0
VAW.US,5,20250224,182500,195.72,195.72,195.72,195.72,100,0
VAW.US,5,20250224,183000,195.7,195.7,195.7,195.7,200,0
VAW.US,5,20250224,184000,195.94,195.94,195.8711,195.8711,485,0
VAW.US,5,20250224,184500,196.1352,196.14,196.1352,196.14,211,0
VAW.US,5,20250224,185000,196.02,196.02,196.02,196.02,102,0
VAW.US,5,20250224,191000,195.76394,195.76394,195.76394,195.76394,247,0
VAW.US,5,20250224,191500,195.84,195.84,195.84,195.84,100,0
VAW.US,5,20250224,192500,195.784,195.784,195.784,195.784,153,0
VAW.US,5,20250224,193500,196.03,196.03,196.03,196.03,100,0
VAW.US,5,20250224,194000,195.885,195.885,195.885,195.885,255,0
VAW.US,5,20250224,194500,195.67,195.67,195.67,195.67,100,0
VAW.US,5,20250224,200000,195.722,195.722,195.722,195.722,412,0
VAW.US,5,20250224,200500,195.7701,195.7701,195.7701,195.7701,237,0
VAW.US,5,20250224,201000,195.9,195.94,195.9,195.94,200,0
VAW.US,5,20250224,201500,195.7514,195.7514,195.73,195.73,1380,0
VAW.US,5,20250224,203000,195.8567,195.8567,195.8567,195.8567,203,0
VAW.US,5,20250224,204500,195.7233,195.755,195.7233,195.755,478,0
VAW.US,5,20250224,205500,195.56,195.62,195.56,195.62,509,0
VAW.US,5,20250224,210000,195.58,195.58,195.58,195.58,200,0
VAW.US,5,20250224,211000,195.46,195.50929,195.46,195.50929,278,0
VAW.US,5,20250224,211500,195.56,195.56,195.56,195.56,100,0
VAW.US,5,20250224,212000,195.4187,195.4187,195.4187,195.4187,104,0
VAW.US,5,20250224,212500,195.4367,195.44,195.3533,195.395,495,0
VAW.US,5,20250224,213000,195.335,195.54,195.335,195.511,558,0
VAW.US,5,20250224,213500,195.4504,195.58,195.4504,195.56,767,0
VAW.US,5,20250224,214000,195.4723,195.52,195.345,195.345,2187,0
VAW.US,5,20250224,214500,195.45,195.45,195.45,195.45,100,0
VAW.US,5,20250224,215000,195.58,195.64,195.42,195.42,656,0
VAW.US,5,20250224,215500,195.01,195.01,194.9,194.9,281,0
VAW.US,5,20250225,153000,195.935,195.935,195.935,195.935,217,0
VAW.US,5,20250225,154000,196.48,196.48,196.48,196.48,100,0
VAW.US,5,20250225,160000,195.97,195.97,195.97,195.97,200,0
VAW.US,5,20250225,163000,194.9015,194.9015,194.9015,194.9015,210,0
VAW.US,5,20250225,164000,195.46,195.46,195.46,195.46,991,0
VAW.US,5,20250225,164500,195.25,195.25,195.25,195.25,128,0
VAW.US,5,20250225,165500,195.6024,195.6024,195.45,195.45,357,0
VAW.US,5,20250225,170500,195.365,195.595,195.365,195.595,1705,0
VAW.US,5,20250225,171000,195.555,195.555,195.555,195.555,347,0
VAW.US,5,20250225,173000,195.195,195.195,195.195,195.195,486,0
VAW.US,5,20250225,173500,195.425,195.425,195.425,195.425,342,0
VAW.US,5,20250225,175000,195.53,195.53,195.53,195.53,100,0
VAW.US,5,20250225,180000,195.6,195.6,195.6,195.6,121,0
VAW.US,5,20250225,180500,195.295,195.295,195.295,195.295,100,0
VAW.US,5,20250225,181000,195.475,195.475,195.475,195.475,175,0
VAW.US,5,20250225,181500,195.5308,195.5308,195.5308,195.5308,128,0
VAW.US,5,20250225,183500,195.8072,195.8072,195.8072,195.8072,995,0
VAW.US,5,20250225,184500,196.0551,196.0551,195.8902,195.8902,515,0
VAW.US,5,20250225,190500,196.67,196.67,196.67,196.67,100,0
VAW.US,5,20250225,192500,196.37,196.37,196.01,196.01,356,0
VAW.US,5,20250225,193000,196.05,196.05,196.05,196.05,100,0
VAW.US,5,20250225,194000,196.54,196.54,196.5399,196.5399,579,0
VAW.US,5,20250225,194500,196.4955,196.4955,196.4955,196.4955,100,0
VAW.US,5,20250225,195500,196.34,196.34,196.34,196.34,100,0
VAW.US,5,20250225,201500,195.915,195.915,195.915,195.915,100,0
VAW.US,5,20250225,203000,195.8915,195.8915,195.8915,195.8915,158,0
VAW.US,5,20250225,203500,196.47,196.47,196.47,196.47,104,0
VAW.US,5,20250225,204000,196.82,196.82,196.82,196.82,100,0
VAW.US,5,20250225,204500,196.77,196.77,196.5615,196.5615,545,0
VAW.US,5,20250225,210000,196.7066,196.7066,196.62,196.62,479,0
VAW.US,5,20250225,212000,196.89,196.89,196.83,196.83,300,0
VAW.US,5,20250225,212500,196.835,196.835,196.835,196.835,118,0
VAW.US,5,20250225,213500,196.8,196.8,196.54,196.54,201,0
VAW.US,5,20250225,214000,196.336,196.336,196.336,196.336,930,0
VAW.US,5,20250225,214500,196.32,196.44,196.32,196.44,200,0
VAW.US,5,20250225,215000,196.52,196.52,196.52,196.52,100,0
VAW.US,5,20250225,215500,196.3201,196.36,196.26,196.36,7917,0
VAW.US,5,20250226,153000,196.755,196.755,196.755,196.755,457,0
VAW.US,5,20250226,154000,196.73,196.73,196.73,196.73,100,0
VAW.US,5,20250226,160500,197.915,197.915,197.915,197.915,100,0
VAW.US,5,20250226,161000,198.205,198.205,198.13,198.13,300,0
VAW.US,5,20250226,161500,197.97,197.97,197.97,197.97,100,0
VAW.US,5,20250226,162000,197.9427,197.9427,197.74,197.8444,1703,0
VAW.US,5,20250226,162500,197.83,197.83,197.77,197.77,476,0
VAW.US,5,20250226,163500,197.805,197.805,197.73,197.73,726,0
VAW.US,5,20250226,164000,197.9299,197.9299,197.9299,197.9299,2704,0
VAW.US,5,20250226,164500,197.925,197.925,197.8616,197.8616,203,0
VAW.US,5,20250226,165500,197.89,197.89,197.89,197.89,100,0
VAW.US,5,20250226,170000,198.0999,198.0999,197.95,197.95,350,0
VAW.US,5,20250226,170500,198.14,198.14,198.14,198.14,100,0
VAW.US,5,20250226,171500,198.0336,198.0336,198.0336,198.0336,100,0
VAW.US,5,20250226,172000,198.07,198.07,198.07,198.07,100,0
VAW.US,5,20250226,173500,197.9102,197.9102,197.9102,197.9102,614,0
VAW.US,5,20250226,174500,197.8801,197.8801,197.8801,197.8801,127,0
VAW.US,5,20250226,175500,197.7,197.7,197.64,197.64,200,0
VAW.US,5,20250226,181500,197.85,197.85,197.61,197.61,382,0
VAW.US,5,20250226,183000,197.7,197.7,197.7,197.7,116,0
VAW.US,5,20250226,183500,197.36,197.36,197.36,197.36,211,0
VAW.US,5,20250226,184000,197.1515,197.1515,197.1515,197.1515,200,0
VAW.US,5,20250226,185000,197.07,197.07,197.07,197.07,100,0
VAW.US,5,20250226,192000,196.75,196.75,196.75,196.75,112,0
VAW.US,5,20250226,195000,196.35,196.35,196.13,196.13,1268,0
VAW.US,5,20250226,200000,196.35,196.36,196.34,196.34,762,0
VAW.US,5,20250226,200500,196.18,196.185,196.18,196.185,218,0
VAW.US,5,20250226,202000,196.5986,196.5986,196.5986,196.5986,271,0
VAW.US,5,20250226,202500,196.6358,196.6358,196.6358,196.6358,332,0
VAW.US,5,20250226,203500,196.7387,196.7387,196.7387,196.7387,127,0
VAW.US,5,20250226,204000,196.78,196.78,196.78,196.78,132,0
VAW.US,5,20250226,205000,196.75,196.75,196.75,196.75,170,0
