<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBR.US,5,20250224,153000,198.5,198.55,198.14,198.2134,5359,0
VBR.US,5,20250224,153500,197.71,197.85,197.57,197.85,1845,0
VBR.US,5,20250224,154000,197.6033,198.1665,197.6033,197.77,3592,0
VBR.US,5,20250224,154500,197.87,197.92,197.56,197.56,3251,0
VBR.US,5,20250224,155000,197.6214,197.6657,197.4014,197.61,4050,0
VBR.US,5,20250224,155500,197.465,197.465,197.09,197.1,3299,0
VBR.US,5,20250224,160000,197.385,197.385,196.792,196.792,1120,0
VBR.US,5,20250224,160500,196.75,197.39,196.59,197.355,5761,0
VBR.US,5,20250224,161000,197.1501,197.523,197.1501,197.523,5552,0
VBR.US,5,20250224,161500,197.5,197.68,197.42,197.42,1452,0
VBR.US,5,20250224,162000,197.53,197.75,197.49,197.75,550,0
VBR.US,5,20250224,162500,197.8357,197.8357,197.4015,197.4015,3630,0
VBR.US,5,20250224,163000,197.3,197.42,197.26,197.345,4526,0
VBR.US,5,20250224,163500,197.345,197.57,197.125,197.57,3333,0
VBR.US,5,20250224,164000,197.4601,197.51,197.4601,197.495,659,0
VBR.US,5,20250224,164500,197.61,197.61,197.3513,197.585,4660,0
VBR.US,5,20250224,165000,197.73,197.82,197.3233,197.3233,45750,0
VBR.US,5,20250224,165500,197.395,197.395,197.0637,197.26,13649,0
VBR.US,5,20250224,170000,197.475,197.49,197.3066,197.4852,2940,0
VBR.US,5,20250224,170500,197.6,197.65,197.43,197.585,2152,0
VBR.US,5,20250224,171000,197.575,197.74,197.5401,197.74,1130,0
VBR.US,5,20250224,171500,197.8244,197.98,197.82,197.91,1805,0
VBR.US,5,20250224,172000,197.91,198.0567,197.86,197.94,3871,0
VBR.US,5,20250224,172500,198.22,198.28,198.145,198.22,17914,0
VBR.US,5,20250224,173000,198.315,198.32,198.25,198.25,2345,0
VBR.US,5,20250224,173500,198.11,198.2958,197.98,198.01,2166,0
VBR.US,5,20250224,174000,198.08,198.4255,198.075,198.075,4091,0
VBR.US,5,20250224,174500,198.075,198.3699,198.075,198.24,3297,0
VBR.US,5,20250224,175000,198.24,198.31,198.1258,198.265,901,0
VBR.US,5,20250224,175500,198.18,198.18,197.9433,197.9858,1985,0
VBR.US,5,20250224,180000,197.86,198.16,197.86,198.16,2258,0
VBR.US,5,20250224,180500,198.1699,198.1699,197.931,197.9859,2074,0
VBR.US,5,20250224,181000,198.01,198.03,197.91,197.995,3339,0
VBR.US,5,20250224,181500,198.015,198.25,198.015,198.23,3332,0
VBR.US,5,20250224,182000,198.3,198.3,198.1681,198.2849,4763,0
VBR.US,5,20250224,182500,198.26,198.3,198.21,198.2411,1714,0
VBR.US,5,20250224,183000,198.27,198.27,198.1428,198.2,1276,0
VBR.US,5,20250224,183500,198.187,198.359,198.187,198.34,351,0
VBR.US,5,20250224,184000,198.2913,198.53,198.2913,198.5,7944,0
VBR.US,5,20250224,184500,198.57,198.58,198.44,198.5,12124,0
VBR.US,5,20250224,185000,198.5,198.5,198.37,198.37,2322,0
VBR.US,5,20250224,185500,198.42,198.47,198.3724,198.449,2658,0
VBR.US,5,20250224,190000,198.325,198.42,198.2633,198.35,1337,0
VBR.US,5,20250224,190500,198.325,198.3984,198.2333,198.377,1559,0
VBR.US,5,20250224,191000,198.3,198.33,198.26,198.2774,2362,0
VBR.US,5,20250224,191500,198.45,198.5083,198.4154,198.4601,3220,0
