<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YEAR.US,5,20250224,153000,50.53,50.545,50.53,50.53,300,0
YEAR.US,5,20250224,154000,50.52,50.53,50.52,50.525,800,0
YEAR.US,5,20250224,155500,50.53,50.55,50.525,50.53,3568,0
YEAR.US,5,20250224,160000,50.535,50.54,50.535,50.535,2100,0
YEAR.US,5,20250224,161500,50.535,50.54,50.535,50.54,890,0
YEAR.US,5,20250224,162500,50.54,50.54,50.54,50.54,108,0
YEAR.US,5,20250224,163000,50.54,50.54,50.54,50.54,200,0
YEAR.US,5,20250224,163500,50.54,50.54,50.54,50.54,100,0
YEAR.US,5,20250224,164000,50.545,50.545,50.545,50.545,100,0
YEAR.US,5,20250224,164500,50.5402,50.5491,50.5402,50.545,1241,0
YEAR.US,5,20250224,165000,50.54,50.545,50.54,50.545,457,0
YEAR.US,5,20250224,165500,50.56,50.56,50.545,50.545,3300,0
YEAR.US,5,20250224,170000,50.5491,50.55,50.545,50.545,1400,0
YEAR.US,5,20250224,171000,50.545,50.545,50.545,50.545,264,0
YEAR.US,5,20250224,171500,50.545,50.5491,50.545,50.5491,1202,0
YEAR.US,5,20250224,172000,50.545,50.5491,50.545,50.5491,1300,0
YEAR.US,5,20250224,172500,50.5467,50.55,50.54,50.54,2817,0
YEAR.US,5,20250224,173500,50.5491,50.5491,50.545,50.545,575,0
YEAR.US,5,20250224,174500,50.545,50.545,50.545,50.545,100,0
YEAR.US,5,20250224,175500,50.545,50.5491,50.545,50.5491,355,0
YEAR.US,5,20250224,180000,50.54,50.54,50.52,50.535,13135,0
YEAR.US,5,20250224,180500,50.535,50.535,50.535,50.535,200,0
YEAR.US,5,20250224,181000,50.535,50.54,50.535,50.5367,1260,0
YEAR.US,5,20250224,182000,50.5309,50.535,50.5309,50.535,1475,0
YEAR.US,5,20250224,182500,50.535,50.535,50.535,50.535,200,0
YEAR.US,5,20250224,183000,50.5301,50.5301,50.5301,50.5301,452,0
YEAR.US,5,20250224,183500,50.5349,50.5349,50.5349,50.5349,201,0
YEAR.US,5,20250224,185000,50.535,50.535,50.535,50.535,108,0
YEAR.US,5,20250224,185500,50.535,50.535,50.535,50.535,3000,0
YEAR.US,5,20250224,190000,50.5301,50.54,50.5301,50.54,205,0
YEAR.US,5,20250224,190500,50.535,50.535,50.535,50.535,250,0
YEAR.US,5,20250224,191500,50.54,50.54,50.5311,50.5311,498,0
YEAR.US,5,20250224,192000,50.535,50.54,50.535,50.5397,1222,0
YEAR.US,5,20250224,192500,50.535,50.5397,50.535,50.535,360,0
YEAR.US,5,20250224,193500,50.54,50.54,50.54,50.54,400,0
YEAR.US,5,20250224,194500,50.54,50.54,50.5397,50.5397,800,0
YEAR.US,5,20250224,195000,50.54,50.54,50.54,50.54,200,0
YEAR.US,5,20250224,200000,50.54,50.54,50.54,50.54,100,0
YEAR.US,5,20250224,201000,50.54,50.54,50.54,50.54,100,0
