<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIG.US,5,20250224,153000,76.96,77.85,76.94,77.825,14308,0
AIG.US,5,20250224,153500,77.91,78.5,77.885,78.43,69740,0
AIG.US,5,20250224,154000,78.51,78.51,78.17,78.22,34208,0
AIG.US,5,20250224,154500,78.24,78.35,78.19,78.3,35045,0
AIG.US,5,20250224,155000,78.28,78.39,78.16,78.295,11325,0
AIG.US,5,20250224,155500,78.23,78.32,78.08,78.16,31723,0
AIG.US,5,20250224,160000,78.16,78.26,77.8001,77.9,32023,0
AIG.US,5,20250224,160500,77.89,77.915,77.73,77.89,22553,0
AIG.US,5,20250224,161000,77.88,77.99,77.81,77.99,53741,0
AIG.US,5,20250224,161500,77.98,78.07,77.86,77.94,46402,0
AIG.US,5,20250224,162000,77.94,78.24,77.92,78.18,19000,0
AIG.US,5,20250224,162500,78.22,78.23,78.05,78.1,17561,0
AIG.US,5,20250224,163000,78.07,78.16,78,78,39760,0
AIG.US,5,20250224,163500,78,78.03,77.87,77.885,20228,0
AIG.US,5,20250224,164000,77.885,78.18,77.885,78.155,15870,0
AIG.US,5,20250224,164500,78.17,78.36,78.165,78.275,29157,0
AIG.US,5,20250224,165000,78.28,78.33,78.09,78.17,14811,0
AIG.US,5,20250224,165500,78.15,78.2,78.09,78.13,19077,0
AIG.US,5,20250224,170000,78.14,78.32,78.135,78.32,17505,0
AIG.US,5,20250224,170500,78.34,78.46,78.335,78.375,20250,0
AIG.US,5,20250224,171000,78.36,78.42,78.32,78.42,17395,0
AIG.US,5,20250224,171500,78.43,78.52,78.43,78.48,23084,0
AIG.US,5,20250224,172000,78.48,78.59,78.48,78.59,16948,0
AIG.US,5,20250224,172500,78.59,78.69,78.535,78.625,30057,0
AIG.US,5,20250224,173000,78.62,78.7,78.6,78.67,31358,0
AIG.US,5,20250224,173500,78.67,78.68,78.625,78.64,34072,0
AIG.US,5,20250224,174000,78.64,78.75,78.64,78.75,46205,0
AIG.US,5,20250224,174500,78.73,78.88,78.715,78.845,72468,0
AIG.US,5,20250224,175000,78.845,78.92,78.76,78.86,113269,0
AIG.US,5,20250224,175500,78.85,78.885,78.68,78.7,35706,0
AIG.US,5,20250224,180000,78.72,78.77,78.665,78.77,32487,0
AIG.US,5,20250224,180500,78.79,78.79,78.7,78.745,25982,0
AIG.US,5,20250224,181000,78.735,78.735,78.63,78.7,21931,0
AIG.US,5,20250224,181500,78.71,78.9,78.7,78.8825,40451,0
AIG.US,5,20250224,182000,78.9,78.92,78.8,78.86,17388,0
AIG.US,5,20250224,182500,78.86,78.86,78.64,78.6575,29360,0
AIG.US,5,20250224,183000,78.67,78.78,78.66,78.755,21524,0
AIG.US,5,20250224,183500,78.755,78.9,78.75,78.86,16255,0
AIG.US,5,20250224,184000,78.87,78.91,78.8,78.87,35218,0
AIG.US,5,20250224,184500,78.89,78.89,78.825,78.84,18537,0
AIG.US,5,20250224,185000,78.83,78.86,78.73,78.8,25121,0
AIG.US,5,20250224,185500,78.81,78.87,78.65,78.67,32481,0
AIG.US,5,20250224,190000,78.665,78.665,78.54,78.57,16604,0
AIG.US,5,20250224,190500,78.55,78.67,78.55,78.67,16111,0
AIG.US,5,20250224,191000,78.6825,78.69,78.35,78.37,24160,0
AIG.US,5,20250224,191500,78.375,78.55,78.36,78.54,16308,0
AIG.US,5,20250224,192000,78.535,78.62,78.52,78.62,7215,0
AIG.US,5,20250224,192500,78.63,78.68,78.59,78.59,27466,0
AIG.US,5,20250224,193000,78.59,78.735,78.59,78.71,26184,0
AIG.US,5,20250224,193500,78.72,78.84,78.7,78.83,23835,0
AIG.US,5,20250224,194000,78.82,78.84,78.765,78.785,19604,0
AIG.US,5,20250224,194500,78.785,78.82,78.68,78.72,16141,0
AIG.US,5,20250224,195000,78.72,78.74,78.68,78.71,16988,0
AIG.US,5,20250224,195500,78.73,78.75,78.68,78.695,23084,0
AIG.US,5,20250224,200000,78.71,78.86,78.71,78.81,34240,0
AIG.US,5,20250224,200500,78.8,78.85,78.78,78.83,19385,0
AIG.US,5,20250224,201000,78.81,78.83,78.75,78.76,15378,0
AIG.US,5,20250224,201500,78.72,78.76,78.615,78.63,21426,0
AIG.US,5,20250224,202000,78.625,78.64,78.54,78.6,17597,0
AIG.US,5,20250224,202500,78.595,78.78,78.595,78.775,23550,0
AIG.US,5,20250224,203000,78.78,78.82,78.76,78.77,32378,0
AIG.US,5,20250224,203500,78.78,78.81,78.75,78.77,18145,0
AIG.US,5,20250224,204000,78.79,78.98,78.77,78.95,27757,0
AIG.US,5,20250224,204500,78.95,78.955,78.83,78.865,20027,0
AIG.US,5,20250224,205000,78.85,78.875,78.805,78.845,29947,0
AIG.US,5,20250224,205500,78.845,78.85,78.78,78.82,41688,0
AIG.US,5,20250224,210000,78.82,78.87,78.78,78.8,26156,0
AIG.US,5,20250224,210500,78.8,78.86,78.79,78.825,27927,0
AIG.US,5,20250224,211000,78.825,78.83,78.7,78.715,30431,0
AIG.US,5,20250224,211500,78.72,78.89,78.69,78.885,36631,0
AIG.US,5,20250224,212000,78.9,78.9,78.71,78.715,36856,0
AIG.US,5,20250224,212500,78.71,78.7312,78.69,78.7312,25720,0
AIG.US,5,20250224,213000,78.74,78.92,78.74,78.895,58673,0
AIG.US,5,20250224,213500,78.895,78.93,78.77,78.8,42385,0
AIG.US,5,20250224,214000,78.79,78.95,78.74,78.87,69385,0
AIG.US,5,20250224,214500,78.88,78.995,78.79,78.82,68372,0
AIG.US,5,20250224,215000,78.84,78.9,78.51,78.56,82400,0
AIG.US,5,20250224,215500,78.57,78.71,78.54,78.57,935284,0
AIG.US,5,20250225,153000,78.885,79.55,78.885,79.39,33364,0
AIG.US,5,20250225,153500,79.51,79.51,79.14,79.23,16257,0
AIG.US,5,20250225,154000,79.22,79.43,79.105,79.105,13097,0
AIG.US,5,20250225,154500,79.09,79.18,79.015,79.15,19217,0
AIG.US,5,20250225,155000,79.195,79.42,79.15,79.42,23337,0
AIG.US,5,20250225,155500,79.39,79.57,79.35,79.47,42328,0
AIG.US,5,20250225,160000,79.44,79.44,79.1504,79.34,30087,0
AIG.US,5,20250225,160500,79.35,79.43,79.195,79.22,27707,0
AIG.US,5,20250225,161000,79.225,79.47,79.225,79.3,35766,0
AIG.US,5,20250225,161500,79.305,79.785,79.26,79.72,45541,0
AIG.US,5,20250225,162000,79.735,79.7752,79.435,79.475,67095,0
AIG.US,5,20250225,162500,79.5,79.79,79.4375,79.64,70075,0
AIG.US,5,20250225,163000,79.64,79.67,79.49,79.53,123316,0
AIG.US,5,20250225,163500,79.56,79.59,79.44,79.54,14617,0
AIG.US,5,20250225,164000,79.55,80.125,79.55,80.125,89822,0
AIG.US,5,20250225,164500,80.13,80.25,79.97,80.06,46700,0
AIG.US,5,20250225,165000,80.09,80.09,79.88,79.91,55620,0
AIG.US,5,20250225,165500,79.89,79.94,79.76,79.78,39170,0
AIG.US,5,20250225,170000,79.775,79.79,79.575,79.765,34119,0
AIG.US,5,20250225,170500,79.735,79.755,79.61,79.68,17434,0
AIG.US,5,20250225,171000,79.675,79.82,79.67,79.77,24300,0
