<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AII.US,5,20250509,153000,17.5786,17.5786,17.4,17.405,3066,0
AII.US,5,20250509,153500,17.405,17.55,17.405,17.4726,4149,0
AII.US,5,20250509,154000,17.5701,17.755,17.46,17.51,6106,0
AII.US,5,20250509,154500,17.56,17.61,17.47,17.61,1200,0
AII.US,5,20250509,155000,17.62,18.06,17.62,17.63,18116,0
AII.US,5,20250509,155500,17.63,17.72,17.63,17.7,2400,0
AII.US,5,20250509,160000,17.72,17.85,17.62,17.66,33176,0
AII.US,5,20250509,160500,17.71,17.85,17.66,17.805,15700,0
AII.US,5,20250509,161000,17.66,17.805,17.66,17.75,108550,0
AII.US,5,20250509,161500,17.7,17.75,17.4,17.495,38807,0
AII.US,5,20250509,162000,17.5,17.5,17.32,17.5,65900,0
AII.US,5,20250509,162500,17.5,17.5,17.43,17.5,4100,0
AII.US,5,20250509,163000,17.6,17.6,17.31,17.31,2141,0
AII.US,5,20250509,163500,17.37,17.37,17.05,17.095,4010,0
AII.US,5,20250509,164000,17.095,17.285,17,17.135,11761,0
AII.US,5,20250509,164500,17.15,17.2,17.115,17.115,2450,0
AII.US,5,20250509,165000,17.115,17.115,17.02,17.06,400,0
AII.US,5,20250509,165500,17.115,17.13,17.01,17.01,2000,0
AII.US,5,20250509,170000,17.01,17.22,17,17,1900,0
AII.US,5,20250509,170500,17.1,17.2019,16.95,16.975,18840,0
AII.US,5,20250509,171000,16.975,17.33,16.9501,17.28,12065,0
AII.US,5,20250509,171500,17.19,17.2827,17.13,17.135,4200,0
AII.US,5,20250509,172000,17.08,17.305,17.04,17.29,4091,0
AII.US,5,20250509,172500,17.335,17.335,17.18,17.225,700,0
AII.US,5,20250509,173000,17.165,17.22,17.12,17.12,500,0
AII.US,5,20250509,173500,17.13,17.2225,17.1,17.11,2600,0
AII.US,5,20250509,174000,17.125,17.3,17.125,17.3,2396,0
AII.US,5,20250509,174500,17.2411,17.3,17.15,17.15,500,0
AII.US,5,20250509,175000,17.15,17.17,17.11,17.11,1700,0
AII.US,5,20250509,175500,17.1,17.1995,16.8,16.8,19621,0
AII.US,5,20250509,180000,17.015,17.095,16.82,17.095,3700,0
AII.US,5,20250509,180500,16.99,17.105,16.99,17.105,1300,0
AII.US,5,20250509,181000,17,17.105,16.84,16.86,1816,0
AII.US,5,20250509,181500,16.95,17.1,16.86,17.1,28422,0
AII.US,5,20250509,182000,17.09,17.09,16.93,16.96,19756,0
AII.US,5,20250509,182500,16.93,16.98,16.87,16.925,15910,0
AII.US,5,20250509,183000,16.925,16.925,16.655,16.725,26361,0
AII.US,5,20250509,183500,16.725,16.755,16.725,16.75,3744,0
AII.US,5,20250509,184000,16.755,16.755,16.5,16.5,3872,0
AII.US,5,20250509,184500,16.45,16.54,16.34,16.51,4900,0
AII.US,5,20250509,185000,16.51,16.54,16.44,16.5,2809,0
AII.US,5,20250509,185500,16.5,16.58,16.47,16.54,8476,0
AII.US,5,20250509,190000,16.52,16.53,16.5,16.53,719,0
AII.US,5,20250509,190500,16.53,16.53,16.5,16.5,500,0
AII.US,5,20250509,191000,16.5,16.53,16.36,16.36,8167,0
AII.US,5,20250509,191500,16.37,16.66,16.165,16.66,6438,0
AII.US,5,20250509,192000,16.59,16.6565,16.59,16.6565,200,0
AII.US,5,20250509,192500,16.53,16.53,16.53,16.53,100,0
AII.US,5,20250509,193000,16.5,16.5,16.245,16.275,5699,0
AII.US,5,20250509,193500,16.275,16.4,16.2375,16.37,3201,0
AII.US,5,20250509,194000,16.395,16.395,16.25,16.25,800,0
AII.US,5,20250509,194500,16.25,16.36,16.231,16.305,3841,0
AII.US,5,20250509,195500,16.25,16.3,16.25,16.25,802,0
AII.US,5,20250509,200000,16.25,16.3,16.225,16.26,7207,0
AII.US,5,20250509,200500,16.25,16.6,16.11,16.6,36276,0
AII.US,5,20250509,201000,16.63,16.63,16.25,16.25,901,0
AII.US,5,20250509,201500,16.305,16.305,16.305,16.305,126,0
AII.US,5,20250509,202000,16.305,16.31,16.25,16.255,3641,0
AII.US,5,20250509,202500,16.26,16.6674,16.215,16.535,30088,0
AII.US,5,20250509,203000,16.5,16.745,16.5,16.74,11827,0
AII.US,5,20250509,203500,16.7,16.74,16.5,16.635,600,0
AII.US,5,20250509,204000,16.5,16.635,16.5,16.54,600,0
AII.US,5,20250509,204500,16.55,16.75,16.55,16.58,1200,0
AII.US,5,20250509,205000,16.535,16.735,16.535,16.735,3058,0
AII.US,5,20250509,205500,16.71,16.72,16.66,16.69,1100,0
AII.US,5,20250509,210000,16.69,16.69,16.665,16.665,3375,0
AII.US,5,20250509,210500,16.665,16.795,16.665,16.795,1402,0
AII.US,5,20250509,211000,16.665,16.81,16.56,16.665,2782,0
AII.US,5,20250509,211500,16.795,16.8,16.56,16.6605,1999,0
AII.US,5,20250509,212000,16.66,16.8,16.56,16.56,1122,0
AII.US,5,20250509,212500,16.6625,16.93,16.5534,16.93,2775,0
AII.US,5,20250509,213000,16.575,16.9,16.575,16.7,6967,0
AII.US,5,20250509,213500,16.74,16.77,16.66,16.74,1300,0
AII.US,5,20250509,214000,16.65,16.72,16.65,16.65,2735,0
AII.US,5,20250509,214500,16.65,16.705,16.515,16.5287,4154,0
AII.US,5,20250509,215000,16.705,16.95,16.52,16.85,9973,0
AII.US,5,20250509,215500,16.85,17.25,16.825,17.25,21098,0
AII.US,5,20250512,153500,17.5,17.5,17.5,17.5,2000,0
AII.US,5,20250512,154000,17.22,17.22,17,17,400,0
AII.US,5,20250512,154500,17.25,17.25,17.25,17.25,200,0
AII.US,5,20250512,155000,17.345,17.345,17.345,17.345,100,0
AII.US,5,20250512,160000,17.23,17.365,17.23,17.365,900,0
AII.US,5,20250512,160500,17.365,17.365,17.365,17.365,350,0
AII.US,5,20250512,161000,17.32,17.32,17.32,17.32,100,0
AII.US,5,20250512,161500,17.32,17.32,17.32,17.32,100,0
AII.US,5,20250512,162000,17.3,17.33,17.2,17.2,5871,0
AII.US,5,20250512,162500,17.14,17.14,17.05,17.05,398,0
AII.US,5,20250512,165000,17.058,17.058,17.058,17.058,200,0
AII.US,5,20250512,171000,17.15,17.175,17.04,17.04,7527,0
AII.US,5,20250512,171500,17.05,17.175,17.025,17.05,10635,0
AII.US,5,20250512,172000,17.05,17.075,16.975,17,2428,0
AII.US,5,20250512,172500,16.975,16.975,16.975,16.975,100,0
AII.US,5,20250512,173500,17.05,17.09,16.96,17,8688,0
AII.US,5,20250512,174000,17.09,17.09,16.95,17.04,1981,0
AII.US,5,20250512,174500,16.95,17.025,16.95,16.95,3895,0
AII.US,5,20250512,175000,16.95,17.0585,16.94,16.95,2938,0
AII.US,5,20250512,175500,16.995,16.995,16.99,16.99,207,0
AII.US,5,20250512,180500,16.995,16.995,16.995,16.995,210,0
AII.US,5,20250512,181000,16.98,16.995,16.9132,16.99,986,0
AII.US,5,20250512,181500,16.99,16.99,16.93,16.93,1200,0
AII.US,5,20250512,182000,16.9,16.94,16.81,16.93,6549,0
AII.US,5,20250512,183000,16.85,16.85,16.85,16.85,100,0
AII.US,5,20250512,183500,16.92,16.935,16.92,16.935,294,0
AII.US,5,20250512,184000,16.85,16.85,16.85,16.85,400,0
AII.US,5,20250512,184500,16.92,17,16.92,16.9785,3300,0
AII.US,5,20250512,185000,16.99,17,16.99,17,535,0
AII.US,5,20250512,185500,17,17.005,17,17,1187,0
AII.US,5,20250512,192000,16.98,16.98,16.98,16.98,300,0
AII.US,5,20250512,193000,16.93,16.97,16.93,16.97,400,0
AII.US,5,20250512,195000,16.99,17.05,16.985,17.025,8522,0
AII.US,5,20250512,195500,17.0487,17.07,17.025,17.04,2576,0
AII.US,5,20250512,201000,17.06,17.14,17.06,17.14,500,0
AII.US,5,20250512,201500,17.15,17.15,17.11,17.11,566,0
AII.US,5,20250512,202000,17.135,17.135,17.135,17.135,105,0
AII.US,5,20250512,202500,17.135,17.135,17.135,17.135,200,0
AII.US,5,20250512,203000,17.135,17.135,17.1,17.11,400,0
AII.US,5,20250512,203500,17.08,17.08,17.08,17.08,198,0
AII.US,5,20250512,204000,17.08,17.135,17.08,17.08,814,0
AII.US,5,20250512,205000,17.08,17.08,17.08,17.08,100,0
AII.US,5,20250512,205500,17.1,17.1,17.1,17.1,400,0
AII.US,5,20250512,210000,17,17.08,17,17.08,500,0
AII.US,5,20250512,210500,17.01,17.01,17.01,17.01,100,0
AII.US,5,20250512,211000,17,17.075,17,17,713,0
AII.US,5,20250512,211500,17,17.07,17,17,1300,0
AII.US,5,20250512,212000,17,17.005,17,17,2682,0
AII.US,5,20250512,212500,17,17.005,17,17,907,0
AII.US,5,20250512,213000,17.005,17.005,17.005,17.005,800,0
AII.US,5,20250512,213500,17.005,17.005,17.005,17.005,1100,0
AII.US,5,20250512,214000,17.005,17.005,17,17.005,7334,0
AII.US,5,20250512,214500,17.005,17.0896,17.005,17.0896,2100,0
AII.US,5,20250512,215000,17.045,17.05,17.045,17.05,1100,0
AII.US,5,20250512,215500,17.05,17.26,17.03,17.25,18224,0
AII.US,5,20250513,153000,16.93,16.93,16.93,16.93,100,0
AII.US,5,20250513,153500,16.9797,16.9797,16.9797,16.9797,200,0
AII.US,5,20250513,160000,16.97,17.06,16.96,17.06,300,0
AII.US,5,20250513,162000,17.11,17.25,17.095,17.1789,6925,0
AII.US,5,20250513,162500,17.23,17.265,17.23,17.265,241,0
AII.US,5,20250513,163000,17.265,17.265,17.23,17.23,515,0
AII.US,5,20250513,164000,17.155,17.155,17.155,17.155,100,0
AII.US,5,20250513,164500,17.16,17.16,17.04,17.04,450,0
AII.US,5,20250513,165000,17.23,17.23,17.23,17.23,100,0
AII.US,5,20250513,170000,17.302,17.302,17.302,17.302,1000,0
AII.US,5,20250513,170500,17.19,17.275,17.06,17.275,300,0
AII.US,5,20250513,172000,17.275,17.2775,17.275,17.2775,200,0
AII.US,5,20250513,173500,17.275,17.275,17.275,17.275,100,0
AII.US,5,20250513,180500,17.28,17.28,17.22,17.22,214,0
AII.US,5,20250513,181500,17.225,17.23,17.225,17.23,200,0
AII.US,5,20250513,184000,17.225,17.225,17.225,17.225,300,0
AII.US,5,20250513,184500,17.2,17.28,17.2,17.28,1500,0
AII.US,5,20250513,191500,17.22,17.28,17.22,17.28,327,0
AII.US,5,20250513,192500,17.276,17.2886,17.2,17.2,1600,0
AII.US,5,20250513,193000,17.3,17.46,17.27,17.46,2140,0
AII.US,5,20250513,194000,17.47,17.47,17.47,17.47,100,0
AII.US,5,20250513,194500,17.325,17.345,17.325,17.345,3700,0
AII.US,5,20250513,195000,17.48,17.48,17.345,17.345,300,0
AII.US,5,20250513,200000,17.305,17.46,17.25,17.28,8443,0
AII.US,5,20250513,200500,17.25,17.25,17.25,17.25,1100,0
AII.US,5,20250513,201000,17.25,17.325,17.25,17.25,1700,0
AII.US,5,20250513,201500,17.25,17.345,17.25,17.32,1595,0
AII.US,5,20250513,202000,17.25,17.315,17.19,17.19,500,0
AII.US,5,20250513,202500,17.32,17.32,17.32,17.32,100,0
AII.US,5,20250513,203000,17.32,17.32,17.32,17.32,100,0
AII.US,5,20250513,203500,17.2,17.2,17.2,17.2,100,0
AII.US,5,20250513,204000,17.25,17.25,17.25,17.25,1700,0
AII.US,5,20250513,204500,17.25,17.25,17.25,17.25,200,0
AII.US,5,20250513,205000,17.25,17.26,17.18,17.2,3100,0
AII.US,5,20250513,205500,17.25,17.33,17.2,17.25,1700,0
AII.US,5,20250513,210000,17.2,17.3,17.19,17.19,2239,0
AII.US,5,20250513,210500,17.19,17.19,17.18,17.18,300,0
AII.US,5,20250513,211000,17.29,17.29,17.18,17.26,11157,0
AII.US,5,20250513,211500,17.19,17.235,17.16,17.235,1330,0
AII.US,5,20250513,212000,17.16,17.235,17.15,17.23,1070,0
AII.US,5,20250513,212500,17.17,17.17,17.16,17.16,200,0
AII.US,5,20250513,213000,17.235,17.235,17.15,17.19,1602,0
AII.US,5,20250513,213500,17.19,17.19,17.19,17.19,200,0
AII.US,5,20250513,214000,17.19,17.19,17.19,17.19,300,0
AII.US,5,20250513,214500,17.19,17.19,17.15,17.185,1290,0
AII.US,5,20250513,215000,17.17,17.17,17.17,17.17,118,0
AII.US,5,20250513,215500,17.25,17.44,17.15,17.41,12777,0
AII.US,5,20250514,153000,17.075,17.075,17.055,17.055,200,0
AII.US,5,20250514,160000,17.055,17.055,17.05,17.05,205,0
AII.US,5,20250514,161500,17.125,17.125,17,17.1002,3226,0
AII.US,5,20250514,162000,17.1,17.11,17.04,17.05,3237,0
AII.US,5,20250514,162500,17.175,17.175,17.06,17.15,2448,0
AII.US,5,20250514,163000,17.09,17.21,17.07,17.185,900,0
AII.US,5,20250514,163500,17.19,17.19,17.19,17.19,100,0
AII.US,5,20250514,165500,17.24,17.24,17.24,17.24,100,0
AII.US,5,20250514,170500,17.2,17.2,17.17,17.17,667,0
AII.US,5,20250514,171000,17.15,17.225,17.15,17.15,700,0
AII.US,5,20250514,171500,17.0912,17.175,17.0912,17.175,500,0
AII.US,5,20250514,172500,17.185,17.185,17.185,17.185,130,0
AII.US,5,20250514,173000,17.1113,17.1113,17.1113,17.1113,100,0
AII.US,5,20250514,174000,17.15,17.175,17.13,17.175,1027,0
AII.US,5,20250514,174500,17.15,17.1585,17.15,17.1585,200,0
AII.US,5,20250514,175000,17.15,17.25,17.15,17.25,800,0
AII.US,5,20250514,175500,17.325,17.325,17.325,17.325,100,0
AII.US,5,20250514,180000,17.16,17.17,17.15,17.15,1000,0
AII.US,5,20250514,180500,17.205,17.205,17.13,17.2024,850,0
AII.US,5,20250514,182500,17.1,17.1,17.1,17.1,407,0
AII.US,5,20250514,183000,17.165,17.165,17.1,17.165,2040,0
AII.US,5,20250514,183500,17.205,17.205,17.1,17.1601,2200,0
AII.US,5,20250514,184000,17.1507,17.18,17.08,17.13,2192,0
AII.US,5,20250514,184500,17.11,17.165,17.11,17.165,300,0
AII.US,5,20250514,185000,17.165,17.23,17.165,17.23,300,0
AII.US,5,20250514,185500,17.245,17.245,17.245,17.245,100,0
AII.US,5,20250514,190000,17.245,17.245,17.245,17.245,100,0
AII.US,5,20250514,191000,17.245,17.245,17.245,17.245,400,0
AII.US,5,20250514,194500,17.1,17.1,17.1,17.1,400,0
AII.US,5,20250514,200000,17.245,17.245,17.245,17.245,1200,0
AII.US,5,20250514,200500,17.17,17.17,17.17,17.17,200,0
AII.US,5,20250514,201000,17.11,17.11,17.1,17.1,200,0
AII.US,5,20250514,201500,17.155,17.185,17.155,17.185,221,0
AII.US,5,20250514,202000,17.185,17.185,17.185,17.185,200,0
AII.US,5,20250514,203000,17.21,17.21,17.21,17.21,100,0
AII.US,5,20250514,203500,17.21,17.21,17.21,17.21,100,0
AII.US,5,20250514,204000,17.185,17.21,17.185,17.21,200,0
AII.US,5,20250514,204500,17.185,17.185,17.185,17.185,200,0
AII.US,5,20250514,205000,17.21,17.21,17.21,17.21,100,0
AII.US,5,20250514,205500,17.21,17.21,17.21,17.21,200,0
AII.US,5,20250514,210000,17.21,17.21,17.1,17.1,2031,0
AII.US,5,20250514,210500,17.08,17.08,17.08,17.08,400,0
AII.US,5,20250514,211000,17.08,17.08,17.08,17.08,100,0
AII.US,5,20250514,211500,17.15,17.25,17.14,17.21,518,0
AII.US,5,20250514,212000,17.21,17.25,17.21,17.21,300,0
AII.US,5,20250514,212500,17.25,17.25,17.21,17.21,300,0
AII.US,5,20250514,213000,17.25,17.25,17.14,17.14,400,0
AII.US,5,20250514,213500,17.21,17.21,17.14,17.14,400,0
AII.US,5,20250514,214000,17.14,17.14,17.12,17.14,2700,0
AII.US,5,20250514,214500,17.14,17.14,17.115,17.115,900,0
AII.US,5,20250514,215000,17.13,17.265,17.13,17.265,1700,0
AII.US,5,20250514,215500,17.25,17.28,17.09,17.25,22917,0
AII.US,5,20250515,153000,17.25,17.25,17.25,17.25,428,0
AII.US,5,20250515,154500,16.95,16.95,16.9,16.9,350,0
AII.US,5,20250515,155000,16.775,16.795,16.445,16.45,7502,0
AII.US,5,20250515,155500,16.5,16.86,16.5,16.71,5277,0
AII.US,5,20250515,160000,16.77,17,16.58,17,22778,0
AII.US,5,20250515,160500,17,17,16.99,16.99,1100,0
AII.US,5,20250515,161000,16.95,16.97,16.875,16.875,735,0
AII.US,5,20250515,161500,16.875,16.875,16.875,16.875,100,0
AII.US,5,20250515,162000,16.875,16.925,16.875,16.9,400,0
AII.US,5,20250515,162500,16.9,17.01,16.86,16.86,7796,0
AII.US,5,20250515,163000,16.8165,16.9,16.8165,16.9,250,0
AII.US,5,20250515,163500,16.86,16.9,16.86,16.9,200,0
AII.US,5,20250515,164000,16.91,16.9999,16.87,16.9,4905,0
AII.US,5,20250515,164500,16.85,16.85,16.85,16.85,200,0
AII.US,5,20250515,165000,16.85,16.85,16.78,16.78,3100,0
AII.US,5,20250515,165500,16.77,16.78,16.75,16.77,2328,0
AII.US,5,20250515,170000,16.77,16.77,16.75,16.77,1234,0
