<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALTG.US,5,20250224,153000,6.47,6.47,6.445,6.445,500,0
ALTG.US,5,20250224,153500,6.41,6.41,6.38,6.38,1494,0
ALTG.US,5,20250224,154000,6.37,6.4,6.37,6.4,1363,0
ALTG.US,5,20250224,154500,6.44,6.44,6.44,6.44,100,0
ALTG.US,5,20250224,155000,6.4,6.41,6.395,6.395,679,0
ALTG.US,5,20250224,155500,6.4,6.4,6.36,6.39,4044,0
ALTG.US,5,20250224,160000,6.375,6.39,6.33,6.34,8302,0
ALTG.US,5,20250224,160500,6.355,6.375,6.33,6.375,1971,0
ALTG.US,5,20250224,161000,6.41,6.43,6.41,6.43,464,0
ALTG.US,5,20250224,161500,6.425,6.425,6.38,6.38,1090,0
ALTG.US,5,20250224,162000,6.38,6.39,6.375,6.39,2581,0
ALTG.US,5,20250224,162500,6.35,6.35,6.34,6.34,1130,0
ALTG.US,5,20250224,163000,6.33,6.33,6.26,6.26,3645,0
ALTG.US,5,20250224,163500,6.27,6.28,6.26,6.27,2383,0
ALTG.US,5,20250224,164000,6.25,6.26,6.25,6.26,300,0
ALTG.US,5,20250224,164500,6.27,6.27,6.22,6.23,4448,0
ALTG.US,5,20250224,165000,6.24,6.24,6.2,6.235,4355,0
ALTG.US,5,20250224,165500,6.22,6.22,6.21,6.21,702,0
ALTG.US,5,20250224,170000,6.22,6.22,6.22,6.22,406,0
ALTG.US,5,20250224,170500,6.22,6.22,6.18,6.205,2552,0
ALTG.US,5,20250224,171000,6.2,6.22,6.2,6.215,1369,0
ALTG.US,5,20250224,171500,6.22,6.24,6.21,6.21,2378,0
ALTG.US,5,20250224,172000,6.21,6.22,6.21,6.22,918,0
ALTG.US,5,20250224,172500,6.23,6.3,6.23,6.24,3076,0
ALTG.US,5,20250224,173500,6.22,6.22,6.15,6.15,2773,0
ALTG.US,5,20250224,174000,6.19,6.2,6.15,6.2,3909,0
ALTG.US,5,20250224,174500,6.21,6.22,6.21,6.21,835,0
ALTG.US,5,20250224,175000,6.2,6.2,6.19,6.2,424,0
ALTG.US,5,20250224,175500,6.19,6.19,6.14,6.14,1578,0
ALTG.US,5,20250224,180000,6.14,6.14,6.12,6.12,1398,0
ALTG.US,5,20250224,180500,6.125,6.13,6.125,6.13,517,0
ALTG.US,5,20250224,181000,6.14,6.14,6.14,6.14,515,0
ALTG.US,5,20250224,181500,6.14,6.15,6.14,6.15,905,0
ALTG.US,5,20250224,182000,6.15,6.15,6.15,6.15,100,0
ALTG.US,5,20250224,182500,6.14,6.145,6.14,6.14,892,0
ALTG.US,5,20250224,183000,6.13,6.13,6.1,6.105,5845,0
ALTG.US,5,20250224,183500,6.09,6.11,6.09,6.11,400,0
ALTG.US,5,20250224,184000,6.12,6.12,6.1,6.105,1720,0
ALTG.US,5,20250224,184500,6.1,6.12,6.1,6.1199,2617,0
ALTG.US,5,20250224,185000,6.12,6.12,6.08,6.08,4901,0
ALTG.US,5,20250224,185500,6.07,6.07,6.07,6.07,200,0
ALTG.US,5,20250224,190000,6.07,6.07,6.07,6.07,528,0
ALTG.US,5,20250224,190500,6.07,6.0783,6.07,6.0783,505,0
ALTG.US,5,20250224,191000,6.06,6.06,6.02,6.02,2500,0
ALTG.US,5,20250224,191500,6.02,6.0321,6.015,6.0321,2300,0
ALTG.US,5,20250224,192000,6.03,6.03,6.0222,6.03,511,0
ALTG.US,5,20250224,192500,6.02,6.02,6.005,6.01,1809,0
ALTG.US,5,20250224,193000,6.02,6.02,6,6,1208,0
ALTG.US,5,20250224,193500,6.005,6.005,6,6,1409,0
ALTG.US,5,20250224,194000,6,6,5.98,5.98,3912,0
ALTG.US,5,20250224,194500,5.985,5.99,5.96,5.98,3098,0
ALTG.US,5,20250224,195500,5.96,5.96,5.96,5.96,500,0
ALTG.US,5,20250224,200000,5.96,6.055,5.96,6.055,15235,0
ALTG.US,5,20250224,200500,6.055,6.09,6.055,6.09,1300,0
ALTG.US,5,20250224,201000,6.08,6.09,6.07,6.07,16530,0
ALTG.US,5,20250224,201500,6.08,6.08,6.065,6.065,596,0
ALTG.US,5,20250224,202500,6.05,6.05,6.01,6.01,2641,0
ALTG.US,5,20250224,203000,6.01,6.02,6.01,6.02,1335,0
ALTG.US,5,20250224,203500,6.02,6.02,6.01,6.01,500,0
ALTG.US,5,20250224,204000,6,6.02,6,6.02,1322,0
ALTG.US,5,20250224,204500,6.015,6.015,6,6,1138,0
ALTG.US,5,20250224,205000,6,6.01,6,6.01,2500,0
ALTG.US,5,20250224,205500,6.005,6.04,6.005,6.03,2813,0
ALTG.US,5,20250224,210000,6.03,6.03,6.03,6.03,400,0
ALTG.US,5,20250224,210500,6.03,6.03,6.01,6.01,600,0
ALTG.US,5,20250224,211000,6.02,6.02,6.02,6.02,1325,0
ALTG.US,5,20250224,211500,6.015,6.03,6.015,6.025,832,0
ALTG.US,5,20250224,212000,6.025,6.025,6.025,6.025,200,0
ALTG.US,5,20250224,212500,6.025,6.025,6.025,6.025,670,0
ALTG.US,5,20250224,213000,6.02,6.025,6.02,6.025,982,0
ALTG.US,5,20250224,213500,6.025,6.035,6.01,6.02,5260,0
ALTG.US,5,20250224,214000,6.01,6.02,6,6.01,3392,0
ALTG.US,5,20250224,214500,5.99,6.005,5.99,5.995,2720,0
ALTG.US,5,20250224,215000,5.995,5.995,5.925,5.925,15279,0
ALTG.US,5,20250224,215500,5.925,5.9299,5.87,5.87,48895,0
ALTG.US,5,20250225,153000,5.91,5.91,5.84,5.905,1880,0
ALTG.US,5,20250225,153500,5.88,5.88,5.88,5.88,100,0
ALTG.US,5,20250225,154000,5.86,5.86,5.82,5.82,1360,0
ALTG.US,5,20250225,154500,5.8,5.81,5.78,5.78,1395,0
ALTG.US,5,20250225,155000,5.75,5.75,5.6985,5.7,1602,0
ALTG.US,5,20250225,155500,5.71,5.81,5.71,5.81,13553,0
ALTG.US,5,20250225,160000,5.805,5.84,5.725,5.84,30033,0
ALTG.US,5,20250225,160500,5.8,5.8185,5.785,5.81,3445,0
ALTG.US,5,20250225,161000,5.82,5.82,5.79,5.79,400,0
ALTG.US,5,20250225,161500,5.76,5.78,5.72,5.73,931,0
ALTG.US,5,20250225,162000,5.73,5.74,5.705,5.705,3819,0
ALTG.US,5,20250225,162500,5.69,5.69,5.65,5.68,2078,0
ALTG.US,5,20250225,163000,5.66,5.69,5.66,5.69,2509,0
