<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALUR.US,5,20250224,153000,3.49,3.5068,3.42,3.44,3670,0
ALUR.US,5,20250224,153500,3.445,3.445,3.445,3.445,100,0
ALUR.US,5,20250224,154000,3.46,3.46,3.37,3.37,1542,0
ALUR.US,5,20250224,154500,3.425,3.425,3.39,3.4,4226,0
ALUR.US,5,20250224,155500,3.335,3.335,3.21,3.3,2330,0
ALUR.US,5,20250224,160000,3.25,3.25,3.14,3.2,4990,0
ALUR.US,5,20250224,160500,3.1401,3.19,3.1,3.19,3487,0
ALUR.US,5,20250224,161000,3.24,3.24,3.24,3.24,140,0
ALUR.US,5,20250224,161500,3.2,3.2,3.2,3.2,250,0
ALUR.US,5,20250224,162000,3.2,3.2,3.2,3.2,200,0
ALUR.US,5,20250224,162500,3.21,3.21,3.2001,3.2001,1429,0
ALUR.US,5,20250224,163000,3.2499,3.25,3.225,3.25,5450,0
ALUR.US,5,20250224,163500,3.25,3.25,3.225,3.2335,1400,0
ALUR.US,5,20250224,164000,3.225,3.225,3.225,3.225,100,0
ALUR.US,5,20250224,164500,3.2225,3.2225,3.2,3.2,2600,0
ALUR.US,5,20250224,165000,3.2035,3.2035,3.1841,3.1896,2800,0
ALUR.US,5,20250224,170000,3.1847,3.205,3.1847,3.205,2100,0
ALUR.US,5,20250224,170500,3.2325,3.2325,3.2325,3.2325,100,0
ALUR.US,5,20250224,171000,3.2486,3.2486,3.2,3.214,1632,0
ALUR.US,5,20250224,171500,3.2029,3.2029,3.2029,3.2029,300,0
ALUR.US,5,20250224,172000,3.25,3.265,3.25,3.2628,2615,0
ALUR.US,5,20250224,172500,3.2862,3.2862,3.2862,3.2862,100,0
ALUR.US,5,20250224,173500,3.2655,3.2655,3.25,3.25,1887,0
ALUR.US,5,20250224,174000,3.34,3.34,3.29,3.34,5897,0
ALUR.US,5,20250224,174500,3.29,3.29,3.2414,3.2414,599,0
ALUR.US,5,20250224,175500,3.295,3.34,3.24,3.25,1854,0
ALUR.US,5,20250224,180000,3.31,3.31,3.31,3.31,835,0
ALUR.US,5,20250224,180500,3.2994,3.2994,3.2994,3.2994,100,0
ALUR.US,5,20250224,181500,3.32,3.32,3.32,3.32,294,0
