<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUNA.US,5,20250224,160000,8.15,8.15,8.15,8.15,600,0
AUNA.US,5,20250224,164500,8.1501,8.1501,8.1501,8.1501,100,0
AUNA.US,5,20250224,165500,8.185,8.185,8.185,8.185,100,0
AUNA.US,5,20250224,173000,8.19,8.19,8.17,8.17,1024,0
AUNA.US,5,20250224,175000,8.15,8.15,8.08,8.08,1703,0
AUNA.US,5,20250224,194000,8.0448,8.0448,8.0448,8.0448,130,0
AUNA.US,5,20250224,194500,8.09,8.1256,8.09,8.1256,977,0
AUNA.US,5,20250224,201000,8.16,8.16,8.16,8.16,100,0
AUNA.US,5,20250224,210000,8.1231,8.1231,8.1231,8.1231,200,0
AUNA.US,5,20250224,210500,8.1,8.1,8.1,8.1,771,0
AUNA.US,5,20250224,215500,8.03,8.09,8.03,8.09,369,0
AUNA.US,5,20250225,153000,8.09,8.09,8.09,8.09,400,0
AUNA.US,5,20250225,162000,8.24,8.24,8.24,8.24,400,0
AUNA.US,5,20250225,165000,8.24,8.25,8.24,8.25,723,0
AUNA.US,5,20250225,171000,8.21,8.21,8.2,8.2,200,0
AUNA.US,5,20250225,173000,8.18,8.18,8.18,8.18,100,0
AUNA.US,5,20250225,175500,8.15,8.165,8.15,8.165,1200,0
AUNA.US,5,20250225,183500,8.15,8.15,8.15,8.15,100,0
AUNA.US,5,20250225,191500,8.115,8.115,8.115,8.115,134,0
AUNA.US,5,20250225,195000,8.13,8.19,8.13,8.19,978,0
AUNA.US,5,20250225,195500,8.22,8.22,8.22,8.22,400,0
AUNA.US,5,20250225,200500,8.28,8.33,8.27,8.33,2318,0
AUNA.US,5,20250225,201500,8.31,8.31,8.31,8.31,400,0
AUNA.US,5,20250225,202500,8.205,8.205,8.205,8.205,200,0
AUNA.US,5,20250225,203500,8.09,8.09,8.09,8.09,100,0
AUNA.US,5,20250225,215500,8.2,8.2,8.16,8.16,376,0
AUNA.US,5,20250226,154500,8.165,8.165,8.165,8.165,102,0
AUNA.US,5,20250226,161500,8.25,8.25,8.25,8.25,1000,0
AUNA.US,5,20250226,163000,8.2,8.2,8.2,8.2,143,0
AUNA.US,5,20250226,163500,8.175,8.175,8.175,8.175,500,0
AUNA.US,5,20250226,180000,8.17,8.24,8.17,8.24,210,0
AUNA.US,5,20250226,181500,8.23,8.24,8.23,8.24,478,0
AUNA.US,5,20250226,182500,8.17,8.19,8.12,8.19,2020,0
AUNA.US,5,20250226,183500,8.12,8.12,8.12,8.12,100,0
AUNA.US,5,20250226,184500,8.12,8.12,8.12,8.12,300,0
AUNA.US,5,20250226,191500,8.11,8.11,8.11,8.11,100,0
AUNA.US,5,20250226,193000,8.12,8.12,8.1,8.1,500,0
AUNA.US,5,20250226,194500,8.09,8.09,8.09,8.09,700,0
AUNA.US,5,20250226,195000,8.0944,8.0944,8.09,8.09,443,0
AUNA.US,5,20250226,195500,8.09,8.09,8.09,8.09,100,0
AUNA.US,5,20250226,200000,8.0946,8.0946,8.0946,8.0946,100,0
AUNA.US,5,20250226,201500,8.11,8.11,8.11,8.11,132,0
AUNA.US,5,20250226,202000,8.11,8.11,8.11,8.11,100,0
