<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS.US,5,20250224,153000,15.285,15.285,15.23,15.26,109984,0
BCS.US,5,20250224,153500,15.265,15.265,15.225,15.25,40068,0
BCS.US,5,20250224,154000,15.25,15.25,15.19,15.2016,79927,0
BCS.US,5,20250224,154500,15.21,15.22,15.15,15.16,145528,0
BCS.US,5,20250224,155000,15.155,15.16,15.1,15.12,126429,0
BCS.US,5,20250224,155500,15.13,15.13,15.04,15.0501,324825,0
BCS.US,5,20250224,160000,15.05,15.09,14.98,15.0001,684778,0
BCS.US,5,20250224,160500,15.01,15.01,14.9,14.96,559588,0
BCS.US,5,20250224,161000,14.955,15.01,14.95,15.005,799880,0
BCS.US,5,20250224,161500,15.0001,15.04,14.99,15,782295,0
BCS.US,5,20250224,162000,15.01,15.05,15.01,15.0301,617155,0
BCS.US,5,20250224,162500,15.035,15.04,14.99,15,606125,0
BCS.US,5,20250224,163000,15.0056,15.03,14.98,15.0199,772913,0
BCS.US,5,20250224,163500,15.02,15.05,15,15.035,520921,0
BCS.US,5,20250224,164000,15.03,15.04,15.01,15.02,622608,0
BCS.US,5,20250224,164500,15.0201,15.05,14.99,15.025,1015278,0
BCS.US,5,20250224,165000,15.02,15.04,14.99,14.99,796085,0
BCS.US,5,20250224,165500,14.99,15.01,14.98,15,549419,0
BCS.US,5,20250224,170000,15.01,15.04,15,15.04,1687024,0
BCS.US,5,20250224,170500,15.0372,15.07,15.02,15.065,613088,0
BCS.US,5,20250224,171000,15.06,15.08,15.05,15.065,448426,0
BCS.US,5,20250224,171500,15.0699,15.11,15.06,15.0901,849387,0
BCS.US,5,20250224,172000,15.1,15.12,15.09,15.115,492582,0
BCS.US,5,20250224,172500,15.115,15.15,15.11,15.135,857687,0
BCS.US,5,20250224,173000,15.13,15.15,15.13,15.135,421888,0
BCS.US,5,20250224,173500,15.135,15.15,15.12,15.145,613937,0
BCS.US,5,20250224,174000,15.1492,15.19,15.14,15.16,342272,0
BCS.US,5,20250224,174500,15.165,15.18,15.15,15.1515,428456,0
BCS.US,5,20250224,175000,15.16,15.19,15.15,15.18,627979,0
BCS.US,5,20250224,175500,15.1701,15.18,15.15,15.155,472580,0
BCS.US,5,20250224,180000,15.15,15.19,15.15,15.1884,553705,0
BCS.US,5,20250224,180500,15.19,15.19,15.16,15.18,505651,0
BCS.US,5,20250224,181000,15.17,15.19,15.17,15.19,200486,0
BCS.US,5,20250224,181500,15.19,15.21,15.19,15.195,352095,0
BCS.US,5,20250224,182000,15.19,15.21,15.19,15.195,209935,0
BCS.US,5,20250224,182500,15.195,15.21,15.18,15.18,341949,0
BCS.US,5,20250224,183000,15.185,15.2,15.18,15.19,264701,0
BCS.US,5,20250224,183500,15.19,15.22,15.19,15.21,195402,0
BCS.US,5,20250224,184000,15.215,15.22,15.21,15.21,109244,0
BCS.US,5,20250224,184500,15.22,15.23,15.22,15.22,156298,0
BCS.US,5,20250224,185000,15.225,15.23,15.205,15.205,155117,0
BCS.US,5,20250224,185500,15.2099,15.22,15.2,15.205,202479,0
BCS.US,5,20250224,190000,15.2,15.2,15.19,15.195,114916,0
BCS.US,5,20250224,190500,15.1971,15.23,15.19,15.2256,229864,0
BCS.US,5,20250224,191000,15.23,15.24,15.22,15.22,136444,0
BCS.US,5,20250224,191500,15.2201,15.2599,15.22,15.245,473394,0
BCS.US,5,20250224,192000,15.24,15.24,15.22,15.22,45362,0
BCS.US,5,20250224,192500,15.225,15.24,15.22,15.225,268995,0
BCS.US,5,20250224,193000,15.23,15.24,15.22,15.235,133902,0
BCS.US,5,20250224,193500,15.23,15.24,15.22,15.2292,102103,0
BCS.US,5,20250224,194000,15.225,15.24,15.22,15.235,192617,0
BCS.US,5,20250224,194500,15.24,15.25,15.215,15.2199,348862,0
BCS.US,5,20250224,195000,15.215,15.24,15.21,15.2395,280392,0
BCS.US,5,20250224,195500,15.24,15.25,15.22,15.24,422055,0
BCS.US,5,20250224,200000,15.24,15.29,15.24,15.285,287160,0
BCS.US,5,20250224,200500,15.29,15.29,15.26,15.26,111326,0
BCS.US,5,20250224,201000,15.26,15.27,15.25,15.265,117119,0
BCS.US,5,20250224,201500,15.265,15.27,15.24,15.245,75943,0
BCS.US,5,20250224,202000,15.24,15.25,15.23,15.24,63701,0
BCS.US,5,20250224,202500,15.235,15.24,15.23,15.2331,60146,0
BCS.US,5,20250224,203000,15.235,15.2456,15.23,15.245,125084,0
BCS.US,5,20250224,203500,15.245,15.25,15.24,15.245,55719,0
BCS.US,5,20250224,204000,15.25,15.26,15.22,15.24,278548,0
BCS.US,5,20250224,204500,15.23,15.25,15.23,15.25,241666,0
BCS.US,5,20250224,205000,15.245,15.25,15.23,15.235,274795,0
BCS.US,5,20250224,205500,15.236549,15.24,15.22,15.2283,178617,0
BCS.US,5,20250224,210000,15.23,15.23,15.21,15.2169,256041,0
BCS.US,5,20250224,210500,15.22,15.23,15.22,15.2201,179077,0
BCS.US,5,20250224,211000,15.225,15.2298,15.21,15.22,101947,0
BCS.US,5,20250224,211500,15.2199,15.25,15.21,15.225,501967,0
BCS.US,5,20250224,212000,15.2299,15.23,15.21,15.22,577643,0
BCS.US,5,20250224,212500,15.22,15.24,15.21,15.2201,382855,0
BCS.US,5,20250224,213000,15.2201,15.24,15.22,15.235,280312,0
BCS.US,5,20250224,213500,15.23,15.235,15.19,15.19,186351,0
BCS.US,5,20250224,214000,15.195,15.195,15.17,15.175,181840,0
BCS.US,5,20250224,214500,15.175,15.21,15.17,15.2,521905,0
BCS.US,5,20250224,215000,15.2,15.21,15.14,15.14,413600,0
BCS.US,5,20250224,215500,15.14,15.16,15.11,15.11,633353,0
BCS.US,5,20250225,153000,15.475,15.475,15.435,15.455,149487,0
BCS.US,5,20250225,153500,15.445,15.45,15.4,15.435,136152,0
BCS.US,5,20250225,154000,15.44,15.46,15.405,15.405,317229,0
BCS.US,5,20250225,154500,15.4,15.4,15.34,15.345,199839,0
BCS.US,5,20250225,155000,15.35,15.35,15.21,15.2344,164576,0
BCS.US,5,20250225,155500,15.24,15.27,15.21,15.25,291162,0
BCS.US,5,20250225,160000,15.2469,15.25,15.19,15.235,1230739,0
BCS.US,5,20250225,160500,15.239,15.27,15.2,15.2501,1000127,0
BCS.US,5,20250225,161000,15.2599,15.26,15.195,15.205,651114,0
BCS.US,5,20250225,161500,15.21,15.225,15.15,15.165,560698,0
BCS.US,5,20250225,162000,15.1601,15.17,15.11,15.12,487493,0
BCS.US,5,20250225,162500,15.1201,15.14,15.1,15.105,492537,0
BCS.US,5,20250225,163000,15.11,15.12,15.07,15.0999,966694,0
BCS.US,5,20250225,163500,15.09,15.12,15.08,15.11,608405,0
BCS.US,5,20250225,164000,15.1,15.13,15.07,15.1,565431,0
BCS.US,5,20250225,164500,15.1,15.15,15.1,15.125,743943,0
BCS.US,5,20250225,165000,15.12,15.18,15.12,15.1601,585637,0
BCS.US,5,20250225,165500,15.165,15.17,15.14,15.1499,490716,0
BCS.US,5,20250225,170000,15.1493,15.16,15.11,15.125,811877,0
BCS.US,5,20250225,170500,15.12,15.14,15.105,15.11,526697,0
BCS.US,5,20250225,171000,15.12,15.1499,15.11,15.115,600168,0
BCS.US,5,20250225,171500,15.12,15.13,15.09,15.1101,595867,0
BCS.US,5,20250225,172000,15.12,15.12,15.08,15.095,489785,0
BCS.US,5,20250225,172500,15.0999,15.1,15.08,15.0918,425676,0
BCS.US,5,20250225,173000,15.095,15.1,15.05,15.06,1621861,0
BCS.US,5,20250225,173500,15.07,15.09,15.05,15.065,1110326,0
BCS.US,5,20250225,174000,15.07,15.075,15.03,15.065,595845,0
BCS.US,5,20250225,174500,15.07,15.109,15.07,15.1,375762,0
BCS.US,5,20250225,175000,15.105,15.15,15.105,15.1203,320505,0
BCS.US,5,20250225,175500,15.1204,15.1499,15.115,15.13,349760,0
BCS.US,5,20250225,180000,15.13,15.14,15.11,15.135,218463,0
BCS.US,5,20250225,180500,15.1303,15.1303,15.06,15.065,866524,0
BCS.US,5,20250225,181000,15.07,15.11,15.07,15.105,216403,0
BCS.US,5,20250225,181500,15.105,15.12,15.09,15.105,123245,0
BCS.US,5,20250225,182000,15.105,15.11,15.08,15.09,390555,0
BCS.US,5,20250225,182500,15.085,15.1,15.07,15.0999,279744,0
BCS.US,5,20250225,183000,15.1,15.12,15.09,15.105,515650,0
BCS.US,5,20250225,183500,15.105,15.14,15.1,15.135,160090,0
BCS.US,5,20250225,184000,15.1397,15.17,15.1397,15.1505,361580,0
BCS.US,5,20250225,184500,15.155,15.16,15.14,15.155,334427,0
BCS.US,5,20250225,185000,15.16,15.205,15.16,15.195,582754,0
BCS.US,5,20250225,185500,15.2,15.25,15.2,15.245,889170,0
BCS.US,5,20250225,190000,15.245,15.31,15.24,15.3,643758,0
BCS.US,5,20250225,190500,15.3099,15.34,15.305,15.325,576818,0
BCS.US,5,20250225,191000,15.3299,15.34,15.31,15.325,341362,0
BCS.US,5,20250225,191500,15.3299,15.36,15.32,15.345,406140,0
BCS.US,5,20250225,192000,15.34,15.36,15.32,15.345,362499,0
BCS.US,5,20250225,192500,15.3401,15.35,15.27,15.28,465975,0
BCS.US,5,20250225,193000,15.29,15.3,15.275,15.295,339805,0
BCS.US,5,20250225,193500,15.295,15.39,15.295,15.385,672605,0
BCS.US,5,20250225,194000,15.38,15.39,15.36,15.375,260758,0
BCS.US,5,20250225,194500,15.375,15.39,15.3701,15.385,54116,0
BCS.US,5,20250225,195000,15.39,15.395,15.365,15.375,195685,0
BCS.US,5,20250225,195500,15.375,15.38,15.36,15.365,152138,0
BCS.US,5,20250225,200000,15.37,15.37,15.35,15.36,270830,0
BCS.US,5,20250225,200500,15.36,15.37,15.35,15.355,165450,0
BCS.US,5,20250225,201000,15.3501,15.3599,15.33,15.335,132209,0
BCS.US,5,20250225,201500,15.335,15.34,15.31,15.325,461796,0
BCS.US,5,20250225,202000,15.3201,15.325,15.3,15.31,314281,0
BCS.US,5,20250225,202500,15.32,15.32,15.3,15.315,174648,0
BCS.US,5,20250225,203000,15.315,15.35,15.31,15.33,522869,0
BCS.US,5,20250225,203500,15.335,15.38,15.32,15.38,682865,0
BCS.US,5,20250225,204000,15.38,15.43,15.38,15.4,831114,0
BCS.US,5,20250225,204500,15.4002,15.4002,15.365,15.385,522553,0
BCS.US,5,20250225,205000,15.38,15.4,15.37,15.38,489026,0
BCS.US,5,20250225,205500,15.385,15.41,15.385,15.405,203680,0
BCS.US,5,20250225,210000,15.405,15.45,15.4,15.425,758737,0
BCS.US,5,20250225,210500,15.425,15.46,15.42,15.445,364965,0
BCS.US,5,20250225,211000,15.445,15.45,15.43,15.44,242937,0
BCS.US,5,20250225,211500,15.44,15.47,15.43,15.465,406419,0
BCS.US,5,20250225,212000,15.47,15.51,15.46,15.505,742113,0
BCS.US,5,20250225,212500,15.505,15.52,15.5,15.515,422430,0
BCS.US,5,20250225,213000,15.51,15.52,15.49,15.51,606065,0
BCS.US,5,20250225,213500,15.505,15.51,15.43,15.4399,655047,0
BCS.US,5,20250225,214000,15.44,15.45,15.43,15.44,456138,0
BCS.US,5,20250225,214500,15.44,15.46,15.44,15.455,316545,0
BCS.US,5,20250225,215000,15.45,15.455,15.4,15.405,472327,0
BCS.US,5,20250225,215500,15.41,15.465,15.4,15.45,3100889,0
BCS.US,5,20250226,153000,15.51,15.52,15.485,15.505,69456,0
BCS.US,5,20250226,153500,15.5,15.6,15.5,15.575,245396,0
BCS.US,5,20250226,154000,15.57,15.595,15.55,15.595,356136,0
BCS.US,5,20250226,154500,15.595,15.64,15.57,15.63,345271,0
BCS.US,5,20250226,155000,15.63,15.7,15.63,15.695,400636,0
BCS.US,5,20250226,155500,15.695,15.695,15.64,15.68,364242,0
BCS.US,5,20250226,160000,15.6714,15.68,15.64,15.655,584453,0
BCS.US,5,20250226,160500,15.66,15.67,15.6,15.645,480916,0
BCS.US,5,20250226,161000,15.645,15.68,15.63,15.66,533813,0
BCS.US,5,20250226,161500,15.655,15.7,15.64,15.695,748871,0
BCS.US,5,20250226,162000,15.7,15.715,15.69,15.715,587584,0
BCS.US,5,20250226,162500,15.7101,15.74,15.71,15.7299,718734,0
BCS.US,5,20250226,163000,15.72,15.75,15.71,15.7305,692357,0
BCS.US,5,20250226,163500,15.735,15.78,15.73,15.765,1147549,0
BCS.US,5,20250226,164000,15.765,15.81,15.75,15.805,790598,0
BCS.US,5,20250226,164500,15.805,15.86,15.8,15.8599,867772,0
BCS.US,5,20250226,165000,15.86,15.9,15.84,15.89,1292590,0
BCS.US,5,20250226,165500,15.89,15.9,15.87,15.89,1264680,0
BCS.US,5,20250226,170000,15.89,15.9,15.85,15.86,946924,0
BCS.US,5,20250226,170500,15.855,15.87,15.82,15.865,879778,0
BCS.US,5,20250226,171000,15.87,15.88,15.85,15.865,1005851,0
BCS.US,5,20250226,171500,15.865,15.87,15.85,15.855,656620,0
BCS.US,5,20250226,172000,15.86,15.87,15.84,15.85,659871,0
BCS.US,5,20250226,172500,15.845,15.88,15.845,15.87,1031577,0
BCS.US,5,20250226,173000,15.865,15.88,15.85,15.875,776217,0
BCS.US,5,20250226,173500,15.8799,15.89,15.82,15.835,555794,0
BCS.US,5,20250226,174000,15.835,15.86,15.82,15.85,284233,0
BCS.US,5,20250226,174500,15.855,15.86,15.84,15.845,118621,0
BCS.US,5,20250226,175000,15.845,15.86,15.82,15.82,259807,0
BCS.US,5,20250226,175500,15.82,15.83,15.81,15.815,117052,0
BCS.US,5,20250226,180000,15.81,15.82,15.79,15.815,170433,0
BCS.US,5,20250226,180500,15.815,15.86,15.81,15.86,171440,0
BCS.US,5,20250226,181000,15.855,15.89,15.85,15.875,393887,0
BCS.US,5,20250226,181500,15.871,15.91,15.8501,15.8797,514092,0
BCS.US,5,20250226,182000,15.88,15.895,15.87,15.8899,633674,0
BCS.US,5,20250226,182500,15.88,15.9,15.84,15.9,318263,0
BCS.US,5,20250226,183000,15.8901,15.9199,15.85,15.86,376073,0
BCS.US,5,20250226,183500,15.865,15.87,15.84,15.85,238726,0
BCS.US,5,20250226,184000,15.85,15.86,15.83,15.85,418159,0
BCS.US,5,20250226,184500,15.84,15.84,15.82,15.8309,144540,0
BCS.US,5,20250226,185000,15.835,15.835,15.79,15.795,167379,0
BCS.US,5,20250226,185500,15.795,15.8,15.75,15.765,437878,0
BCS.US,5,20250226,190000,15.77,15.78,15.76,15.775,410872,0
BCS.US,5,20250226,190500,15.775,15.78,15.755,15.775,392334,0
BCS.US,5,20250226,191000,15.775,15.7999,15.77,15.77,353629,0
BCS.US,5,20250226,191500,15.77,15.8,15.76,15.795,417684,0
BCS.US,5,20250226,192000,15.79,15.8,15.78,15.795,324915,0
BCS.US,5,20250226,192500,15.8,15.81,15.78,15.785,526864,0
BCS.US,5,20250226,193000,15.785,15.81,15.76,15.765,263009,0
BCS.US,5,20250226,193500,15.765,15.78,15.755,15.755,104148,0
BCS.US,5,20250226,194000,15.755,15.77,15.75,15.7599,158162,0
BCS.US,5,20250226,194500,15.756985,15.76,15.745,15.755,223879,0
BCS.US,5,20250226,195000,15.755,15.76,15.75,15.755,185326,0
BCS.US,5,20250226,195500,15.755,15.77,15.745,15.765,505168,0
BCS.US,5,20250226,200000,15.76,15.76,15.75,15.755,195928,0
BCS.US,5,20250226,200500,15.755,15.76,15.72,15.735,489797,0
BCS.US,5,20250226,201000,15.7301,15.75,15.73,15.74,189123,0
BCS.US,5,20250226,201500,15.75,15.77,15.74,15.765,234630,0
