<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGH.US,5,20250224,153000,15.99,15.99,15.99,15.99,387,0
BGH.US,5,20250224,153500,15.98,15.98,15.98,15.98,1023,0
BGH.US,5,20250224,154000,15.99,15.99,15.99,15.99,3150,0
BGH.US,5,20250224,154500,15.995,15.995,15.995,15.995,1043,0
BGH.US,5,20250224,161000,15.9632,15.9632,15.9632,15.9632,295,0
BGH.US,5,20250224,161500,16,16,16,16,300,0
BGH.US,5,20250224,163000,15.9199,15.9199,15.9101,15.9101,600,0
BGH.US,5,20250224,163500,15.98,15.98,15.98,15.98,372,0
BGH.US,5,20250224,164000,15.96,15.96,15.96,15.96,1444,0
BGH.US,5,20250224,164500,15.9175,15.9175,15.9175,15.9175,190,0
BGH.US,5,20250224,165000,15.95,15.95,15.937,15.95,2250,0
BGH.US,5,20250224,165500,15.96,15.96,15.96,15.96,1250,0
BGH.US,5,20250224,173000,15.97,15.97,15.97,15.97,310,0
BGH.US,5,20250224,173500,15.99,15.99,15.9891,15.9891,2613,0
BGH.US,5,20250224,174500,15.97,15.97,15.97,15.97,300,0
BGH.US,5,20250224,180000,15.99,15.99,15.9896,15.99,580,0
BGH.US,5,20250224,181500,15.986,15.986,15.986,15.986,500,0
BGH.US,5,20250224,182500,15.9811,15.9811,15.9811,15.9811,2000,0
BGH.US,5,20250224,183500,15.99,15.99,15.99,15.99,100,0
BGH.US,5,20250224,185500,15.9571,15.9695,15.9564,15.9564,2900,0
BGH.US,5,20250224,190500,15.99,15.99,15.9696,15.9696,700,0
BGH.US,5,20250224,191000,15.9501,15.9501,15.9501,15.9501,1500,0
BGH.US,5,20250224,192000,15.97,15.97,15.95,15.95,2794,0
BGH.US,5,20250224,193000,15.95,15.9501,15.95,15.9501,2400,0
BGH.US,5,20250224,194500,15.98,15.98,15.96,15.968,310,0
BGH.US,5,20250224,195000,15.97,15.97,15.97,15.97,100,0
BGH.US,5,20250224,201000,15.95,15.99,15.95,15.9504,819,0
BGH.US,5,20250224,201500,15.9656,15.9656,15.9656,15.9656,100,0
BGH.US,5,20250224,202000,15.975,15.975,15.975,15.975,140,0
BGH.US,5,20250224,202500,15.98,15.99,15.98,15.99,276,0
BGH.US,5,20250224,203000,15.98,15.98,15.98,15.98,200,0
BGH.US,5,20250224,204000,15.9791,15.9791,15.9791,15.9791,100,0
BGH.US,5,20250224,210000,15.9638,15.9638,15.9638,15.9638,150,0
BGH.US,5,20250224,210500,15.965,15.965,15.9595,15.9595,800,0
BGH.US,5,20250224,211000,15.95,15.98,15.94,15.94,1300,0
BGH.US,5,20250224,212000,15.945,15.945,15.93,15.945,300,0
BGH.US,5,20250224,213500,15.96,15.96,15.925,15.95,618,0
BGH.US,5,20250224,214500,15.965,15.965,15.951,15.951,650,0
BGH.US,5,20250224,215000,15.97,15.97,15.97,15.97,100,0
BGH.US,5,20250224,215500,15.97,15.99,15.97,15.97,1407,0
BGH.US,5,20250225,154500,16.0001,16.0001,16.0001,16.0001,225,0
BGH.US,5,20250225,155500,16.0065,16.0065,15.9444,15.9444,2396,0
BGH.US,5,20250225,160000,15.9642,15.9642,15.9642,15.9642,219,0
BGH.US,5,20250225,160500,15.9209,15.9209,15.9209,15.9209,295,0
BGH.US,5,20250225,162000,15.93,15.93,15.93,15.93,100,0
BGH.US,5,20250225,162500,15.93,15.93,15.93,15.93,100,0
BGH.US,5,20250225,163500,15.92,15.92,15.92,15.92,100,0
BGH.US,5,20250225,164500,15.93,15.93,15.93,15.93,100,0
BGH.US,5,20250225,165000,15.94,15.94,15.94,15.94,100,0
BGH.US,5,20250225,171000,15.97,16.01,15.93,16.01,600,0
BGH.US,5,20250225,172000,15.93,15.93,15.91,15.9222,1132,0
BGH.US,5,20250225,182000,15.9231,15.9231,15.9231,15.9231,2300,0
BGH.US,5,20250225,183500,15.94,15.94,15.94,15.94,400,0
BGH.US,5,20250225,184000,15.92,15.93,15.92,15.92,1186,0
BGH.US,5,20250225,184500,15.92,15.92,15.9,15.9,3451,0
BGH.US,5,20250225,185000,15.92,15.92,15.92,15.92,100,0
BGH.US,5,20250225,192000,15.9,15.905,15.9,15.905,200,0
BGH.US,5,20250225,192500,15.905,15.905,15.905,15.905,113,0
BGH.US,5,20250225,193000,15.9,15.9,15.9,15.9,200,0
BGH.US,5,20250225,193500,15.9,15.9,15.9,15.9,100,0
BGH.US,5,20250225,194000,15.91,15.91,15.9,15.9,1100,0
BGH.US,5,20250225,194500,15.9,15.9,15.9,15.9,100,0
BGH.US,5,20250225,195000,15.9,15.9,15.9,15.9,100,0
BGH.US,5,20250225,195500,15.91,15.93,15.91,15.93,1000,0
BGH.US,5,20250225,200500,15.915,15.915,15.915,15.915,100,0
BGH.US,5,20250225,201000,15.93,15.93,15.91,15.91,300,0
BGH.US,5,20250225,201500,15.91,15.91,15.91,15.91,100,0
BGH.US,5,20250225,202500,15.92,15.946,15.92,15.946,200,0
BGH.US,5,20250225,203000,15.91,15.9301,15.91,15.9301,372,0
BGH.US,5,20250225,203500,15.93,15.9495,15.93,15.9495,300,0
BGH.US,5,20250225,204000,15.93,15.93,15.93,15.93,100,0
