<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHE.US,5,20250224,153000,41.38,41.38,41.38,41.38,508,0
BHE.US,5,20250224,154000,41.16,41.29,41.15,41.29,1512,0
BHE.US,5,20250224,154500,41.34,41.5369,41.15,41.26,4731,0
BHE.US,5,20250224,155000,41.215,41.215,41.215,41.215,200,0
BHE.US,5,20250224,155500,41.1218,41.1218,41.1218,41.1218,200,0
BHE.US,5,20250224,160000,40.83,40.83,40.602,40.602,1698,0
BHE.US,5,20250224,160500,40.45,40.75,40.45,40.75,423,0
BHE.US,5,20250224,161000,40.8,40.92,40.8,40.92,300,0
BHE.US,5,20250224,162500,40.82,40.83,40.73,40.73,894,0
BHE.US,5,20250224,163000,40.73,40.77,40.65,40.77,800,0
BHE.US,5,20250224,163500,40.66,40.66,40.5796,40.5796,225,0
BHE.US,5,20250224,164000,40.82,40.88,40.6143,40.6143,675,0
BHE.US,5,20250224,164500,40.6,40.67,40.56,40.65,400,0
BHE.US,5,20250224,165000,40.72,40.78,40.58,40.6,1019,0
BHE.US,5,20250224,165500,40.56,40.56,40.56,40.56,436,0
BHE.US,5,20250224,170000,40.56,40.72,40.56,40.6652,427,0
BHE.US,5,20250224,171000,40.7146,40.77,40.71,40.77,797,0
BHE.US,5,20250224,171500,40.77,40.79,40.71,40.77,1645,0
BHE.US,5,20250224,172000,40.82,40.84,40.79,40.79,400,0
BHE.US,5,20250224,173000,40.8933,40.92,40.89,40.9,1240,0
BHE.US,5,20250224,173500,40.87,40.88,40.76,40.76,917,0
BHE.US,5,20250224,174000,40.79,40.95,40.79,40.91,1324,0
BHE.US,5,20250224,174500,40.85,40.85,40.85,40.85,100,0
BHE.US,5,20250224,175500,40.76,40.76,40.76,40.76,102,0
BHE.US,5,20250224,180000,40.78,40.78,40.78,40.78,200,0
BHE.US,5,20250224,180500,40.7,40.77,40.7,40.77,401,0
BHE.US,5,20250224,181000,40.78,40.79,40.6801,40.745,1424,0
BHE.US,5,20250224,181500,40.68,40.845,40.68,40.7509,758,0
BHE.US,5,20250224,182000,40.82,40.82,40.82,40.82,112,0
BHE.US,5,20250224,183500,40.795,40.85,40.795,40.8,500,0
BHE.US,5,20250224,184000,40.845,40.91,40.8294,40.8294,575,0
BHE.US,5,20250224,184500,40.83,40.88,40.81,40.82,1440,0
BHE.US,5,20250224,185000,40.82,40.83,40.75,40.75,1020,0
BHE.US,5,20250224,190500,40.7435,40.805,40.7435,40.805,430,0
BHE.US,5,20250224,191000,40.73,40.78,40.705,40.78,845,0
BHE.US,5,20250224,191500,40.82,40.85,40.82,40.85,300,0
BHE.US,5,20250224,192000,40.81,40.83,40.81,40.83,300,0
BHE.US,5,20250224,192500,40.845,40.9028,40.845,40.9028,325,0
BHE.US,5,20250224,193000,40.86,40.93,40.845,40.93,1114,0
BHE.US,5,20250224,193500,40.9341,41.05,40.9341,40.995,1559,0
BHE.US,5,20250224,194000,40.94,40.94,40.94,40.94,100,0
BHE.US,5,20250224,194500,40.96,40.96,40.92,40.92,1433,0
BHE.US,5,20250224,195000,40.9056,40.92,40.85,40.85,1843,0
BHE.US,5,20250224,195500,40.81,40.81,40.77,40.77,200,0
BHE.US,5,20250224,200000,40.8382,40.8382,40.8382,40.8382,125,0
BHE.US,5,20250224,200500,40.82,40.88,40.82,40.87,442,0
BHE.US,5,20250224,201000,40.77,40.77,40.77,40.77,100,0
BHE.US,5,20250224,201500,40.77,40.785,40.74,40.745,901,0
BHE.US,5,20250224,202000,40.745,40.77,40.7164,40.77,1140,0
BHE.US,5,20250224,202500,40.74,40.75,40.73,40.73,400,0
BHE.US,5,20250224,203000,40.72,40.76,40.71,40.72,1428,0
BHE.US,5,20250224,203500,40.7,40.7,40.67,40.7,949,0
BHE.US,5,20250224,204000,40.68,40.68,40.63,40.63,751,0
BHE.US,5,20250224,204500,40.62,40.67,40.62,40.67,473,0
BHE.US,5,20250224,205000,40.7,40.7,40.7,40.7,100,0
BHE.US,5,20250224,205500,40.65,40.675,40.64,40.675,1307,0
BHE.US,5,20250224,210500,40.7,40.7,40.7,40.7,104,0
BHE.US,5,20250224,211000,40.72,40.73,40.68,40.725,600,0
BHE.US,5,20250224,211500,40.73,40.87,40.73,40.87,568,0
BHE.US,5,20250224,212000,40.815,40.85,40.72,40.73,2807,0
BHE.US,5,20250224,212500,40.7,40.76,40.7,40.76,659,0
BHE.US,5,20250224,213000,40.755,40.8667,40.755,40.8667,2649,0
BHE.US,5,20250224,213500,40.79,40.79,40.66,40.66,1554,0
BHE.US,5,20250224,214000,40.665,40.665,40.61,40.61,3395,0
BHE.US,5,20250224,214500,40.62,40.66,40.62,40.66,1200,0
BHE.US,5,20250224,215000,40.68,40.7,40.49,40.51,6649,0
BHE.US,5,20250224,215500,40.51,40.52,40.31,40.32,77454,0
BHE.US,5,20250225,153000,40.135,40.26,40.06,40.205,1583,0
BHE.US,5,20250225,153500,40.95,40.95,40.82,40.945,907,0
BHE.US,5,20250225,154000,40.82,40.82,40.8,40.805,740,0
BHE.US,5,20250225,154500,40.805,40.805,40.76,40.76,200,0
BHE.US,5,20250225,155500,40.6,40.67,40.59,40.59,819,0
BHE.US,5,20250225,160000,40.72,40.76,40.38,40.38,1396,0
BHE.US,5,20250225,160500,40.445,40.445,40.445,40.445,100,0
BHE.US,5,20250225,161000,40.27,40.38,40.14,40.19,500,0
BHE.US,5,20250225,161500,40.31,40.51,40.0301,40.325,1775,0
BHE.US,5,20250225,162000,40.25,40.25,40.25,40.25,100,0
BHE.US,5,20250225,162500,40.21,40.21,40.14,40.15,400,0
BHE.US,5,20250225,163000,40.13,40.24,40.13,40.14,1170,0
BHE.US,5,20250225,163500,40.14,40.46,40.14,40.455,1400,0
BHE.US,5,20250225,164000,40.41,40.41,40.24,40.31,1895,0
BHE.US,5,20250225,164500,40.3,40.39,40.3,40.39,300,0
BHE.US,5,20250225,165000,40.48,40.65,40.48,40.51,807,0
BHE.US,5,20250225,165500,40.555,40.555,40.555,40.555,300,0
BHE.US,5,20250225,170000,40.555,40.555,40.29,40.29,962,0
BHE.US,5,20250225,171500,40.29,40.29,40.19,40.28,1930,0
BHE.US,5,20250225,172000,40.22,40.25,40.095,40.25,1700,0
BHE.US,5,20250225,172500,40.09,40.09,40.09,40.09,108,0
BHE.US,5,20250225,173000,39.94,39.94,39.83,39.85,897,0
BHE.US,5,20250225,173500,40.03,40.09,40.03,40.09,855,0
BHE.US,5,20250225,174000,40.025,40.03,40.025,40.03,200,0
BHE.US,5,20250225,174500,40.1,40.105,40.035,40.105,699,0
BHE.US,5,20250225,175000,40.19,40.19,40.18,40.18,300,0
BHE.US,5,20250225,175500,40.24,40.39,40.165,40.2,1830,0
BHE.US,5,20250225,180000,40.215,40.23,40.215,40.23,400,0
BHE.US,5,20250225,180500,40.23,40.2999,40.17,40.2999,1662,0
BHE.US,5,20250225,181000,40.196,40.196,40.196,40.196,160,0
BHE.US,5,20250225,181500,40.17,40.22,40.145,40.22,800,0
BHE.US,5,20250225,182000,40.155,40.155,40.095,40.095,300,0
BHE.US,5,20250225,182500,40.14,40.18,40.05,40.18,9480,0
BHE.US,5,20250225,183000,40.245,40.29,40.215,40.275,5444,0
BHE.US,5,20250225,183500,40.22,40.27,40.22,40.24,1200,0
BHE.US,5,20250225,184000,40.28,40.28,40.275,40.275,300,0
BHE.US,5,20250225,184500,40.28,40.37,40.265,40.3,797,0
BHE.US,5,20250225,185000,40.27,40.38,40.27,40.3632,405,0
BHE.US,5,20250225,185500,40.41,40.41,40.39,40.39,239,0
BHE.US,5,20250225,190000,40.45,40.56,40.45,40.56,814,0
BHE.US,5,20250225,190500,40.5351,40.555,40.52,40.52,1651,0
BHE.US,5,20250225,191000,40.49,40.51,40.41,40.43,1141,0
BHE.US,5,20250225,191500,40.42,40.42,40.34,40.34,400,0
BHE.US,5,20250225,192000,40.33,40.36,40.3114,40.33,1455,0
BHE.US,5,20250225,192500,40.3,40.3,40.25,40.25,1200,0
BHE.US,5,20250225,193000,40.205,40.205,40.095,40.12,500,0
BHE.US,5,20250225,193500,40.17,40.18,40.115,40.18,600,0
BHE.US,5,20250225,194000,40.24,40.24,40.24,40.24,200,0
BHE.US,5,20250225,194500,40.31,40.31,40.24,40.29,400,0
BHE.US,5,20250225,195000,40.24,40.24,40.165,40.22,1000,0
BHE.US,5,20250225,195500,40.23,40.245,40.23,40.245,300,0
BHE.US,5,20250225,200000,40.245,40.245,40.235,40.235,200,0
BHE.US,5,20250225,200500,40.235,40.235,40.19,40.215,1202,0
BHE.US,5,20250225,201000,40.2083,40.2083,40.115,40.14,1338,0
BHE.US,5,20250225,201500,40.135,40.19,40.135,40.16,961,0
BHE.US,5,20250225,202000,40.12,40.16,40.065,40.065,2084,0
BHE.US,5,20250225,202500,39.9975,40.03,39.98,39.98,660,0
BHE.US,5,20250225,203000,40.005,40.18,40.005,40.18,938,0
BHE.US,5,20250225,203500,40.24,40.25,40.155,40.25,904,0
BHE.US,5,20250225,204000,40.34,40.38,40.3,40.38,500,0
BHE.US,5,20250225,204500,40.34,40.34,40.275,40.3,1507,0
BHE.US,5,20250225,205000,40.31,40.31,40.31,40.31,200,0
BHE.US,5,20250225,205500,40.35,40.35,40.275,40.275,1039,0
BHE.US,5,20250225,210000,40.275,40.275,40.23,40.27,1440,0
BHE.US,5,20250225,210500,40.3,40.355,40.285,40.355,1267,0
BHE.US,5,20250225,211000,40.33,40.365,40.29,40.355,2142,0
BHE.US,5,20250225,211500,40.355,40.375,40.355,40.375,719,0
BHE.US,5,20250225,212000,40.39,40.51,40.39,40.51,3380,0
BHE.US,5,20250225,212500,40.51,40.51,40.32,40.32,2521,0
BHE.US,5,20250225,213000,40.37,40.37,40.225,40.27,1811,0
BHE.US,5,20250225,213500,40.24,40.24,40.06,40.06,2289,0
BHE.US,5,20250225,214000,40.09,40.1,39.95,40.04,3946,0
BHE.US,5,20250225,214500,40.06,40.23,40.04,40.15,8538,0
BHE.US,5,20250225,215000,40.15,40.15,39.94,39.95,6137,0
BHE.US,5,20250225,215500,39.9,40.08,39.9,40,97165,0
BHE.US,5,20250226,153000,40.45,40.45,40.45,40.45,100,0
BHE.US,5,20250226,154000,40.52,40.525,40.52,40.525,764,0
BHE.US,5,20250226,154500,40.75,40.75,40.75,40.75,100,0
BHE.US,5,20250226,155000,40.73,40.73,40.73,40.73,100,0
BHE.US,5,20250226,155500,40.75,40.75,40.75,40.75,100,0
BHE.US,5,20250226,160500,40.59,40.59,40.59,40.59,100,0
BHE.US,5,20250226,161000,40.52,40.82,40.52,40.82,912,0
BHE.US,5,20250226,161500,40.7625,40.89,40.7625,40.87,500,0
BHE.US,5,20250226,162000,40.86,40.87,40.755,40.82,400,0
BHE.US,5,20250226,162500,40.85,40.85,40.74,40.74,200,0
BHE.US,5,20250226,163000,40.81,40.84,40.78,40.84,1125,0
BHE.US,5,20250226,163500,40.775,40.83,40.695,40.695,1600,0
BHE.US,5,20250226,164000,40.75,40.86,40.75,40.86,400,0
BHE.US,5,20250226,164500,40.8852,40.98,40.82,40.85,4902,0
BHE.US,5,20250226,165000,40.85,40.85,40.77,40.77,1133,0
