<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTT.US,5,20250224,155500,21.4,21.4,21.39,21.39,1380,0
BTT.US,5,20250224,161500,21.38,21.38,21.38,21.38,2768,0
BTT.US,5,20250224,162500,21.385,21.385,21.385,21.385,417,0
BTT.US,5,20250224,163000,21.38,21.39,21.38,21.39,400,0
BTT.US,5,20250224,163500,21.39,21.43,21.39,21.43,300,0
BTT.US,5,20250224,165500,21.4,21.4,21.4,21.4,132,0
BTT.US,5,20250224,170000,21.39,21.41,21.39,21.41,73117,0
BTT.US,5,20250224,172500,21.41,21.41,21.4,21.4,500,0
BTT.US,5,20250224,173000,21.395,21.395,21.395,21.395,550,0
BTT.US,5,20250224,173500,21.395,21.41,21.3823,21.41,5682,0
BTT.US,5,20250224,174500,21.395,21.395,21.383,21.383,1100,0
BTT.US,5,20250224,175000,21.386,21.386,21.386,21.386,100,0
BTT.US,5,20250224,175500,21.3864,21.3864,21.38,21.38,1300,0
BTT.US,5,20250224,180000,21.38,21.4,21.38,21.4,666,0
BTT.US,5,20250224,180500,21.39,21.4,21.39,21.4,3951,0
BTT.US,5,20250224,181000,21.38,21.38,21.38,21.38,100,0
BTT.US,5,20250224,181500,21.38,21.383,21.38,21.383,779,0
BTT.US,5,20250224,182000,21.38,21.38,21.38,21.38,100,0
BTT.US,5,20250224,182500,21.38,21.38,21.38,21.38,100,0
BTT.US,5,20250224,183000,21.38,21.38,21.38,21.38,100,0
BTT.US,5,20250224,183500,21.38,21.38,21.38,21.38,269,0
BTT.US,5,20250224,184000,21.38,21.38,21.36,21.3683,2008,0
BTT.US,5,20250224,184500,21.3648,21.3692,21.3648,21.365,1700,0
BTT.US,5,20250224,185000,21.3691,21.3691,21.3691,21.3691,600,0
BTT.US,5,20250224,185500,21.36,21.36,21.3258,21.35,5149,0
BTT.US,5,20250224,190000,21.3274,21.34,21.325,21.3399,1300,0
BTT.US,5,20250224,190500,21.32,21.33,21.32,21.33,800,0
BTT.US,5,20250224,191000,21.325,21.33,21.31,21.325,15562,0
BTT.US,5,20250224,191500,21.325,21.325,21.325,21.325,100,0
BTT.US,5,20250224,192000,21.3365,21.3365,21.31,21.31,200,0
BTT.US,5,20250224,193000,21.31,21.35,21.31,21.35,1700,0
BTT.US,5,20250224,193500,21.35,21.35,21.35,21.35,100,0
BTT.US,5,20250224,194000,21.351,21.365,21.34,21.35,1600,0
BTT.US,5,20250224,194500,21.332,21.345,21.33,21.33,900,0
BTT.US,5,20250224,195000,21.33,21.357,21.33,21.33,1000,0
BTT.US,5,20250224,195500,21.33,21.3303,21.317,21.317,2950,0
BTT.US,5,20250224,200000,21.31,21.32,21.31,21.31,900,0
BTT.US,5,20250224,200500,21.33,21.33,21.32,21.33,1500,0
BTT.US,5,20250224,201000,21.32,21.32,21.32,21.32,100,0
BTT.US,5,20250224,201500,21.32,21.32,21.31,21.32,3553,0
BTT.US,5,20250224,202000,21.31,21.32,21.31,21.32,500,0
BTT.US,5,20250224,202500,21.325,21.33,21.32,21.3285,1900,0
BTT.US,5,20250224,203000,21.3251,21.33,21.325,21.33,500,0
BTT.US,5,20250224,203500,21.34,21.34,21.3296,21.3296,1270,0
BTT.US,5,20250224,204000,21.32,21.32,21.31,21.32,1225,0
BTT.US,5,20250224,204500,21.32,21.33,21.32,21.325,1950,0
BTT.US,5,20250224,205000,21.3253,21.3294,21.32,21.32,400,0
BTT.US,5,20250224,205500,21.325,21.325,21.32,21.32,1400,0
BTT.US,5,20250224,210000,21.325,21.3297,21.32,21.325,2058,0
BTT.US,5,20250224,210500,21.325,21.325,21.325,21.325,100,0
BTT.US,5,20250224,211000,21.32,21.325,21.32,21.3201,2981,0
BTT.US,5,20250224,211500,21.325,21.33,21.32,21.33,728,0
BTT.US,5,20250224,212000,21.33,21.34,21.3293,21.34,671,0
BTT.US,5,20250224,212500,21.34,21.34,21.34,21.34,200,0
BTT.US,5,20250224,213000,21.335,21.335,21.335,21.335,100,0
BTT.US,5,20250224,213500,21.335,21.36,21.32,21.36,4975,0
BTT.US,5,20250224,214000,21.355,21.355,21.355,21.355,200,0
BTT.US,5,20250224,214500,21.355,21.355,21.355,21.355,100,0
BTT.US,5,20250224,215000,21.345,21.35,21.33,21.335,4117,0
BTT.US,5,20250224,215500,21.32,21.32,21.32,21.32,1043,0
BTT.US,5,20250225,153000,21.32,21.33,21.32,21.33,1000,0
BTT.US,5,20250225,153500,21.39,21.39,21.39,21.39,100000,0
BTT.US,5,20250225,154500,21.38,21.38,21.38,21.38,200,0
BTT.US,5,20250225,155000,21.385,21.43,21.385,21.43,5293,0
BTT.US,5,20250225,160500,21.42,21.42,21.42,21.42,200,0
BTT.US,5,20250225,163000,21.405,21.405,21.405,21.405,100,0
BTT.US,5,20250225,163500,21.405,21.405,21.405,21.405,100,0
BTT.US,5,20250225,164500,21.42,21.42,21.42,21.42,200,0
BTT.US,5,20250225,165500,21.405,21.42,21.3942,21.3942,4100,0
BTT.US,5,20250225,170000,21.405,21.4151,21.405,21.4151,434,0
BTT.US,5,20250225,173500,21.3962,21.3962,21.3962,21.3962,200,0
BTT.US,5,20250225,174500,21.405,21.4199,21.4005,21.4049,1827,0
BTT.US,5,20250225,175000,21.405,21.42,21.405,21.42,350,0
BTT.US,5,20250225,175500,21.42,21.42,21.4167,21.42,900,0
BTT.US,5,20250225,180000,21.42,21.42,21.42,21.42,200,0
BTT.US,5,20250225,180500,21.42,21.42,21.42,21.42,100,0
BTT.US,5,20250225,181000,21.396,21.42,21.396,21.42,627,0
BTT.US,5,20250225,181500,21.42,21.42,21.3945,21.42,1200,0
BTT.US,5,20250225,182000,21.42,21.42,21.3999,21.418,5759,0
BTT.US,5,20250225,182500,21.42,21.42,21.3903,21.419,1700,0
BTT.US,5,20250225,183000,21.418,21.42,21.418,21.42,400,0
BTT.US,5,20250225,183500,21.405,21.42,21.3933,21.42,1256,0
BTT.US,5,20250225,184000,21.42,21.42,21.39,21.39,1070,0
BTT.US,5,20250225,184500,21.4027,21.42,21.3999,21.4169,6881,0
BTT.US,5,20250225,185000,21.42,21.42,21.42,21.42,200,0
BTT.US,5,20250225,185500,21.42,21.42,21.3903,21.3903,341,0
BTT.US,5,20250225,190000,21.42,21.42,21.405,21.42,1300,0
