<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COR.US,5,20250224,153000,242.2,242.51,241.48,241.48,1156,0
COR.US,5,20250224,153500,242.495,242.495,242.495,242.495,300,0
COR.US,5,20250224,154000,242.55074,242.73,242.495,242.495,974,0
COR.US,5,20250224,154500,242.38,243.29,242.38,243.29,4572,0
COR.US,5,20250224,155000,243.39,243.85,243.39,243.85,200,0
COR.US,5,20250224,155500,243.98,245.21,243.91,245.09,4530,0
COR.US,5,20250224,160000,245.00245,245.26,244.675,244.875,1342,0
COR.US,5,20250224,160500,245.02,246.11,244.9028,245.4,2876,0
COR.US,5,20250224,161000,245.285,245.285,244.7659,244.7659,2466,0
COR.US,5,20250224,161500,244.48,244.48,243.8678,244.39,636,0
COR.US,5,20250224,162000,244.14,244.53,243.91,244.01,4367,0
COR.US,5,20250224,162500,243.85,244.0875,243.67,243.74,1400,0
COR.US,5,20250224,163000,244.08,244.31,243.8,244.2,2506,0
COR.US,5,20250224,163500,244.23,244.23,243.92,244.22,1907,0
COR.US,5,20250224,164000,244.26,244.32,244.02,244.32,1078,0
COR.US,5,20250224,164500,244.35,245.0783,244.12,244.63,9858,0
COR.US,5,20250224,165000,244.48,244.52,244.18,244.27,1647,0
COR.US,5,20250224,165500,244.29,244.29,244.015,244.22,2713,0
COR.US,5,20250224,170000,243.92,244.31,243.84,243.84,5238,0
COR.US,5,20250224,170500,244.03,244.27,244.03,244.125,1619,0
COR.US,5,20250224,171000,243.98,244.41,243.89,244.37,6391,0
COR.US,5,20250224,171500,244.45,244.48,244.29,244.48,2659,0
COR.US,5,20250224,172000,244.56,244.56,244.29,244.29,2269,0
COR.US,5,20250224,172500,244.29,244.465,244.16,244.345,2389,0
COR.US,5,20250224,173000,244.53,244.53,244.15,244.4,2880,0
COR.US,5,20250224,173500,244.39,244.42,244.14,244.1833,6203,0
COR.US,5,20250224,174000,244.36,244.775,244.36,244.485,8440,0
COR.US,5,20250224,174500,244.47,245.24,244.47,245.24,3412,0
COR.US,5,20250224,175000,245.255,245.36,245.08,245.18,2365,0
COR.US,5,20250224,175500,245.07,245.3,244.93,245.12,5852,0
COR.US,5,20250224,180000,245.16,245.29,244.83,244.83,4886,0
