<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPSU.US,5,20250616,183500,26.11,26.11,26.11,26.11,476202,0
CPSU.US,5,20250617,170500,26.11,26.11,26.11,26.11,100,0
CPSU.US,5,20250617,173000,26.11,26.1194,26.09,26.099,4494,0
CPSU.US,5,20250617,193000,26.1,26.1,26.1,26.1,750,0
CPSU.US,5,20250617,212500,26.09,26.1,26.09,26.09,2301,0
CPSU.US,5,20250618,164000,26.1169,26.1169,26.1169,26.1169,147,0
CPSU.US,5,20250618,175500,26.0898,26.0898,26.0898,26.0898,863,0
CPSU.US,5,20250618,211000,26.1,26.1,26.1,26.1,100,0
CPSU.US,5,20250620,191000,26.0876,26.0876,26.0876,26.0876,800,0
CPSU.US,5,20250623,155500,26.12,26.12,26.09,26.09,200,0
CPSU.US,5,20250623,162000,26.14,26.14,26.14,26.14,500,0
CPSU.US,5,20250623,183000,26.08,26.08,26.08,26.08,200,0
CPSU.US,5,20250623,193000,26.1467,26.1467,26.1467,26.1467,1300,0
CPSU.US,5,20250623,193500,26.15,26.15,26.15,26.15,100,0
CPSU.US,5,20250623,200000,26.12,26.14,26.12,26.14,880,0
CPSU.US,5,20250623,213000,26.125,26.16,26.125,26.16,4160,0
CPSU.US,5,20250623,215500,26.1344,26.1344,26.1344,26.1344,1900,0
CPSU.US,5,20250624,180000,26.2,26.2,26.2,26.2,1100,0
CPSU.US,5,20250624,182500,26.2,26.22,26.1781,26.2,4800,0
CPSU.US,5,20250624,193500,26.18,26.18,26.18,26.18,8000,0
CPSU.US,5,20250624,204500,26.19,26.23,26.1756,26.1756,3600,0
CPSU.US,5,20250625,165500,26.22,26.22,26.19,26.19,4659,0
CPSU.US,5,20250625,200000,26.18,26.18,26.18,26.18,100,0
CPSU.US,5,20250625,213500,26.18,26.18,26.18,26.18,100,0
CPSU.US,5,20250626,180000,26.21,26.21,26.21,26.21,100,0
CPSU.US,5,20250627,190000,26.25,26.25,26.25,26.25,1906,0
CPSU.US,5,20250627,203000,26.27,26.27,26.27,26.27,200,0
CPSU.US,5,20250627,203500,26.27,26.27,26.27,26.27,200,0
CPSU.US,5,20250627,204000,26.27,26.27,26.26,26.26,400,0
CPSU.US,5,20250627,204500,26.27,26.27,26.27,26.27,200,0
CPSU.US,5,20250627,205000,26.27,26.27,26.26,26.26,400,0
CPSU.US,5,20250627,205500,26.26,26.26,26.2469,26.2469,950,0
CPSU.US,5,20250630,162500,26.29,26.29,26.29,26.29,100,0
CPSU.US,5,20250630,192000,26.2433,26.2433,26.2433,26.2433,1606,0
CPSU.US,5,20250701,155000,26.25,26.25,26.25,26.25,285,0
CPSU.US,5,20250701,161500,26.26,26.26,26.2508,26.2508,1028,0
CPSU.US,5,20250701,162000,26.31,26.31,26.31,26.31,100,0
CPSU.US,5,20250701,165500,26.24,26.24,26.24,26.24,476982,0
CPSU.US,5,20250701,170500,26.29,26.29,26.29,26.29,100,0
CPSU.US,5,20250701,180000,26.2418,26.2418,26.2418,26.2418,340,0
CPSU.US,5,20250701,182000,26.3,26.3,26.3,26.3,100,0
CPSU.US,5,20250701,191500,26.26,26.26,26.25,26.2502,5400,0
CPSU.US,5,20250702,171000,26.26,26.26,26.26,26.26,6447,0
CPSU.US,5,20250702,172500,26.3,26.3,26.3,26.3,100,0
CPSU.US,5,20250702,181500,26.26,26.26,26.26,26.26,1907,0
CPSU.US,5,20250703,182000,26.33,26.3488,26.33,26.3488,493,0
CPSU.US,5,20250710,165000,26.3,26.3,26.3,26.3,456,0
CPSU.US,5,20250711,180000,26.28,26.29,26.27,26.28,1903,0
CPSU.US,5,20250714,183500,26.31,26.31,26.31,26.31,124,0
CPSU.US,5,20250715,181500,26.31,26.31,26.31,26.31,369,0
CPSU.US,5,20250715,185500,26.28,26.28,26.27,26.27,1400,0
CPSU.US,5,20250721,165500,26.35,26.37,26.32,26.32,548,0
