<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSX.US,5,20250224,153000,1.8542,1.8542,1.8,1.82,23304,0
DSX.US,5,20250224,153500,1.82,1.82,1.79,1.81,7600,0
DSX.US,5,20250224,154000,1.81,1.82,1.8,1.815,4373,0
DSX.US,5,20250224,154500,1.82,1.82,1.81,1.82,4245,0
DSX.US,5,20250224,155000,1.815,1.82,1.8101,1.8101,1629,0
DSX.US,5,20250224,155500,1.82,1.82,1.815,1.815,4100,0
DSX.US,5,20250224,160000,1.82,1.82,1.81,1.815,14536,0
DSX.US,5,20250224,160500,1.815,1.815,1.8,1.8,441,0
DSX.US,5,20250224,161000,1.8,1.805,1.79,1.79,1911,0
DSX.US,5,20250224,161500,1.795,1.795,1.795,1.795,601,0
DSX.US,5,20250224,162000,1.8,1.8,1.7906,1.7906,3419,0
DSX.US,5,20250224,162500,1.795,1.8,1.795,1.795,1200,0
DSX.US,5,20250224,163000,1.795,1.7998,1.795,1.7998,800,0
DSX.US,5,20250224,163500,1.798,1.7992,1.798,1.7992,800,0
DSX.US,5,20250224,164000,1.795,1.8,1.795,1.795,1238,0
DSX.US,5,20250224,164500,1.795,1.8,1.795,1.795,12410,0
DSX.US,5,20250224,165000,1.7989,1.8,1.795,1.795,1507,0
DSX.US,5,20250224,165500,1.795,1.795,1.79,1.795,900,0
DSX.US,5,20250224,170000,1.795,1.8,1.7946,1.795,5736,0
DSX.US,5,20250224,170500,1.795,1.8,1.795,1.795,3779,0
DSX.US,5,20250224,171000,1.795,1.8,1.795,1.8,738,0
DSX.US,5,20250224,171500,1.795,1.8,1.791,1.8,7725,0
DSX.US,5,20250224,172000,1.795,1.8,1.795,1.795,6200,0
DSX.US,5,20250224,172500,1.795,1.7992,1.79,1.798,1156,0
DSX.US,5,20250224,173000,1.8,1.8,1.79,1.79,12476,0
DSX.US,5,20250224,173500,1.785,1.79,1.78,1.785,4100,0
DSX.US,5,20250224,174000,1.785,1.79,1.785,1.785,9757,0
DSX.US,5,20250224,174500,1.79,1.79,1.785,1.7892,3702,0
DSX.US,5,20250224,175000,1.785,1.79,1.785,1.789,637,0
DSX.US,5,20250224,175500,1.785,1.79,1.785,1.79,940,0
DSX.US,5,20250224,180000,1.785,1.79,1.785,1.785,1110,0
DSX.US,5,20250224,180500,1.785,1.79,1.7819,1.79,2937,0
DSX.US,5,20250224,181000,1.79,1.79,1.785,1.79,1661,0
DSX.US,5,20250224,181500,1.788,1.79,1.785,1.785,3677,0
DSX.US,5,20250224,182000,1.788,1.788,1.785,1.785,1540,0
DSX.US,5,20250224,182500,1.785,1.785,1.785,1.785,500,0
DSX.US,5,20250224,183000,1.7801,1.785,1.78,1.785,1952,0
DSX.US,5,20250224,183500,1.785,1.785,1.78,1.78,33144,0
DSX.US,5,20250224,184000,1.78,1.7898,1.78,1.785,5155,0
DSX.US,5,20250224,184500,1.79,1.79,1.78,1.78,2022,0
DSX.US,5,20250224,185000,1.785,1.7899,1.78,1.7899,1798,0
DSX.US,5,20250224,185500,1.785,1.785,1.77,1.77,39366,0
DSX.US,5,20250224,190000,1.77,1.7789,1.77,1.77,4300,0
DSX.US,5,20250224,190500,1.77,1.775,1.77,1.775,500,0
DSX.US,5,20250224,191000,1.78,1.78,1.77,1.77,4464,0
DSX.US,5,20250224,191500,1.775,1.775,1.77,1.775,2146,0
DSX.US,5,20250224,192000,1.77,1.7701,1.77,1.7701,1244,0
DSX.US,5,20250224,192500,1.77,1.7701,1.76,1.765,12611,0
DSX.US,5,20250224,193000,1.765,1.77,1.76,1.77,6608,0
DSX.US,5,20250224,193500,1.767,1.77,1.765,1.765,3295,0
DSX.US,5,20250224,194000,1.765,1.77,1.76,1.77,1665,0
DSX.US,5,20250224,194500,1.765,1.77,1.765,1.77,2200,0
DSX.US,5,20250224,195000,1.765,1.77,1.765,1.77,3166,0
DSX.US,5,20250224,195500,1.765,1.765,1.765,1.765,200,0
DSX.US,5,20250224,200000,1.7646,1.7646,1.7646,1.7646,113,0
DSX.US,5,20250224,200500,1.765,1.775,1.765,1.775,10188,0
DSX.US,5,20250224,201000,1.775,1.775,1.775,1.775,4270,0
DSX.US,5,20250224,201500,1.775,1.7793,1.775,1.775,909,0
DSX.US,5,20250224,202000,1.775,1.785,1.775,1.78,33188,0
