<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EB.US,5,20250224,153000,3.275,3.275,3.23,3.23,1426,0
EB.US,5,20250224,153500,3.22,3.2246,3.2,3.2,8555,0
EB.US,5,20250224,154000,3.19,3.2,3.19,3.2,705,0
EB.US,5,20250224,154500,3.205,3.215,3.205,3.215,764,0
EB.US,5,20250224,155000,3.21,3.21,3.2,3.2,2110,0
EB.US,5,20250224,155500,3.2,3.2,3.195,3.195,1161,0
EB.US,5,20250224,160000,3.2,3.2,3.19,3.19,940,0
EB.US,5,20250224,160500,3.18,3.24,3.175,3.24,15633,0
EB.US,5,20250224,161000,3.24,3.25,3.24,3.245,1312,0
EB.US,5,20250224,161500,3.25,3.25,3.24,3.24,1396,0
EB.US,5,20250224,162000,3.245,3.25,3.24,3.25,749,0
EB.US,5,20250224,162500,3.25,3.25,3.24,3.245,400,0
EB.US,5,20250224,163000,3.24,3.24,3.23,3.235,6387,0
EB.US,5,20250224,163500,3.23,3.23,3.23,3.23,100,0
EB.US,5,20250224,164000,3.235,3.235,3.235,3.235,4000,0
EB.US,5,20250224,164500,3.235,3.235,3.2238,3.2238,2702,0
EB.US,5,20250224,165000,3.2299,3.2299,3.22,3.225,574,0
EB.US,5,20250224,165500,3.22,3.23,3.22,3.23,1600,0
EB.US,5,20250224,170000,3.22,3.235,3.22,3.235,1682,0
EB.US,5,20250224,170500,3.23,3.255,3.23,3.245,4841,0
EB.US,5,20250224,171000,3.24,3.25,3.225,3.235,18188,0
EB.US,5,20250224,171500,3.235,3.235,3.225,3.225,4312,0
EB.US,5,20250224,172000,3.225,3.225,3.22,3.22,1000,0
EB.US,5,20250224,172500,3.23,3.245,3.225,3.24,7168,0
EB.US,5,20250224,173000,3.245,3.245,3.245,3.245,300,0
EB.US,5,20250224,173500,3.25,3.25,3.245,3.245,500,0
EB.US,5,20250224,174000,3.2488,3.25,3.24,3.24,14005,0
EB.US,5,20250224,174500,3.235,3.2399,3.234,3.234,1442,0
EB.US,5,20250224,175000,3.235,3.235,3.22,3.22,1370,0
EB.US,5,20250224,175500,3.22,3.22,3.215,3.215,1513,0
EB.US,5,20250224,180000,3.215,3.225,3.215,3.225,2242,0
EB.US,5,20250224,180500,3.225,3.225,3.225,3.225,865,0
EB.US,5,20250224,181000,3.225,3.23,3.225,3.225,904,0
EB.US,5,20250224,181500,3.225,3.225,3.225,3.225,298,0
EB.US,5,20250224,182000,3.225,3.225,3.225,3.225,100,0
EB.US,5,20250224,182500,3.225,3.225,3.225,3.225,400,0
EB.US,5,20250224,183000,3.225,3.225,3.225,3.225,600,0
EB.US,5,20250224,183500,3.225,3.225,3.225,3.225,300,0
EB.US,5,20250224,184000,3.23,3.235,3.23,3.23,2923,0
EB.US,5,20250224,185000,3.23,3.23,3.23,3.23,1547,0
EB.US,5,20250224,185500,3.225,3.225,3.225,3.225,700,0
EB.US,5,20250224,190000,3.225,3.225,3.22,3.225,500,0
EB.US,5,20250224,190500,3.225,3.225,3.22,3.225,3295,0
EB.US,5,20250224,191000,3.225,3.225,3.22,3.225,1190,0
EB.US,5,20250224,191500,3.225,3.225,3.225,3.225,600,0
EB.US,5,20250224,192000,3.225,3.225,3.225,3.225,400,0
EB.US,5,20250224,192500,3.225,3.225,3.225,3.225,1800,0
EB.US,5,20250224,193000,3.225,3.225,3.225,3.225,300,0
EB.US,5,20250224,193500,3.225,3.225,3.225,3.225,1100,0
EB.US,5,20250224,194000,3.225,3.225,3.225,3.225,900,0
EB.US,5,20250224,194500,3.2292,3.2292,3.22,3.22,2757,0
EB.US,5,20250224,195000,3.225,3.225,3.215,3.22,5959,0
EB.US,5,20250224,195500,3.22,3.22,3.21,3.21,1794,0
EB.US,5,20250224,200000,3.21,3.215,3.21,3.215,1700,0
EB.US,5,20250224,200500,3.21,3.2167,3.21,3.21,4010,0
EB.US,5,20250224,201000,3.215,3.215,3.2,3.205,3301,0
EB.US,5,20250224,201500,3.205,3.215,3.195,3.21,28229,0
EB.US,5,20250224,202000,3.21,3.22,3.21,3.21,2404,0
EB.US,5,20250224,202500,3.215,3.215,3.21,3.21,1600,0
EB.US,5,20250224,203000,3.21,3.22,3.21,3.21,6257,0
EB.US,5,20250224,203500,3.21,3.225,3.21,3.22,9460,0
