<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENS.US,5,20250224,153000,102.445,102.445,101.5233,101.948,1451,0
ENS.US,5,20250224,153500,101.95,101.95,101,101,1800,0
ENS.US,5,20250224,154000,100.01,100.18,99.918,100.115,1103,0
ENS.US,5,20250224,154500,100.104,100.36,99.8592,99.8592,2767,0
ENS.US,5,20250224,155500,99.98,99.98,99.5637,99.5637,704,0
ENS.US,5,20250224,160000,100.02,100.02,99.92,99.92,1400,0
ENS.US,5,20250224,160500,99.905,100.15,99.905,100.15,900,0
ENS.US,5,20250224,161000,100.0933,100.0933,100.0933,100.0933,250,0
ENS.US,5,20250224,161500,100.49,100.56,100.13,100.13,900,0
ENS.US,5,20250224,162000,100.235,100.42,100.235,100.41,500,0
ENS.US,5,20250224,162500,100.4,100.4,100.1,100.1,1250,0
ENS.US,5,20250224,163000,100.02,100.02,99.94,99.94,208,0
ENS.US,5,20250224,163500,100.0525,100.51,100.0525,100.51,900,0
ENS.US,5,20250224,164000,100.73,100.8,100.66,100.66,300,0
ENS.US,5,20250224,164500,100.5775,100.5775,100.5775,100.5775,100,0
ENS.US,5,20250224,165000,100.94,100.94,100.84,100.84,300,0
ENS.US,5,20250224,165500,100.76,100.76,100.14,100.14,947,0
ENS.US,5,20250224,170000,100.43,100.6276,100.43,100.6276,689,0
ENS.US,5,20250224,170500,100.32,100.45,100.32,100.45,600,0
ENS.US,5,20250224,171500,100.658,100.87,100.625,100.68,1719,0
ENS.US,5,20250224,172000,100.81,100.81,100.81,100.81,100,0
ENS.US,5,20250224,172500,100.88,100.88,100.865,100.865,200,0
ENS.US,5,20250224,173000,100.99,100.99,100.925,100.925,800,0
ENS.US,5,20250224,173500,100.76,100.945,100.76,100.925,5700,0
ENS.US,5,20250224,174000,100.925,101.3,100.905,101.02,2418,0
ENS.US,5,20250224,174500,100.995,101.015,100.995,101.015,553,0
ENS.US,5,20250224,175000,101.015,101.17,101.015,101.11,700,0
ENS.US,5,20250224,175500,101.07,101.07,100.93,101,1961,0
ENS.US,5,20250224,180000,100.97,101.01,100.97,101.005,1319,0
ENS.US,5,20250224,180500,101,101.08,101,101,1100,0
ENS.US,5,20250224,181000,101.03,101.03,101.025,101.025,570,0
ENS.US,5,20250224,181500,101.12,101.4,101.03,101.4,1805,0
ENS.US,5,20250224,182000,101.435,101.51,101.43,101.5,804,0
ENS.US,5,20250224,182500,101.565,101.565,101.55,101.55,1000,0
ENS.US,5,20250224,183000,101.55,101.65,101.45,101.64,4502,0
ENS.US,5,20250224,183500,101.61,101.63,101.61,101.63,300,0
ENS.US,5,20250224,184000,101.645,101.68,101.645,101.68,600,0
ENS.US,5,20250224,184500,101.76,101.8,101.6039,101.6039,882,0
ENS.US,5,20250224,185000,101.71,101.83,101.71,101.825,1601,0
ENS.US,5,20250224,185500,101.855,101.855,101.57,101.6375,1800,0
ENS.US,5,20250224,190000,101.63,101.64,101.5,101.6,1150,0
ENS.US,5,20250224,190500,101.575,101.575,101.39,101.525,1190,0
ENS.US,5,20250224,191000,101.6499,101.6499,101.52,101.52,600,0
ENS.US,5,20250224,191500,101.61,101.66,101.5875,101.625,813,0
ENS.US,5,20250224,192000,101.4,101.4,101.33,101.35,23161,0
ENS.US,5,20250224,192500,101.345,101.345,100.98,101.2425,7100,0
ENS.US,5,20250224,193000,101.185,101.46,101.185,101.455,1497,0
ENS.US,5,20250224,193500,101.455,101.455,101.42,101.425,425,0
ENS.US,5,20250224,194000,101.435,101.435,101.42,101.42,400,0
ENS.US,5,20250224,194500,101.43,101.43,101.21,101.32,1207,0
ENS.US,5,20250224,195500,101.265,101.28,101.2,101.275,1310,0
ENS.US,5,20250224,200000,101.36,101.45,101.36,101.4,1524,0
ENS.US,5,20250224,201000,101.44,101.77,101.44,101.7,2509,0
ENS.US,5,20250224,201500,101.655,101.67,101.565,101.565,700,0
ENS.US,5,20250224,202000,101.565,101.565,101.565,101.565,400,0
ENS.US,5,20250224,202500,101.505,101.51,101.505,101.505,350,0
ENS.US,5,20250224,203000,101.49,101.75,101.49,101.69,1211,0
ENS.US,5,20250224,203500,101.63,101.64,101.43,101.46,4478,0
ENS.US,5,20250224,204000,101.43,101.44,101.43,101.44,2048,0
ENS.US,5,20250224,204500,101.505,101.505,101.43,101.43,900,0
ENS.US,5,20250224,205000,101.48,101.53,101.43,101.49,1428,0
ENS.US,5,20250224,205500,101.43,101.48,101.3,101.48,4737,0
