<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCBD.US,5,20250224,165000,25.3243,25.3243,25.3243,25.3243,393,0
FCBD.US,5,20250224,191000,25.3396,25.3396,25.3396,25.3396,256,0
FCBD.US,5,20250224,202500,25.35,25.35,25.35,25.35,433,0
FCBD.US,5,20250224,215000,25.36,25.36,25.36,25.36,500,0
FCBD.US,5,20250224,215500,25.36,25.36,25.36,25.36,193,0
FCBD.US,5,20250225,181000,25.3902,25.3902,25.3902,25.3902,163,0
FCBD.US,5,20250225,192000,25.42,25.42,25.42,25.42,1926,0
FCBD.US,5,20250225,215000,25.415,25.415,25.415,25.415,298,0
FCBD.US,5,20250226,215500,25.46,25.46,25.46,25.46,100,0
FCBD.US,5,20250227,165000,25.41,25.41,25.41,25.41,1090,0
FCBD.US,5,20250227,180500,25.41,25.4101,25.41,25.4101,582,0
FCBD.US,5,20250227,192500,25.4495,25.4495,25.4495,25.4495,1586,0
FCBD.US,5,20250227,211000,25.435,25.435,25.435,25.435,209,0
FCBD.US,5,20250228,163000,25.4799,25.48,25.4799,25.48,1216,0
FCBD.US,5,20250228,210500,25.484,25.49,25.484,25.49,8841,0
FCBD.US,5,20250228,215000,25.92,25.92,25.92,25.92,100,0
FCBD.US,5,20250303,160500,25.51,25.51,25.51,25.51,1468,0
FCBD.US,5,20250303,173000,25.53,25.53,25.53,25.53,166,0
FCBD.US,5,20250303,192500,25.5491,25.55,25.53,25.55,7007,0
FCBD.US,5,20250303,210000,25.5,25.5,25.5,25.5,170,0
FCBD.US,5,20250303,215000,25.63,25.63,25.63,25.63,100,0
FCBD.US,5,20250304,193500,25.54,25.54,25.53,25.53,1884,0
FCBD.US,5,20250304,200000,25.515,25.515,25.515,25.515,113,0
FCBD.US,5,20250305,185000,25.48,25.48,25.48,25.48,100,0
FCBD.US,5,20250306,164500,25.424,25.424,25.424,25.424,540,0
FCBD.US,5,20250306,185500,25.4306,25.4306,25.4306,25.4306,369,0
FCBD.US,5,20250306,201000,25.44,25.44,25.44,25.44,856,0
FCBD.US,5,20250306,210500,25.43,25.4301,25.42,25.42,804,0
FCBD.US,5,20250307,210500,25.47,25.4701,25.47,25.4701,200,0
FCBD.US,5,20250307,211500,25.445,25.46,25.445,25.46,492,0
FCBD.US,5,20250310,154500,25.53,25.53,25.53,25.53,100,0
FCBD.US,5,20250310,190500,25.52,25.52,25.5199,25.5199,202,0
FCBD.US,5,20250310,191500,25.5,25.51,25.5,25.51,2295,0
FCBD.US,5,20250310,201000,25.5,25.54,25.5,25.54,2336,0
FCBD.US,5,20250311,190000,25.4909,25.4909,25.4909,25.4909,327,0
FCBD.US,5,20250311,202500,25.47,25.47,25.47,25.47,749,0
FCBD.US,5,20250312,192500,25.44,25.44,25.44,25.44,6753,0
FCBD.US,5,20250312,201500,25.4414,25.4414,25.4414,25.4414,651,0
FCBD.US,5,20250313,184500,25.4665,25.4665,25.4665,25.4665,141,0
FCBD.US,5,20250313,205500,25.45,25.45,25.45,25.45,1394,0
FCBD.US,5,20250314,185500,25.44,25.44,25.44,25.44,1596,0
FCBD.US,5,20250314,193000,25.42,25.46,25.42,25.46,1974,0
FCBD.US,5,20250314,195000,25.435,25.435,25.435,25.435,268,0
FCBD.US,5,20250317,154000,25.4458,25.4458,25.4458,25.4458,127,0
FCBD.US,5,20250317,180000,25.4403,25.463,25.44,25.455,1765,0
FCBD.US,5,20250317,204000,25.42,25.42,25.42,25.42,584,0
FCBD.US,5,20250318,173500,25.46,25.46,25.46,25.46,3447,0
FCBD.US,5,20250318,174000,25.46,25.46,25.46,25.46,2434,0
FCBD.US,5,20250318,185500,25.465,25.465,25.465,25.465,179,0
FCBD.US,5,20250318,193500,25.45,25.4662,25.44,25.4595,1850,0
FCBD.US,5,20250319,192000,25.46,25.48,25.46,25.48,1318,0
FCBD.US,5,20250320,161000,25.535,25.535,25.535,25.535,244,0
FCBD.US,5,20250320,185500,25.52,25.52,25.52,25.52,230,0
FCBD.US,5,20250320,200000,25.55,25.55,25.49,25.49,566,0
FCBD.US,5,20250321,153000,25.5346,25.5346,25.5346,25.5346,113,0
FCBD.US,5,20250321,191000,25.53,25.53,25.51,25.51,4849,0
FCBD.US,5,20250321,200000,25.5399,25.5399,25.5,25.5,8751,0
FCBD.US,5,20250321,204500,25.5,25.5,25.5,25.5,1000,0
FCBD.US,5,20250324,200500,25.465,25.465,25.465,25.465,671,0
FCBD.US,5,20250325,154500,25.46,25.46,25.45,25.45,7227,0
FCBD.US,5,20250325,155000,25.45,25.45,25.45,25.45,5000,0
FCBD.US,5,20250325,175500,25.46,25.5,25.46,25.5,1096,0
FCBD.US,5,20250325,200500,25.47,25.47,25.46,25.46,12981,0
FCBD.US,5,20250325,202500,25.45,25.49,25.45,25.49,682,0
FCBD.US,5,20250325,203000,25.46,25.46,25.46,25.46,7500,0
FCBD.US,5,20250326,143500,25.44,25.44,25.44,25.44,396,0
FCBD.US,5,20250326,193500,25.45,25.45,25.45,25.45,347,0
FCBD.US,5,20250326,201500,25.48,25.48,25.44,25.4401,1060,0
FCBD.US,5,20250326,205500,25.43,25.43,25.43,25.43,705,0
FCBD.US,5,20250327,193500,25.44,25.44,25.44,25.44,487,0
FCBD.US,5,20250327,205500,25.43,25.43,25.43,25.43,790,0
FCBD.US,5,20250328,173000,25.315,25.315,25.315,25.315,588,0
FCBD.US,5,20250331,205000,25.3299,25.3299,25.3299,25.3299,1501,0
FCBD.US,5,20250331,213000,25.34,25.34,25.34,25.34,640,0
FCBD.US,5,20250331,213500,25.35,25.35,25.35,25.35,690,0
FCBD.US,5,20250331,214500,25.34,25.34,25.34,25.34,100,0
FCBD.US,5,20250331,215500,25.34,25.35,25.34,25.35,200,0
FCBD.US,5,20250401,161500,25.415,25.415,25.415,25.415,285,0
FCBD.US,5,20250402,165500,25.42,25.42,25.38,25.38,346,0
FCBD.US,5,20250402,181500,25.3691,25.3691,25.3691,25.3691,1060,0
FCBD.US,5,20250402,194000,25.36,25.36,25.36,25.36,972,0
FCBD.US,5,20250402,205000,25.3419,25.3419,25.3419,25.3419,1361,0
FCBD.US,5,20250402,211000,25.38,25.38,25.365,25.365,1700,0
FCBD.US,5,20250402,212500,25.37,25.37,25.37,25.37,255,0
FCBD.US,5,20250403,182000,25.45,25.4501,25.37,25.37,1504,0
FCBD.US,5,20250403,195500,25.48,25.48,25.44,25.44,2069,0
FCBD.US,5,20250403,212500,25.43,25.43,25.43,25.43,884,0
FCBD.US,5,20250404,210000,25.51,25.51,25.47,25.48,1342,0
FCBD.US,5,20250404,213000,25.4908,25.4908,25.4908,25.4908,378,0
FCBD.US,5,20250404,214000,25.4705,25.4705,25.4705,25.4705,110,0
FCBD.US,5,20250407,163500,25.3831,25.3831,25.3831,25.3831,909,0
FCBD.US,5,20250407,201000,25.33,25.33,25.33,25.33,984,0
FCBD.US,5,20250407,204500,25.3379,25.3379,25.3379,25.3379,1573,0
FCBD.US,5,20250407,210500,25.3,25.34,25.3,25.34,2012,0
FCBD.US,5,20250407,213000,25.3183,25.3183,25.3183,25.3183,121,0
FCBD.US,5,20250408,155500,25.26,25.26,25.26,25.26,1048,0
FCBD.US,5,20250408,161000,25.24,25.2492,25.21,25.235,4006,0
FCBD.US,5,20250408,162500,25.22,25.22,25.22,25.22,100,0
FCBD.US,5,20250408,165500,25.25,25.25,25.25,25.25,100,0
FCBD.US,5,20250408,171000,25.275,25.275,25.275,25.275,100,0
FCBD.US,5,20250408,171500,25.2601,25.2601,25.2601,25.2601,512,0
FCBD.US,5,20250408,173500,25.26,25.2674,25.26,25.2601,7510,0
FCBD.US,5,20250408,175000,25.26,25.26,25.26,25.26,100,0
FCBD.US,5,20250408,183000,25.26,25.2601,25.26,25.2601,3134,0
FCBD.US,5,20250408,184000,25.28,25.28,25.2701,25.2701,900,0
FCBD.US,5,20250408,192000,25.276,25.276,25.276,25.276,157,0
FCBD.US,5,20250408,192500,25.26,25.26,25.26,25.26,586,0
FCBD.US,5,20250408,201000,25.26,25.26,25.24,25.24,52833,0
FCBD.US,5,20250408,211000,25.23,25.23,25.23,25.23,38607,0
FCBD.US,5,20250408,211500,25.2449,25.2449,25.22,25.22,200,0
FCBD.US,5,20250408,213500,25.22,25.22,25.22,25.22,100,0
FCBD.US,5,20250408,214000,25.2105,25.2105,25.2105,25.2105,2916,0
FCBD.US,5,20250408,214500,25.22,25.22,25.22,25.22,13097,0
FCBD.US,5,20250408,215000,25.21,25.27,25.2,25.2,27643,0
FCBD.US,5,20250408,215500,25.21,25.21,25.05,25.05,299,0
FCBD.US,5,20250409,162000,25.09,25.09,25.09,25.09,100,0
FCBD.US,5,20250409,174000,25.06,25.0746,25.06,25.0746,531,0
FCBD.US,5,20250409,181500,25.05,25.05,25.05,25.05,100,0
FCBD.US,5,20250409,194000,25.11,25.11,25.11,25.11,100,0
FCBD.US,5,20250409,211000,25.1201,25.1201,25.12,25.12,258,0
FCBD.US,5,20250409,212000,25.17,25.17,25.17,25.17,236,0
FCBD.US,5,20250410,171500,25.18,25.18,25.18,25.18,100,0
FCBD.US,5,20250410,173500,25.17,25.2086,25.17,25.2086,373,0
FCBD.US,5,20250410,174500,25.15,25.15,25.15,25.15,100,0
FCBD.US,5,20250410,195000,25.168,25.168,25.168,25.168,627,0
FCBD.US,5,20250410,200500,25.13,25.18,25.13,25.1799,1182,0
FCBD.US,5,20250410,201000,25.156,25.156,25.156,25.156,962,0
FCBD.US,5,20250410,211000,25.17,25.17,25.17,25.17,443,0
FCBD.US,5,20250410,211500,25.13,25.1301,25.13,25.1301,6238,0
FCBD.US,5,20250410,215500,25.13,25.13,25.13,25.13,100,0
FCBD.US,5,20250411,163500,24.98,24.98,24.98,24.98,100,0
FCBD.US,5,20250411,170500,24.95,24.9501,24.95,24.9501,1270,0
FCBD.US,5,20250411,173500,24.98,24.98,24.98,24.98,100,0
FCBD.US,5,20250411,191500,25.05,25.05,25.05,25.05,100,0
FCBD.US,5,20250414,162500,25.12,25.12,25.12,25.12,100,0
FCBD.US,5,20250414,195000,25.15,25.15,25.15,25.15,200,0
FCBD.US,5,20250414,205500,25.22,25.22,25.195,25.195,253,0
FCBD.US,5,20250415,160000,25.18,25.18,25.18,25.18,100,0
FCBD.US,5,20250415,164000,25.2,25.2,25.2,25.2,100,0
FCBD.US,5,20250415,205000,25.234,25.234,25.234,25.234,1849,0
FCBD.US,5,20250415,214000,25.2106,25.2106,25.2106,25.2106,101,0
FCBD.US,5,20250416,171500,25.21,25.21,25.21,25.21,100,0
FCBD.US,5,20250416,172500,25.22,25.22,25.21,25.21,300,0
FCBD.US,5,20250416,210500,25.31,25.31,25.3099,25.3099,704,0
FCBD.US,5,20250416,213500,25.2401,25.2401,25.2401,25.2401,129,0
FCBD.US,5,20250417,165000,25.28,25.28,25.28,25.28,355,0
FCBD.US,5,20250417,185000,25.265,25.265,25.265,25.265,1949,0
FCBD.US,5,20250417,193500,25.2607,25.2607,25.2607,25.2607,743,0
FCBD.US,5,20250417,210500,25.2201,25.2201,25.2201,25.2201,602,0
FCBD.US,5,20250421,170500,25.251,25.251,25.251,25.251,436,0
FCBD.US,5,20250421,171000,25.21,25.245,25.21,25.245,235,0
