<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLG_U.US,5,20250224,183000,38.21,38.21,38.21,38.21,100,0
FLG_U.US,5,20250224,211500,38.21,38.21,38.21,38.21,190,0
FLG_U.US,5,20250224,215000,38.25,38.45,38.25,38.4,2724,0
FLG_U.US,5,20250224,215500,38.44,38.44,38.4,38.4,1975,0
FLG_U.US,5,20250225,162500,38.1742,38.1742,38.1742,38.1742,272,0
FLG_U.US,5,20250225,175000,38.2,38.2,38.2,38.2,200,0
FLG_U.US,5,20250225,175500,38.4,38.4,38.4,38.4,324,0
FLG_U.US,5,20250225,183000,38.59,38.6,38.54,38.6,300,0
FLG_U.US,5,20250225,195500,38.2,38.375,38.15,38.375,862,0
FLG_U.US,5,20250225,210000,38.31,38.31,38.31,38.31,100,0
FLG_U.US,5,20250226,165500,38.06,38.06,38.04,38.05,700,0
FLG_U.US,5,20250226,170000,38.05,38.05,38.05,38.05,180,0
FLG_U.US,5,20250226,171000,38.05,38.06,38.05,38.06,782,0
FLG_U.US,5,20250226,172500,38.04,38.1199,38.04,38.0401,350,0
FLG_U.US,5,20250226,181000,38.05,38.05,38.05,38.05,513,0
FLG_U.US,5,20250226,190000,38.04,38.04,38.04,38.04,300,0
FLG_U.US,5,20250226,203500,38.05,38.05,38.05,38.05,100,0
FLG_U.US,5,20250226,214500,38.05,38.05,38.05,38.05,190,0
FLG_U.US,5,20250226,215500,38.16,38.16,38.16,38.16,110,0
FLG_U.US,5,20250227,154000,38.15,38.15,38.15,38.15,100,0
FLG_U.US,5,20250227,173000,38.25,38.25,38.25,38.25,171,0
FLG_U.US,5,20250227,201000,38.17,38.17,38.17,38.17,200,0
FLG_U.US,5,20250227,211500,38.17,38.5,38.17,38.17,2003,0
FLG_U.US,5,20250227,215500,38.41,38.41,38.41,38.41,103,0
FLG_U.US,5,20250228,172500,38.04,38.04,38.04,38.04,100,0
FLG_U.US,5,20250228,181500,37.73,37.73,37.73,37.73,100,0
FLG_U.US,5,20250228,183000,38.04,38.04,38.04,38.04,210,0
FLG_U.US,5,20250228,185500,38.04,38.04,38.04,38.04,110,0
