<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRA.US,5,20250224,153500,13.0399,13.0399,13.0399,13.0399,702,0
FRA.US,5,20250224,154000,13.005,13.02,13.005,13.02,200,0
FRA.US,5,20250224,154500,13.01,13.01,13.01,13.01,100,0
FRA.US,5,20250224,155500,13.0017,13.01,13.0017,13.01,600,0
FRA.US,5,20250224,160500,13.01,13.01,13.01,13.01,700,0
FRA.US,5,20250224,161000,13.005,13.005,13.005,13.005,400,0
FRA.US,5,20250224,162000,13.005,13.005,12.99,13,800,0
FRA.US,5,20250224,162500,13.0003,13.0003,13,13,1100,0
FRA.US,5,20250224,163500,12.9902,12.9902,12.9902,12.9902,151,0
FRA.US,5,20250224,164000,13,13,13,13,100,0
FRA.US,5,20250224,165500,12.99,12.99,12.98,12.98,1730,0
FRA.US,5,20250224,170000,12.99,12.9921,12.99,12.9921,300,0
FRA.US,5,20250224,171000,12.99,12.99,12.99,12.99,1000,0
FRA.US,5,20250224,172000,12.97,12.97,12.97,12.97,155,0
FRA.US,5,20250224,172500,12.98,12.99,12.98,12.99,681,0
FRA.US,5,20250224,173000,12.99,12.99,12.99,12.99,100,0
FRA.US,5,20250224,173500,12.99,12.99,12.99,12.99,600,0
FRA.US,5,20250224,174000,12.99,12.99,12.9817,12.99,772,0
FRA.US,5,20250224,174500,12.99,12.99,12.99,12.99,846,0
FRA.US,5,20250224,175500,12.9819,12.992,12.9819,12.99,1231,0
FRA.US,5,20250224,180500,12.99,12.99,12.98,12.98,3653,0
FRA.US,5,20250224,181500,12.98,12.98,12.98,12.98,2293,0
FRA.US,5,20250224,182000,12.98,12.98,12.975,12.975,410,0
FRA.US,5,20250224,183500,12.96,12.9899,12.96,12.9899,1060,0
FRA.US,5,20250224,184000,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250224,184500,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250224,185000,12.975,12.975,12.975,12.975,100,0
FRA.US,5,20250224,185500,12.96,12.98,12.96,12.98,4862,0
FRA.US,5,20250224,190000,12.99,12.99,12.95,12.9632,4644,0
FRA.US,5,20250224,190500,12.9899,12.9899,12.9899,12.9899,470,0
FRA.US,5,20250224,191000,12.95,12.955,12.95,12.955,200,0
FRA.US,5,20250224,191500,12.99,12.99,12.95,12.9729,1988,0
FRA.US,5,20250224,192000,12.95,12.95,12.95,12.95,200,0
FRA.US,5,20250224,192500,12.95,12.99,12.95,12.99,6125,0
FRA.US,5,20250224,193000,12.95,12.95,12.95,12.95,100,0
FRA.US,5,20250224,193500,12.95,12.95,12.95,12.95,100,0
FRA.US,5,20250224,194000,12.97,12.97,12.97,12.97,500,0
FRA.US,5,20250224,194500,12.97,12.97,12.95,12.955,750,0
FRA.US,5,20250224,195000,12.95,12.9743,12.95,12.9743,1580,0
FRA.US,5,20250224,195500,12.95,12.95,12.95,12.95,210,0
FRA.US,5,20250224,200000,12.9567,12.96,12.94,12.95,3862,0
FRA.US,5,20250224,200500,12.94,12.94,12.94,12.94,100,0
FRA.US,5,20250224,201000,12.945,12.9499,12.945,12.9499,200,0
FRA.US,5,20250224,201500,12.945,12.945,12.94,12.945,700,0
FRA.US,5,20250224,202000,12.95,12.95,12.945,12.95,7020,0
FRA.US,5,20250224,202500,12.945,12.945,12.92,12.93,8243,0
FRA.US,5,20250224,203500,12.935,12.94,12.88,12.91,18558,0
FRA.US,5,20250224,204000,12.91,12.92,12.91,12.91,1006,0
FRA.US,5,20250224,204500,12.915,12.92,12.91,12.91,1454,0
FRA.US,5,20250224,205000,12.91,12.91,12.91,12.91,100,0
FRA.US,5,20250224,205500,12.91,12.91,12.91,12.91,100,0
FRA.US,5,20250224,210000,12.915,12.9192,12.915,12.915,3345,0
FRA.US,5,20250224,210500,12.92,12.92,12.915,12.915,901,0
FRA.US,5,20250224,211000,12.915,12.92,12.915,12.915,2400,0
FRA.US,5,20250224,211500,12.9125,12.9125,12.91,12.91,200,0
FRA.US,5,20250224,212000,12.915,12.915,12.915,12.915,200,0
FRA.US,5,20250224,212500,12.915,12.92,12.915,12.92,372,0
FRA.US,5,20250224,213000,12.915,12.915,12.91,12.915,400,0
FRA.US,5,20250224,213500,12.92,12.92,12.91,12.92,2716,0
FRA.US,5,20250224,214000,12.915,12.915,12.915,12.915,200,0
FRA.US,5,20250224,214500,12.92,12.935,12.92,12.935,1927,0
FRA.US,5,20250224,215000,12.935,12.935,12.935,12.935,1934,0
FRA.US,5,20250224,215500,12.93,12.95,12.92,12.95,5436,0
FRA.US,5,20250225,153000,12.985,12.99,12.985,12.99,1444,0
FRA.US,5,20250225,153500,12.97,12.97,12.97,12.97,300,0
FRA.US,5,20250225,154000,12.97,12.97,12.97,12.97,100,0
FRA.US,5,20250225,154500,12.9708,12.9708,12.9708,12.9708,102,0
FRA.US,5,20250225,155000,12.97,12.97,12.97,12.97,500,0
FRA.US,5,20250225,155500,12.975,12.975,12.975,12.975,500,0
FRA.US,5,20250225,160000,12.975,12.975,12.97,12.975,1200,0
FRA.US,5,20250225,160500,12.975,12.975,12.975,12.975,100,0
FRA.US,5,20250225,161000,12.97,12.97,12.97,12.97,400,0
FRA.US,5,20250225,161500,12.97,12.97,12.945,12.95,1200,0
FRA.US,5,20250225,162000,12.955,12.955,12.94,12.94,400,0
FRA.US,5,20250225,162500,12.9401,12.9401,12.94,12.94,1120,0
FRA.US,5,20250225,163000,12.965,12.97,12.965,12.9653,970,0
FRA.US,5,20250225,163500,12.97,12.97,12.963,12.963,3242,0
FRA.US,5,20250225,164000,12.968055,12.968055,12.968055,12.968055,425,0
FRA.US,5,20250225,164500,12.97,12.97,12.96,12.965,3055,0
FRA.US,5,20250225,165500,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250225,170000,12.9615,12.9615,12.96,12.96,5218,0
FRA.US,5,20250225,170500,12.96,12.96,12.96,12.96,600,0
FRA.US,5,20250225,171000,12.95,12.96,12.94,12.94,800,0
FRA.US,5,20250225,171500,12.94,12.955,12.94,12.945,1000,0
FRA.US,5,20250225,172000,12.93,12.94,12.93,12.93,300,0
FRA.US,5,20250225,172500,12.93,12.935,12.92,12.9215,3403,0
FRA.US,5,20250225,173000,12.92,12.935,12.92,12.9228,711,0
FRA.US,5,20250225,173500,12.92,12.9378,12.92,12.935,2155,0
FRA.US,5,20250225,174000,12.92,12.92,12.92,12.92,200,0
FRA.US,5,20250225,174500,12.92,12.93,12.92,12.92,1200,0
FRA.US,5,20250225,175000,12.92,12.94,12.92,12.92,2388,0
FRA.US,5,20250225,175500,12.92,12.92,12.92,12.92,200,0
FRA.US,5,20250225,180000,12.92,12.9233,12.91,12.91,1437,0
FRA.US,5,20250225,180500,12.91,12.915,12.91,12.915,200,0
FRA.US,5,20250225,181000,12.91,12.93,12.91,12.91,400,0
FRA.US,5,20250225,181500,12.915,12.96,12.915,12.96,12936,0
FRA.US,5,20250225,182000,12.97,12.97,12.954,12.954,1442,0
FRA.US,5,20250225,183500,12.96,12.96,12.945,12.945,900,0
FRA.US,5,20250225,184000,12.93,12.945,12.93,12.93,1258,0
FRA.US,5,20250225,184500,12.93,12.945,12.93,12.93,5200,0
FRA.US,5,20250225,185000,12.92,12.94,12.92,12.92,1178,0
FRA.US,5,20250225,185500,12.92,12.92,12.92,12.92,300,0
FRA.US,5,20250225,190000,12.92,12.94,12.91,12.94,1365,0
FRA.US,5,20250225,190500,12.94,12.95,12.92,12.92,330,0
FRA.US,5,20250225,191000,12.92,12.92,12.92,12.92,1200,0
FRA.US,5,20250225,191500,12.92,12.93,12.92,12.92,700,0
FRA.US,5,20250225,192000,12.92,12.92,12.92,12.92,300,0
FRA.US,5,20250225,192500,12.92,12.94,12.92,12.93,2300,0
FRA.US,5,20250225,193000,12.92,12.92,12.92,12.92,300,0
FRA.US,5,20250225,193500,12.92,12.92,12.91,12.91,300,0
FRA.US,5,20250225,194000,12.91,12.936,12.91,12.91,650,0
FRA.US,5,20250225,194500,12.91,12.92,12.91,12.91,700,0
FRA.US,5,20250225,195000,12.9177,12.9198,12.91,12.915,2148,0
FRA.US,5,20250225,195500,12.9125,12.9125,12.91,12.9125,300,0
FRA.US,5,20250225,200000,12.915,12.92,12.915,12.92,700,0
FRA.US,5,20250225,200500,12.915,12.915,12.91,12.91,3194,0
FRA.US,5,20250225,201000,12.9,12.91,12.9,12.91,300,0
FRA.US,5,20250225,201500,12.91,12.91,12.89,12.895,12269,0
FRA.US,5,20250225,202000,12.88,12.895,12.88,12.89,1050,0
FRA.US,5,20250225,202500,12.89,12.9,12.89,12.89,1600,0
FRA.US,5,20250225,203000,12.89,12.895,12.89,12.89,931,0
FRA.US,5,20250225,203500,12.89,12.895,12.89,12.89,400,0
FRA.US,5,20250225,204000,12.8925,12.898,12.89,12.895,700,0
FRA.US,5,20250225,204500,12.89,12.895,12.89,12.89,300,0
FRA.US,5,20250225,205000,12.8959,12.93,12.89,12.93,13293,0
FRA.US,5,20250225,205500,12.94,12.94,12.9367,12.9367,1209,0
FRA.US,5,20250225,210000,12.93,12.9305,12.93,12.93,1289,0
FRA.US,5,20250225,211000,12.92,12.92,12.92,12.92,600,0
FRA.US,5,20250225,211500,12.92,12.95,12.92,12.95,3637,0
FRA.US,5,20250225,212500,12.945,12.95,12.935,12.94,16713,0
FRA.US,5,20250225,213500,12.9541,12.9541,12.93,12.93,2418,0
FRA.US,5,20250225,214000,12.945,12.96,12.94,12.94,2446,0
FRA.US,5,20250225,214500,12.94,12.943875,12.93,12.94,1704,0
FRA.US,5,20250225,215000,12.93,12.98,12.93,12.975,9187,0
FRA.US,5,20250225,215500,12.96,12.98,12.96,12.98,2808,0
FRA.US,5,20250226,153000,12.9897,13.0386,12.9897,13.0386,785,0
FRA.US,5,20250226,155500,12.961,12.961,12.961,12.961,100,0
FRA.US,5,20250226,160000,12.97,12.97,12.97,12.97,300,0
FRA.US,5,20250226,160500,12.9635,12.9635,12.96,12.96,3200,0
FRA.US,5,20250226,161000,12.961,12.9967,12.9601,12.9601,3219,0
FRA.US,5,20250226,161500,12.9824,13.03,12.9635,12.97,10146,0
FRA.US,5,20250226,162500,12.9853,12.995,12.9853,12.995,614,0
FRA.US,5,20250226,163000,12.995,12.995,12.995,12.995,100,0
FRA.US,5,20250226,163500,13.025,13.025,12.94,12.95,5461,0
FRA.US,5,20250226,164000,12.94,12.962,12.94,12.962,5055,0
FRA.US,5,20250226,165000,12.97,12.97,12.97,12.97,100,0
FRA.US,5,20250226,165500,12.975,12.975,12.975,12.975,800,0
FRA.US,5,20250226,170000,12.98,12.99,12.9767,12.985,400,0
FRA.US,5,20250226,170500,12.982,12.99,12.982,12.9821,900,0
FRA.US,5,20250226,171000,12.99,12.99,12.99,12.99,200,0
FRA.US,5,20250226,172000,12.985,12.985,12.97,12.97,9063,0
FRA.US,5,20250226,172500,12.9709,12.99,12.9709,12.99,1485,0
FRA.US,5,20250226,173000,12.97,12.985,12.97,12.985,200,0
FRA.US,5,20250226,174500,12.97,12.97,12.97,12.97,100,0
FRA.US,5,20250226,180500,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250226,181500,12.9701,12.9701,12.97,12.97,3878,0
FRA.US,5,20250226,182000,12.9701,13,12.9644,12.9644,2282,0
FRA.US,5,20250226,182500,12.96,12.9728,12.96,12.9728,1204,0
FRA.US,5,20250226,183000,12.9725,12.9725,12.96,12.96,7069,0
FRA.US,5,20250226,184000,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250226,184500,12.982,13,12.982,13,1850,0
FRA.US,5,20250226,185500,12.98,12.98,12.98,12.98,100,0
FRA.US,5,20250226,190000,12.97,12.97,12.96,12.96,472,0
FRA.US,5,20250226,190500,12.97,12.97,12.97,12.97,200,0
FRA.US,5,20250226,191000,12.97,12.98,12.97,12.97,2300,0
FRA.US,5,20250226,191500,12.9883,12.9883,12.9883,12.9883,927,0
FRA.US,5,20250226,192000,12.97,12.97,12.97,12.97,100,0
FRA.US,5,20250226,192500,12.97,12.97,12.97,12.97,100,0
FRA.US,5,20250226,194000,12.97,12.97,12.96,12.96,1704,0
FRA.US,5,20250226,194500,12.9668,12.9668,12.96,12.96,4071,0
FRA.US,5,20250226,195000,12.96,12.96,12.96,12.96,300,0
FRA.US,5,20250226,195500,12.96,12.96,12.96,12.96,300,0
FRA.US,5,20250226,201000,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250226,201500,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250226,202000,12.96,12.96,12.96,12.96,100,0
FRA.US,5,20250226,202500,12.965,12.98,12.965,12.97,4026,0
FRA.US,5,20250226,203500,12.975,12.98,12.975,12.98,300,0
FRA.US,5,20250226,204000,12.975,12.98,12.975,12.98,300,0
FRA.US,5,20250226,204500,12.971,12.971,12.971,12.971,100,0
FRA.US,5,20250226,210000,12.97,12.97,12.97,12.97,600,0
FRA.US,5,20250226,210500,12.97,12.97,12.97,12.97,300,0
FRA.US,5,20250226,211000,12.97,12.97,12.97,12.97,100,0
