<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLP.US,5,20250224,153000,58.23,58.23,58.23,58.23,436,0
GLP.US,5,20250224,160000,57.11,57.11,57.11,57.11,100,0
GLP.US,5,20250224,161000,57.83,57.83,57.83,57.83,100,0
GLP.US,5,20250224,161500,57.725,57.725,57.51,57.51,696,0
GLP.US,5,20250224,162500,57.725,57.725,57.725,57.725,100,0
GLP.US,5,20250224,163000,57.725,57.725,57.725,57.725,250,0
GLP.US,5,20250224,164000,57.65,57.65,57.65,57.65,300,0
GLP.US,5,20250224,164500,57.325,57.76,57.1,57.76,1904,0
GLP.US,5,20250224,165000,57.715,57.715,57.715,57.715,100,0
GLP.US,5,20250224,165500,57.705,57.705,57.32,57.32,400,0
GLP.US,5,20250224,170000,56.87,56.91,56.805,56.91,703,0
GLP.US,5,20250224,170500,56.91,57.15,56.91,57.15,500,0
GLP.US,5,20250224,171000,57.15,57.26,57.15,57.26,200,0
GLP.US,5,20250224,172500,57.41,57.41,57.41,57.41,100,0
GLP.US,5,20250224,173000,57.53,57.53,57.53,57.53,100,0
GLP.US,5,20250224,173500,57.09,57.09,57.07,57.07,300,0
GLP.US,5,20250224,174000,57.54,57.54,57.54,57.54,100,0
GLP.US,5,20250224,174500,57.96,57.96,57.96,57.96,100,0
GLP.US,5,20250224,175000,57.6432,57.95,57.6432,57.95,480,0
GLP.US,5,20250224,175500,58.27,58.27,57.677149,57.677149,344,0
GLP.US,5,20250224,180000,57.9,58.275,57.9,58.275,200,0
GLP.US,5,20250224,182000,57.86,58.06,57.86,58.06,300,0
GLP.US,5,20250224,183500,57.86,58.0699,57.82,57.82,500,0
GLP.US,5,20250224,190500,57.4901,57.4901,57.4901,57.4901,500,0
GLP.US,5,20250224,191000,57.835,57.835,57.775,57.775,960,0
GLP.US,5,20250224,192500,58.035,58.035,58.035,58.035,100,0
GLP.US,5,20250224,194500,58.0972,58.1199,58.045,58.045,423,0
GLP.US,5,20250224,195500,58.26,58.26,58.26,58.26,100,0
GLP.US,5,20250224,200500,58.25,58.25,58.25,58.25,100,0
GLP.US,5,20250224,201000,58.29,58.29,58.29,58.29,135,0
GLP.US,5,20250224,203000,58.32,58.33,58.32,58.33,200,0
GLP.US,5,20250224,203500,58.315,58.585,58.0366,58.585,362,0
GLP.US,5,20250224,204000,58.3425,58.6,58.3425,58.6,600,0
GLP.US,5,20250224,204500,58.59,58.59,58.59,58.59,200,0
GLP.US,5,20250224,205500,58.315,58.65,58.315,58.315,300,0
GLP.US,5,20250224,210000,58.315,58.315,58.315,58.315,100,0
GLP.US,5,20250224,210500,58.57,58.57,58.57,58.57,200,0
GLP.US,5,20250224,211000,58.355,58.355,58.355,58.355,100,0
GLP.US,5,20250224,212000,58.355,58.54,58.33,58.5,400,0
GLP.US,5,20250224,212500,58.25,58.515,58.0511,58.515,700,0
GLP.US,5,20250224,213000,58.4,58.4,58.4,58.4,360,0
GLP.US,5,20250224,213500,58.47,58.48,58.47,58.48,200,0
GLP.US,5,20250224,214000,58.49,58.68,58.14,58.14,3235,0
GLP.US,5,20250224,215000,58.45,58.615,58.415,58.54,1492,0
GLP.US,5,20250224,215500,58.54,58.6,58.21,58.21,3729,0
GLP.US,5,20250225,162000,56.61,56.61,56.61,56.61,200,0
GLP.US,5,20250225,162500,57.1,57.16,57.1,57.16,200,0
GLP.US,5,20250225,163000,57.21,57.49,57.21,57.49,400,0
GLP.US,5,20250225,163500,57.53,57.74,57.53,57.74,890,0
GLP.US,5,20250225,165000,58.195,58.195,58.195,58.195,200,0
GLP.US,5,20250225,170500,58.195,58.195,57.21,57.21,200,0
GLP.US,5,20250225,171000,58.195,58.195,58.195,58.195,100,0
GLP.US,5,20250225,171500,57.2715,57.96,57.2715,57.96,346,0
GLP.US,5,20250225,175000,57.7,58.24,57.33,57.62,950,0
GLP.US,5,20250225,175500,57.285,57.725,57.275,57.725,300,0
GLP.US,5,20250225,180000,57.725,57.725,57.725,57.725,100,0
GLP.US,5,20250225,181000,57.725,57.725,57.725,57.725,100,0
GLP.US,5,20250225,182500,57.725,57.725,57.725,57.725,100,0
GLP.US,5,20250225,184000,57.725,58.175,57.725,58.175,200,0
GLP.US,5,20250225,190500,57.89,57.89,57.89,57.89,163,0
GLP.US,5,20250225,192000,57.7,57.7,57.7,57.7,200,0
GLP.US,5,20250225,192500,57.92,57.92,57.92,57.92,200,0
GLP.US,5,20250225,194000,58.25,58.315,58.25,58.315,543,0
GLP.US,5,20250225,195500,58.2,58.2,58.2,58.2,500,0
GLP.US,5,20250225,200000,58.35,58.35,57.94,58.16,600,0
GLP.US,5,20250225,200500,58.17,58.17,58.17,58.17,100,0
GLP.US,5,20250225,201500,58.32,58.32,58.32,58.32,100,0
GLP.US,5,20250225,202500,57.89,57.89,57.89,57.89,350,0
GLP.US,5,20250225,203000,58.475,58.475,58.475,58.475,100,0
GLP.US,5,20250225,204500,58.475,58.475,58.475,58.475,100,0
GLP.US,5,20250225,205500,58.485,58.485,58.1833,58.1833,213,0
GLP.US,5,20250225,211500,58.3,58.31,58.3,58.31,200,0
GLP.US,5,20250225,212000,58.52,58.52,58.52,58.52,200,0
GLP.US,5,20250225,214000,58.16,58.62,58.16,58.61,2357,0
GLP.US,5,20250225,214500,58.605,58.605,58.6,58.6,200,0
GLP.US,5,20250225,215000,58.6,58.6467,58.285,58.285,1993,0
GLP.US,5,20250225,215500,58.49,58.51,58.13,58.17,3990,0
GLP.US,5,20250226,154500,58.455,58.455,58.455,58.455,100,0
GLP.US,5,20250226,160000,58.14,58.14,58.1,58.11,400,0
GLP.US,5,20250226,160500,58.86,58.86,58.86,58.86,100,0
GLP.US,5,20250226,161000,58.39,58.39,58.39,58.39,100,0
GLP.US,5,20250226,163000,58.4764,58.4764,58.4764,58.4764,350,0
GLP.US,5,20250226,164000,59.175,59.175,59.175,59.175,100,0
GLP.US,5,20250226,164500,58.9275,58.9275,58.73,58.73,200,0
GLP.US,5,20250226,165000,58.955,58.955,58.74,58.955,300,0
GLP.US,5,20250226,165500,58.76,58.76,58.76,58.76,100,0
GLP.US,5,20250226,170000,58.33,58.675,58.23,58.675,300,0
GLP.US,5,20250226,170500,58.21,58.21,58.21,58.21,100,0
GLP.US,5,20250226,171000,59.06,59.06,59.06,59.06,200,0
GLP.US,5,20250226,171500,58.21,58.21,58.21,58.21,100,0
GLP.US,5,20250226,172000,58.645,58.645,58.444,58.444,317,0
GLP.US,5,20250226,172500,58.22,59.06,58.22,59.06,200,0
GLP.US,5,20250226,173000,58.445,58.445,58.445,58.445,100,0
GLP.US,5,20250226,173500,58.77,59.17,58.625,58.625,300,0
GLP.US,5,20250226,174000,58.945,58.945,58.7,58.7,200,0
GLP.US,5,20250226,175000,58.65,58.65,58.65,58.65,100,0
GLP.US,5,20250226,175500,59.065,59.065,59.065,59.065,100,0
GLP.US,5,20250226,180000,58.625,58.625,58.625,58.625,100,0
GLP.US,5,20250226,181500,58.625,59.08,58.625,59.08,300,0
GLP.US,5,20250226,182500,58.89,58.89,58.89,58.89,100,0
GLP.US,5,20250226,184000,58.905,58.93,58.76,58.93,400,0
GLP.US,5,20250226,185000,58.74,59.065,58.74,59.065,300,0
GLP.US,5,20250226,190000,58.84,58.84,58.57,58.57,500,0
GLP.US,5,20250226,191000,58.58,58.58,58.58,58.58,200,0
GLP.US,5,20250226,193500,58.57,58.57,58.57,58.57,100,0
GLP.US,5,20250226,194000,58.71,58.71,58.56,58.6442,410,0
GLP.US,5,20250226,195000,58.52,58.52,58.5,58.51,450,0
GLP.US,5,20250226,195500,58.325,58.325,58.325,58.325,100,0
GLP.US,5,20250226,201000,58.58,58.58,58.58,58.58,100,0
GLP.US,5,20250226,201500,58.58,58.62,58.58,58.62,511,0
GLP.US,5,20250226,202500,58.56,58.66,58.56,58.66,200,0
GLP.US,5,20250226,203500,59.025,59.025,58.78,58.78,200,0
GLP.US,5,20250226,204000,59.06,59.06,59.06,59.06,200,0
GLP.US,5,20250226,204500,59.16,59.16,59.16,59.16,100,0
GLP.US,5,20250226,205500,59.1,59.1,59.1,59.1,100,0
GLP.US,5,20250226,210000,58.865,58.865,58.865,58.865,100,0
GLP.US,5,20250226,211000,58.865,58.865,58.865,58.865,100,0
GLP.US,5,20250226,211500,58.865,58.865,58.865,58.865,2272,0
GLP.US,5,20250226,212000,59.16,59.16,58.7444,58.7444,450,0
GLP.US,5,20250226,212500,59.2,59.2,59.17,59.17,1126,0
GLP.US,5,20250226,213500,58.5632,58.64,58.5632,58.64,1000,0
GLP.US,5,20250226,214000,58.64,58.64,58.64,58.64,100,0
GLP.US,5,20250226,214500,58.64,58.87,58.625,58.66,970,0
GLP.US,5,20250226,215000,58.79,58.835,58.65,58.835,1000,0
GLP.US,5,20250226,215500,58.815,58.92,58.35,58.35,24345,0
GLP.US,5,20250227,160500,58.12,58.15,57.55,57.55,5400,0
GLP.US,5,20250227,161500,58.02,58.02,58.02,58.02,100,0
GLP.US,5,20250227,162000,58.02,58.02,58.02,58.02,100,0
GLP.US,5,20250227,165500,57.58,57.58,57.56,57.56,400,0
GLP.US,5,20250227,170000,57.545,57.545,57.545,57.545,400,0
