<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPZ.US,5,20250616,153000,25.99,26.75,25.1,25.16,1400,0
GPZ.US,5,20250616,153500,25.16,25.16,25.16,25.16,100,0
GPZ.US,5,20250616,154000,25.041,25.07,25.041,25.0699,1134,0
GPZ.US,5,20250616,154500,25.09,25.09,25.09,25.09,200,0
GPZ.US,5,20250616,155000,25.0984,25.126,25.0984,25.126,207,0
GPZ.US,5,20250616,155500,25.134,25.134,25.134,25.134,100,0
GPZ.US,5,20250616,161000,25.22,25.22,25.22,25.22,100,0
GPZ.US,5,20250616,163000,25.39,25.39,25.3775,25.3775,200,0
GPZ.US,5,20250616,164500,25.4,25.4,25.3962,25.3962,700,0
GPZ.US,5,20250616,165000,25.3997,25.3997,25.3997,25.3997,100,0
GPZ.US,5,20250616,170000,25.42,25.42,25.4199,25.42,2568,0
GPZ.US,5,20250616,174000,25.39,25.39,25.39,25.39,100,0
GPZ.US,5,20250616,175500,25.4,25.4,25.4,25.4,100,0
GPZ.US,5,20250616,181000,25.39,25.395,25.39,25.395,2109,0
GPZ.US,5,20250616,181500,25.4,25.4,25.4,25.4,100,0
GPZ.US,5,20250616,184000,25.39,25.39,25.39,25.39,100,0
GPZ.US,5,20250616,190500,25.3946,25.3946,25.3946,25.3946,200,0
GPZ.US,5,20250616,192500,25.39,25.39,25.245,25.245,700,0
GPZ.US,5,20250616,194500,25.2,25.2,25.18,25.18,794,0
GPZ.US,5,20250616,201500,25.17,25.17,25.17,25.17,100,0
GPZ.US,5,20250616,202000,25.1546,25.16,25.1546,25.16,350,0
GPZ.US,5,20250616,202500,25.16,25.16,25.16,25.16,250,0
GPZ.US,5,20250616,204500,25.16,25.17,25.16,25.17,55629,0
GPZ.US,5,20250616,205000,25.185,25.185,25.08,25.1,346036,0
GPZ.US,5,20250616,211000,25.08,25.08,25.0799,25.0799,2000,0
GPZ.US,5,20250616,211500,25.08,25.08,25.08,25.08,200,0
GPZ.US,5,20250616,212000,25.09,25.09,25.079,25.079,1000,0
GPZ.US,5,20250616,215500,25.07,25.07,25.0635,25.0635,234,0
GPZ.US,5,20250617,153500,24.89,24.89,24.86,24.86,3768,0
GPZ.US,5,20250617,155000,24.9001,24.9001,24.9001,24.9001,200,0
GPZ.US,5,20250617,160000,24.9,24.905,24.9,24.9,39400,0
GPZ.US,5,20250617,160500,24.78,24.78,24.78,24.78,250,0
GPZ.US,5,20250617,161000,24.8,24.8,24.8,24.8,125,0
GPZ.US,5,20250617,161500,24.79,24.79,24.79,24.79,100,0
GPZ.US,5,20250617,162000,24.7902,24.7902,24.7902,24.7902,100,0
GPZ.US,5,20250617,162500,24.8,24.8,24.795,24.7999,300,0
GPZ.US,5,20250617,163500,24.795,24.795,24.795,24.795,100,0
GPZ.US,5,20250617,164000,24.79,24.7901,24.79,24.7901,1200,0
GPZ.US,5,20250617,165000,24.7946,24.7946,24.7946,24.7946,100,0
GPZ.US,5,20250617,165500,24.7991,24.7991,24.795,24.795,400,0
GPZ.US,5,20250617,171500,24.75,24.79,24.71,24.71,1500,0
GPZ.US,5,20250617,173000,24.7046,24.7046,24.7,24.7,1988,0
GPZ.US,5,20250617,173500,24.7,24.7,24.64,24.64,1904,0
GPZ.US,5,20250617,174000,24.63,24.63,24.63,24.63,100,0
GPZ.US,5,20250617,184500,24.705,24.705,24.7001,24.7001,350,0
GPZ.US,5,20250617,185000,24.7046,24.7046,24.7,24.7,511,0
GPZ.US,5,20250617,193000,24.6399,24.6399,24.6399,24.6399,100,0
GPZ.US,5,20250617,193500,24.64,24.64,24.64,24.64,500,0
GPZ.US,5,20250617,194500,24.63,24.63,24.565,24.565,400,0
GPZ.US,5,20250617,200000,24.53,24.54,24.5299,24.5299,3600,0
GPZ.US,5,20250617,200500,24.53,24.53,24.525,24.525,400,0
GPZ.US,5,20250617,202000,24.53,24.53,24.525,24.525,200,0
GPZ.US,5,20250617,202500,24.525,24.525,24.525,24.525,200,0
