<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITUB.US,5,20250224,153000,5.20891,5.23636,5.20455,5.23182,112649.90000000001,0
ITUB.US,5,20250224,153500,5.23182,5.23636,5.22736,5.23182,14537.6,0
ITUB.US,5,20250224,154000,5.23591,5.23636,5.21818,5.21827,192843.2,0
ITUB.US,5,20250224,154500,5.21818,5.22727,5.21818,5.22273,184100.40000000002,0
ITUB.US,5,20250224,155000,5.22727,5.22727,5.20909,5.22273,115327.3,0
ITUB.US,5,20250224,155500,5.22273,5.22727,5.21818,5.22273,48126.100000000006,0
ITUB.US,5,20250224,160000,5.22273,5.22591,5.19091,5.19545,417180.50000000006,0
ITUB.US,5,20250224,160500,5.2,5.20909,5.19091,5.20455,274992.30000000005,0
ITUB.US,5,20250224,161000,5.20909,5.20909,5.2,5.20455,210686.30000000002,0
ITUB.US,5,20250224,161500,5.2,5.20909,5.2,5.20455,76111.20000000001,0
ITUB.US,5,20250224,162000,5.20909,5.20909,5.2,5.20909,273472.10000000003,0
ITUB.US,5,20250224,162500,5.20909,5.20909,5.20455,5.20909,47990.8,0
ITUB.US,5,20250224,163000,5.20455,5.22727,5.2,5.22273,670821.8,0
ITUB.US,5,20250224,163500,5.22273,5.22727,5.20909,5.21364,204421.80000000002,0
ITUB.US,5,20250224,164000,5.21818,5.21818,5.20909,5.21818,93010.50000000001,0
ITUB.US,5,20250224,164500,5.21818,5.21818,5.2,5.21691,795963.3,0
ITUB.US,5,20250224,165000,5.21818,5.21818,5.20909,5.21818,163672.30000000002,0
ITUB.US,5,20250224,165500,5.21364,5.21818,5.20909,5.21818,81200.90000000001,0
ITUB.US,5,20250224,170000,5.21818,5.22727,5.20909,5.22727,166283.7,0
ITUB.US,5,20250224,170500,5.22727,5.22727,5.22273,5.22273,19296.2,0
ITUB.US,5,20250224,171000,5.22273,5.22727,5.20909,5.21364,373983.50000000006,0
ITUB.US,5,20250224,171500,5.21364,5.22727,5.20909,5.22273,268086.5,0
ITUB.US,5,20250224,172000,5.21827,5.22727,5.20909,5.21945,1537933.1,0
ITUB.US,5,20250224,172500,5.22273,5.22727,5.20909,5.21827,1070969.9000000001,0
ITUB.US,5,20250224,173000,5.21827,5.22727,5.20909,5.22273,529967.9,0
ITUB.US,5,20250224,173500,5.22273,5.22727,5.21818,5.21818,167571.80000000002,0
ITUB.US,5,20250224,174000,5.22273,5.22727,5.21818,5.21818,202632.1,0
ITUB.US,5,20250224,174500,5.22273,5.22727,5.21818,5.22273,46731.3,0
ITUB.US,5,20250224,175000,5.22727,5.22727,5.21818,5.21818,54544.600000000006,0
