<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KD.US,5,20250224,153000,38.46,38.7099,38.37,38.395,15690,0
KD.US,5,20250224,153500,38.4,38.4,38.06,38.1,10032,0
KD.US,5,20250224,154000,38.095,38.23,38.06,38.155,10393,0
KD.US,5,20250224,154500,38.13,38.155,37.87,37.9699,35788,0
KD.US,5,20250224,155000,37.91,37.9491,37.69,37.73,8924,0
KD.US,5,20250224,155500,37.651,37.69,37.28,37.3308,27687,0
KD.US,5,20250224,160000,37.3564,37.57,37.18,37.1833,21515,0
KD.US,5,20250224,160500,37.24,37.45,36.9608,37.39,16354,0
KD.US,5,20250224,161000,37.355,37.45,37.305,37.445,4906,0
KD.US,5,20250224,161500,37.44,37.54,37.3,37.33,21686,0
KD.US,5,20250224,162000,37.34,37.37,37.19,37.25,8708,0
KD.US,5,20250224,162500,37.2674,37.35,37.13,37.13,11716,0
KD.US,5,20250224,163000,37.155,37.22,37.0913,37.135,11935,0
KD.US,5,20250224,163500,37.18,37.2,37.06,37.2,2866,0
KD.US,5,20250224,164000,37.195,37.25,37.0499,37.09,7949,0
KD.US,5,20250224,164500,37.0749,37.19,36.95,36.98,17075,0
KD.US,5,20250224,165000,37.05,37.083,36.9,36.9246,18962,0
KD.US,5,20250224,165500,36.915,36.985,36.851,36.98,27617,0
KD.US,5,20250224,170000,36.985,37.14,36.92,37.14,15500,0
KD.US,5,20250224,170500,37.1538,37.26,37.1538,37.18,6802,0
KD.US,5,20250224,171000,37.2059,37.255,37.2,37.2534,7263,0
KD.US,5,20250224,171500,37.23,37.31,37.2,37.295,8577,0
KD.US,5,20250224,172000,37.3,37.3417,37.25,37.34,7161,0
KD.US,5,20250224,172500,37.37,37.52,37.36,37.48,15101,0
KD.US,5,20250224,173000,37.48,37.485,37.35,37.35,7732,0
KD.US,5,20250224,173500,37.385,37.41,37.23,37.23,8814,0
KD.US,5,20250224,174000,37.235,37.455,37.235,37.375,12159,0
KD.US,5,20250224,174500,37.375,37.46,37.34,37.34,11080,0
KD.US,5,20250224,175000,37.335,37.38,37.285,37.335,8311,0
KD.US,5,20250224,175500,37.3157,37.33,37.22,37.235,14150,0
KD.US,5,20250224,180000,37.24,37.375,37.235,37.375,5346,0
KD.US,5,20250224,180500,37.375,37.38,37.315,37.325,3992,0
KD.US,5,20250224,181000,37.325,37.36,37.3,37.3086,3448,0
KD.US,5,20250224,181500,37.32,37.425,37.32,37.405,9074,0
KD.US,5,20250224,182000,37.3805,37.43,37.35,37.375,6950,0
KD.US,5,20250224,182500,37.375,37.465,37.375,37.435,7635,0
KD.US,5,20250224,183000,37.44,37.44,37.33,37.3967,12607,0
KD.US,5,20250224,183500,37.38,37.41,37.375,37.4,5854,0
KD.US,5,20250224,184000,37.3984,37.48,37.3984,37.45,6538,0
KD.US,5,20250224,184500,37.45,37.485,37.43,37.485,4644,0
KD.US,5,20250224,185000,37.485,37.485,37.395,37.4,7961,0
KD.US,5,20250224,185500,37.42,37.46,37.385,37.385,4598,0
KD.US,5,20250224,190000,37.385,37.48,37.385,37.48,5484,0
KD.US,5,20250224,190500,37.49,37.526,37.4701,37.5206,4715,0
KD.US,5,20250224,191000,37.5,37.54,37.47,37.54,7595,0
KD.US,5,20250224,191500,37.535,37.6395,37.535,37.6,4673,0
KD.US,5,20250224,192000,37.58,37.58,37.505,37.52,4207,0
KD.US,5,20250224,192500,37.53,37.56,37.53,37.53,4863,0
KD.US,5,20250224,193000,37.54,37.57,37.49,37.515,3542,0
KD.US,5,20250224,193500,37.515,37.54,37.49,37.535,3850,0
KD.US,5,20250224,194000,37.55,37.65,37.55,37.625,6943,0
KD.US,5,20250224,194500,37.645,37.67,37.51,37.54,6882,0
KD.US,5,20250224,195000,37.54,37.56,37.51,37.545,6609,0
KD.US,5,20250224,195500,37.545,37.545,37.43,37.45,8092,0
KD.US,5,20250224,200000,37.445,37.55,37.445,37.5373,5803,0
KD.US,5,20250224,200500,37.53,37.55,37.46,37.48,7654,0
KD.US,5,20250224,201000,37.482,37.5,37.448,37.4712,7724,0
KD.US,5,20250224,201500,37.48,37.48,37.365,37.365,5274,0
KD.US,5,20250224,202000,37.38,37.415,37.365,37.4,8312,0
KD.US,5,20250224,202500,37.4,37.42,37.37,37.39,4332,0
KD.US,5,20250224,203000,37.375,37.41,37.37,37.4,5866,0
KD.US,5,20250224,203500,37.385,37.4,37.34,37.37,7733,0
KD.US,5,20250224,204000,37.35,37.36,37.2503,37.29,10120,0
KD.US,5,20250224,204500,37.295,37.3316,37.27,37.32,17735,0
KD.US,5,20250224,205000,37.32,37.33,37.275,37.295,11603,0
KD.US,5,20250224,205500,37.295,37.295,37.2,37.24,7574,0
KD.US,5,20250224,210000,37.235,37.25,37.16,37.21,7005,0
KD.US,5,20250224,210500,37.215,37.26,37.165,37.26,9574,0
KD.US,5,20250224,211000,37.235,37.25,37.21,37.25,7610,0
KD.US,5,20250224,211500,37.24,37.35,37.24,37.31,11004,0
KD.US,5,20250224,212000,37.29,37.46,37.27,37.37,26162,0
KD.US,5,20250224,212500,37.34,37.36,37.29,37.291,10098,0
KD.US,5,20250224,213000,37.31,37.41,37.2701,37.385,15286,0
KD.US,5,20250224,213500,37.385,37.385,37.32,37.36,13076,0
KD.US,5,20250224,214000,37.35,37.375,37.31,37.35,15588,0
KD.US,5,20250224,214500,37.35,37.4,37.34,37.38,30250,0
KD.US,5,20250224,215000,37.38,37.4,37.2,37.2,40488,0
KD.US,5,20250224,215500,37.22,37.22,37.075,37.15,245666,0
KD.US,5,20250225,153000,36.975,37.1381,36.88,36.88,24819,0
KD.US,5,20250225,153500,36.895,37.09,36.57,36.965,10238,0
KD.US,5,20250225,154000,36.86,37.0104,36.57,36.57,5365,0
KD.US,5,20250225,154500,36.57,36.9,36.57,36.81,5299,0
KD.US,5,20250225,155000,36.88,36.88,36.37,36.455,9330,0
KD.US,5,20250225,155500,36.42,36.72,36.42,36.72,31503,0
KD.US,5,20250225,160000,36.735,36.735,36.32,36.39,7964,0
KD.US,5,20250225,160500,36.36,36.54,36.3,36.51,13321,0
KD.US,5,20250225,161000,36.52,36.58,36.39,36.41,8802,0
KD.US,5,20250225,161500,36.45,36.46,36.19,36.19,29217,0
KD.US,5,20250225,162000,36.17,36.3,36.14,36.27,7649,0
KD.US,5,20250225,162500,36.27,36.335,36.21,36.24,24239,0
KD.US,5,20250225,163000,36.26,36.44,36.175,36.335,57273,0
KD.US,5,20250225,163500,36.36,36.6,36.36,36.6,4210,0
KD.US,5,20250225,164000,36.61,36.71,36.57,36.6432,11557,0
KD.US,5,20250225,164500,36.6876,36.875,36.61,36.87,13511,0
KD.US,5,20250225,165000,36.865,36.98,36.8,36.845,97585,0
KD.US,5,20250225,165500,36.803223,36.88,36.65,36.8,24577,0
KD.US,5,20250225,170000,36.8,36.8,36.6901,36.725,6534,0
KD.US,5,20250225,170500,36.725,36.77,36.66,36.766,10183,0
KD.US,5,20250225,171000,36.79,36.92,36.7407,36.92,11858,0
KD.US,5,20250225,171500,36.91,36.93,36.8456,36.93,16898,0
KD.US,5,20250225,172000,36.93,36.93,36.72,36.805,20602,0
KD.US,5,20250225,172500,36.7801,36.805,36.67,36.6801,27498,0
KD.US,5,20250225,173000,36.75,36.75,36.6,36.71,11510,0
KD.US,5,20250225,173500,36.71,36.76,36.63,36.755,15437,0
KD.US,5,20250225,174000,36.7497,36.78,36.67,36.775,15497,0
KD.US,5,20250225,174500,36.775,36.81,36.7,36.78,20941,0
KD.US,5,20250225,175000,36.79,36.86,36.79,36.825,10599,0
KD.US,5,20250225,175500,36.825,36.905,36.8,36.84,21190,0
KD.US,5,20250225,180000,36.84,36.84,36.73,36.765,13391,0
KD.US,5,20250225,180500,36.74,36.79,36.7,36.71,22949,0
KD.US,5,20250225,181000,36.73,36.75,36.64,36.6601,19322,0
KD.US,5,20250225,181500,36.66,36.7967,36.66,36.77,13445,0
KD.US,5,20250225,182000,36.77,36.825,36.71,36.78,21183,0
KD.US,5,20250225,182500,36.795,36.83,36.74,36.81,10581,0
KD.US,5,20250225,183000,36.81,36.88,36.79,36.835,9449,0
KD.US,5,20250225,183500,36.85,36.96,36.83,36.96,12659,0
KD.US,5,20250225,184000,36.94,36.96,36.88,36.94,24354,0
KD.US,5,20250225,184500,36.9001,36.94,36.86,36.87,5875,0
KD.US,5,20250225,185000,36.89,36.9,36.85,36.89,19840,0
KD.US,5,20250225,185500,36.9,37,36.8707,36.9301,43382,0
KD.US,5,20250225,190000,36.945,37.02,36.92,37.01,13625,0
KD.US,5,20250225,190500,37.01,37.06,36.97,36.98,28299,0
KD.US,5,20250225,191000,36.98,37.015,36.89,37,110392,0
KD.US,5,20250225,191500,37.02,37.025,36.9501,36.975,10930,0
KD.US,5,20250225,192000,36.975,37.02,36.95,36.99,9053,0
KD.US,5,20250225,192500,36.9701,36.9995,36.84,36.84,9875,0
KD.US,5,20250225,193000,36.82,36.9099,36.82,36.88,5683,0
KD.US,5,20250225,193500,36.88,37.015,36.8601,36.98,10510,0
KD.US,5,20250225,194000,36.99,37,36.97,36.99,3329,0
KD.US,5,20250225,194500,36.99,37.02,36.96,36.9842,13182,0
KD.US,5,20250225,195000,36.99,37,36.94,36.94,7112,0
KD.US,5,20250225,195500,36.94,36.99,36.93,36.955,7526,0
KD.US,5,20250225,200000,36.97,36.9967,36.96,36.9601,7250,0
KD.US,5,20250225,200500,37,37.05,36.98,37.005,29770,0
KD.US,5,20250225,201000,37.005,37.005,36.93,36.93,8902,0
KD.US,5,20250225,201500,36.925,36.96,36.86,36.92,9102,0
KD.US,5,20250225,202000,36.9,36.92,36.89,36.915,3389,0
KD.US,5,20250225,202500,36.905,36.93,36.88,36.905,5333,0
KD.US,5,20250225,203000,36.9,37.03,36.9,37.01,23351,0
KD.US,5,20250225,203500,37.01,37.107,36.98,37.085,32136,0
KD.US,5,20250225,204000,37.085,37.1385,37.06,37.085,18798,0
KD.US,5,20250225,204500,37.06,37.06,36.99,37.025,14302,0
KD.US,5,20250225,205000,37.02,37.06,36.98,36.98,34543,0
KD.US,5,20250225,205500,37.005,37.01,36.94,36.98,7723,0
KD.US,5,20250225,210000,36.98,37,36.92,36.94,10308,0
KD.US,5,20250225,210500,36.98,37.05,36.94,36.98,30003,0
KD.US,5,20250225,211000,37.005,37.02,36.965,37.01,25120,0
KD.US,5,20250225,211500,37.01,37.12,36.99,37.105,38090,0
KD.US,5,20250225,212000,37.0901,37.26,37.08,37.26,37128,0
KD.US,5,20250225,212500,37.27,37.35,37.23,37.28,26985,0
KD.US,5,20250225,213000,37.28,37.295,37.195,37.225,7513,0
KD.US,5,20250225,213500,37.24,37.265,37.15,37.15,12068,0
KD.US,5,20250225,214000,37.175,37.35,37.16,37.32,33051,0
KD.US,5,20250225,214500,37.3167,37.39,37.26,37.325,38763,0
KD.US,5,20250225,215000,37.32,37.38,37.11,37.115,59856,0
KD.US,5,20250225,215500,37.13,37.13,37.02,37.04,276519,0
KD.US,5,20250226,153000,37.335,37.69,37.31,37.61,14967,0
KD.US,5,20250226,153500,37.6,37.77,37.5,37.77,4292,0
KD.US,5,20250226,154000,37.84,37.85,37.65,37.79,5334,0
KD.US,5,20250226,154500,37.79,38.095,37.79,38.055,17931,0
KD.US,5,20250226,155000,38.13,38.25,38.07,38.08,7730,0
KD.US,5,20250226,155500,38.13,38.22,38.05,38.185,11493,0
KD.US,5,20250226,160000,38.2142,38.2193,38.05,38.07,6374,0
KD.US,5,20250226,160500,38.01,38.03,37.83,37.93,5497,0
KD.US,5,20250226,161000,37.97,38.17,37.97,38.12,8670,0
KD.US,5,20250226,161500,38.09,38.2116,38.02,38.09,26810,0
KD.US,5,20250226,162000,38.115,38.15,38.01,38.06,10340,0
KD.US,5,20250226,162500,38.03,38.09,37.9,37.91,6808,0
KD.US,5,20250226,163000,37.94,38.005,37.94,37.98,8582,0
KD.US,5,20250226,163500,37.97,38.15,37.94,38.01,7037,0
KD.US,5,20250226,164000,37.995,38.19,37.995,38.14,6460,0
KD.US,5,20250226,164500,38.135,38.21,38.1,38.19,5196,0
KD.US,5,20250226,165000,38.17,38.31,38.11,38.31,17310,0
KD.US,5,20250226,165500,38.305,38.4074,38.25,38.375,11409,0
KD.US,5,20250226,170000,38.38,38.55,38.375,38.49,14925,0
KD.US,5,20250226,170500,38.485,38.502,38.37,38.48,8687,0
KD.US,5,20250226,171000,38.48,38.6,38.44,38.6,18795,0
KD.US,5,20250226,171500,38.575,38.6,38.48,38.57,8695,0
KD.US,5,20250226,172000,38.57,38.59,38.42,38.46,10043,0
KD.US,5,20250226,172500,38.45,38.59,38.45,38.57,13102,0
KD.US,5,20250226,173000,38.57,38.57,38.43,38.51,18748,0
KD.US,5,20250226,173500,38.49,38.5375,38.43,38.49,7114,0
KD.US,5,20250226,174000,38.49,38.51,38.4,38.51,5826,0
KD.US,5,20250226,174500,38.52,38.62,38.52,38.54,36163,0
KD.US,5,20250226,175000,38.56,38.63,38.5208,38.59,7142,0
KD.US,5,20250226,175500,38.6,38.71,38.56,38.6086,49812,0
KD.US,5,20250226,180000,38.61,38.71,38.61,38.71,3234,0
KD.US,5,20250226,180500,38.7118,38.74,38.56,38.56,5405,0
KD.US,5,20250226,181000,38.58,38.66,38.56,38.64,7520,0
KD.US,5,20250226,181500,38.63,38.64,38.46,38.47,11491,0
KD.US,5,20250226,182000,38.485,38.4896,38.42,38.48,67219,0
KD.US,5,20250226,182500,38.48,38.51,38.4205,38.51,6127,0
KD.US,5,20250226,183000,38.53,38.5699,38.42,38.47,11404,0
KD.US,5,20250226,183500,38.48,38.49,38.405,38.41,30807,0
KD.US,5,20250226,184000,38.38,38.42,38.32,38.395,4230,0
KD.US,5,20250226,184500,38.37,38.4,38.34,38.36,2829,0
KD.US,5,20250226,185000,38.33,38.335,38.23,38.3,2613,0
KD.US,5,20250226,185500,38.2819,38.34,38.2,38.25,4619,0
KD.US,5,20250226,190000,38.235,38.25,38.19,38.2,3697,0
KD.US,5,20250226,190500,38.2138,38.2138,38.13,38.19,5544,0
KD.US,5,20250226,191000,38.2,38.2038,38.15,38.185,3205,0
KD.US,5,20250226,191500,38.17,38.17,38.045,38.15,5480,0
KD.US,5,20250226,192000,38.155,38.245,38.13,38.24,4391,0
KD.US,5,20250226,192500,38.235,38.235,38.16,38.19,4108,0
KD.US,5,20250226,193000,38.175,38.29,38.16,38.29,6876,0
KD.US,5,20250226,193500,38.275,38.3,38.18,38.18,11622,0
KD.US,5,20250226,194000,38.17,38.25,38.17,38.2,4452,0
KD.US,5,20250226,194500,38.22,38.25,38.2,38.2,3416,0
KD.US,5,20250226,195000,38.23,38.245,38.14,38.19,8427,0
KD.US,5,20250226,195500,38.21,38.26,38.11,38.13,11853,0
KD.US,5,20250226,200000,38.1,38.27,38.1,38.16,7655,0
KD.US,5,20250226,200500,38.185,38.185,38.13,38.13,10138,0
KD.US,5,20250226,201000,38.135,38.19,38.11,38.19,5938,0
KD.US,5,20250226,201500,38.2,38.27,38.135,38.22,6259,0
