<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRP.US,5,20250224,153000,15.95,15.98,15.8601,15.93,8850,0
KRP.US,5,20250224,153500,15.8872,15.9287,15.881,15.9287,2552,0
KRP.US,5,20250224,154000,15.8973,15.935,15.8973,15.935,1700,0
KRP.US,5,20250224,154500,15.9316,15.94,15.9231,15.9231,2105,0
KRP.US,5,20250224,155000,15.9,15.9,15.898,15.9,11300,0
KRP.US,5,20250224,155500,15.91,15.93,15.885,15.91,1865,0
KRP.US,5,20250224,160000,15.895,15.9074,15.885,15.885,11750,0
KRP.US,5,20250224,160500,15.87,15.875,15.84,15.8662,4136,0
KRP.US,5,20250224,161000,15.8645,15.87,15.86,15.87,950,0
KRP.US,5,20250224,161500,15.87,15.87,15.84,15.87,1511,0
KRP.US,5,20250224,162000,15.8408,15.8408,15.84,15.84,1850,0
KRP.US,5,20250224,162500,15.85,15.86,15.845,15.86,1864,0
KRP.US,5,20250224,163000,15.84,15.885,15.84,15.88,2106,0
KRP.US,5,20250224,163500,15.89,15.92,15.89,15.92,8484,0
KRP.US,5,20250224,164000,15.915,15.94,15.915,15.94,3449,0
KRP.US,5,20250224,164500,15.94,15.94,15.9233,15.93,3351,0
KRP.US,5,20250224,165000,15.94,15.97,15.94,15.94,6358,0
KRP.US,5,20250224,165500,15.945,15.9451,15.91,15.91,6162,0
KRP.US,5,20250224,170000,15.92,15.96,15.92,15.96,2744,0
KRP.US,5,20250224,170500,15.96,15.9833,15.955,15.98,7889,0
KRP.US,5,20250224,171000,15.965,15.99,15.96,15.99,23760,0
KRP.US,5,20250224,171500,15.99,15.99,15.98,15.98,4389,0
KRP.US,5,20250224,172000,15.99,16,15.985,16,26369,0
KRP.US,5,20250224,172500,15.99,15.99,15.99,15.99,1346,0
KRP.US,5,20250224,173000,15.99,16,15.99,15.99,2787,0
KRP.US,5,20250224,173500,15.99,15.9934,15.98,15.9934,2605,0
KRP.US,5,20250224,174000,15.99,15.9999,15.98,15.99,9730,0
KRP.US,5,20250224,174500,15.98,15.99,15.98,15.99,400,0
KRP.US,5,20250224,175000,15.98,15.98,15.97,15.97,2147,0
KRP.US,5,20250224,175500,15.9708,16,15.9708,16,5648,0
KRP.US,5,20250224,180000,16,16,15.99,16,2100,0
KRP.US,5,20250224,180500,16,16,15.985495,16,7975,0
KRP.US,5,20250224,181000,16,16.02,15.995,16.02,40299,0
KRP.US,5,20250224,181500,16.02,16.03,16.02,16.03,8633,0
KRP.US,5,20250224,182000,16.025,16.06,16.025,16.055,41553,0
KRP.US,5,20250224,182500,16.055,16.06,16.055,16.055,7105,0
KRP.US,5,20250224,183000,16.06,16.06,16.05,16.055,9098,0
KRP.US,5,20250224,183500,16.06,16.06,16.045,16.055,12306,0
KRP.US,5,20250224,184000,16.055,16.09,16.055,16.085,11802,0
KRP.US,5,20250224,184500,16.09,16.09,16.085,16.09,4900,0
KRP.US,5,20250224,185000,16.09,16.09,16.085,16.085,5154,0
KRP.US,5,20250224,185500,16.09,16.09,16.08,16.09,6950,0
KRP.US,5,20250224,190000,16.085,16.09,16.082724,16.085,10193,0
KRP.US,5,20250224,190500,16.09,16.09,16.085,16.09,5595,0
KRP.US,5,20250224,191000,16.085,16.09,16.08,16.09,17286,0
KRP.US,5,20250224,191500,16.09,16.1,16.085,16.095,17129,0
KRP.US,5,20250224,192000,16.095,16.1,16.09,16.095,5528,0
KRP.US,5,20250224,192500,16.1,16.1,16.095,16.1,9347,0
KRP.US,5,20250224,193000,16.095,16.1,16.0946,16.1,4560,0
KRP.US,5,20250224,193500,16.1,16.105,16.075,16.095,49580,0
KRP.US,5,20250224,194000,16.095,16.1,16.095,16.095,3267,0
KRP.US,5,20250224,194500,16.095,16.1,16.095,16.1,2716,0
KRP.US,5,20250224,195000,16.1,16.1,16.095,16.1,4291,0
KRP.US,5,20250224,195500,16.1,16.1,16.09,16.095,7279,0
KRP.US,5,20250224,200000,16.1,16.12,16.095,16.12,11247,0
KRP.US,5,20250224,200500,16.12,16.14,16.115,16.14,8051,0
KRP.US,5,20250224,201000,16.135,16.14,16.12,16.13,24368,0
KRP.US,5,20250224,201500,16.125,16.1299,16.12,16.125,5314,0
KRP.US,5,20250224,202000,16.13,16.13,16.105,16.105,19595,0
KRP.US,5,20250224,202500,16.1049,16.11,16.1049,16.105,4520,0
KRP.US,5,20250224,203000,16.105,16.13,16.105,16.13,21482,0
KRP.US,5,20250224,203500,16.125,16.13,16.125,16.13,8134,0
KRP.US,5,20250224,204000,16.13,16.13,16.125,16.125,11200,0
KRP.US,5,20250224,204500,16.125,16.13,16.125,16.13,12346,0
KRP.US,5,20250224,205000,16.125,16.13,16.105,16.105,42878,0
KRP.US,5,20250224,205500,16.105,16.105,16.055,16.055,17451,0
KRP.US,5,20250224,210000,16.059,16.059,16.04,16.048,17651,0
KRP.US,5,20250224,210500,16.045,16.05,16.03,16.035,9800,0
KRP.US,5,20250224,211000,16.035,16.05,16.035,16.045,5561,0
KRP.US,5,20250224,211500,16.05,16.095,16.045,16.08,29131,0
KRP.US,5,20250224,212000,16.075,16.09,16.075,16.085,14655,0
KRP.US,5,20250224,212500,16.085,16.0891,16.06,16.065,29022,0
KRP.US,5,20250224,213000,16.065,16.1,16.065,16.095,17463,0
KRP.US,5,20250224,213500,16.1,16.1,16.095,16.095,11150,0
KRP.US,5,20250224,214000,16.095,16.0999,16.075,16.09,20314,0
KRP.US,5,20250224,214500,16.09,16.1,16.085,16.085,17662,0
KRP.US,5,20250224,215000,16.085,16.09,16.06,16.065,44877,0
KRP.US,5,20250224,215500,16.07,16.07,16.04,16.05,110453,0
KRP.US,5,20250225,153000,16,16.11,15.98,16.03,5200,0
KRP.US,5,20250225,153500,16.005,16.03,15.99,16.01,5118,0
KRP.US,5,20250225,154000,16.045,16.07,16.045,16.05,2649,0
KRP.US,5,20250225,154500,16.02,16.0836,16.02,16.07,10627,0
KRP.US,5,20250225,155000,16.062053,16.08,16.04,16.055,6811,0
KRP.US,5,20250225,155500,16.024,16.024,15.99,15.99,3915,0
KRP.US,5,20250225,160000,15.98,16,15.93,15.99,10447,0
KRP.US,5,20250225,160500,15.99,16.03,15.98,16.03,4472,0
KRP.US,5,20250225,161000,16,16,16,16,292,0
KRP.US,5,20250225,161500,15.99,15.99,15.96,15.96,4902,0
KRP.US,5,20250225,162000,15.96,15.96,15.92,15.92,10401,0
KRP.US,5,20250225,162500,15.91,15.91,15.86,15.87,5024,0
KRP.US,5,20250225,163000,15.88,15.89,15.88,15.89,4826,0
KRP.US,5,20250225,163500,15.89,15.905,15.89,15.905,4070,0
KRP.US,5,20250225,164000,15.905,15.925,15.9001,15.905,14798,0
KRP.US,5,20250225,164500,15.9073,15.915,15.9,15.915,16653,0
