<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAYU.US,5,20250224,161500,28.95,28.95,28.95,28.95,100,0
MAYU.US,5,20250224,200500,29.04,29.04,29.04,29.04,600,0
MAYU.US,5,20250225,161000,28.67,28.67,28.67,28.67,100,0
MAYU.US,5,20250226,162000,28.92,28.92,28.92,28.92,200,0
MAYU.US,5,20250226,183000,28.91,28.91,28.91,28.91,144,0
MAYU.US,5,20250226,215500,28.71,28.71,28.71,28.71,2060,0
MAYU.US,5,20250227,162500,28.78,28.78,28.78,28.78,200,0
MAYU.US,5,20250227,184500,28.67,28.7,28.67,28.7,300,0
MAYU.US,5,20250227,191000,28.73,28.73,28.7,28.7,331,0
MAYU.US,5,20250227,195500,28.69,28.69,28.69,28.69,200,0
MAYU.US,5,20250228,183500,28.365,28.365,28.365,28.365,1091,0
MAYU.US,5,20250228,184000,28.29,28.29,28.29,28.29,100,0
MAYU.US,5,20250228,213000,28.45,28.45,28.45,28.45,2800,0
MAYU.US,5,20250228,215500,28.69,28.69,28.69,28.69,100,0
MAYU.US,5,20250303,195500,28.4188,28.4188,28.4188,28.4188,537,0
MAYU.US,5,20250305,205500,28.23,28.23,28.23,28.23,191,0
MAYU.US,5,20250307,210000,27.8,27.8,27.8,27.8,2500,0
MAYU.US,5,20250310,201000,27,27.04,27,27.04,1153,0
MAYU.US,5,20250311,144500,27.19,27.19,27.19,27.19,100,0
MAYU.US,5,20250311,150500,27.071,27.071,27.071,27.071,200,0
MAYU.US,5,20250312,165500,27.07,27.07,27.07,27.07,190,0
MAYU.US,5,20250313,162500,26.85,26.85,26.85,26.85,200,0
MAYU.US,5,20250317,203000,27.35,27.35,27.35,27.35,100,0
MAYU.US,5,20250318,172500,27.08,27.09,27.08,27.09,400,0
MAYU.US,5,20250318,180000,27.08,27.08,27.08,27.08,904,0
MAYU.US,5,20250319,160000,27.2,27.215,27.2,27.215,936,0
MAYU.US,5,20250319,175000,27.24,27.25,27.24,27.25,282,0
MAYU.US,5,20250319,205000,27.34,27.34,27.34,27.34,5000,0
MAYU.US,5,20250320,163000,27.46,27.46,27.44,27.44,400,0
MAYU.US,5,20250320,173000,27.3398,27.3398,27.3398,27.3398,2327,0
MAYU.US,5,20250320,200500,27.24,27.24,27.24,27.24,5000,0
MAYU.US,5,20250321,160500,27.18,27.18,27.18,27.18,100,0
MAYU.US,5,20250321,164000,27.09,27.09,27.09,27.09,100,0
MAYU.US,5,20250324,173000,27.71,27.71,27.71,27.71,100,0
MAYU.US,5,20250324,195500,27.7,27.7,27.7,27.7,2500,0
MAYU.US,5,20250324,205000,27.7563,27.7563,27.7563,27.7563,177,0
MAYU.US,5,20250324,205500,27.79,27.79,27.75,27.75,300,0
MAYU.US,5,20250325,153500,27.85,27.85,27.85,27.85,1300,0
MAYU.US,5,20250325,162000,27.84,27.84,27.8399,27.8399,400,0
MAYU.US,5,20250325,182500,27.75,27.75,27.75,27.75,100,0
MAYU.US,5,20250326,152000,27.69,27.69,27.69,27.69,100,0
MAYU.US,5,20250327,152000,27.45,27.45,27.45,27.45,100,0
MAYU.US,5,20250328,193500,26.87,26.87,26.8633,26.8633,300,0
MAYU.US,5,20250328,194000,26.86,26.86,26.8512,26.8512,260,0
MAYU.US,5,20250328,195000,26.86,26.86,26.86,26.86,220,0
MAYU.US,5,20250328,195500,26.88,26.88,26.86,26.88,1800,0
MAYU.US,5,20250328,200000,26.905,26.905,26.87,26.88,2100,0
MAYU.US,5,20250328,201000,26.89,26.8901,26.89,26.8901,400,0
MAYU.US,5,20250328,201500,26.88,26.88,26.88,26.88,190,0
MAYU.US,5,20250331,161000,26.66,26.66,26.66,26.66,100,0
MAYU.US,5,20250331,213500,27.03,27.04,27.03,27.04,1247,0
MAYU.US,5,20250331,214000,27.06,27.06,27.06,27.06,200,0
MAYU.US,5,20250401,181500,27.195,27.195,27.195,27.195,100,0
MAYU.US,5,20250401,182500,27.16,27.16,27.16,27.16,100,0
MAYU.US,5,20250402,173500,27.21,27.2219,27.21,27.2219,3160,0
MAYU.US,5,20250402,174000,27.225,27.225,27.21,27.21,200,0
MAYU.US,5,20250402,175000,27.15,27.15,27.15,27.15,100,0
MAYU.US,5,20250402,184500,27.24,27.24,27.24,27.24,100,0
MAYU.US,5,20250402,203000,27.19,27.19,27.19,27.19,300,0
MAYU.US,5,20250402,213000,27.2384,27.24,27.215,27.24,621,0
MAYU.US,5,20250403,162000,26.34,26.34,26.34,26.34,100,0
MAYU.US,5,20250404,153500,25.6512,25.6512,25.6512,25.6512,104,0
MAYU.US,5,20250404,164500,25.51,25.51,25.51,25.51,100,0
MAYU.US,5,20250404,193000,25.4,25.4001,25.4,25.4001,200,0
MAYU.US,5,20250404,210500,25.36,25.36,25.325,25.325,500,0
MAYU.US,5,20250404,211500,25.38,25.39,25.38,25.38,900,0
MAYU.US,5,20250404,213500,25.47,25.47,25.47,25.47,300,0
MAYU.US,5,20250407,164500,25.2056,25.2056,25.2056,25.2056,1000,0
MAYU.US,5,20250407,183500,25.3254,25.3254,25.3254,25.3254,100,0
MAYU.US,5,20250407,184000,25.1,25.1,25.1,25.1,2000,0
MAYU.US,5,20250407,190000,25.1599,25.1599,25.1599,25.1599,298,0
MAYU.US,5,20250407,191500,25.61,25.61,25.61,25.61,1172,0
MAYU.US,5,20250407,193000,25.26,25.26,25.26,25.26,100,0
MAYU.US,5,20250407,200000,25.4,25.4,25.4,25.4,4000,0
MAYU.US,5,20250407,213500,25.2725,25.345,25.2725,25.345,866,0
MAYU.US,5,20250408,154500,25.71,25.71,25.71,25.71,3953,0
MAYU.US,5,20250408,192500,25.2,25.2,25.2,25.2,119,0
MAYU.US,5,20250408,195500,25.31,25.31,25.31,25.31,120,0
MAYU.US,5,20250408,201000,25.26,25.26,25.23,25.23,2701,0
MAYU.US,5,20250408,202500,25.21,25.21,25.21,25.21,200,0
MAYU.US,5,20250409,161000,25.13,25.13,25.13,25.13,100,0
MAYU.US,5,20250409,182000,25.19,25.19,25.16,25.16,1328,0
MAYU.US,5,20250409,183000,25.17,25.17,25.16,25.16,200,0
MAYU.US,5,20250409,192500,25.81,25.81,25.79,25.79,400,0
MAYU.US,5,20250409,193000,26,26.02,26,26.01,5100,0
MAYU.US,5,20250410,175500,25.605,25.605,25.605,25.605,350,0
MAYU.US,5,20250410,182000,25.45,25.45,25.45,25.45,100,0
MAYU.US,5,20250410,183500,25.66,25.66,25.66,25.66,1900,0
MAYU.US,5,20250411,184000,26.07,26.07,26.07,26.07,100,0
MAYU.US,5,20250411,202000,26.11,26.11,26.11,26.11,100,0
MAYU.US,5,20250414,155000,26.36,26.36,26.36,26.36,100,0
MAYU.US,5,20250414,161500,26.25,26.25,26.25,26.25,100,0
MAYU.US,5,20250414,214000,26.2756,26.2756,26.2756,26.2756,196,0
MAYU.US,5,20250415,154500,26.31,26.31,26.31,26.31,100,0
MAYU.US,5,20250415,161500,26.2,26.2,26.2,26.2,100,0
MAYU.US,5,20250415,173000,26.21,26.21,26.21,26.21,100,0
MAYU.US,5,20250415,185500,26.135,26.135,26.135,26.135,633,0
MAYU.US,5,20250416,164500,25.83,25.83,25.83,25.83,100,0
MAYU.US,5,20250417,170500,25.71,25.71,25.71,25.71,100,0
MAYU.US,5,20250421,180000,25.1831,25.1831,25.1831,25.1831,200,0
MAYU.US,5,20250422,210000,25.54,25.54,25.54,25.54,400,0
MAYU.US,5,20250423,170000,26.18,26.18,26.18,26.18,400,0
MAYU.US,5,20250423,173500,26.04,26.05,26.04,26.05,296,0
MAYU.US,5,20250424,175500,26.18,26.18,26.18,26.18,100,0
MAYU.US,5,20250424,205500,26.34,26.34,26.32,26.32,200,0
MAYU.US,5,20250424,213000,26.23,26.23,26.23,26.23,5000,0
MAYU.US,5,20250424,213500,26.28,26.28,26.28,26.28,168,0
MAYU.US,5,20250428,181000,26.2721,26.2721,26.2721,26.2721,377,0
MAYU.US,5,20250428,215500,26.52,26.52,26.52,26.52,122,0
MAYU.US,5,20250429,194500,26.66,26.67,26.66,26.67,400,0
MAYU.US,5,20250429,204000,26.68,26.68,26.67,26.68,1300,0
MAYU.US,5,20250429,210500,26.68,26.68,26.68,26.68,2600,0
MAYU.US,5,20250430,185000,26.44,26.44,26.43,26.44,1850,0
MAYU.US,5,20250430,192500,26.4799,26.4799,26.4799,26.4799,1124,0
MAYU.US,5,20250430,193500,26.4743,26.5299,26.4743,26.5299,3044,0
MAYU.US,5,20250430,195500,26.52,26.52,26.52,26.52,100,0
MAYU.US,5,20250430,211500,26.5299,26.5299,26.5099,26.5099,1250,0
MAYU.US,5,20250430,212000,26.51,26.52,26.51,26.52,9575,0
MAYU.US,5,20250430,212500,26.48,26.48,26.48,26.48,1279,0
MAYU.US,5,20250430,213000,26.47,26.47,26.445,26.445,378,0
MAYU.US,5,20250430,213500,26.45,26.45,26.45,26.45,1133,0
MAYU.US,5,20250501,153000,26.88,26.88,26.88,26.88,450,0
MAYU.US,5,20250501,153500,26.9099,26.9099,26.9,26.9,523,0
MAYU.US,5,20250501,154000,26.87,26.87,26.87,26.87,185,0
MAYU.US,5,20250501,154500,26.8604,26.8604,26.8604,26.8604,375,0
MAYU.US,5,20250501,155000,26.92,26.92,26.92,26.92,300,0
MAYU.US,5,20250501,161000,26.86,26.86,26.86,26.86,900,0
MAYU.US,5,20250501,161500,26.92,26.92,26.86,26.86,854,0
MAYU.US,5,20250501,162500,26.9168,26.9168,26.9168,26.9168,762,0
MAYU.US,5,20250501,163500,26.96,26.96,26.96,26.96,100,0
MAYU.US,5,20250501,164000,26.969,26.97,26.935,26.935,3192,0
MAYU.US,5,20250501,164500,26.969,26.969,26.93,26.93,2774,0
MAYU.US,5,20250501,165000,26.9324,26.97,26.9324,26.97,5398,0
MAYU.US,5,20250501,165500,26.97,26.98,26.97,26.98,1627,0
MAYU.US,5,20250501,171000,27,27,27,27,100,0
MAYU.US,5,20250501,181500,26.86,26.86,26.8599,26.8599,2291,0
MAYU.US,5,20250501,184500,26.88,26.88,26.88,26.88,297,0
MAYU.US,5,20250501,191000,26.93,26.93,26.93,26.93,100,0
MAYU.US,5,20250501,210000,26.9399,26.9399,26.9399,26.9399,1930,0
MAYU.US,5,20250501,210500,26.9399,26.94,26.93,26.94,4526,0
MAYU.US,5,20250501,211000,26.91,26.9299,26.9,26.9299,2830,0
MAYU.US,5,20250501,215000,26.9,26.9,26.9,26.9,1500,0
MAYU.US,5,20250501,215500,26.82,26.82,26.8,26.8,5348,0
MAYU.US,5,20250502,154500,27.03,27.03,27.03,27.03,100,0
MAYU.US,5,20250502,161500,27.0221,27.0221,27.0221,27.0221,116,0
MAYU.US,5,20250502,165500,27.05,27.05,27.05,27.05,100,0
MAYU.US,5,20250505,153000,27,27,27,27,837,0
MAYU.US,5,20250505,175500,27.029,27.029,27.029,27.029,555,0
MAYU.US,5,20250505,190500,27.05,27.05,27.05,27.05,100,0
MAYU.US,5,20250505,203000,27.08,27.08,27.04,27.08,1000,0
MAYU.US,5,20250505,203500,27.079,27.08,27.04,27.08,1000,0
MAYU.US,5,20250505,204000,27.09,27.09,27.09,27.09,300,0
MAYU.US,5,20250505,204500,27.09,27.09,27.09,27.09,500,0
MAYU.US,5,20250505,205000,27.08,27.08,27.08,27.08,400,0
MAYU.US,5,20250505,205500,27.07,27.07,27.06,27.06,500,0
MAYU.US,5,20250505,213000,26.97,26.97,26.95,26.97,1790,0
MAYU.US,5,20250505,213500,27.04,27.04,27.03,27.03,506,0
MAYU.US,5,20250505,215500,26.9315,26.9315,26.9315,26.9315,800,0
MAYU.US,5,20250506,174000,26.92,26.92,26.92,26.92,100,0
MAYU.US,5,20250506,202000,26.8599,26.8599,26.8599,26.8599,150,0
MAYU.US,5,20250506,202500,26.8799,26.8799,26.8799,26.8799,186,0
MAYU.US,5,20250506,204000,26.8899,26.8899,26.845,26.845,2046,0
MAYU.US,5,20250506,210500,26.8321,26.8321,26.8321,26.8321,1653,0
MAYU.US,5,20250506,215500,26.86,26.86,26.86,26.86,100,0
MAYU.US,5,20250507,183000,26.8499,26.85,26.805,26.805,1998,0
MAYU.US,5,20250507,184000,26.87,26.87,26.87,26.87,100,0
MAYU.US,5,20250507,191000,26.91,26.91,26.91,26.91,100,0
MAYU.US,5,20250507,201500,26.96,26.96,26.75,26.75,360,0
MAYU.US,5,20250507,204000,26.87,26.87,26.87,26.87,100,0
MAYU.US,5,20250508,181500,27.189,27.19,27.189,27.19,286,0
MAYU.US,5,20250508,200500,27.13,27.13,27.13,27.13,100,0
MAYU.US,5,20250508,210500,27.1,27.11,27.1,27.1,5061,0
MAYU.US,5,20250508,214500,27.1,27.1,27.06,27.06,24032,0
MAYU.US,5,20250509,162000,27.03,27.05,27.03,27.05,200,0
MAYU.US,5,20250509,200500,27.02,27.02,27,27.0108,643,0
MAYU.US,5,20250512,162500,27.45,27.45,27.45,27.45,100,0
MAYU.US,5,20250512,172500,27.48,27.48,27.47,27.47,1746,0
MAYU.US,5,20250512,174500,27.445,27.47,27.445,27.46,1628,0
MAYU.US,5,20250512,183000,27.49,27.49,27.49,27.49,100,0
MAYU.US,5,20250512,201500,27.57,27.57,27.57,27.57,100,0
MAYU.US,5,20250513,161500,27.75,27.75,27.75,27.75,100,0
MAYU.US,5,20250513,193500,27.81,27.81,27.75,27.75,300,0
MAYU.US,5,20250513,195500,27.7999,27.7999,27.7999,27.7999,900,0
MAYU.US,5,20250513,211500,27.8,27.8,27.8,27.8,123,0
MAYU.US,5,20250513,215500,27.75,27.75,27.75,27.75,400,0
MAYU.US,5,20250514,163500,27.77,27.77,27.76,27.76,328,0
