<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEGI.US,5,20250224,153500,12.54,12.54,12.54,12.54,415,0
MEGI.US,5,20250224,154000,12.595,12.615,12.595,12.61,4436,0
MEGI.US,5,20250224,154500,12.615,12.615,12.56,12.57,8301,0
MEGI.US,5,20250224,155500,12.55,12.55,12.55,12.55,1555,0
MEGI.US,5,20250224,160000,12.57,12.57,12.5684,12.57,2050,0
MEGI.US,5,20250224,160500,12.595,12.595,12.56,12.56,1200,0
MEGI.US,5,20250224,161000,12.56,12.615,12.56,12.57,14023,0
MEGI.US,5,20250224,161500,12.56,12.56,12.55,12.5515,2173,0
MEGI.US,5,20250224,162000,12.5518,12.5518,12.55,12.55,2791,0
MEGI.US,5,20250224,162500,12.5501,12.65,12.55,12.56,2398,0
MEGI.US,5,20250224,164000,12.6046,12.6046,12.6046,12.6046,100,0
MEGI.US,5,20250224,164500,12.58,12.59,12.58,12.59,4256,0
MEGI.US,5,20250224,165000,12.58,12.58,12.57,12.57,1040,0
MEGI.US,5,20250224,171500,12.56,12.56,12.5515,12.56,5965,0
MEGI.US,5,20250224,172000,12.56,12.56,12.5501,12.5501,3657,0
MEGI.US,5,20250224,172500,12.555,12.56,12.55,12.56,5554,0
MEGI.US,5,20250224,173000,12.5618,12.5618,12.5618,12.5618,101,0
MEGI.US,5,20250224,173500,12.57,12.57,12.57,12.57,100,0
MEGI.US,5,20250224,174000,12.5699,12.57,12.5699,12.57,7010,0
MEGI.US,5,20250224,174500,12.5661,12.58,12.5661,12.57,4574,0
MEGI.US,5,20250224,175000,12.585,12.585,12.56,12.56,3100,0
MEGI.US,5,20250224,180000,12.58,12.58,12.58,12.58,100,0
MEGI.US,5,20250224,181500,12.58,12.58,12.57,12.57,1100,0
MEGI.US,5,20250224,182000,12.57,12.57,12.57,12.57,535,0
MEGI.US,5,20250224,182500,12.5633,12.5633,12.5633,12.5633,750,0
MEGI.US,5,20250224,183000,12.58,12.58,12.575,12.575,1258,0
MEGI.US,5,20250224,184000,12.5701,12.5797,12.5701,12.5797,2725,0
MEGI.US,5,20250224,185000,12.58,12.58,12.5701,12.5701,1270,0
