<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPKI.US,5,20250224,153000,6.54,6.54,6.54,6.54,100,0
NPKI.US,5,20250224,153500,6.595,6.595,6.57,6.58,900,0
NPKI.US,5,20250224,154000,6.57,6.57,6.57,6.57,100,0
NPKI.US,5,20250224,154500,6.57,6.585,6.56,6.56,17140,0
NPKI.US,5,20250224,155000,6.56,6.56,6.51,6.545,3512,0
NPKI.US,5,20250224,155500,6.55,6.55,6.53,6.53,2100,0
NPKI.US,5,20250224,160000,6.535,6.535,6.51,6.51,1383,0
NPKI.US,5,20250224,160500,6.52,6.525,6.505,6.525,2901,0
NPKI.US,5,20250224,161000,6.515,6.555,6.515,6.55,5155,0
NPKI.US,5,20250224,161500,6.54,6.54,6.53,6.53,324,0
NPKI.US,5,20250224,162000,6.52,6.52,6.52,6.52,937,0
NPKI.US,5,20250224,162500,6.52,6.52,6.49,6.51,8720,0
NPKI.US,5,20250224,163000,6.51,6.54,6.51,6.525,2600,0
NPKI.US,5,20250224,163500,6.52,6.53,6.52,6.53,1004,0
NPKI.US,5,20250224,164000,6.53,6.54,6.52,6.52,1653,0
NPKI.US,5,20250224,164500,6.52,6.54,6.52,6.54,3709,0
NPKI.US,5,20250224,165000,6.545,6.545,6.53,6.53,300,0
NPKI.US,5,20250224,165500,6.53,6.531,6.51,6.51,6177,0
NPKI.US,5,20250224,170000,6.515,6.525,6.5,6.51,17596,0
NPKI.US,5,20250224,170500,6.515,6.535,6.515,6.5301,6265,0
NPKI.US,5,20250224,171000,6.535,6.535,6.53,6.53,1435,0
NPKI.US,5,20250224,171500,6.535,6.55,6.53,6.54,9910,0
NPKI.US,5,20250224,172000,6.545,6.55,6.545,6.55,3332,0
NPKI.US,5,20250224,172500,6.555,6.555,6.555,6.555,836,0
NPKI.US,5,20250224,173000,6.555,6.565,6.555,6.565,1700,0
NPKI.US,5,20250224,173500,6.565,6.575,6.565,6.565,1723,0
NPKI.US,5,20250224,174000,6.565,6.575,6.565,6.57,3716,0
NPKI.US,5,20250224,174500,6.57,6.57,6.565,6.57,2072,0
NPKI.US,5,20250224,175000,6.57,6.575,6.565,6.565,13756,0
NPKI.US,5,20250224,180000,6.57,6.575,6.57,6.575,2139,0
NPKI.US,5,20250224,180500,6.575,6.575,6.57,6.57,300,0
NPKI.US,5,20250224,181000,6.57,6.57,6.57,6.57,200,0
NPKI.US,5,20250224,181500,6.575,6.58,6.575,6.58,6666,0
NPKI.US,5,20250224,182000,6.585,6.585,6.58,6.585,918,0
NPKI.US,5,20250224,182500,6.58,6.5901,6.575,6.5901,8338,0
NPKI.US,5,20250224,183000,6.59,6.605,6.59,6.605,2823,0
NPKI.US,5,20250224,183500,6.605,6.605,6.6,6.605,1204,0
NPKI.US,5,20250224,184000,6.6,6.605,6.59,6.595,2487,0
NPKI.US,5,20250224,184500,6.595,6.6,6.59,6.59,6953,0
NPKI.US,5,20250224,185000,6.59,6.595,6.58,6.585,1365,0
NPKI.US,5,20250224,185500,6.58,6.58,6.57,6.57,1855,0
NPKI.US,5,20250224,190000,6.57,6.6,6.56,6.59,15830,0
NPKI.US,5,20250224,190500,6.585,6.586,6.58,6.585,2126,0
NPKI.US,5,20250224,191000,6.5801,6.585,6.5801,6.585,6763,0
NPKI.US,5,20250224,191500,6.58,6.585,6.58,6.585,12700,0
NPKI.US,5,20250224,192000,6.58,6.585,6.58,6.58,454,0
NPKI.US,5,20250224,192500,6.58,6.58,6.575,6.58,2238,0
NPKI.US,5,20250224,193000,6.58,6.605,6.58,6.605,15716,0
NPKI.US,5,20250224,193500,6.6,6.605,6.6,6.605,1300,0
NPKI.US,5,20250224,194000,6.6,6.6,6.595,6.6,4570,0
NPKI.US,5,20250224,194500,6.6,6.6,6.6,6.6,100,0
NPKI.US,5,20250224,195500,6.59,6.59,6.59,6.59,1397,0
NPKI.US,5,20250224,200000,6.58,6.605,6.58,6.605,3979,0
NPKI.US,5,20250224,200500,6.6,6.6,6.6,6.6,808,0
NPKI.US,5,20250224,201000,6.59,6.59,6.59,6.59,1409,0
NPKI.US,5,20250224,201500,6.59,6.59,6.58,6.58,1101,0
NPKI.US,5,20250224,202000,6.58,6.5888,6.575,6.58,3212,0
NPKI.US,5,20250224,202500,6.58,6.58,6.58,6.58,100,0
NPKI.US,5,20250224,203000,6.59,6.59,6.585,6.585,498,0
NPKI.US,5,20250224,203500,6.58,6.585,6.58,6.585,200,0
NPKI.US,5,20250224,204000,6.58,6.58,6.575,6.575,1714,0
NPKI.US,5,20250224,204500,6.57,6.57,6.57,6.57,400,0
NPKI.US,5,20250224,205000,6.57,6.57,6.57,6.57,3208,0
NPKI.US,5,20250224,205500,6.56,6.56,6.54,6.54,4154,0
NPKI.US,5,20250224,210000,6.54,6.54,6.53,6.535,2033,0
NPKI.US,5,20250224,210500,6.54,6.54,6.54,6.54,3993,0
NPKI.US,5,20250224,211000,6.53,6.54,6.53,6.53,3700,0
NPKI.US,5,20250224,211500,6.535,6.535,6.53,6.535,3968,0
NPKI.US,5,20250224,212000,6.53,6.535,6.53,6.53,2333,0
NPKI.US,5,20250224,212500,6.53,6.53,6.52,6.52,3456,0
NPKI.US,5,20250224,213000,6.52,6.56,6.515,6.55,8482,0
NPKI.US,5,20250224,213500,6.55,6.555,6.54,6.55,14895,0
NPKI.US,5,20250224,214000,6.55,6.555,6.54,6.54,9652,0
NPKI.US,5,20250224,214500,6.54,6.54,6.53,6.53,3918,0
NPKI.US,5,20250224,215000,6.535,6.555,6.52,6.525,20532,0
NPKI.US,5,20250224,215500,6.52,6.54,6.5,6.52,111338,0
NPKI.US,5,20250225,153000,6.53,6.53,6.53,6.53,300,0
NPKI.US,5,20250225,153500,6.54,6.54,6.53,6.53,1500,0
NPKI.US,5,20250225,154000,6.53,6.53,6.49,6.49,664,0
NPKI.US,5,20250225,154500,6.5,6.51,6.5,6.51,1716,0
NPKI.US,5,20250225,155000,6.49,6.49,6.49,6.49,207,0
NPKI.US,5,20250225,155500,6.5,6.5,6.49,6.49,1914,0
NPKI.US,5,20250225,160000,6.48,6.48,6.445,6.45,8504,0
NPKI.US,5,20250225,160500,6.46,6.505,6.46,6.5,2323,0
NPKI.US,5,20250225,161000,6.495,6.51,6.49,6.5,13976,0
