<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OHI.US,5,20250224,153000,35.53,35.675,35.49,35.5442,8587,0
OHI.US,5,20250224,153500,35.605,35.625,35.55,35.57,4476,0
OHI.US,5,20250224,154000,35.565,35.6899,35.5533,35.5974,6802,0
OHI.US,5,20250224,154500,35.635,35.71,35.61,35.635,13453,0
OHI.US,5,20250224,155000,35.65,35.865,35.65,35.865,5914,0
OHI.US,5,20250224,155500,35.86,35.93,35.8471,35.8923,10886,0
OHI.US,5,20250224,160000,35.905,35.91,35.85,35.85,6224,0
OHI.US,5,20250224,160500,35.84,36.16,35.84,36.12,10416,0
OHI.US,5,20250224,161000,36.12,36.15,35.9071,35.92,9087,0
OHI.US,5,20250224,161500,35.938,35.9797,35.86,35.93,15616,0
OHI.US,5,20250224,162000,35.92,36.03,35.92,35.9775,5340,0
OHI.US,5,20250224,162500,35.94,35.95,35.86,35.86,6100,0
OHI.US,5,20250224,163000,35.84,35.86,35.75,35.785,4265,0
OHI.US,5,20250224,163500,35.78,35.83,35.76,35.82,4885,0
OHI.US,5,20250224,164000,35.8,35.92,35.79,35.92,3963,0
OHI.US,5,20250224,164500,35.91,35.97,35.91,35.91,16986,0
OHI.US,5,20250224,165000,35.94,35.96,35.85,35.86,2785,0
OHI.US,5,20250224,165500,35.86,35.935,35.8133,35.895,8753,0
OHI.US,5,20250224,170000,35.895,35.945,35.895,35.945,7892,0
OHI.US,5,20250224,170500,35.95,35.95,35.86,35.89,13969,0
OHI.US,5,20250224,171000,35.88,35.894495,35.8,35.894495,9921,0
OHI.US,5,20250224,171500,35.89,35.9,35.8,35.83,5637,0
OHI.US,5,20250224,172000,35.82,35.84,35.8,35.8,6386,0
OHI.US,5,20250224,172500,35.785,35.79,35.75,35.78,6322,0
OHI.US,5,20250224,173000,35.77,35.79,35.7402,35.7402,5686,0
OHI.US,5,20250224,173500,35.75,35.795,35.725,35.725,5139,0
OHI.US,5,20250224,174000,35.73,35.76,35.73,35.74,6601,0
OHI.US,5,20250224,174500,35.75,35.78,35.75,35.7692,3599,0
OHI.US,5,20250224,175000,35.765,35.8,35.76,35.78,14370,0
OHI.US,5,20250224,175500,35.7898,35.92,35.78,35.86,153640,0
OHI.US,5,20250224,180000,35.855,35.98,35.855,35.925,47036,0
OHI.US,5,20250224,180500,35.925,35.9398,35.85,35.87,9963,0
OHI.US,5,20250224,181000,35.89,35.93,35.885,35.9101,7745,0
OHI.US,5,20250224,181500,35.91,35.91,35.87,35.87,5735,0
OHI.US,5,20250224,182000,35.86,35.885,35.86,35.87,3762,0
OHI.US,5,20250224,182500,35.875,35.89,35.85,35.85,8871,0
