<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPAD.US,5,20250224,153000,2.29,2.29,2.29,2.29,150,0
OPAD.US,5,20250224,154000,2.29,2.29,2.29,2.29,303,0
OPAD.US,5,20250224,160000,2.24,2.24,2.17,2.2048,26306,0
OPAD.US,5,20250224,160500,2.1503,2.165,2.13,2.165,2021,0
OPAD.US,5,20250224,161000,2.145,2.145,2.145,2.145,100,0
OPAD.US,5,20250224,161500,2.14,2.14,2.14,2.14,849,0
OPAD.US,5,20250224,162000,2.11,2.11,2.11,2.11,1000,0
OPAD.US,5,20250224,162500,2.1201,2.1201,2.1201,2.1201,1400,0
OPAD.US,5,20250224,163500,2.145,2.145,2.145,2.145,660,0
OPAD.US,5,20250224,170000,2.15,2.15,2.135,2.135,600,0
OPAD.US,5,20250224,172000,2.1772,2.1777,2.1769,2.1769,1500,0
OPAD.US,5,20250224,172500,2.1617,2.18,2.16,2.18,2375,0
OPAD.US,5,20250224,173000,2.208,2.23,2.205,2.23,800,0
OPAD.US,5,20250224,175000,2.21,2.21,2.21,2.21,100,0
OPAD.US,5,20250224,180500,2.25,2.25,2.25,2.25,150,0
OPAD.US,5,20250224,181000,2.22,2.22,2.22,2.22,556,0
OPAD.US,5,20250224,182500,2.225,2.225,2.225,2.225,100,0
OPAD.US,5,20250224,191000,2.2236,2.2236,2.205,2.205,2247,0
OPAD.US,5,20250224,191500,2.205,2.205,2.205,2.205,200,0
OPAD.US,5,20250224,194000,2.215,2.215,2.215,2.215,100,0
OPAD.US,5,20250224,194500,2.21,2.21,2.21,2.21,100,0
OPAD.US,5,20250224,195500,2.2,2.2,2.18,2.18,535,0
OPAD.US,5,20250224,200000,2.19,2.19,2.18,2.18,200,0
OPAD.US,5,20250224,203500,2.19,2.19,2.19,2.19,100,0
OPAD.US,5,20250224,204000,2.18,2.18,2.18,2.18,400,0
OPAD.US,5,20250224,204500,2.18,2.18,2.18,2.18,500,0
OPAD.US,5,20250224,205500,2.16,2.16,2.16,2.16,300,0
OPAD.US,5,20250224,210500,2.18,2.18,2.18,2.18,100,0
OPAD.US,5,20250224,211500,2.1842,2.21,2.1842,2.21,924,0
OPAD.US,5,20250224,212000,2.195,2.21,2.195,2.21,300,0
OPAD.US,5,20250224,212500,2.18,2.18,2.18,2.18,243,0
OPAD.US,5,20250224,213500,2.17,2.21,2.17,2.18,2445,0
OPAD.US,5,20250224,214000,2.1992,2.1992,2.1992,2.1992,428,0
OPAD.US,5,20250224,214500,2.18,2.21,2.16,2.2,14519,0
OPAD.US,5,20250224,215000,2.21,2.21,2.13,2.13,28073,0
OPAD.US,5,20250224,215500,2.12,2.2,2.12,2.2,14020,0
OPAD.US,5,20250225,153000,2.03,2.05,1.9712,1.9712,8525,0
OPAD.US,5,20250225,153500,2.02,2.02,1.9731,1.9801,6626,0
OPAD.US,5,20250225,154000,1.9984,2.01,1.9984,2.01,600,0
OPAD.US,5,20250225,154500,2,2.01,2,2.0001,3059,0
OPAD.US,5,20250225,155000,2,2.0103,1.9801,2.01,7161,0
OPAD.US,5,20250225,155500,2.02,2.03,2.02,2.03,200,0
OPAD.US,5,20250225,160500,2.035,2.04,2.035,2.04,1516,0
OPAD.US,5,20250225,161500,2.04,2.055,2.0301,2.055,4911,0
OPAD.US,5,20250225,162000,2.03,2.06,1.99,1.996,13417,0
OPAD.US,5,20250225,162500,1.9735,1.997,1.9735,1.995,2000,0
OPAD.US,5,20250225,163000,1.995,1.995,1.995,1.995,800,0
OPAD.US,5,20250225,163500,2,2.02,1.985,2.02,400,0
OPAD.US,5,20250225,164000,2.03,2.03,2.03,2.03,336,0
OPAD.US,5,20250225,164500,2.0102,2.0102,2.0102,2.0102,488,0
OPAD.US,5,20250225,165500,2.1091,2.1091,2.1091,2.1091,100,0
OPAD.US,5,20250225,172500,2.095,2.095,2.095,2.095,100,0
OPAD.US,5,20250225,173000,2.05,2.09,2.0201,2.0201,15276,0
OPAD.US,5,20250225,174000,2.05,2.05,2.05,2.05,467,0
OPAD.US,5,20250225,175500,2.07,2.14,2.07,2.14,3100,0
OPAD.US,5,20250225,180000,2.12,2.12,2.12,2.12,342,0
OPAD.US,5,20250225,183500,2.14,2.14,2.14,2.14,984,0
OPAD.US,5,20250225,184000,2.17,2.18,2.17,2.18,200,0
OPAD.US,5,20250225,191500,2.15,2.15,2.15,2.15,1646,0
OPAD.US,5,20250225,192500,2.1201,2.1201,2.1201,2.1201,130,0
OPAD.US,5,20250225,194000,2.1686,2.17,2.1201,2.17,1343,0
OPAD.US,5,20250225,201500,2.1371,2.1371,2.12,2.12,806,0
OPAD.US,5,20250225,202000,2.13,2.13,2.13,2.13,100,0
OPAD.US,5,20250225,205000,2.125,2.125,2.125,2.125,100,0
OPAD.US,5,20250225,210500,2.13,2.1593,2.13,2.1593,3353,0
OPAD.US,5,20250225,213000,2.16,2.16,2.16,2.16,1077,0
OPAD.US,5,20250225,213500,2.15,2.15,2.15,2.15,508,0
OPAD.US,5,20250225,214000,2.13,2.1399,2.0801,2.0801,4534,0
OPAD.US,5,20250225,214500,2.1,2.1,2.1,2.1,300,0
OPAD.US,5,20250225,215000,2.1,2.1,2.1,2.1,100,0
OPAD.US,5,20250225,215500,2.11,2.12,2.09,2.12,6891,0
OPAD.US,5,20250226,153000,2.15,2.15,2.15,2.15,150,0
OPAD.US,5,20250226,162500,2.12,2.12,2.11,2.11,200,0
OPAD.US,5,20250226,163500,2.105,2.105,2.105,2.105,500,0
OPAD.US,5,20250226,171500,2.0801,2.0801,2.08,2.08,200,0
OPAD.US,5,20250226,172000,2.08,2.08,2.08,2.08,696,0
OPAD.US,5,20250226,172500,2.07,2.07,2.06,2.06,327,0
OPAD.US,5,20250226,175000,2.0871,2.0871,2.0871,2.0871,500,0
OPAD.US,5,20250226,181000,2.07,2.07,2.07,2.07,1145,0
OPAD.US,5,20250226,181500,2.0899,2.2097,2.085,2.2097,27777,0
OPAD.US,5,20250226,184500,2.1273,2.13,2.05,2.1103,27563,0
OPAD.US,5,20250226,200500,2.1,2.1,2.1,2.1,500,0
OPAD.US,5,20250226,201000,2.1,2.1,2.1,2.1,9774,0
OPAD.US,5,20250226,202500,2.1198,2.1199,2.1,2.1,1500,0
OPAD.US,5,20250226,203000,2.11,2.11,2.11,2.11,250,0
OPAD.US,5,20250226,205000,2.09,2.09,2.09,2.09,200,0
OPAD.US,5,20250226,205500,2.1,2.1,2.1,2.1,500,0
OPAD.US,5,20250226,210500,2.05,2.05,2.05,2.05,200,0
OPAD.US,5,20250226,213000,2.07,2.07,2.07,2.07,100,0
OPAD.US,5,20250226,214000,2.06,2.075,2.06,2.075,5856,0
OPAD.US,5,20250226,214500,2.085,2.085,2.085,2.085,115,0
OPAD.US,5,20250226,215000,2.09,2.09,2.07,2.07,238,0
OPAD.US,5,20250226,215500,2.07,2.08,2.07,2.08,3978,0
OPAD.US,5,20250227,154000,2.06,2.06,2.06,2.06,1758,0
OPAD.US,5,20250227,154500,2.1005,2.1005,2.1005,2.1005,700,0
OPAD.US,5,20250227,155000,2.1,2.1,2.09,2.09,275,0
OPAD.US,5,20250227,160000,2.06,2.06,2.06,2.06,270,0
OPAD.US,5,20250227,181500,1.9703,1.9703,1.9703,1.9703,200,0
OPAD.US,5,20250227,182500,2.0239,2.0239,2.0239,2.0239,100,0
OPAD.US,5,20250227,184000,2,2,2,2,2325,0
OPAD.US,5,20250227,190500,2.03,2.03,2.03,2.03,100,0
OPAD.US,5,20250227,193500,2.03,2.09,2.03,2.06,8558,0
OPAD.US,5,20250227,200500,2.065,2.065,2.065,2.065,100,0
OPAD.US,5,20250227,201000,2.065,2.065,2.065,2.065,100,0
OPAD.US,5,20250227,201500,2.08,2.08,2.08,2.08,100,0
OPAD.US,5,20250227,202500,2.05,2.05,2.05,2.05,1350,0
OPAD.US,5,20250227,203500,2.08,2.08,2.05,2.07,9310,0
OPAD.US,5,20250227,204000,2.09,2.09,2.07,2.07,900,0
OPAD.US,5,20250227,204500,2.08,2.08,2.08,2.08,100,0
OPAD.US,5,20250227,205000,2.08,2.08,2.05,2.05,403,0
OPAD.US,5,20250227,205500,2.09,2.09,2.08,2.08,300,0
OPAD.US,5,20250227,210000,2.05,2.05,2.05,2.05,100,0
OPAD.US,5,20250227,210500,2.03,2.03,2.03,2.03,441,0
OPAD.US,5,20250227,211000,2.03,2.05,2.03,2.05,16301,0
OPAD.US,5,20250227,211500,2.05,2.07,2.05,2.07,200,0
OPAD.US,5,20250227,212000,2.07,2.07,2.07,2.07,100,0
OPAD.US,5,20250227,212500,2.07,2.08,2.05,2.05,700,0
OPAD.US,5,20250227,213500,2.055,2.055,2.055,2.055,791,0
OPAD.US,5,20250227,214000,2.055,2.07,2.055,2.07,1500,0
OPAD.US,5,20250227,214500,2.07,2.07,2.04,2.07,913,0
OPAD.US,5,20250227,215000,2.09,2.09,2.09,2.09,500,0
OPAD.US,5,20250227,215500,2.06,2.08,2.02,2.02,9835,0
OPAD.US,5,20250228,153500,1.98,1.98,1.98,1.98,271,0
OPAD.US,5,20250228,154000,2.02,2.02,2.02,2.02,500,0
OPAD.US,5,20250228,160500,2.01,2.0199,2,2,6300,0
OPAD.US,5,20250228,161000,2,2,2,2,500,0
OPAD.US,5,20250228,161500,2,2.08,2,2.08,5301,0
OPAD.US,5,20250228,162000,2.07,2.07,2.07,2.07,100,0
OPAD.US,5,20250228,163500,2.085,2.085,2.085,2.085,100,0
OPAD.US,5,20250228,165000,2.08,2.08,2.08,2.08,100,0
OPAD.US,5,20250228,170000,2.075,2.075,2.055,2.055,200,0
OPAD.US,5,20250228,171000,2.07,2.07,2.07,2.07,100,0
OPAD.US,5,20250228,172500,2.03,2.035,2.02,2.02,521,0
OPAD.US,5,20250228,174000,2.01,2.03,2.01,2.01,2200,0
OPAD.US,5,20250228,175000,2.015,2.015,2.015,2.015,300,0
OPAD.US,5,20250228,180000,2.03,2.03,2.03,2.03,200,0
OPAD.US,5,20250228,181500,2.0304,2.04,2.01,2.01,10008,0
OPAD.US,5,20250228,182000,2.05,2.05,2.05,2.05,100,0
OPAD.US,5,20250228,183000,2.03,2.03,2.03,2.03,6400,0
OPAD.US,5,20250228,183500,2.03,2.08,2.03,2.08,4200,0
OPAD.US,5,20250228,185000,2.0575,2.06,2.0575,2.06,228,0
OPAD.US,5,20250228,190000,2.055,2.055,2.055,2.055,100,0
OPAD.US,5,20250228,191000,2.05,2.05,2.05,2.05,100,0
OPAD.US,5,20250228,191500,2.0725,2.0725,2.0725,2.0725,100,0
OPAD.US,5,20250228,193500,2.0187,2.055,2.0187,2.055,209,0
OPAD.US,5,20250228,194500,2.025,2.025,2.025,2.025,100,0
OPAD.US,5,20250228,195500,2.01,2.01,1.99,2,1641,0
OPAD.US,5,20250228,200000,2,2,2,2,200,0
OPAD.US,5,20250228,201000,1.98,1.98,1.98,1.98,300,0
OPAD.US,5,20250228,201500,1.975,1.975,1.975,1.975,300,0
OPAD.US,5,20250228,202000,1.97,1.97,1.96,1.96,1011,0
OPAD.US,5,20250228,203000,1.96,1.992,1.96,1.992,955,0
OPAD.US,5,20250228,203500,1.99,1.99,1.9896,1.9896,5908,0
OPAD.US,5,20250228,205000,1.97,1.97,1.97,1.97,200,0
OPAD.US,5,20250228,205500,1.98,1.98,1.98,1.98,100,0
OPAD.US,5,20250228,210000,1.97,1.97,1.97,1.97,100,0
OPAD.US,5,20250228,210500,1.98,1.98,1.9787,1.9787,680,0
OPAD.US,5,20250228,211000,1.98,2,1.98,1.995,2845,0
OPAD.US,5,20250228,211500,2.01,2.01,1.995,1.995,5900,0
OPAD.US,5,20250228,212000,2.0025,2.0025,2.0025,2.0025,100,0
OPAD.US,5,20250228,212500,2.0025,2.0025,2.0025,2.0025,100,0
OPAD.US,5,20250228,213000,1.995,1.995,1.995,1.995,100,0
OPAD.US,5,20250228,213500,1.98,1.98,1.95,1.96,789,0
OPAD.US,5,20250228,214000,1.96,1.96,1.95,1.95,705,0
OPAD.US,5,20250228,214500,1.935,1.9696,1.935,1.9696,19218,0
OPAD.US,5,20250228,215000,1.965,1.98,1.965,1.965,3100,0
OPAD.US,5,20250228,215500,1.9501,1.98,1.9501,1.98,12642,0
OPAD.US,5,20250303,153000,1.95,1.95,1.95,1.95,200,0
OPAD.US,5,20250303,154000,1.93,1.9921,1.93,1.9921,3400,0
OPAD.US,5,20250303,155000,1.965,1.965,1.965,1.965,621,0
OPAD.US,5,20250303,161000,1.95,1.95,1.93,1.95,657,0
OPAD.US,5,20250303,164500,1.96,1.96,1.96,1.96,480,0
OPAD.US,5,20250303,165000,1.95,1.97,1.95,1.97,600,0
OPAD.US,5,20250303,170500,1.945,1.945,1.945,1.945,500,0
OPAD.US,5,20250303,172000,1.93,1.93,1.93,1.93,252,0
OPAD.US,5,20250303,172500,1.93,1.93,1.93,1.93,280,0
OPAD.US,5,20250303,173000,1.93,1.93,1.93,1.93,500,0
OPAD.US,5,20250303,175000,1.91,1.92,1.91,1.92,200,0
OPAD.US,5,20250303,175500,1.91,1.91,1.91,1.91,300,0
OPAD.US,5,20250303,181500,1.9,1.9,1.9,1.9,100,0
OPAD.US,5,20250303,182000,1.91,1.91,1.9,1.91,305,0
OPAD.US,5,20250303,183000,1.91,1.91,1.91,1.91,256,0
OPAD.US,5,20250303,184500,1.9,1.9,1.893,1.893,1000,0
OPAD.US,5,20250303,185500,1.87,1.88,1.87,1.88,580,0
OPAD.US,5,20250303,190500,1.88,1.88,1.88,1.88,400,0
OPAD.US,5,20250303,191000,1.8648,1.865,1.76,1.8,43598,0
OPAD.US,5,20250303,192500,1.8,1.8,1.8,1.8,2000,0
OPAD.US,5,20250303,193000,1.8173,1.8173,1.805,1.805,2000,0
OPAD.US,5,20250303,193500,1.805,1.82,1.8,1.82,3524,0
OPAD.US,5,20250303,194500,1.8,1.8399,1.8,1.8399,1085,0
OPAD.US,5,20250303,200500,1.81,1.82,1.81,1.81,1340,0
OPAD.US,5,20250303,201000,1.825,1.825,1.8129,1.825,2500,0
OPAD.US,5,20250303,201500,1.81,1.81,1.81,1.81,200,0
OPAD.US,5,20250303,202000,1.82,1.82,1.82,1.82,3750,0
OPAD.US,5,20250303,204000,1.8087,1.8087,1.8087,1.8087,500,0
OPAD.US,5,20250303,204500,1.78,1.78,1.78,1.78,680,0
