<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSCR.US,5,20250224,153000,14.95,15.11,14.6708,14.95,125597,0
OSCR.US,5,20250224,153500,14.98,15.02,14.92,14.92,23116,0
OSCR.US,5,20250224,154000,14.9,14.9,14.79,14.84,35588,0
OSCR.US,5,20250224,154500,14.86,14.89,14.77,14.78,58696,0
OSCR.US,5,20250224,155000,14.78,14.79,14.52,14.53,62447,0
OSCR.US,5,20250224,155500,14.58,14.58,14.43,14.51,66811,0
OSCR.US,5,20250224,160000,14.5,14.53,14.175,14.26,122548,0
OSCR.US,5,20250224,160500,14.24,14.5,14.1,14.48,79655,0
OSCR.US,5,20250224,161000,14.41,14.49,14.4,14.48,64371,0
OSCR.US,5,20250224,161500,14.462,14.52,14.462,14.485,64590,0
OSCR.US,5,20250224,162000,14.49,14.59,14.465,14.58,32265,0
OSCR.US,5,20250224,162500,14.58,14.59,14.46,14.47,37827,0
OSCR.US,5,20250224,163000,14.47,14.61,14.47,14.59,60945,0
OSCR.US,5,20250224,163500,14.58,14.61,14.54,14.57,31363,0
OSCR.US,5,20250224,164000,14.58,14.68,14.58,14.6796,37677,0
OSCR.US,5,20250224,164500,14.66,14.73,14.66,14.6765,48672,0
OSCR.US,5,20250224,165000,14.67,14.72,14.62,14.68,14665,0
OSCR.US,5,20250224,165500,14.675,14.71,14.63,14.71,21559,0
OSCR.US,5,20250224,170000,14.7,14.9799,14.695,14.96,70180,0
OSCR.US,5,20250224,170500,14.95,15.28,14.92,15.26,111877,0
OSCR.US,5,20250224,171000,15.26,15.322,15.22,15.31,94368,0
OSCR.US,5,20250224,171500,15.3093,15.48,15.26,15.4499,66060,0
OSCR.US,5,20250224,172000,15.4499,15.47,15.34,15.46,46035,0
OSCR.US,5,20250224,172500,15.45,15.72,15.45,15.585,119152,0
OSCR.US,5,20250224,173000,15.595,15.607,15.38,15.54,94305,0
OSCR.US,5,20250224,173500,15.55,15.58,15.47,15.47,37773,0
OSCR.US,5,20250224,174000,15.4847,15.6,15.47,15.47,43601,0
OSCR.US,5,20250224,174500,15.47,15.49,15.4309,15.4309,39134,0
OSCR.US,5,20250224,175000,15.4499,15.5,15.43,15.47,31735,0
OSCR.US,5,20250224,175500,15.46,15.49,15.42,15.44,27682,0
OSCR.US,5,20250224,180000,15.44,15.585,15.41,15.585,23159,0
OSCR.US,5,20250224,180500,15.5899,15.59,15.47,15.47,20387,0
OSCR.US,5,20250224,181000,15.48,15.5,15.39,15.3976,27008,0
OSCR.US,5,20250224,181500,15.4,15.51,15.4,15.51,16140,0
OSCR.US,5,20250224,182000,15.51,15.535,15.45,15.46,12339,0
OSCR.US,5,20250224,182500,15.46,15.51,15.44,15.45,16442,0
OSCR.US,5,20250224,183000,15.445,15.48,15.44,15.46,16041,0
OSCR.US,5,20250224,183500,15.465,15.51,15.45,15.495,10512,0
OSCR.US,5,20250224,184000,15.51,15.5193,15.43,15.5,30725,0
OSCR.US,5,20250224,184500,15.51,15.52,15.43,15.43,16223,0
OSCR.US,5,20250224,185000,15.445,15.445,15.4,15.4,17688,0
OSCR.US,5,20250224,185500,15.4,15.49,15.394,15.4437,19738,0
OSCR.US,5,20250224,190000,15.455,15.47,15.42,15.47,8496,0
OSCR.US,5,20250224,190500,15.46,15.53,15.44,15.527,20741,0
OSCR.US,5,20250224,191000,15.53,15.58,15.48,15.501,21946,0
OSCR.US,5,20250224,191500,15.495,15.51,15.4688,15.4896,15459,0
OSCR.US,5,20250224,192000,15.48,15.49,15.43,15.46,9712,0
OSCR.US,5,20250224,192500,15.46,15.4979,15.45,15.455,8092,0
OSCR.US,5,20250224,193000,15.4601,15.57,15.455,15.57,33195,0
OSCR.US,5,20250224,193500,15.58,15.58,15.52,15.555,32255,0
OSCR.US,5,20250224,194000,15.56,15.595,15.55,15.595,21212,0
OSCR.US,5,20250224,194500,15.595,15.62,15.575,15.62,18806,0
OSCR.US,5,20250224,195000,15.61,15.61,15.535,15.57,20893,0
OSCR.US,5,20250224,195500,15.58,15.58,15.528,15.54,9162,0
OSCR.US,5,20250224,200000,15.54,15.63,15.535,15.628,35414,0
