<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMT_B.US,5,20250224,153000,24.25,24.25,24.25,24.25,295,0
PMT_B.US,5,20250224,155000,24.2754,24.2754,24.2754,24.2754,100,0
PMT_B.US,5,20250224,155500,24.27,24.27,24.27,24.27,191,0
PMT_B.US,5,20250224,164500,24.1983,24.1983,24.1983,24.1983,100,0
PMT_B.US,5,20250224,165000,24.22,24.22,24.22,24.22,500,0
PMT_B.US,5,20250224,174000,24.3,24.3,24.295,24.3,2689,0
PMT_B.US,5,20250224,180500,24.2501,24.2501,24.2501,24.2501,250,0
PMT_B.US,5,20250224,182000,24.2501,24.2501,24.2501,24.2501,1000,0
PMT_B.US,5,20250224,201500,24.3,24.33,24.2999,24.33,3320,0
PMT_B.US,5,20250224,202000,24.38,24.4,24.38,24.39,600,0
PMT_B.US,5,20250224,211500,24.39,24.39,24.39,24.39,1375,0
PMT_B.US,5,20250224,213500,24.39,24.39,24.39,24.39,400,0
PMT_B.US,5,20250224,215000,24.4,24.4,24.4,24.4,138,0
PMT_B.US,5,20250225,153000,24.35,24.35,24.35,24.35,200,0
PMT_B.US,5,20250225,154000,24.42,24.42,24.4,24.4,1304,0
PMT_B.US,5,20250225,154500,24.5,24.5,24.43,24.43,925,0
PMT_B.US,5,20250225,160000,24.46,24.46,24.42,24.42,513,0
PMT_B.US,5,20250225,160500,24.425,24.425,24.425,24.425,300,0
PMT_B.US,5,20250225,173000,24.39,24.39,24.39,24.39,100,0
PMT_B.US,5,20250225,184500,24.396,24.4,24.39,24.4,1200,0
PMT_B.US,5,20250225,190000,24.42,24.42,24.42,24.42,164,0
PMT_B.US,5,20250225,212000,24.4499,24.45,24.42,24.42,1711,0
PMT_B.US,5,20250225,215500,24.55,24.55,24.53,24.53,318,0
PMT_B.US,5,20250226,163500,24.5476,24.5476,24.485,24.485,200,0
PMT_B.US,5,20250226,170000,24.4469,24.4469,24.4469,24.4469,190,0
PMT_B.US,5,20250226,170500,24.462,24.462,24.462,24.462,400,0
PMT_B.US,5,20250226,171000,24.4427,24.4427,24.4427,24.4427,400,0
PMT_B.US,5,20250226,173500,24.5699,24.5699,24.5491,24.5491,200,0
PMT_B.US,5,20250226,174500,24.46,24.46,24.46,24.46,500,0
PMT_B.US,5,20250226,175000,24.5,24.5,24.5,24.5,100,0
PMT_B.US,5,20250226,185500,24.46,24.46,24.46,24.46,985,0
PMT_B.US,5,20250226,194500,24.5368,24.5368,24.5368,24.5368,500,0
PMT_B.US,5,20250226,205000,24.52,24.56,24.52,24.56,248,0
PMT_B.US,5,20250226,210000,24.5344,24.5344,24.5344,24.5344,500,0
PMT_B.US,5,20250226,211500,24.53,24.53,24.53,24.53,300,0
PMT_B.US,5,20250226,215500,24.55,24.55,24.53,24.55,777,0
PMT_B.US,5,20250227,153000,24.48,24.48,24.48,24.48,400,0
PMT_B.US,5,20250227,160000,24.4941,24.4941,24.4941,24.4941,100,0
PMT_B.US,5,20250227,165000,24.57,24.57,24.5,24.5,998,0
PMT_B.US,5,20250227,173000,24.55,24.55,24.5,24.5,922,0
PMT_B.US,5,20250227,184000,24.5001,24.5001,24.5001,24.5001,400,0
PMT_B.US,5,20250227,192500,24.55,24.57,24.5337,24.57,1025,0
PMT_B.US,5,20250227,194500,24.56,24.57,24.55,24.57,4100,0
PMT_B.US,5,20250227,201000,24.57,24.57,24.57,24.57,100,0
PMT_B.US,5,20250227,203000,24.57,24.57,24.57,24.57,500,0
PMT_B.US,5,20250227,210000,24.585,24.585,24.585,24.585,1000,0
PMT_B.US,5,20250227,211000,24.57,24.57,24.57,24.57,500,0
PMT_B.US,5,20250227,211500,24.6,24.6,24.6,24.6,2640,0
PMT_B.US,5,20250227,212500,24.64,24.65,24.64,24.65,623,0
PMT_B.US,5,20250227,213000,24.65,24.65,24.65,24.65,185,0
PMT_B.US,5,20250228,153000,24.1366,24.1366,24.1366,24.1366,100,0
PMT_B.US,5,20250228,153500,24.2,24.2,24.2,24.2,900,0
PMT_B.US,5,20250228,154500,24.205,24.26,24.205,24.26,800,0
PMT_B.US,5,20250228,155000,24.4901,24.4901,24.4901,24.4901,500,0
PMT_B.US,5,20250228,160000,24.4673,24.4673,24.4673,24.4673,100,0
