<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RA.US,5,20250224,153000,13.44,13.44,13.408,13.408,4616,0
RA.US,5,20250224,153500,13.415,13.4366,13.415,13.4366,900,0
RA.US,5,20250224,154000,13.425,13.425,13.4,13.4,6533,0
RA.US,5,20250224,154500,13.42,13.43,13.42,13.42,7038,0
RA.US,5,20250224,155000,13.42,13.42,13.42,13.42,100,0
RA.US,5,20250224,155500,13.412,13.4299,13.41,13.41,2666,0
RA.US,5,20250224,160000,13.41,13.41,13.4,13.4,2490,0
RA.US,5,20250224,160500,13.39,13.3967,13.39,13.3967,2790,0
RA.US,5,20250224,161000,13.395,13.4064,13.395,13.4064,3318,0
RA.US,5,20250224,161500,13.41,13.42,13.41,13.42,3215,0
RA.US,5,20250224,162000,13.415,13.415,13.41,13.415,628,0
RA.US,5,20250224,162500,13.4159,13.42,13.4116,13.42,486,0
RA.US,5,20250224,163000,13.42,13.42,13.415,13.415,644,0
RA.US,5,20250224,163500,13.4161,13.4199,13.41,13.415,3579,0
RA.US,5,20250224,164000,13.415,13.415,13.405,13.405,572,0
RA.US,5,20250224,164500,13.4,13.4022,13.395,13.4,2600,0
RA.US,5,20250224,170500,13.4,13.4,13.4,13.4,1500,0
RA.US,5,20250224,171500,13.3901,13.4073,13.3901,13.4073,962,0
RA.US,5,20250224,172000,13.4,13.41,13.4,13.41,300,0
RA.US,5,20250224,172500,13.41,13.41,13.41,13.41,200,0
RA.US,5,20250224,173000,13.4089,13.41,13.4089,13.41,500,0
RA.US,5,20250224,174000,13.405,13.4099,13.405,13.405,675,0
RA.US,5,20250224,174500,13.4,13.4066,13.4,13.4066,3225,0
RA.US,5,20250224,175000,13.41,13.41,13.41,13.41,193,0
RA.US,5,20250224,175500,13.41,13.41,13.41,13.41,200,0
RA.US,5,20250224,180000,13.41,13.41,13.41,13.41,200,0
RA.US,5,20250224,180500,13.41,13.41,13.41,13.41,300,0
RA.US,5,20250224,181000,13.41,13.41,13.41,13.41,980,0
RA.US,5,20250224,181500,13.41,13.41,13.405,13.405,379,0
RA.US,5,20250224,182000,13.41,13.41,13.41,13.41,100,0
RA.US,5,20250224,182500,13.405,13.42,13.405,13.42,1831,0
RA.US,5,20250224,183000,13.4189,13.42,13.41,13.41,1301,0
RA.US,5,20250224,183500,13.42,13.42,13.415,13.42,495,0
RA.US,5,20250224,184000,13.415,13.415,13.395,13.3999,10073,0
RA.US,5,20250224,184500,13.4,13.405,13.4,13.405,1399,0
RA.US,5,20250224,185000,13.41,13.41,13.41,13.41,100,0
RA.US,5,20250224,185500,13.4033,13.41,13.4033,13.41,250,0
RA.US,5,20250224,190000,13.408,13.41,13.408,13.41,800,0
RA.US,5,20250224,191000,13.41,13.41,13.41,13.41,300,0
RA.US,5,20250224,191500,13.41,13.41,13.41,13.41,100,0
RA.US,5,20250224,192000,13.405,13.405,13.405,13.405,300,0
RA.US,5,20250224,193500,13.41,13.41,13.405,13.405,300,0
RA.US,5,20250224,194000,13.41,13.415,13.41,13.415,1953,0
RA.US,5,20250224,194500,13.41,13.41,13.405,13.4067,2319,0
RA.US,5,20250224,195000,13.405,13.405,13.405,13.405,100,0
RA.US,5,20250224,195500,13.405,13.405,13.4,13.4,200,0
RA.US,5,20250224,200000,13.4,13.4,13.4,13.4,100,0
RA.US,5,20250224,200500,13.4,13.405,13.4,13.405,500,0
RA.US,5,20250224,201000,13.4,13.4046,13.4,13.4,582,0
RA.US,5,20250224,201500,13.405,13.4092,13.4,13.4,3426,0
RA.US,5,20250224,202000,13.4,13.4,13.4,13.4,1427,0
RA.US,5,20250224,202500,13.4,13.4,13.4,13.4,200,0
RA.US,5,20250224,203000,13.4,13.4,13.4,13.4,200,0
RA.US,5,20250224,203500,13.4,13.4,13.4,13.4,200,0
RA.US,5,20250224,204000,13.4,13.4,13.4,13.4,100,0
RA.US,5,20250224,204500,13.4,13.41,13.4,13.41,700,0
RA.US,5,20250224,205000,13.4,13.41,13.4,13.41,400,0
RA.US,5,20250224,205500,13.405,13.4075,13.4,13.4075,6725,0
RA.US,5,20250224,210000,13.4,13.4,13.395,13.395,1817,0
RA.US,5,20250224,210500,13.395,13.395,13.395,13.395,100,0
RA.US,5,20250224,211000,13.395,13.3991,13.3922,13.395,4425,0
RA.US,5,20250224,211500,13.395,13.395,13.394165,13.394165,821,0
RA.US,5,20250224,212000,13.395,13.395,13.395,13.395,1300,0
RA.US,5,20250224,212500,13.395,13.395,13.395,13.395,100,0
RA.US,5,20250224,213000,13.395,13.395,13.395,13.395,200,0
RA.US,5,20250224,213500,13.395,13.4,13.39,13.39,6253,0
RA.US,5,20250224,214000,13.395,13.395,13.395,13.395,1300,0
RA.US,5,20250224,214500,13.4,13.4,13.39,13.395,2422,0
RA.US,5,20250224,215000,13.395,13.4,13.39,13.395,1034,0
RA.US,5,20250224,215500,13.3944,13.4,13.39,13.4,4302,0
RA.US,5,20250225,153000,13.42,13.425,13.415,13.425,5762,0
RA.US,5,20250225,153500,13.4267,13.43,13.4267,13.43,300,0
RA.US,5,20250225,154500,13.425,13.425,13.42,13.425,800,0
RA.US,5,20250225,155000,13.425,13.425,13.42,13.42,1933,0
RA.US,5,20250225,155500,13.425,13.425,13.425,13.425,1011,0
RA.US,5,20250225,160000,13.425,13.425,13.4101,13.42,4043,0
RA.US,5,20250225,160500,13.43,13.43,13.42,13.43,1000,0
RA.US,5,20250225,161000,13.43,13.43,13.4212,13.43,1173,0
RA.US,5,20250225,161500,13.4292,13.43,13.4292,13.43,1300,0
RA.US,5,20250225,162000,13.4201,13.425,13.42,13.42,1530,0
RA.US,5,20250225,162500,13.42,13.42,13.42,13.42,100,0
RA.US,5,20250225,163000,13.42,13.43,13.42,13.422,2271,0
RA.US,5,20250225,163500,13.425,13.425,13.422,13.422,200,0
RA.US,5,20250225,165000,13.425,13.425,13.42,13.42,1300,0
RA.US,5,20250225,165500,13.42,13.42,13.42,13.42,500,0
RA.US,5,20250225,170000,13.4201,13.4201,13.415,13.42,2173,0
RA.US,5,20250225,171000,13.425,13.425,13.42,13.42,1100,0
RA.US,5,20250225,171500,13.425,13.425,13.42,13.42,354,0
RA.US,5,20250225,172000,13.4297,13.43,13.42,13.4247,3440,0
RA.US,5,20250225,172500,13.425,13.425,13.425,13.425,300,0
