<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGU.US,5,20250224,153000,12.9,12.92,12.9,12.92,284,0
SGU.US,5,20250224,155000,12.9,12.9,12.845,12.845,200,0
SGU.US,5,20250224,155500,12.9,12.9,12.83,12.845,2615,0
SGU.US,5,20250224,160000,12.83,12.9,12.83,12.845,1649,0
SGU.US,5,20250224,160500,12.9,12.9,12.9,12.9,100,0
SGU.US,5,20250224,161000,12.84,12.84,12.84,12.84,300,0
SGU.US,5,20250224,162000,12.9,12.9,12.9,12.9,100,0
SGU.US,5,20250224,162500,12.835,12.9,12.79,12.9,890,0
SGU.US,5,20250224,163500,12.835,12.9,12.78,12.78,1000,0
SGU.US,5,20250224,165000,12.9,12.9,12.81,12.9,1684,0
SGU.US,5,20250224,165500,12.8369,12.9,12.8,12.8,1600,0
SGU.US,5,20250224,170000,12.8,12.9,12.75,12.8,5041,0
SGU.US,5,20250224,170500,12.76,12.76,12.76,12.76,100,0
SGU.US,5,20250224,171000,12.75,12.78,12.75,12.75,300,0
SGU.US,5,20250224,172000,12.825,12.8375,12.825,12.8375,303,0
SGU.US,5,20250224,180000,12.825,12.825,12.825,12.825,100,0
SGU.US,5,20250224,182000,12.825,12.825,12.825,12.825,100,0
SGU.US,5,20250224,184500,12.85,12.85,12.805,12.85,400,0
SGU.US,5,20250224,185500,12.86,12.86,12.86,12.86,100,0
SGU.US,5,20250224,190000,12.805,12.805,12.805,12.805,100,0
SGU.US,5,20250224,195000,12.81,12.81,12.81,12.81,100,0
SGU.US,5,20250224,200500,12.8,12.85,12.8,12.85,200,0
SGU.US,5,20250224,201000,12.815,12.815,12.815,12.815,100,0
SGU.US,5,20250224,203500,12.8,12.85,12.8,12.81,300,0
SGU.US,5,20250224,204000,12.87,12.87,12.85,12.85,311,0
SGU.US,5,20250224,212000,12.81,12.85,12.81,12.85,732,0
SGU.US,5,20250224,213500,12.86,12.86,12.86,12.86,100,0
SGU.US,5,20250224,215000,12.7816,12.89,12.76,12.89,7684,0
SGU.US,5,20250224,215500,12.89,13.01,12.82,12.9,1079,0
SGU.US,5,20250225,154500,12.9369,12.9369,12.9369,12.9369,100,0
SGU.US,5,20250225,162000,12.81,12.85,12.81,12.85,1054,0
SGU.US,5,20250225,162500,12.85,12.85,12.85,12.85,500,0
SGU.US,5,20250225,164500,12.876,12.876,12.876,12.876,250,0
SGU.US,5,20250225,172000,12.85,12.85,12.85,12.85,400,0
SGU.US,5,20250225,180500,12.96,12.96,12.96,12.96,100,0
SGU.US,5,20250225,181000,12.9254,12.9254,12.9254,12.9254,200,0
SGU.US,5,20250225,182500,12.85,12.92,12.85,12.92,200,0
SGU.US,5,20250225,185500,12.865,12.865,12.865,12.865,300,0
SGU.US,5,20250225,192500,12.845,12.845,12.845,12.845,435,0
SGU.US,5,20250225,193000,12.85,12.87,12.85,12.87,982,0
SGU.US,5,20250225,194500,12.87,13,12.87,13,2234,0
SGU.US,5,20250225,195500,13.06,13.06,13.05,13.05,400,0
SGU.US,5,20250225,200500,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,201000,13.05,13.1,13.05,13.05,2785,0
SGU.US,5,20250225,202000,12.97,13.05,12.97,13.05,200,0
SGU.US,5,20250225,202500,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,203500,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,204000,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,205500,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,210000,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,210500,12.97,12.97,12.97,12.97,100,0
SGU.US,5,20250225,211000,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,211500,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,212000,13.05,13.05,13.05,13.05,100,0
SGU.US,5,20250225,215000,13.04,13.05,12.9797,13.05,400,0
SGU.US,5,20250225,215500,13.05,13.05,13.04,13.05,2468,0
SGU.US,5,20250226,160500,13.0399,13.0399,13.0399,13.0399,1959,0
SGU.US,5,20250226,161500,13,13,13,13,100,0
SGU.US,5,20250226,163000,13,13,13,13,100,0
SGU.US,5,20250226,163500,13.01,13.01,13.01,13.01,100,0
SGU.US,5,20250226,170500,13.005,13.005,13.005,13.005,100,0
SGU.US,5,20250226,174500,12.985,12.985,12.985,12.985,100,0
SGU.US,5,20250226,175000,12.9905,12.9905,12.985,12.985,217,0
SGU.US,5,20250226,180500,13.03,13.03,13.03,13.03,100,0
SGU.US,5,20250226,182000,12.9,12.9,12.9,12.9,165,0
SGU.US,5,20250226,183000,12.9083,12.9083,12.9083,12.9083,371,0
SGU.US,5,20250226,185500,13,13,13,13,100,0
SGU.US,5,20250226,203000,13,13.01,13,13.01,400,0
SGU.US,5,20250226,203500,13.03,13.12,13.007,13.007,1633,0
SGU.US,5,20250226,205000,13.09,13.09,13.09,13.09,100,0
SGU.US,5,20250226,211500,13.055,13.055,13.055,13.055,100,0
SGU.US,5,20250226,212000,13.055,13.055,13.055,13.055,100,0
SGU.US,5,20250226,213000,13.08,13.08,13.08,13.08,100,0
SGU.US,5,20250226,213500,13.025,13.025,13,13,200,0
SGU.US,5,20250226,215500,13,13.1,12.98,13,2596,0
SGU.US,5,20250227,180500,13.025,13.025,13.025,13.025,100,0
SGU.US,5,20250227,182000,13.025,13.025,13.025,13.025,1000,0
SGU.US,5,20250227,183000,13.04,13.04,12.975,12.975,3305,0
SGU.US,5,20250227,193000,12.88,12.88,12.88,12.88,100,0
SGU.US,5,20250227,194000,13.03,13.03,13.03,13.03,200,0
SGU.US,5,20250227,194500,13,13,13,13,200,0
SGU.US,5,20250227,201500,13,13,13,13,900,0
SGU.US,5,20250227,202000,13,13,13,13,2290,0
SGU.US,5,20250227,205500,12.9,13.025,12.9,13.02,300,0
SGU.US,5,20250227,210000,13,13,13,13,100,0
SGU.US,5,20250227,212000,13,13,13,13,440,0
SGU.US,5,20250227,212500,13,13,13,13,740,0
SGU.US,5,20250227,213000,13,13,13,13,1320,0
SGU.US,5,20250227,213500,13.12,13.12,13,13,1882,0
SGU.US,5,20250227,215500,13.03,13.03,13,13,5456,0
SGU.US,5,20250228,153000,13,13,13,13,110,0
SGU.US,5,20250228,153500,12.89,13,12.76,13,1120,0
SGU.US,5,20250228,155000,13,13,13,13,100,0
SGU.US,5,20250228,155500,12.9768,12.9768,12.9768,12.9768,750,0
SGU.US,5,20250228,160000,13,13,13,13,100,0
SGU.US,5,20250228,160500,12.98,12.98,12.98,12.98,100,0
SGU.US,5,20250228,161000,12.98,13.01,12.98,13,700,0
SGU.US,5,20250228,161500,13,13,12.8,12.9884,1411,0
SGU.US,5,20250228,162000,13.07,13.07,13.07,13.07,1200,0
SGU.US,5,20250228,163000,13.0547,13.0547,13.0547,13.0547,500,0
SGU.US,5,20250228,163500,12.965,12.965,12.965,12.965,250,0
SGU.US,5,20250228,165500,13,13,13,13,190,0
SGU.US,5,20250228,170000,13,13,13,13,100,0
SGU.US,5,20250228,170500,13,13.01,13,13.01,2675,0
SGU.US,5,20250228,173500,13.03,13.03,13.03,13.03,184,0
SGU.US,5,20250228,181000,12.96,12.96,12.96,12.96,100,0
SGU.US,5,20250228,181500,12.9579,12.9579,12.9579,12.9579,750,0
SGU.US,5,20250228,183500,12.98,12.99,12.98,12.99,600,0
SGU.US,5,20250228,185500,12.99,12.99,12.99,12.99,100,0
SGU.US,5,20250228,192500,12.99,12.99,12.98,12.99,600,0
SGU.US,5,20250228,194000,12.99,12.99,12.99,12.99,351,0
SGU.US,5,20250228,201500,12.9725,12.9725,12.9725,12.9725,100,0
SGU.US,5,20250228,213500,13.01,13.01,13.01,13.01,400,0
SGU.US,5,20250228,215000,13,13.07,13,13.02,10091,0
SGU.US,5,20250228,215500,13.015,13.025,12.99,13.02,798,0
SGU.US,5,20250303,155500,13.09,13.09,13.09,13.09,100,0
SGU.US,5,20250303,161000,12.8409,12.8409,12.8409,12.8409,100,0
SGU.US,5,20250303,162500,13.0731,13.0731,13.0731,13.0731,100,0
SGU.US,5,20250303,175000,12.995,12.995,12.995,12.995,717,0
SGU.US,5,20250303,180000,13,13.005,13,13.005,500,0
SGU.US,5,20250303,181000,13.09,13.09,13.09,13.09,100,0
SGU.US,5,20250303,183000,13.1,13.105,13.1,13.105,347,0
SGU.US,5,20250303,185000,13.1019,13.1019,13.06,13.06,906,0
SGU.US,5,20250303,190000,13.0765,13.0765,13.0765,13.0765,108,0
SGU.US,5,20250303,190500,13.03,13.03,13.03,13.03,400,0
SGU.US,5,20250303,192000,13.075,13.075,13.075,13.075,100,0
SGU.US,5,20250303,194000,13.12,13.12,13.12,13.12,133,0
SGU.US,5,20250303,194500,13.075,13.075,13.075,13.075,300,0
SGU.US,5,20250303,195500,13.11,13.11,13.1056,13.1056,200,0
SGU.US,5,20250303,200000,13.11,13.11,13.11,13.11,131,0
SGU.US,5,20250303,201500,13.1124,13.1124,13.1124,13.1124,115,0
SGU.US,5,20250303,203000,13.075,13.075,13.05,13.05,200,0
SGU.US,5,20250303,205500,13.03,13.03,12.9401,13.01,800,0
SGU.US,5,20250303,211000,13.09,13.09,13.005,13.005,500,0
SGU.US,5,20250303,211500,13,13,13,13,2100,0
SGU.US,5,20250303,214000,13.09,13.09,13.09,13.09,100,0
SGU.US,5,20250303,215000,13.08,13.08,13.08,13.08,200,0
SGU.US,5,20250303,215500,13.05,13.07,12.97,13.07,1342,0
SGU.US,5,20250304,155500,12.985,12.985,12.985,12.985,200,0
SGU.US,5,20250304,160500,12.99,12.99,12.99,12.99,100,0
SGU.US,5,20250304,161000,12.99,12.99,12.99,12.99,100,0
SGU.US,5,20250304,162500,13.06,13.06,13.06,13.06,100,0
SGU.US,5,20250304,164000,13.02,13.07,13.0052,13.0052,2300,0
SGU.US,5,20250304,170500,13.13,13.13,13.13,13.13,1000,0
SGU.US,5,20250304,172000,13.125,13.125,13.125,13.125,400,0
SGU.US,5,20250304,174000,13.125,13.125,13.125,13.125,100,0
SGU.US,5,20250304,175500,13.125,13.125,13.125,13.125,200,0
SGU.US,5,20250304,180500,13.125,13.125,13.125,13.125,500,0
SGU.US,5,20250304,182500,13.21,13.21,13.21,13.21,100,0
SGU.US,5,20250304,183500,13.07,13.07,13.07,13.07,100,0
SGU.US,5,20250304,184500,13.06,13.06,13.06,13.06,100,0
SGU.US,5,20250304,191000,13.115,13.115,13.115,13.115,100,0
SGU.US,5,20250304,195000,13.12,13.12,13.12,13.12,500,0
SGU.US,5,20250304,210000,13.12,13.17,13.12,13.17,553,0
SGU.US,5,20250304,212500,13.0676,13.0676,13.0676,13.0676,121,0
SGU.US,5,20250304,215000,13.06,13.06,13.06,13.06,100,0
SGU.US,5,20250304,215500,13.09,13.09,13.09,13.09,447,0
SGU.US,5,20250305,161500,13.01,13.01,13.01,13.01,100,0
SGU.US,5,20250305,162000,13.0636,13.0636,13.0636,13.0636,300,0
SGU.US,5,20250305,165000,13.0572,13.0572,13.0572,13.0572,200,0
SGU.US,5,20250305,180000,13.005,13.015,13.005,13.015,4282,0
SGU.US,5,20250305,181000,12.985,12.985,12.985,12.985,100,0
SGU.US,5,20250305,182500,12.99,12.99,12.99,12.99,900,0
SGU.US,5,20250305,190500,13.015,13.015,13.015,13.015,100,0
SGU.US,5,20250305,191500,13.03,13.03,13.03,13.03,100,0
SGU.US,5,20250305,200500,12.9835,13.05,12.9835,13.05,4100,0
SGU.US,5,20250305,202000,13.0016,13.17,13.0007,13.17,1913,0
SGU.US,5,20250305,202500,13.0017,13.085,13.0017,13.085,323,0
