<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKE.US,5,20250224,153000,10.07,10.07,9.98,10.0178,1000,0
SKE.US,5,20250224,153500,10.05,10.1,10.01,10.07,2517,0
SKE.US,5,20250224,154000,10.04,10.14,10.04,10.1,5044,0
SKE.US,5,20250224,154500,10.11,10.2,10.1,10.15,26380,0
SKE.US,5,20250224,155000,10.14,10.16,10.08,10.08,950,0
SKE.US,5,20250224,155500,10.045,10.045,9.98,9.99,1602,0
SKE.US,5,20250224,160000,9.99,10.01,9.97,10.01,3846,0
SKE.US,5,20250224,160500,10,10.025,9.96,10.025,2259,0
SKE.US,5,20250224,161000,10.02,10.07,9.995,10.07,2616,0
SKE.US,5,20250224,161500,10.055,10.055,10.02,10.03,1801,0
SKE.US,5,20250224,162000,10.02,10.02,10.005,10.02,4802,0
SKE.US,5,20250224,162500,10.05,10.05,10.02,10.03,1600,0
SKE.US,5,20250224,163000,10.02,10.02,10.0033,10.01,3014,0
SKE.US,5,20250224,163500,10.015,10.03,9.995,10.02,1200,0
SKE.US,5,20250224,164000,10.03,10.04,10.03,10.04,600,0
SKE.US,5,20250224,164500,10.045,10.045,10.045,10.045,200,0
SKE.US,5,20250224,165000,10.0307,10.04,10.0307,10.04,1200,0
SKE.US,5,20250224,165500,10.04,10.04,10.02,10.02,800,0
SKE.US,5,20250224,170000,10.08,10.1,10.07,10.08,3624,0
SKE.US,5,20250224,170500,10.07,10.1,10.07,10.1,200,0
SKE.US,5,20250224,171000,10.09,10.09,10.09,10.09,200,0
SKE.US,5,20250224,171500,10.11,10.11,10.1,10.1,1000,0
SKE.US,5,20250224,172000,10.09,10.11,10.09,10.1099,1000,0
SKE.US,5,20250224,172500,10.11,10.12,10.11,10.11,1197,0
SKE.US,5,20250224,173000,10.12,10.13,10.11,10.13,900,0
SKE.US,5,20250224,173500,10.1399,10.1399,10.12,10.1372,1187,0
SKE.US,5,20250224,174000,10.13,10.14,10.13,10.13,2027,0
SKE.US,5,20250224,174500,10.14,10.15,10.14,10.14,608,0
SKE.US,5,20250224,175000,10.14,10.15,10.14,10.15,400,0
SKE.US,5,20250224,175500,10.17,10.17,10.17,10.17,200,0
SKE.US,5,20250224,180000,10.18,10.18,10.18,10.18,100,0
SKE.US,5,20250224,180500,10.17,10.17,10.14,10.15,1105,0
SKE.US,5,20250224,181000,10.146,10.2,10.146,10.2,7591,0
SKE.US,5,20250224,181500,10.2,10.23,10.2,10.22,6268,0
SKE.US,5,20250224,182000,10.22,10.23,10.22,10.23,444,0
SKE.US,5,20250224,182500,10.235,10.2568,10.235,10.2568,1000,0
SKE.US,5,20250224,183000,10.25,10.28,10.24,10.26,3875,0
SKE.US,5,20250224,183500,10.25,10.26,10.22,10.2207,4491,0
SKE.US,5,20250224,184000,10.2247,10.225,10.2247,10.225,579,0
SKE.US,5,20250224,184500,10.23,10.24,10.23,10.23,835,0
SKE.US,5,20250224,185000,10.22,10.23,10.22,10.22,1500,0
SKE.US,5,20250224,185500,10.2101,10.2101,10.2,10.2,989,0
SKE.US,5,20250224,190000,10.19,10.21,10.19,10.21,1338,0
SKE.US,5,20250224,190500,10.2,10.22,10.2,10.21,17844,0
SKE.US,5,20250224,191000,10.1707,10.19,10.1707,10.18,8600,0
SKE.US,5,20250224,191500,10.17,10.17,10.13,10.13,2100,0
SKE.US,5,20250224,192000,10.135,10.135,10.13,10.13,400,0
SKE.US,5,20250224,192500,10.12,10.15,10.12,10.13,2618,0
SKE.US,5,20250224,193000,10.12,10.12,10.11,10.11,200,0
SKE.US,5,20250224,193500,10.13,10.17,10.13,10.17,2163,0
SKE.US,5,20250224,194000,10.17,10.17,10.15,10.15,5093,0
SKE.US,5,20250224,194500,10.16,10.195,10.16,10.19,1764,0
SKE.US,5,20250224,195000,10.19,10.21,10.19,10.21,1749,0
SKE.US,5,20250224,195500,10.21,10.21,10.21,10.21,300,0
SKE.US,5,20250224,200000,10.23,10.26,10.23,10.26,681,0
SKE.US,5,20250224,200500,10.27,10.27,10.26,10.26,607,0
SKE.US,5,20250224,201000,10.25,10.26,10.23,10.23,1974,0
SKE.US,5,20250224,201500,10.23,10.23,10.2,10.2,599,0
SKE.US,5,20250224,202000,10.21,10.23,10.21,10.22,1295,0
SKE.US,5,20250224,202500,10.22,10.22,10.2,10.2,499,0
SKE.US,5,20250224,203000,10.19,10.215,10.19,10.215,2114,0
SKE.US,5,20250224,203500,10.21,10.21,10.19,10.19,801,0
SKE.US,5,20250224,204000,10.2,10.2,10.19,10.2,1500,0
SKE.US,5,20250224,204500,10.19,10.21,10.19,10.21,1300,0
SKE.US,5,20250224,205000,10.2013,10.21,10.2,10.2,1449,0
SKE.US,5,20250224,205500,10.2,10.2,10.18,10.18,600,0
SKE.US,5,20250224,210000,10.18,10.18,10.16,10.16,300,0
SKE.US,5,20250224,210500,10.1678,10.1678,10.15,10.15,855,0
SKE.US,5,20250224,211000,10.15,10.19,10.15,10.19,1704,0
SKE.US,5,20250224,211500,10.18,10.18,10.16,10.16,2411,0
SKE.US,5,20250224,212000,10.16,10.175,10.15,10.175,2753,0
SKE.US,5,20250224,212500,10.18,10.18,10.17,10.17,2200,0
SKE.US,5,20250224,213000,10.175,10.19,10.175,10.18,2401,0
SKE.US,5,20250224,213500,10.18,10.18,10.155,10.18,5656,0
SKE.US,5,20250224,214000,10.18,10.18,10.145,10.165,4381,0
SKE.US,5,20250224,214500,10.17,10.175,10.165,10.17,5513,0
SKE.US,5,20250224,215000,10.16,10.16,10.155,10.16,1434,0
SKE.US,5,20250224,215500,10.15,10.15,10.13,10.15,24178,0
SKE.US,5,20250225,153000,10.06,10.08,10.06,10.08,207,0
SKE.US,5,20250225,153500,10.1321,10.1321,10.08,10.09,748,0
SKE.US,5,20250225,154000,10.1,10.11,10.095,10.095,300,0
SKE.US,5,20250225,154500,10.08,10.09,9.99,9.995,3386,0
SKE.US,5,20250225,155000,10.01,10.0151,9.98,9.98,2010,0
SKE.US,5,20250225,155500,10,10.01,10,10,450,0
SKE.US,5,20250225,160000,10.01,10.0165,9.97,9.97,1300,0
SKE.US,5,20250225,160500,9.9713,9.9713,9.95,9.95,999,0
SKE.US,5,20250225,161000,9.97,9.975,9.97,9.971,900,0
SKE.US,5,20250225,161500,9.98,9.98,9.91,9.9165,3196,0
SKE.US,5,20250225,162000,9.88,9.89,9.85,9.85,3826,0
SKE.US,5,20250225,162500,9.84,9.89,9.84,9.85,4311,0
SKE.US,5,20250225,163000,9.86,9.86,9.79,9.81,7019,0
SKE.US,5,20250225,163500,9.805,9.805,9.795,9.795,900,0
SKE.US,5,20250225,164000,9.78,9.79,9.77,9.79,700,0
SKE.US,5,20250225,164500,9.79,9.8,9.79,9.79,854,0
SKE.US,5,20250225,165000,9.82,9.86,9.82,9.85,4991,0
SKE.US,5,20250225,165500,9.8499,9.85,9.81,9.81,7142,0
SKE.US,5,20250225,170000,9.81,9.8107,9.79,9.8107,11808,0
SKE.US,5,20250225,170500,9.81,9.81,9.78,9.79,2508,0
SKE.US,5,20250225,171000,9.8,9.85,9.7952,9.85,15831,0
SKE.US,5,20250225,171500,9.855,9.89,9.855,9.89,2845,0
SKE.US,5,20250225,172000,9.89,9.89,9.86,9.86,2501,0
SKE.US,5,20250225,172500,9.86,9.86,9.81,9.81,4502,0
SKE.US,5,20250225,173000,9.8016,9.84,9.79,9.83,5783,0
SKE.US,5,20250225,173500,9.8301,9.8499,9.8301,9.8499,653,0
SKE.US,5,20250225,174000,9.86,9.87,9.84,9.84,4814,0
SKE.US,5,20250225,174500,9.84,9.845,9.83,9.84,2356,0
SKE.US,5,20250225,175000,9.845,9.86,9.845,9.86,375,0
SKE.US,5,20250225,175500,9.86,9.89,9.86,9.88,1179,0
SKE.US,5,20250225,180000,9.87,9.88,9.87,9.88,300,0
SKE.US,5,20250225,180500,9.87,9.87,9.87,9.87,449,0
SKE.US,5,20250225,181000,9.86,9.86,9.84,9.84,1513,0
SKE.US,5,20250225,181500,9.84,9.85,9.84,9.84,700,0
SKE.US,5,20250225,182000,9.84,9.86,9.84,9.86,1126,0
SKE.US,5,20250225,182500,9.865,9.88,9.86,9.86,1311,0
SKE.US,5,20250225,183000,9.87,9.89,9.87,9.89,557,0
SKE.US,5,20250225,183500,9.899,9.899,9.88,9.88,3944,0
SKE.US,5,20250225,184000,9.89,9.89,9.88,9.88,500,0
SKE.US,5,20250225,185000,9.88,9.895,9.88,9.89,2399,0
SKE.US,5,20250225,185500,9.89,9.96,9.89,9.96,6815,0
SKE.US,5,20250225,190000,9.95,9.97,9.95,9.97,1883,0
SKE.US,5,20250225,190500,9.98,9.99,9.98,9.99,400,0
SKE.US,5,20250225,191000,9.985,9.99,9.96,9.97,1014,0
SKE.US,5,20250225,191500,9.955,9.955,9.94,9.94,1100,0
SKE.US,5,20250225,192000,9.94,9.95,9.94,9.95,765,0
SKE.US,5,20250225,192500,9.94,9.94,9.92,9.92,900,0
SKE.US,5,20250225,193000,9.92,9.93,9.91,9.93,6543,0
SKE.US,5,20250225,193500,9.93,9.98,9.93,9.98,1667,0
SKE.US,5,20250225,194000,9.99,10,9.98,9.985,12893,0
SKE.US,5,20250225,194500,9.985,9.99,9.98,9.985,1348,0
SKE.US,5,20250225,195000,9.99,10.005,9.985,10,3231,0
SKE.US,5,20250225,195500,10,10.005,9.97,9.99,8016,0
SKE.US,5,20250225,200000,9.99,10,9.9814,10,950,0
SKE.US,5,20250225,200500,10,10.005,9.97,9.98,3914,0
SKE.US,5,20250225,201000,9.97,9.97,9.95,9.95,900,0
SKE.US,5,20250225,201500,9.94,9.95,9.94,9.95,600,0
SKE.US,5,20250225,202000,9.94,9.94,9.93,9.94,2039,0
SKE.US,5,20250225,202500,9.935,9.94,9.92,9.94,1700,0
SKE.US,5,20250225,203000,9.93,9.965,9.93,9.965,920,0
SKE.US,5,20250225,203500,9.98,9.99,9.97,9.99,1926,0
SKE.US,5,20250225,204000,9.99,10.02,9.99,10.02,1200,0
SKE.US,5,20250225,204500,10.01,10.01,9.98,9.985,1409,0
SKE.US,5,20250225,205000,10,10,9.98,9.99,2400,0
SKE.US,5,20250225,205500,9.99,9.99,9.97,9.97,1063,0
SKE.US,5,20250225,210000,9.975,9.975,9.965,9.97,400,0
SKE.US,5,20250225,210500,9.96,9.97,9.96,9.965,1100,0
SKE.US,5,20250225,211000,9.97,9.975,9.96,9.975,3421,0
SKE.US,5,20250225,211500,9.97,9.98,9.965,9.98,4024,0
SKE.US,5,20250225,212000,9.98,9.995,9.98,9.995,1010,0
SKE.US,5,20250225,212500,10,10.0055,9.99,9.99,1310,0
SKE.US,5,20250225,213000,9.985,9.99,9.985,9.99,200,0
SKE.US,5,20250225,213500,9.99,9.99,9.95,9.955,4490,0
SKE.US,5,20250225,214000,9.96,9.965,9.95,9.96,2516,0
SKE.US,5,20250225,214500,9.955,9.96,9.945,9.96,1252,0
SKE.US,5,20250225,215000,9.97,9.97,9.955,9.965,4351,0
SKE.US,5,20250225,215500,9.965,9.97,9.93,9.94,19171,0
SKE.US,5,20250226,153000,9.94,9.998,9.94,9.99,2114,0
SKE.US,5,20250226,153500,10.01,10.02,9.995,9.995,2350,0
SKE.US,5,20250226,154000,9.96,9.985,9.95,9.97,2470,0
SKE.US,5,20250226,154500,9.99,10.03,9.98,10.01,7328,0
SKE.US,5,20250226,155000,10.06,10.11,10.06,10.11,1949,0
SKE.US,5,20250226,155500,10.11,10.13,10.0905,10.0905,600,0
SKE.US,5,20250226,160000,10.09,10.09,10.05,10.08,300,0
SKE.US,5,20250226,160500,10.09,10.15,10.09,10.14,599,0
SKE.US,5,20250226,161000,10.185,10.2,10.18,10.18,1300,0
