<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKLZ.US,5,20250224,153000,6.3,6.3,6.27,6.3,2841,0
SKLZ.US,5,20250224,153500,6.23,6.28,6.23,6.28,200,0
SKLZ.US,5,20250224,154500,6.26,6.2783,6.26,6.2783,476,0
SKLZ.US,5,20250224,155000,6.24,6.24,6.2,6.23,1305,0
SKLZ.US,5,20250224,160000,6.2,6.2,6.12,6.12,1850,0
SKLZ.US,5,20250224,160500,6.12,6.12,6.12,6.12,100,0
SKLZ.US,5,20250224,161000,6.16,6.19,6.1233,6.19,2950,0
SKLZ.US,5,20250224,161500,6.25,6.25,6.25,6.25,100,0
SKLZ.US,5,20250224,162000,6.22,6.22,6.22,6.22,300,0
SKLZ.US,5,20250224,162500,6.22,6.22,6.21,6.22,2278,0
SKLZ.US,5,20250224,163000,6.21,6.25,6.21,6.25,869,0
SKLZ.US,5,20250224,163500,6.25,6.25,6.25,6.25,210,0
SKLZ.US,5,20250224,164000,6.24,6.245,6.24,6.24,866,0
SKLZ.US,5,20250224,165500,6.25,6.25,6.23,6.23,400,0
SKLZ.US,5,20250224,170500,6.25,6.25,6.25,6.25,100,0
SKLZ.US,5,20250224,171000,6.2547,6.2547,6.2547,6.2547,150,0
SKLZ.US,5,20250224,171500,6.28,6.28,6.28,6.28,100,0
SKLZ.US,5,20250224,172000,6.29,6.29,6.23,6.23,5139,0
SKLZ.US,5,20250224,174000,6.2425,6.2425,6.2425,6.2425,145,0
SKLZ.US,5,20250224,174500,6.22,6.22,6.22,6.22,1681,0
SKLZ.US,5,20250224,175000,6.25,6.25,6.2,6.2,430,0
SKLZ.US,5,20250224,175500,6.2,6.2,6.16,6.1601,1082,0
SKLZ.US,5,20250224,180000,6.16,6.16,6.15,6.15,1715,0
SKLZ.US,5,20250224,180500,6.15,6.15,6.14,6.14,770,0
SKLZ.US,5,20250224,181500,6.17,6.17,6.17,6.17,100,0
SKLZ.US,5,20250224,183000,6.16,6.16,6.16,6.16,741,0
SKLZ.US,5,20250224,185000,6.16,6.175,6.16,6.175,290,0
SKLZ.US,5,20250224,191000,6.1603,6.1603,6.1603,6.1603,260,0
SKLZ.US,5,20250224,191500,6.2,6.2,6.2,6.2,300,0
SKLZ.US,5,20250224,192500,6.2,6.2,6.2,6.2,200,0
SKLZ.US,5,20250224,193000,6.21,6.21,6.21,6.21,304,0
SKLZ.US,5,20250224,195000,6.24,6.24,6.24,6.24,200,0
SKLZ.US,5,20250224,200500,6.22,6.22,6.22,6.22,400,0
SKLZ.US,5,20250224,202000,6.21,6.21,6.21,6.21,200,0
SKLZ.US,5,20250224,203500,6.22,6.22,6.22,6.22,100,0
SKLZ.US,5,20250224,205000,6.22,6.23,6.22,6.23,1635,0
SKLZ.US,5,20250224,205500,6.22,6.2349,6.2,6.2,4014,0
SKLZ.US,5,20250224,210500,6.17,6.17,6.17,6.17,210,0
SKLZ.US,5,20250224,212000,6.18,6.18,6.18,6.18,300,0
SKLZ.US,5,20250224,212500,6.18,6.18,6.17,6.17,4095,0
SKLZ.US,5,20250224,213000,6.165,6.17,6.16,6.17,1355,0
SKLZ.US,5,20250224,213500,6.16,6.16,6.16,6.16,100,0
SKLZ.US,5,20250224,214000,6.1601,6.1601,6.1601,6.1601,150,0
SKLZ.US,5,20250224,214500,6.15,6.15,6.14,6.14,2325,0
SKLZ.US,5,20250224,215000,6.145,6.145,6.145,6.145,1621,0
SKLZ.US,5,20250224,215500,6.13,6.15,6.1,6.11,3841,0
SKLZ.US,5,20250225,153000,6.1,6.1,6.1,6.1,200,0
SKLZ.US,5,20250225,153500,6.11,6.18,6.11,6.17,665,0
SKLZ.US,5,20250225,154000,6.15,6.15,6.07,6.07,3811,0
SKLZ.US,5,20250225,154500,6.043,6.09,6,6,2841,0
SKLZ.US,5,20250225,155500,6.0136,6.0136,6.01,6.01,400,0
SKLZ.US,5,20250225,160000,6,6,5.96,5.97,3722,0
SKLZ.US,5,20250225,160500,5.8918,5.92,5.88,5.88,2153,0
SKLZ.US,5,20250225,161000,5.8725,5.8725,5.8,5.82,1931,0
SKLZ.US,5,20250225,161500,5.87,5.87,5.87,5.87,100,0
SKLZ.US,5,20250225,162000,5.84,5.84,5.84,5.84,173,0
SKLZ.US,5,20250225,162500,5.835,5.835,5.835,5.835,260,0
SKLZ.US,5,20250225,163000,5.81,5.83,5.81,5.83,3970,0
SKLZ.US,5,20250225,163500,5.83,5.86,5.83,5.83,496,0
SKLZ.US,5,20250225,164000,5.82,5.82,5.82,5.82,233,0
SKLZ.US,5,20250225,164500,5.85,5.85,5.81,5.81,1100,0
SKLZ.US,5,20250225,165000,5.84,5.84,5.8133,5.8133,1358,0
SKLZ.US,5,20250225,170000,5.76,5.76,5.76,5.76,688,0
SKLZ.US,5,20250225,171000,5.72,5.73,5.72,5.72,703,0
SKLZ.US,5,20250225,171500,5.71,5.71,5.71,5.71,200,0
SKLZ.US,5,20250225,173000,5.71,5.71,5.68,5.68,2050,0
SKLZ.US,5,20250225,173500,5.68,5.7,5.66,5.66,688,0
SKLZ.US,5,20250225,174000,5.69,5.69,5.69,5.69,132,0
SKLZ.US,5,20250225,174500,5.69,5.7,5.69,5.7,1300,0
SKLZ.US,5,20250225,175000,5.7,5.7,5.68,5.68,1606,0
SKLZ.US,5,20250225,175500,5.69,5.7,5.67,5.7,2304,0
SKLZ.US,5,20250225,180500,5.7,5.72,5.69,5.71,747,0
SKLZ.US,5,20250225,182000,5.69,5.69,5.62,5.655,3098,0
SKLZ.US,5,20250225,183000,5.65,5.6814,5.65,5.65,300,0
SKLZ.US,5,20250225,184500,5.69,5.71,5.69,5.71,380,0
SKLZ.US,5,20250225,185000,5.75,5.75,5.75,5.75,200,0
SKLZ.US,5,20250225,190000,5.75,5.75,5.75,5.75,100,0
SKLZ.US,5,20250225,191000,5.72,5.72,5.72,5.72,300,0
SKLZ.US,5,20250225,192500,5.71,5.71,5.71,5.71,150,0
SKLZ.US,5,20250225,193000,5.68,5.68,5.66,5.66,304,0
SKLZ.US,5,20250225,193500,5.64,5.64,5.64,5.64,100,0
SKLZ.US,5,20250225,194000,5.6201,5.6201,5.6201,5.6201,450,0
SKLZ.US,5,20250225,200000,5.625,5.625,5.625,5.625,100,0
SKLZ.US,5,20250225,201000,5.64,5.64,5.63,5.63,200,0
SKLZ.US,5,20250225,201500,5.6069,5.6069,5.6069,5.6069,120,0
SKLZ.US,5,20250225,203000,5.62,5.62,5.62,5.62,200,0
SKLZ.US,5,20250225,203500,5.6,5.6,5.6,5.6,200,0
SKLZ.US,5,20250225,204000,5.62,5.64,5.62,5.64,900,0
SKLZ.US,5,20250225,204500,5.63,5.66,5.63,5.66,591,0
SKLZ.US,5,20250225,205000,5.67,5.7,5.6518,5.6518,666,0
SKLZ.US,5,20250225,210500,5.65,5.68,5.65,5.68,275,0
SKLZ.US,5,20250225,211000,5.64,5.64,5.58,5.58,1737,0
SKLZ.US,5,20250225,211500,5.63,5.63,5.63,5.63,400,0
SKLZ.US,5,20250225,212000,5.6,5.6,5.6,5.6,451,0
SKLZ.US,5,20250225,212500,5.59,5.59,5.59,5.59,100,0
SKLZ.US,5,20250225,213000,5.62,5.62,5.62,5.62,100,0
SKLZ.US,5,20250225,213500,5.62,5.66,5.62,5.63,3000,0
SKLZ.US,5,20250225,214000,5.62,5.64,5.62,5.64,263,0
SKLZ.US,5,20250225,215000,5.63,5.635,5.6,5.6,789,0
SKLZ.US,5,20250225,215500,5.615,5.615,5.55,5.55,10024,0
SKLZ.US,5,20250226,155000,5.58,5.59,5.5538,5.58,1087,0
SKLZ.US,5,20250226,160000,5.5701,5.5705,5.5701,5.5705,459,0
SKLZ.US,5,20250226,160500,5.61,5.61,5.608,5.608,225,0
SKLZ.US,5,20250226,161000,5.63,5.655,5.63,5.655,1500,0
SKLZ.US,5,20250226,161500,5.64,5.69,5.63,5.69,689,0
SKLZ.US,5,20250226,162500,5.69,5.71,5.69,5.7,2009,0
SKLZ.US,5,20250226,163000,5.705,5.705,5.705,5.705,100,0
SKLZ.US,5,20250226,163500,5.71,5.71,5.71,5.71,100,0
SKLZ.US,5,20250226,164000,5.69,5.69,5.68,5.68,568,0
SKLZ.US,5,20250226,164500,5.69,5.75,5.69,5.75,2382,0
SKLZ.US,5,20250226,165000,5.75,5.75,5.73,5.73,200,0
SKLZ.US,5,20250226,171500,5.74,5.755,5.74,5.755,1302,0
SKLZ.US,5,20250226,172000,5.76,5.78,5.76,5.78,1135,0
SKLZ.US,5,20250226,173000,5.76,5.76,5.76,5.76,859,0
SKLZ.US,5,20250226,173500,5.78,5.78,5.78,5.78,200,0
SKLZ.US,5,20250226,174000,5.79,5.79,5.79,5.79,208,0
SKLZ.US,5,20250226,175500,5.77,5.77,5.77,5.77,606,0
SKLZ.US,5,20250226,180000,5.79,5.79,5.79,5.79,100,0
SKLZ.US,5,20250226,180500,5.79,5.79,5.79,5.79,612,0
SKLZ.US,5,20250226,181000,5.7981,5.7981,5.7981,5.7981,862,0
SKLZ.US,5,20250226,182000,5.7816,5.7816,5.7816,5.7816,150,0
SKLZ.US,5,20250226,182500,5.79,5.7974,5.79,5.795,600,0
SKLZ.US,5,20250226,183500,5.78,5.79,5.78,5.79,1280,0
SKLZ.US,5,20250226,184000,5.795,5.795,5.7908,5.7908,230,0
SKLZ.US,5,20250226,185000,5.805,5.805,5.8,5.8,623,0
SKLZ.US,5,20250226,185500,5.815,5.815,5.815,5.815,100,0
SKLZ.US,5,20250226,190000,5.8,5.8,5.77,5.77,1643,0
SKLZ.US,5,20250226,190500,5.76,5.762,5.73,5.73,1012,0
SKLZ.US,5,20250226,193000,5.76,5.76,5.7516,5.7516,200,0
SKLZ.US,5,20250226,194000,5.75,5.76,5.73,5.76,3541,0
SKLZ.US,5,20250226,194500,5.76,5.773,5.75,5.76,4700,0
SKLZ.US,5,20250226,195000,5.755,5.755,5.74,5.745,563,0
SKLZ.US,5,20250226,195500,5.74,5.74,5.685,5.685,1281,0
SKLZ.US,5,20250226,200000,5.685,5.7,5.685,5.7,329,0
SKLZ.US,5,20250226,200500,5.7,5.7,5.7,5.7,502,0
SKLZ.US,5,20250226,201500,5.7,5.7,5.7,5.7,200,0
SKLZ.US,5,20250226,202500,5.7,5.7,5.7,5.7,326,0
SKLZ.US,5,20250226,203000,5.7,5.7,5.7,5.7,300,0
SKLZ.US,5,20250226,203500,5.69,5.6983,5.69,5.6983,354,0
SKLZ.US,5,20250226,204000,5.69,5.69,5.69,5.69,925,0
SKLZ.US,5,20250226,205000,5.69,5.69,5.69,5.69,500,0
SKLZ.US,5,20250226,205500,5.68,5.68,5.68,5.68,1732,0
