<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNDA.US,5,20250224,153000,24.1,24.1,24.1,24.1,152,0
SNDA.US,5,20250224,154000,24.805,24.805,24.805,24.805,200,0
SNDA.US,5,20250224,161500,24.82,24.82,24.49,24.49,326,0
SNDA.US,5,20250224,164000,24.61,24.7105,24.61,24.7105,234,0
SNDA.US,5,20250224,170500,24.77,24.88,24.77,24.84,300,0
SNDA.US,5,20250224,171000,25.1,25.1,25.1,25.1,104,0
SNDA.US,5,20250224,171500,25.08,25.09,24.91,24.91,400,0
SNDA.US,5,20250224,172000,25.025,25.025,25.025,25.025,100,0
SNDA.US,5,20250224,172500,25.35,25.35,25.31,25.31,400,0
SNDA.US,5,20250224,180500,25.12,25.12,25.12,25.12,200,0
SNDA.US,5,20250224,182500,25.11,25.11,25.11,25.11,100,0
SNDA.US,5,20250224,183000,25.23,25.26,25.22,25.22,833,0
SNDA.US,5,20250224,183500,25.46,25.46,25.42,25.42,500,0
SNDA.US,5,20250224,184000,25.5,25.56,25.465,25.56,971,0
SNDA.US,5,20250224,194000,25.48,25.48,25.45,25.45,203,0
SNDA.US,5,20250224,194500,25.42,25.46,25.19,25.19,1337,0
SNDA.US,5,20250224,202500,25.11,25.11,25.1,25.1,628,0
SNDA.US,5,20250224,204500,24.98,24.98,24.98,24.98,215,0
SNDA.US,5,20250224,205000,25.12,25.12,25.12,25.12,100,0
SNDA.US,5,20250224,205500,24.91,24.91,24.91,24.91,100,0
SNDA.US,5,20250224,210500,24.965,25.04,24.965,25.02,802,0
SNDA.US,5,20250224,215000,24.97,25.03,24.8,24.845,875,0
SNDA.US,5,20250224,215500,24.92,24.92,24.75,24.75,15764,0
SNDA.US,5,20250225,153500,24.93,25.06,24.93,25.05,600,0
SNDA.US,5,20250225,154000,24.16,24.16,24.16,24.16,100,0
SNDA.US,5,20250225,154500,24.79,24.79,24.79,24.79,100,0
SNDA.US,5,20250225,155000,24.81,24.81,24.81,24.81,100,0
SNDA.US,5,20250225,155500,24.99,24.99,24.99,24.99,100,0
SNDA.US,5,20250225,160000,24.875,24.875,24.875,24.875,100,0
SNDA.US,5,20250225,160500,25.11,25.11,25.11,25.11,200,0
SNDA.US,5,20250225,161500,25.06,25.06,25.06,25.06,100,0
SNDA.US,5,20250225,162000,25.02,25.02,24.935,24.935,200,0
SNDA.US,5,20250225,162500,24.75,25.1,24.75,24.99,2099,0
SNDA.US,5,20250225,163000,24.91,24.91,24.91,24.91,300,0
SNDA.US,5,20250225,164000,25.31,25.31,25.31,25.31,100,0
SNDA.US,5,20250225,164500,25.235,25.235,25.082506,25.082506,250,0
SNDA.US,5,20250225,165000,25.0525,25.11,25.0525,25.11,200,0
SNDA.US,5,20250225,170000,25.05,25.08,25.05,25.08,200,0
SNDA.US,5,20250225,170500,25,25,24.9601,24.9601,600,0
SNDA.US,5,20250225,171000,25.17,25.17,25.17,25.17,600,0
SNDA.US,5,20250225,171500,24.99,24.99,24.99,24.99,100,0
SNDA.US,5,20250225,173500,24.83,24.83,24.83,24.83,200,0
SNDA.US,5,20250225,174000,24.85,24.85,24.62,24.69,500,0
SNDA.US,5,20250225,174500,24.69,24.86,24.69,24.86,687,0
SNDA.US,5,20250225,175000,25.02,25.02,25.02,25.02,100,0
SNDA.US,5,20250225,175500,25.19,25.19,25.02,25.02,408,0
SNDA.US,5,20250225,180000,25,25,24.965,24.965,995,0
SNDA.US,5,20250225,182000,24.77,24.77,24.46,24.615,730,0
SNDA.US,5,20250225,182500,24.615,24.615,24.615,24.615,100,0
SNDA.US,5,20250225,183500,24.665,24.83,24.665,24.82,700,0
SNDA.US,5,20250225,184000,24.665,24.665,24.665,24.665,100,0
SNDA.US,5,20250225,184500,24.815,24.815,24.665,24.665,200,0
SNDA.US,5,20250225,185000,24.84,24.91,24.84,24.91,284,0
SNDA.US,5,20250225,185500,24.9942,24.9942,24.965,24.965,700,0
SNDA.US,5,20250225,190500,25.07,25.1,25.07,25.1,400,0
SNDA.US,5,20250225,191000,25.11,25.11,25.11,25.11,100,0
SNDA.US,5,20250225,192500,24.9975,24.9975,24.9975,24.9975,100,0
SNDA.US,5,20250225,193500,25.065,25.065,24.99,24.99,200,0
SNDA.US,5,20250225,195500,24.89,24.89,24.89,24.89,100,0
SNDA.US,5,20250225,200000,25.2,25.2,24.91,24.92,900,0
SNDA.US,5,20250225,200500,24.95,24.95,24.8701,24.8701,1200,0
SNDA.US,5,20250225,201000,24.87,24.87,24.87,24.87,100,0
SNDA.US,5,20250225,201500,24.86,24.86,24.85,24.85,200,0
SNDA.US,5,20250225,202000,24.59,24.78,24.59,24.78,289,0
SNDA.US,5,20250225,202500,24.775,24.89,24.775,24.825,800,0
SNDA.US,5,20250225,203000,24.84,24.84,24.84,24.84,100,0
SNDA.US,5,20250225,205000,24.95,25,24.95,25,552,0
SNDA.US,5,20250225,205500,25.05,25.11,24.98,25.11,1173,0
SNDA.US,5,20250225,210000,24.95,25.02,24.95,25.02,200,0
SNDA.US,5,20250225,210500,24.96,25.08,24.95,25.065,962,0
SNDA.US,5,20250225,211000,25.02,25.02,25.02,25.02,200,0
SNDA.US,5,20250225,211500,25.035,25.035,25.035,25.035,100,0
SNDA.US,5,20250225,212000,24.96,24.96,24.96,24.96,100,0
SNDA.US,5,20250225,212500,24.91,25.08,24.91,25.08,745,0
SNDA.US,5,20250225,213000,25.06,25.06,25.06,25.06,100,0
SNDA.US,5,20250225,213500,24.96,25.13,24.96,25.045,2396,0
SNDA.US,5,20250225,214000,25.055,25.055,25.03,25.03,633,0
SNDA.US,5,20250225,214500,25.03,25.035,25.03,25.035,379,0
SNDA.US,5,20250225,215000,24.99,25.05,24.95,25.035,2778,0
SNDA.US,5,20250225,215500,25.005,25.04,24.96,24.99,7401,0
SNDA.US,5,20250226,160500,24.65,24.98,24.65,24.9691,600,0
SNDA.US,5,20250226,162500,24.93,25.03,24.93,24.9675,300,0
SNDA.US,5,20250226,163000,24.99,25,24.8,24.8,1196,0
SNDA.US,5,20250226,163500,25.01,25.32,25.0075,25.09,525,0
SNDA.US,5,20250226,164000,24.98,24.98,24.96,24.96,200,0
SNDA.US,5,20250226,164500,25.01,25.01,25.01,25.01,100,0
SNDA.US,5,20250226,165000,24.86,24.995,24.86,24.995,208,0
SNDA.US,5,20250226,173000,24.99,25.195,24.92,25.085,1151,0
SNDA.US,5,20250226,173500,25.11,25.11,24.93,24.975,1582,0
SNDA.US,5,20250226,180500,24.99,24.99,24.99,24.99,100,0
SNDA.US,5,20250226,182500,24.8575,24.8575,24.835,24.835,600,0
SNDA.US,5,20250226,183000,24.78,24.78,24.62,24.705,400,0
SNDA.US,5,20250226,183500,24.73,24.73,24.62,24.62,304,0
SNDA.US,5,20250226,185500,24.46,24.46,24.46,24.46,200,0
SNDA.US,5,20250226,190000,24.485,24.485,24.485,24.485,100,0
SNDA.US,5,20250226,191000,24.39,24.39,24.39,24.39,100,0
SNDA.US,5,20250226,191500,24.39,24.39,24.39,24.39,100,0
SNDA.US,5,20250226,193500,24.38,24.49,24.38,24.46,500,0
SNDA.US,5,20250226,194000,24.53,24.56,24.46,24.46,1637,0
SNDA.US,5,20250226,201000,24.525,24.525,24.37,24.415,723,0
SNDA.US,5,20250226,204000,24.515,24.515,24.515,24.515,100,0
SNDA.US,5,20250226,205000,24.505,24.505,24.505,24.505,100,0
SNDA.US,5,20250226,211000,24.485,24.485,24.485,24.485,100,0
SNDA.US,5,20250226,211500,24.595,24.595,24.595,24.595,100,0
SNDA.US,5,20250226,212000,24.595,24.595,24.595,24.595,100,0
SNDA.US,5,20250226,212500,24.59,24.59,24.55,24.55,200,0
SNDA.US,5,20250226,213500,24.545,24.58,24.545,24.555,300,0
SNDA.US,5,20250226,215500,24.52,24.64,24.52,24.58,3529,0
SNDA.US,5,20250227,153000,24.11,24.11,24.11,24.11,100,0
SNDA.US,5,20250227,160000,24.485,24.485,24.32,24.32,200,0
SNDA.US,5,20250227,160500,24.05,24.05,24.05,24.05,100,0
SNDA.US,5,20250227,162000,24.4,24.4,24.4,24.4,100,0
SNDA.US,5,20250227,162500,24.645,24.645,24.645,24.645,100,0
SNDA.US,5,20250227,163000,24.64,24.64,24.64,24.64,100,0
SNDA.US,5,20250227,163500,24.49,24.49,24.49,24.49,100,0
SNDA.US,5,20250227,165000,24.415,24.415,24.415,24.415,100,0
SNDA.US,5,20250227,173500,24.42,24.455,24.42,24.455,726,0
SNDA.US,5,20250227,174000,24.455,24.455,24.37,24.39,1650,0
SNDA.US,5,20250227,174500,24.41,24.44,24.41,24.44,200,0
SNDA.US,5,20250227,175500,24.31,24.31,24.3,24.3,536,0
SNDA.US,5,20250227,181000,24.27,24.27,24.27,24.27,100,0
SNDA.US,5,20250227,183000,24.2,24.2,24.2,24.2,200,0
SNDA.US,5,20250227,183500,24.338,24.338,24.338,24.338,170,0
SNDA.US,5,20250227,184000,24.2,24.38,24.2,24.35,1408,0
SNDA.US,5,20250227,184500,24.29,24.29,24.29,24.29,100,0
SNDA.US,5,20250227,185500,24.3,24.3,24.3,24.3,682,0
SNDA.US,5,20250227,190000,24.3,24.3,24.3,24.3,411,0
SNDA.US,5,20250227,193000,24.265,24.265,24.23,24.23,500,0
SNDA.US,5,20250227,194500,24.24,24.25,24.0788,24.085,2254,0
SNDA.US,5,20250227,195500,24.1,24.17,24.1,24.17,1969,0
SNDA.US,5,20250227,200500,24.1,24.1,24.05,24.1,611,0
SNDA.US,5,20250227,201500,24.06,24.15,24.06,24.0625,400,0
SNDA.US,5,20250227,202500,24.04,24.04,24.04,24.04,274,0
SNDA.US,5,20250227,203000,24.04,24.04,23.915,23.915,828,0
SNDA.US,5,20250227,203500,23.865,23.865,23.865,23.865,100,0
SNDA.US,5,20250227,205000,23.78,23.78,23.78,23.78,100,0
SNDA.US,5,20250227,205500,23.86,23.905,23.835,23.845,700,0
SNDA.US,5,20250227,210000,23.78,23.8,23.75,23.75,500,0
SNDA.US,5,20250227,211000,23.79,23.79,23.69,23.69,978,0
SNDA.US,5,20250227,211500,23.7,23.7,23.655,23.695,706,0
SNDA.US,5,20250227,213000,23.8,23.8,23.8,23.8,100,0
SNDA.US,5,20250227,214500,23.79,23.79,23.58,23.58,2014,0
SNDA.US,5,20250227,215000,23.55,23.7,23.55,23.7,213,0
SNDA.US,5,20250227,215500,23.7,23.7,23.56,23.64,3425,0
SNDA.US,5,20250228,155000,24,24.85,23.69,24.85,586,0
SNDA.US,5,20250228,162500,23.74,23.74,23.74,23.74,100,0
SNDA.US,5,20250228,163500,24.04,24.04,24.04,24.04,300,0
SNDA.US,5,20250228,164000,23.57,23.735,23.37,23.735,800,0
SNDA.US,5,20250228,175000,23.94,23.94,23.94,23.94,100,0
SNDA.US,5,20250228,181500,23.9,23.9,23.9,23.9,156,0
SNDA.US,5,20250228,193000,23.915,23.915,23.915,23.915,100,0
SNDA.US,5,20250228,194000,23.915,23.915,23.915,23.915,100,0
SNDA.US,5,20250228,195000,23.81,23.81,23.81,23.81,100,0
SNDA.US,5,20250228,195500,23.87,23.87,23.825,23.87,923,0
SNDA.US,5,20250228,201500,23.99,23.99,23.99,23.99,200,0
SNDA.US,5,20250228,202500,24.095,24.095,24.095,24.095,100,0
SNDA.US,5,20250228,203000,24.21,24.27,24.21,24.27,400,0
SNDA.US,5,20250228,204000,24.225,24.248,24.225,24.2375,467,0
SNDA.US,5,20250228,204500,24.31,24.32,24.31,24.32,450,0
SNDA.US,5,20250228,211000,24.34,24.34,24.29,24.29,728,0
SNDA.US,5,20250228,213000,24.22,24.22,24.22,24.22,300,0
