<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STR.US,5,20250224,153000,20.05,20.1,19.8667,19.92,3200,0
STR.US,5,20250224,153500,19.86,19.9,19.84,19.9,596,0
STR.US,5,20250224,154000,19.91,19.94,19.88,19.9,900,0
STR.US,5,20250224,154500,19.9,19.9,19.835,19.855,11762,0
STR.US,5,20250224,155000,19.85,19.855,19.79,19.855,6958,0
STR.US,5,20250224,155500,19.82,19.8865,19.82,19.88,1709,0
STR.US,5,20250224,160000,19.9,19.97,19.89,19.91,1344,0
STR.US,5,20250224,160500,19.97,20.01,19.93,20,3115,0
STR.US,5,20250224,161000,20.02,20.08,20.02,20.07,902,0
STR.US,5,20250224,161500,20.07,20.07,20.01,20.01,2342,0
STR.US,5,20250224,162000,20.04,20.05,20.03,20.03,429,0
STR.US,5,20250224,162500,20.02,20.02,20,20,2168,0
STR.US,5,20250224,163000,19.99,20.02,19.99,20.01,915,0
STR.US,5,20250224,163500,20.04,20.09,20.04,20.085,500,0
STR.US,5,20250224,164000,20.095,20.095,20.07,20.07,1589,0
STR.US,5,20250224,164500,20.08,20.1,20.08,20.09,1005,0
STR.US,5,20250224,165000,20.09,20.09,20.07,20.07,634,0
STR.US,5,20250224,165500,20.035,20.035,19.99,20.03,1125,0
STR.US,5,20250224,170000,20.05,20.06,20.05,20.06,1031,0
STR.US,5,20250224,170500,20.06,20.07,20.04,20.05,2357,0
STR.US,5,20250224,171000,20.05,20.05,20.035,20.05,1264,0
STR.US,5,20250224,171500,20.05,20.09,20.0444,20.065,1843,0
STR.US,5,20250224,172000,20.05,20.05,20.04,20.05,839,0
STR.US,5,20250224,172500,20.06,20.07,20.05,20.07,5533,0
STR.US,5,20250224,173000,20.08,20.115,20.08,20.115,901,0
STR.US,5,20250224,173500,20.135,20.135,20.12,20.13,3407,0
STR.US,5,20250224,174000,20.155,20.16,20.1,20.1,3617,0
STR.US,5,20250224,174500,20.12,20.12,20.085,20.085,729,0
STR.US,5,20250224,175000,20.1,20.12,20.1,20.1,1153,0
STR.US,5,20250224,175500,20.11,20.11,20.1,20.11,400,0
