<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TALO.US,5,20250224,153000,9,9,8.86,8.9,16568,0
TALO.US,5,20250224,153500,8.9,8.96,8.842,8.96,6572,0
TALO.US,5,20250224,154000,8.97,9.01,8.97,8.98,3716,0
TALO.US,5,20250224,154500,8.945,8.97,8.89,8.89,8008,0
TALO.US,5,20250224,155000,8.9,8.955,8.9,8.955,4734,0
TALO.US,5,20250224,155500,8.9566,8.9566,8.92,8.95,6115,0
TALO.US,5,20250224,160000,8.95,8.97,8.91,8.92,8441,0
TALO.US,5,20250224,160500,8.935,8.97,8.92,8.94,12530,0
TALO.US,5,20250224,161000,8.95,8.99,8.95,8.99,12087,0
TALO.US,5,20250224,161500,8.99,8.99,8.945,8.945,4565,0
TALO.US,5,20250224,162000,8.95,8.96,8.925,8.925,3731,0
TALO.US,5,20250224,162500,8.925,8.925,8.89,8.905,15462,0
TALO.US,5,20250224,163000,8.905,8.935,8.905,8.93,11294,0
TALO.US,5,20250224,163500,8.92,8.935,8.915,8.935,1552,0
TALO.US,5,20250224,164000,8.945,8.9501,8.945,8.945,1861,0
TALO.US,5,20250224,164500,8.945,8.97,8.94,8.97,3711,0
TALO.US,5,20250224,165000,8.9889,8.9889,8.92,8.92,3421,0
TALO.US,5,20250224,165500,8.91,8.915,8.89,8.9,1422,0
TALO.US,5,20250224,170000,8.91,8.9299,8.895,8.92,3821,0
TALO.US,5,20250224,170500,8.9199,8.955,8.9199,8.94,2835,0
TALO.US,5,20250224,171000,8.92,8.935,8.915,8.935,8095,0
TALO.US,5,20250224,171500,8.935,8.992,8.935,8.965,10354,0
TALO.US,5,20250224,172000,8.97,8.97,8.94,8.95,69910,0
TALO.US,5,20250224,172500,8.945,8.965,8.94,8.965,5437,0
TALO.US,5,20250224,173000,8.96,8.995,8.96,8.98,6526,0
TALO.US,5,20250224,173500,8.975,8.9854,8.97,8.975,6307,0
TALO.US,5,20250224,174000,8.97,8.985,8.97,8.97,3855,0
TALO.US,5,20250224,174500,8.965,8.985,8.965,8.98,1850,0
TALO.US,5,20250224,175000,8.98,9,8.975,8.9999,4193,0
TALO.US,5,20250224,175500,8.995,9,8.98,8.98,13334,0
TALO.US,5,20250224,180000,8.99,8.995,8.975,8.98,5918,0
TALO.US,5,20250224,180500,8.975,8.98,8.965,8.965,6428,0
TALO.US,5,20250224,181000,8.96,8.985,8.96,8.98,11955,0
TALO.US,5,20250224,181500,8.985,8.99,8.965,8.965,3738,0
TALO.US,5,20250224,182000,8.97,8.99,8.965,8.97,16100,0
TALO.US,5,20250224,182500,8.975,8.975,8.955,8.96,8262,0
TALO.US,5,20250224,183000,8.96,8.96,8.945,8.945,9661,0
TALO.US,5,20250224,183500,8.949,8.955,8.94,8.94,12622,0
TALO.US,5,20250224,184000,8.94,8.96,8.94,8.95,2723,0
TALO.US,5,20250224,184500,8.955,8.9668,8.95,8.96,3101,0
TALO.US,5,20250224,185000,8.96,8.98,8.95,8.96,12078,0
TALO.US,5,20250224,185500,8.96,8.96,8.945,8.945,3126,0
TALO.US,5,20250224,190000,8.94,8.95,8.93,8.94,3286,0
TALO.US,5,20250224,190500,8.9492,8.9492,8.94,8.945,1566,0
TALO.US,5,20250224,191000,8.9439,8.955,8.94,8.95,4511,0
TALO.US,5,20250224,191500,8.945,8.955,8.945,8.945,2261,0
TALO.US,5,20250224,192000,8.95,8.95,8.945,8.945,1781,0
TALO.US,5,20250224,192500,8.95,8.95,8.945,8.945,1995,0
TALO.US,5,20250224,193000,8.9491,8.96,8.945,8.96,10160,0
TALO.US,5,20250224,193500,8.9542,8.98,8.9542,8.97,7843,0
TALO.US,5,20250224,194000,8.975,8.98,8.97,8.975,1703,0
TALO.US,5,20250224,194500,8.975,8.975,8.945,8.95,18835,0
TALO.US,5,20250224,195000,8.955,8.96,8.94,8.945,14451,0
TALO.US,5,20250224,195500,8.945,8.955,8.93,8.93,9185,0
TALO.US,5,20250224,200000,8.935,8.945,8.935,8.945,828,0
TALO.US,5,20250224,200500,8.95,8.96,8.95,8.96,2982,0
TALO.US,5,20250224,201000,8.96,8.96,8.94,8.94,2722,0
TALO.US,5,20250224,201500,8.935,8.935,8.91,8.915,9571,0
TALO.US,5,20250224,202000,8.92,8.92,8.905,8.905,4156,0
TALO.US,5,20250224,202500,8.905,8.935,8.9,8.93,43803,0
TALO.US,5,20250224,203000,8.92,8.94,8.92,8.9235,3751,0
TALO.US,5,20250224,203500,8.925,8.95,8.915,8.94,9301,0
TALO.US,5,20250224,204000,8.94,8.94,8.925,8.925,2654,0
TALO.US,5,20250224,204500,8.9278,8.94,8.92,8.93,6184,0
TALO.US,5,20250224,205000,8.93,8.94,8.91,8.91,3752,0
TALO.US,5,20250224,205500,8.91,8.91,8.895,8.9,5233,0
TALO.US,5,20250224,210000,8.9,8.91,8.9,8.905,3437,0
TALO.US,5,20250224,210500,8.905,8.92,8.905,8.92,2916,0
TALO.US,5,20250224,211000,8.91,8.915,8.9,8.9,2669,0
TALO.US,5,20250224,211500,8.905,8.92,8.885,8.905,28830,0
TALO.US,5,20250224,212000,8.9,8.9,8.89,8.895,13572,0
TALO.US,5,20250224,212500,8.895,8.9,8.875,8.875,18662,0
TALO.US,5,20250224,213000,8.875,8.91,8.87,8.9,8828,0
TALO.US,5,20250224,213500,8.89,8.9,8.885,8.895,3657,0
TALO.US,5,20250224,214000,8.89,8.905,8.885,8.895,12633,0
