<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN_F.US,5,20250224,153000,26.1,26.1,26.1,26.1,100,0
TEN_F.US,5,20250224,162500,26.0864,26.0864,26.07,26.0703,1148,0
TEN_F.US,5,20250224,164000,26.07,26.1,26.07,26.07,980,0
TEN_F.US,5,20250224,170000,26.0906,26.1,26.0906,26.1,400,0
TEN_F.US,5,20250224,170500,26.1,26.1,26.0821,26.0821,200,0
TEN_F.US,5,20250224,171000,26.0802,26.0902,26.08,26.0818,567,0
TEN_F.US,5,20250224,171500,26.0902,26.0902,26.0902,26.0902,245,0
TEN_F.US,5,20250224,173000,26.08,26.08,26.08,26.08,828,0
TEN_F.US,5,20250224,174000,26.1,26.1,26.1,26.1,400,0
TEN_F.US,5,20250224,174500,26.0904,26.0904,26.0904,26.0904,400,0
TEN_F.US,5,20250224,175500,26.0998,26.0998,26.0998,26.0998,500,0
TEN_F.US,5,20250224,180500,26.08,26.08,26.08,26.08,274,0
TEN_F.US,5,20250224,181000,26.0976,26.0976,26.0976,26.0976,300,0
TEN_F.US,5,20250224,182000,26.0979,26.0979,26.0979,26.0979,100,0
TEN_F.US,5,20250224,185500,26.0901,26.095,26.08,26.095,1150,0
TEN_F.US,5,20250224,190000,26.0905,26.0905,26.0905,26.0905,800,0
TEN_F.US,5,20250224,202000,26.095,26.1,26.095,26.1,1780,0
TEN_F.US,5,20250224,202500,26.0816,26.0816,26.0816,26.0816,400,0
TEN_F.US,5,20250224,203000,26.0906,26.1,26.0906,26.1,200,0
TEN_F.US,5,20250224,203500,26.08,26.08,26.07,26.07,2100,0
TEN_F.US,5,20250224,204000,26.09,26.09,26.09,26.09,100,0
TEN_F.US,5,20250224,205000,26.0886,26.0886,26.0801,26.0801,700,0
TEN_F.US,5,20250224,205500,26.09,26.09,26.09,26.09,100,0
TEN_F.US,5,20250224,211500,26.09,26.09,26.09,26.09,200,0
TEN_F.US,5,20250224,213000,26.08,26.0815,26.07,26.07,2053,0
TEN_F.US,5,20250224,215000,26.07,26.07,26.07,26.07,261,0
TEN_F.US,5,20250225,153500,26.0761,26.0761,26.0761,26.0761,400,0
TEN_F.US,5,20250225,154500,26.08,26.08,26.08,26.08,100,0
TEN_F.US,5,20250225,160500,26.075,26.075,26.075,26.075,1000,0
TEN_F.US,5,20250225,164000,26.07,26.07,26.07,26.07,1000,0
TEN_F.US,5,20250225,171000,26.079,26.08,26.079,26.08,400,0
TEN_F.US,5,20250225,171500,26.075,26.075,26.075,26.075,200,0
TEN_F.US,5,20250225,173000,26.07,26.07,26.0601,26.0601,750,0
TEN_F.US,5,20250225,180000,26.0722,26.0722,26.05,26.05,868,0
TEN_F.US,5,20250225,183500,26.0559,26.0559,26.0559,26.0559,980,0
TEN_F.US,5,20250225,190500,26.07,26.07,26.0401,26.0401,900,0
TEN_F.US,5,20250225,191500,26.0699,26.0699,26.055,26.055,2000,0
