<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHD.US,5,20250224,153000,58.16,58.282,58.055,58.282,437,0
WHD.US,5,20250224,153500,58.055,58.32,58.05,58.32,751,0
WHD.US,5,20250224,154000,58.43,58.43,58.43,58.43,100,0
WHD.US,5,20250224,154500,58.425,58.49,58.225,58.355,2448,0
WHD.US,5,20250224,155000,58.42,58.42,58.375,58.3825,900,0
WHD.US,5,20250224,155500,58.295,58.43,58.17,58.43,2840,0
WHD.US,5,20250224,160000,58.44,58.46,58.04,58.04,900,0
WHD.US,5,20250224,160500,58.03,58.16,58.03,58.15,822,0
WHD.US,5,20250224,161000,58.28,58.33,58.28,58.33,300,0
WHD.US,5,20250224,161500,58.25,58.25,57.975,58.13,500,0
WHD.US,5,20250224,162000,58.06,58.27,58.06,58.27,1219,0
WHD.US,5,20250224,162500,58.12,58.12,57.67,57.67,2200,0
WHD.US,5,20250224,163000,57.685,58.2,57.685,58.2,1600,0
WHD.US,5,20250224,163500,58.19,58.21,58.07,58.1675,1022,0
WHD.US,5,20250224,164000,58.16,58.21,58.03,58.03,800,0
WHD.US,5,20250224,164500,58.09,58.19,58.09,58.16,1653,0
WHD.US,5,20250224,165000,58.235,58.28,58.19,58.195,817,0
WHD.US,5,20250224,165500,58.11,58.11,57.93,57.94,1802,0
WHD.US,5,20250224,170000,58,58.14,57.975,58.065,3544,0
WHD.US,5,20250224,170500,58.07,58.38,58.07,58.23,1152,0
WHD.US,5,20250224,171000,58.28,58.28,58.21,58.265,1929,0
WHD.US,5,20250224,171500,58.24,58.365,58.24,58.28,4157,0
WHD.US,5,20250224,172000,58.335,58.335,58.33,58.33,400,0
WHD.US,5,20250224,172500,58.37,58.46,58.37,58.44,3637,0
WHD.US,5,20250224,173000,58.47,58.56,58.45,58.555,1249,0
WHD.US,5,20250224,173500,58.54,58.54,58.34,58.34,1107,0
WHD.US,5,20250224,174000,58.45,58.49,58.34,58.34,1273,0
WHD.US,5,20250224,174500,58.37,58.4,58.27,58.27,1226,0
