<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPER.US,5,20250224,153000,8.83,8.88,8.82,8.83,1501,0
XPER.US,5,20250224,153500,8.86,8.86,8.83,8.835,450,0
XPER.US,5,20250224,154000,8.86,8.86,8.8469,8.8469,250,0
XPER.US,5,20250224,154500,8.81,8.81,8.8,8.8,500,0
XPER.US,5,20250224,155000,8.78,8.78,8.76,8.76,200,0
XPER.US,5,20250224,155500,8.79,8.8,8.79,8.8,1111,0
XPER.US,5,20250224,160000,8.77,8.785,8.67,8.685,1752,0
XPER.US,5,20250224,160500,8.685,8.73,8.685,8.73,2997,0
XPER.US,5,20250224,161000,8.75,8.76,8.73,8.75,1656,0
XPER.US,5,20250224,161500,8.72,8.72,8.72,8.72,216,0
XPER.US,5,20250224,162000,8.72,8.765,8.72,8.765,1147,0
XPER.US,5,20250224,162500,8.76,8.76,8.75,8.75,900,0
XPER.US,5,20250224,163000,8.76,8.76,8.75,8.75,516,0
XPER.US,5,20250224,163500,8.78,8.78,8.75,8.7514,700,0
XPER.US,5,20250224,164000,8.75,8.76,8.73,8.73,3669,0
XPER.US,5,20250224,164500,8.73,8.73,8.7,8.7,782,0
XPER.US,5,20250224,165500,8.69,8.69,8.69,8.69,450,0
XPER.US,5,20250224,170000,8.69,8.69,8.66,8.66,800,0
XPER.US,5,20250224,170500,8.7,8.71,8.69,8.7,2596,0
XPER.US,5,20250224,171000,8.7,8.7,8.7,8.7,2100,0
XPER.US,5,20250224,171500,8.7,8.7,8.69,8.69,2121,0
XPER.US,5,20250224,172000,8.71,8.715,8.7,8.7,2861,0
XPER.US,5,20250224,172500,8.71,8.71,8.7,8.7,3500,0
XPER.US,5,20250224,173000,8.705,8.71,8.705,8.71,300,0
XPER.US,5,20250224,173500,8.7,8.7,8.63,8.63,3723,0
XPER.US,5,20250224,174000,8.63,8.65,8.62,8.625,2400,0
XPER.US,5,20250224,174500,8.63,8.65,8.63,8.64,4578,0
XPER.US,5,20250224,175000,8.64,8.64,8.6201,8.64,718,0
XPER.US,5,20250224,180000,8.64,8.64,8.63,8.63,200,0
XPER.US,5,20250224,180500,8.63,8.6399,8.63,8.63,6076,0
XPER.US,5,20250224,181000,8.64,8.65,8.6,8.61,3390,0
XPER.US,5,20250224,181500,8.62,8.63,8.62,8.62,1095,0
XPER.US,5,20250224,182000,8.62,8.62,8.61,8.62,1336,0
XPER.US,5,20250224,183000,8.62,8.62,8.57,8.57,5615,0
XPER.US,5,20250224,183500,8.58,8.58,8.58,8.58,519,0
XPER.US,5,20250224,184000,8.6,8.6,8.595,8.595,1122,0
XPER.US,5,20250224,184500,8.59,8.595,8.585,8.595,800,0
XPER.US,5,20250224,185000,8.6,8.605,8.6,8.6,1628,0
XPER.US,5,20250224,185500,8.59,8.595,8.59,8.59,629,0
XPER.US,5,20250224,190000,8.59,8.59,8.585,8.59,749,0
XPER.US,5,20250224,190500,8.59,8.61,8.58,8.6,1334,0
XPER.US,5,20250224,191000,8.6,8.6,8.59,8.59,700,0
XPER.US,5,20250224,191500,8.6,8.61,8.595,8.61,900,0
XPER.US,5,20250224,192000,8.6,8.6,8.6,8.6,100,0
XPER.US,5,20250224,192500,8.62,8.62,8.61,8.61,400,0
XPER.US,5,20250224,193000,8.61,8.62,8.61,8.62,300,0
XPER.US,5,20250224,193500,8.6101,8.615,8.6,8.6,2039,0
XPER.US,5,20250224,194000,8.6,8.6,8.595,8.595,1306,0
XPER.US,5,20250224,194500,8.59,8.59,8.57,8.58,1976,0
XPER.US,5,20250224,195000,8.57,8.575,8.56,8.575,3668,0
XPER.US,5,20250224,195500,8.575,8.62,8.57,8.61,7325,0
XPER.US,5,20250224,200000,8.615,8.66,8.615,8.63,2199,0
XPER.US,5,20250224,200500,8.635,8.64,8.635,8.64,400,0
XPER.US,5,20250224,201000,8.65,8.66,8.61,8.65,27925,0
XPER.US,5,20250224,201500,8.65,8.6903,8.65,8.69,3703,0
XPER.US,5,20250224,202000,8.69,8.69,8.64,8.655,2508,0
XPER.US,5,20250224,202500,8.64,8.655,8.63,8.63,1100,0
XPER.US,5,20250224,203000,8.63,8.67,8.62,8.67,3747,0
XPER.US,5,20250224,203500,8.66,8.66,8.64,8.64,1220,0
XPER.US,5,20250224,204000,8.64,8.64,8.63,8.63,1300,0
XPER.US,5,20250224,204500,8.63,8.635,8.62,8.62,1900,0
XPER.US,5,20250224,205000,8.61,8.63,8.58,8.58,2472,0
XPER.US,5,20250224,205500,8.58,8.59,8.58,8.58,400,0
XPER.US,5,20250224,210000,8.58,8.62,8.58,8.61,8918,0
XPER.US,5,20250224,210500,8.61,8.67,8.605,8.63,20717,0
XPER.US,5,20250224,211000,8.63,8.66,8.63,8.66,3116,0
XPER.US,5,20250224,211500,8.665,8.68,8.65,8.65,1303,0
XPER.US,5,20250224,212000,8.67,8.67,8.64,8.64,2608,0
XPER.US,5,20250224,212500,8.645,8.645,8.64,8.64,1074,0
XPER.US,5,20250224,213000,8.645,8.66,8.64,8.64,7478,0
XPER.US,5,20250224,213500,8.64,8.65,8.625,8.64,8789,0
XPER.US,5,20250224,214000,8.63,8.64,8.63,8.63,6378,0
XPER.US,5,20250224,214500,8.6392,8.64,8.63,8.6392,9296,0
XPER.US,5,20250224,215000,8.635,8.6399,8.605,8.618,27946,0
XPER.US,5,20250224,215500,8.615,8.68,8.61,8.64,102605,0
XPER.US,5,20250225,153000,8.59,8.6,8.56,8.57,10453,0
XPER.US,5,20250225,153500,8.65,8.81,8.62,8.74,6820,0
XPER.US,5,20250225,154000,8.745,8.825,8.73,8.8,2322,0
XPER.US,5,20250225,154500,8.8,8.8,8.74,8.77,2206,0
XPER.US,5,20250225,155000,8.77,8.78,8.67,8.67,707,0
XPER.US,5,20250225,155500,8.7,8.77,8.7,8.7,5542,0
XPER.US,5,20250225,160500,8.7,8.7,8.65,8.66,710,0
XPER.US,5,20250225,161000,8.65,8.665,8.63,8.63,1900,0
XPER.US,5,20250225,161500,8.64,8.64,8.62,8.63,668,0
XPER.US,5,20250225,162000,8.61,8.62,8.5992,8.5992,1400,0
XPER.US,5,20250225,162500,8.59,8.61,8.59,8.6,1631,0
XPER.US,5,20250225,163000,8.6,8.6,8.58,8.58,400,0
XPER.US,5,20250225,163500,8.59,8.63,8.59,8.63,600,0
XPER.US,5,20250225,164000,8.62,8.6599,8.62,8.64,714,0
XPER.US,5,20250225,164500,8.63,8.65,8.63,8.64,1892,0
XPER.US,5,20250225,165000,8.64,8.66,8.64,8.65,1400,0
XPER.US,5,20250225,165500,8.64,8.655,8.64,8.64,4100,0
XPER.US,5,20250225,170000,8.63,8.63,8.59,8.6,1858,0
XPER.US,5,20250225,170500,8.6,8.615,8.6,8.615,300,0
XPER.US,5,20250225,171000,8.615,8.615,8.6,8.6,200,0
XPER.US,5,20250225,171500,8.6285,8.6285,8.59,8.59,1452,0
XPER.US,5,20250225,172000,8.59,8.605,8.58,8.58,941,0
XPER.US,5,20250225,172500,8.58,8.58,8.56,8.56,1530,0
XPER.US,5,20250225,173000,8.56,8.56,8.54,8.54,3957,0
XPER.US,5,20250225,173500,8.55,8.55,8.55,8.55,1157,0
XPER.US,5,20250225,174000,8.54,8.59,8.54,8.59,7169,0
XPER.US,5,20250225,174500,8.56,8.605,8.56,8.595,5401,0
XPER.US,5,20250225,175000,8.59,8.6,8.59,8.6,634,0
XPER.US,5,20250225,175500,8.6,8.61,8.59,8.6,4178,0
XPER.US,5,20250225,180000,8.59,8.59,8.58,8.58,881,0
XPER.US,5,20250225,180500,8.58,8.6,8.58,8.59,6409,0
XPER.US,5,20250225,181000,8.59,8.59,8.59,8.59,200,0
XPER.US,5,20250225,181500,8.59,8.605,8.59,8.59,500,0
XPER.US,5,20250225,182000,8.59,8.59,8.56,8.565,1676,0
XPER.US,5,20250225,182500,8.56,8.57,8.56,8.57,756,0
XPER.US,5,20250225,183000,8.57,8.59,8.57,8.59,603,0
XPER.US,5,20250225,183500,8.59,8.59,8.58,8.58,869,0
XPER.US,5,20250225,184000,8.59,8.605,8.59,8.6,1637,0
XPER.US,5,20250225,184500,8.6,8.6,8.6,8.6,1238,0
XPER.US,5,20250225,185000,8.6,8.6097,8.6,8.6,1727,0
XPER.US,5,20250225,185500,8.605,8.61,8.6,8.6,2300,0
XPER.US,5,20250225,190000,8.6,8.61,8.59,8.61,7975,0
XPER.US,5,20250225,190500,8.6101,8.62,8.6,8.6,1876,0
XPER.US,5,20250225,191000,8.599,8.599,8.55,8.55,797,0
XPER.US,5,20250225,191500,8.56,8.57,8.56,8.565,955,0
XPER.US,5,20250225,192000,8.56,8.575,8.56,8.575,1232,0
XPER.US,5,20250225,192500,8.575,8.575,8.56,8.56,1948,0
XPER.US,5,20250225,193000,8.557,8.56,8.557,8.56,750,0
XPER.US,5,20250225,193500,8.56,8.58,8.56,8.58,1700,0
XPER.US,5,20250225,194000,8.57,8.585,8.57,8.585,700,0
XPER.US,5,20250225,194500,8.585,8.585,8.575,8.575,1099,0
XPER.US,5,20250225,195000,8.575,8.575,8.57,8.57,400,0
XPER.US,5,20250225,195500,8.57,8.57,8.565,8.565,600,0
XPER.US,5,20250225,200000,8.565,8.58,8.565,8.58,1308,0
XPER.US,5,20250225,200500,8.58,8.59,8.58,8.59,500,0
XPER.US,5,20250225,201000,8.59,8.59,8.57,8.57,1749,0
XPER.US,5,20250225,201500,8.56,8.58,8.56,8.58,1653,0
XPER.US,5,20250225,202000,8.575,8.63,8.575,8.6,16395,0
XPER.US,5,20250225,202500,8.61,8.61,8.6,8.605,1166,0
XPER.US,5,20250225,203000,8.6,8.605,8.6,8.6,2425,0
XPER.US,5,20250225,203500,8.6,8.615,8.6,8.61,5854,0
XPER.US,5,20250225,204000,8.61,8.62,8.61,8.61,6279,0
XPER.US,5,20250225,204500,8.61,8.61,8.6,8.605,10696,0
XPER.US,5,20250225,205000,8.605,8.66,8.6003,8.66,2850,0
XPER.US,5,20250225,205500,8.67,8.67,8.654,8.66,1524,0
XPER.US,5,20250225,210000,8.66,8.68,8.65,8.68,1768,0
XPER.US,5,20250225,210500,8.68,8.69,8.68,8.6899,1879,0
XPER.US,5,20250225,211000,8.68,8.68,8.67,8.68,500,0
XPER.US,5,20250225,211500,8.685,8.69,8.68,8.69,700,0
XPER.US,5,20250225,212000,8.69,8.695,8.69,8.69,5904,0
XPER.US,5,20250225,212500,8.695,8.695,8.65,8.66,4117,0
XPER.US,5,20250225,213000,8.65,8.66,8.65,8.66,1200,0
XPER.US,5,20250225,213500,8.65,8.67,8.65,8.6647,5478,0
XPER.US,5,20250225,214000,8.66,8.665,8.66,8.665,1740,0
