<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZOCT.US,5,20250226,184500,25.47,25.47,25.47,25.47,100,0
ZOCT.US,5,20250226,210000,25.43,25.43,25.43,25.43,300,0
ZOCT.US,5,20250226,211000,25.4301,25.4301,25.4301,25.4301,476,0
ZOCT.US,5,20250226,215500,25.45,25.45,25.45,25.45,100,0
ZOCT.US,5,20250227,184500,25.44,25.44,25.44,25.44,885,0
ZOCT.US,5,20250228,190500,25.385,25.385,25.385,25.385,984,0
ZOCT.US,5,20250228,210000,25.4,25.4,25.4,25.4,570,0
ZOCT.US,5,20250228,215500,25.44,25.44,25.44,25.44,300,0
ZOCT.US,5,20250303,161500,25.4574,25.4574,25.4574,25.4574,2000,0
ZOCT.US,5,20250303,162000,25.4616,25.4616,25.4616,25.4616,100,0
ZOCT.US,5,20250303,171000,25.47,25.47,25.46,25.46,1219,0
ZOCT.US,5,20250304,165000,25.28,25.28,25.28,25.28,1197,0
ZOCT.US,5,20250304,170000,25.28,25.28,25.28,25.28,6825,0
ZOCT.US,5,20250304,181500,25.3,25.3,25.3,25.3,254,0
ZOCT.US,5,20250304,193000,25.32,25.32,25.3,25.3,3814,0
ZOCT.US,5,20250304,195500,25.33,25.33,25.33,25.33,300,0
ZOCT.US,5,20250305,162000,25.3002,25.301,25.29,25.3,7968,0
ZOCT.US,5,20250305,163000,25.31,25.3149,25.301,25.3149,2040,0
ZOCT.US,5,20250305,173000,25.3199,25.3199,25.3199,25.3199,612,0
ZOCT.US,5,20250305,185000,25.33,25.33,25.33,25.33,280,0
ZOCT.US,5,20250305,200500,25.36,25.36,25.36,25.36,260,0
ZOCT.US,5,20250305,211000,25.385,25.4,25.385,25.4,310,0
ZOCT.US,5,20250305,213500,25.36,25.3601,25.36,25.3601,1328,0
ZOCT.US,5,20250306,162500,25.31,25.31,25.31,25.31,1900,0
ZOCT.US,5,20250306,192000,25.27,25.28,25.27,25.27,1100,0
ZOCT.US,5,20250306,193500,25.25,25.25,25.25,25.25,500,0
ZOCT.US,5,20250306,194500,25.26,25.26,25.26,25.26,300,0
