<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOB.US,5,20250224,153500,0.2345,0.2397,0.2345,0.2397,2538,0
JOB.US,5,20250224,154000,0.2345,0.2345,0.2327,0.2327,401,0
JOB.US,5,20250224,154500,0.23,0.2319,0.23,0.23115,1422,0
JOB.US,5,20250224,155500,0.2313,0.2313,0.2313,0.2313,110,0
JOB.US,5,20250224,160500,0.2324,0.2324,0.2321,0.2324,8227,0
JOB.US,5,20250224,161000,0.231949,0.231949,0.2317,0.2317,642,0
JOB.US,5,20250224,161500,0.2323,0.2323,0.2323,0.2323,5000,0
JOB.US,5,20250224,162000,0.2324,0.2324,0.2323,0.2323,1636,0
JOB.US,5,20250224,162500,0.2321,0.2321,0.2321,0.2321,500,0
JOB.US,5,20250224,163000,0.23206,0.23206,0.2312,0.2312,19315,0
JOB.US,5,20250224,163500,0.2323,0.2323,0.230999,0.230999,5542,0
JOB.US,5,20250224,164000,0.231,0.2349,0.231,0.2343,21665,0
JOB.US,5,20250224,165000,0.2344,0.2344,0.233,0.233,29300,0
JOB.US,5,20250224,165500,0.2304,0.2304,0.2304,0.2304,4000,0
JOB.US,5,20250224,170500,0.2347,0.2347,0.2347,0.2347,150,0
JOB.US,5,20250224,171000,0.23085,0.231,0.2307,0.2307,11972,0
JOB.US,5,20250224,172000,0.2347,0.2347,0.2347,0.2347,849,0
JOB.US,5,20250224,174500,0.2348,0.2348,0.2348,0.2348,100,0
JOB.US,5,20250224,175000,0.2347,0.2347,0.2347,0.2347,367,0
JOB.US,5,20250224,175500,0.2347,0.2347,0.23346,0.23346,2100,0
JOB.US,5,20250224,180500,0.2313,0.2347,0.2308,0.234,1823,0
JOB.US,5,20250224,181500,0.232101,0.235,0.232101,0.235,2310,0
JOB.US,5,20250224,182000,0.2349,0.235,0.2349,0.235,8883,0
JOB.US,5,20250224,183000,0.2333,0.2333,0.2333,0.2333,400,0
JOB.US,5,20250224,183500,0.2349,0.2349,0.2318,0.2318,1121,0
JOB.US,5,20250224,184500,0.233,0.233,0.2329,0.2329,2000,0
JOB.US,5,20250224,185000,0.235,0.235,0.235,0.235,3344,0
JOB.US,5,20250224,185500,0.2329,0.235,0.2329,0.235,535,0
JOB.US,5,20250224,191500,0.2348,0.2348,0.2348,0.2348,100,0
JOB.US,5,20250224,193000,0.2314,0.2314,0.2314,0.2314,100,0
JOB.US,5,20250224,194000,0.2349,0.2349,0.2349,0.2349,612,0
JOB.US,5,20250224,194500,0.2342,0.2342,0.2342,0.2342,580,0
JOB.US,5,20250224,195500,0.2332,0.2332,0.2332,0.2332,235,0
JOB.US,5,20250224,200000,0.2314,0.2315,0.2314,0.2315,12959,0
JOB.US,5,20250224,200500,0.2315,0.2316,0.2314,0.2316,20457,0
JOB.US,5,20250224,201000,0.232,0.232,0.2276,0.2276,75121,0
JOB.US,5,20250224,201500,0.2285,0.2312,0.2285,0.2286,6167,0
JOB.US,5,20250224,202000,0.2312,0.2312,0.2312,0.2312,230,0
JOB.US,5,20250224,202500,0.2312,0.2312,0.2312,0.2312,1818,0
JOB.US,5,20250224,204000,0.2312,0.2312,0.2312,0.2312,367,0
JOB.US,5,20250224,210000,0.2311,0.2311,0.2304,0.23075,9400,0
JOB.US,5,20250224,210500,0.231,0.231,0.231,0.231,374,0
JOB.US,5,20250224,211000,0.231028,0.231028,0.231,0.231,1600,0
JOB.US,5,20250224,211500,0.231099,0.231099,0.231099,0.231099,2000,0
JOB.US,5,20250224,212000,0.2311,0.2311,0.2311,0.2311,200,0
JOB.US,5,20250224,212500,0.2313,0.2313,0.2313,0.2313,4000,0
JOB.US,5,20250224,213500,0.229,0.229,0.229,0.229,100,0
JOB.US,5,20250224,214500,0.229,0.229,0.229,0.229,100,0
JOB.US,5,20250224,215000,0.229,0.229,0.229,0.229,175,0
JOB.US,5,20250224,215500,0.229,0.229,0.229,0.229,4487,0
JOB.US,5,20250225,153000,0.229,0.229,0.229,0.229,500,0
JOB.US,5,20250225,154000,0.228,0.229199,0.228,0.229199,3100,0
JOB.US,5,20250225,154500,0.2267,0.2267,0.225,0.2261,3068,0
JOB.US,5,20250225,160000,0.22605,0.22605,0.22605,0.22605,200,0
JOB.US,5,20250225,160500,0.225,0.225,0.225,0.225,3285,0
JOB.US,5,20250225,161000,0.225,0.2261,0.2213,0.2213,40615,0
JOB.US,5,20250225,161500,0.2231,0.2238,0.2216,0.2238,10105,0
JOB.US,5,20250225,162000,0.217,0.217,0.217,0.217,3500,0
JOB.US,5,20250225,162500,0.217,0.2196,0.217,0.2196,400,0
JOB.US,5,20250225,163000,0.2186,0.2186,0.2186,0.2186,2000,0
JOB.US,5,20250225,163500,0.2197,0.22,0.2197,0.22,22446,0
JOB.US,5,20250225,164000,0.21845,0.21845,0.21845,0.21845,500,0
JOB.US,5,20250225,165500,0.21715,0.21715,0.217149,0.217149,580,0
JOB.US,5,20250225,170000,0.215801,0.2184,0.215801,0.2184,2261,0
JOB.US,5,20250225,171500,0.2184,0.2184,0.2172,0.2172,20415,0
JOB.US,5,20250225,172000,0.2163,0.2163,0.2163,0.2163,270,0
JOB.US,5,20250225,173500,0.2163,0.2163,0.2163,0.2163,20000,0
JOB.US,5,20250225,174000,0.2171,0.217901,0.2159,0.2159,11107,0
JOB.US,5,20250225,174500,0.217899,0.217899,0.217899,0.217899,100,0
JOB.US,5,20250225,180000,0.219,0.2198,0.219,0.2194,1200,0
JOB.US,5,20250225,180500,0.2163,0.2163,0.2163,0.2163,181,0
JOB.US,5,20250225,181000,0.217799,0.21855,0.217799,0.21855,2112,0
JOB.US,5,20250225,182000,0.218,0.2194,0.218,0.2194,200,0
JOB.US,5,20250225,182500,0.2185,0.2185,0.2185,0.2185,100,0
JOB.US,5,20250225,183000,0.2194,0.2194,0.2194,0.2194,116,0
JOB.US,5,20250225,184000,0.2193,0.2199,0.2193,0.2199,37500,0
JOB.US,5,20250225,184500,0.2199,0.2226,0.2199,0.222,56137,0
JOB.US,5,20250225,190000,0.2238,0.2238,0.2238,0.2238,300,0
JOB.US,5,20250225,191000,0.22,0.2221,0.2199,0.2221,73351,0
JOB.US,5,20250225,191500,0.22,0.2217,0.2191,0.2217,4280,0
JOB.US,5,20250225,193000,0.2242,0.2242,0.2201,0.2201,34815,0
JOB.US,5,20250225,194000,0.2233,0.2233,0.2233,0.2233,418,0
JOB.US,5,20250225,195000,0.2248,0.2248,0.2248,0.2248,100,0
JOB.US,5,20250225,200500,0.2207,0.2207,0.2204,0.2204,58609,0
JOB.US,5,20250225,202500,0.22,0.2201,0.22,0.2201,200,0
JOB.US,5,20250225,203000,0.2225,0.2225,0.22245,0.22245,1100,0
JOB.US,5,20250225,204000,0.2225,0.2225,0.2225,0.2225,400,0
JOB.US,5,20250225,204500,0.2248,0.2248,0.2202,0.2202,380,0
JOB.US,5,20250225,210000,0.2201,0.2201,0.2192,0.2192,6968,0
JOB.US,5,20250225,212500,0.2193,0.2193,0.2193,0.2193,5000,0
JOB.US,5,20250225,213000,0.2195,0.2195,0.2195,0.2195,3032,0
JOB.US,5,20250225,214000,0.22075,0.22075,0.2181,0.2181,2628,0
JOB.US,5,20250225,214500,0.223038,0.223038,0.2181,0.22075,11000,0
JOB.US,5,20250225,215000,0.2181,0.21965,0.2181,0.21965,3017,0
JOB.US,5,20250225,215500,0.219699,0.2212,0.2187,0.2187,2889,0
JOB.US,5,20250226,153000,0.2201,0.2201,0.22,0.22,800,0
JOB.US,5,20250226,154500,0.218601,0.218601,0.2166,0.2166,300,0
JOB.US,5,20250226,155000,0.221529,0.221529,0.221529,0.221529,100,0
JOB.US,5,20250226,160000,0.22,0.22,0.22,0.22,750,0
JOB.US,5,20250226,160500,0.2217,0.2223,0.22,0.22,521,0
JOB.US,5,20250226,161500,0.2213,0.2213,0.2213,0.2213,220,0
JOB.US,5,20250226,163000,0.22265,0.2233,0.22265,0.2233,2500,0
JOB.US,5,20250226,163500,0.2234,0.2234,0.2233,0.2233,400,0
JOB.US,5,20250226,164000,0.2233,0.2233,0.2233,0.2233,367,0
JOB.US,5,20250226,164500,0.2227,0.2256,0.2227,0.2256,4008,0
JOB.US,5,20250226,165000,0.2247,0.2256,0.2247,0.2256,11400,0
JOB.US,5,20250226,170000,0.2267,0.2267,0.225,0.225,200,0
JOB.US,5,20250226,170500,0.2255,0.2255,0.2255,0.2255,100,0
JOB.US,5,20250226,171000,0.2256,0.229,0.2237,0.229,18359,0
JOB.US,5,20250226,171500,0.229,0.2296,0.2262,0.2262,5700,0
JOB.US,5,20250226,172000,0.2264,0.2297,0.2264,0.2294,900,0
JOB.US,5,20250226,172500,0.2271,0.2279,0.2265,0.2279,600,0
JOB.US,5,20250226,173000,0.2264,0.228,0.2263,0.2273,20576,0
JOB.US,5,20250226,174500,0.231,0.2315,0.231,0.231,1060,0
JOB.US,5,20250226,180000,0.2315,0.2315,0.2315,0.2315,10000,0
JOB.US,5,20250226,181000,0.2287,0.2304,0.228,0.228,500,0
JOB.US,5,20250226,181500,0.2295,0.2314,0.2277,0.2296,1369,0
JOB.US,5,20250226,182000,0.228,0.2298,0.2278,0.2292,2068,0
JOB.US,5,20250226,182500,0.2281,0.2293,0.2278,0.228,12967,0
JOB.US,5,20250226,183500,0.229,0.2291,0.2289,0.2291,6444,0
JOB.US,5,20250226,184000,0.229,0.2323,0.228,0.2323,6089,0
JOB.US,5,20250226,184500,0.23,0.2323,0.23,0.2311,1500,0
JOB.US,5,20250226,185000,0.23,0.23,0.23,0.23,500,0
JOB.US,5,20250226,185500,0.23,0.23,0.23,0.23,100,0
JOB.US,5,20250226,190000,0.2322,0.2322,0.2322,0.2322,636,0
JOB.US,5,20250226,190500,0.2321,0.2336,0.2309,0.2309,39457,0
JOB.US,5,20250226,191500,0.23175,0.23175,0.23175,0.23175,942,0
JOB.US,5,20250226,192000,0.23175,0.2336,0.23175,0.2336,301,0
JOB.US,5,20250226,192500,0.2348,0.2349,0.2348,0.2349,200,0
JOB.US,5,20250226,193000,0.2309,0.2324,0.2309,0.2324,302,0
JOB.US,5,20250226,193500,0.232,0.232,0.232,0.232,580,0
JOB.US,5,20250226,194500,0.233199,0.2332,0.233199,0.2332,425,0
JOB.US,5,20250226,195000,0.2301,0.2301,0.2301,0.2301,19023,0
JOB.US,5,20250226,200500,0.2301,0.2301,0.2264,0.2299,9391,0
JOB.US,5,20250226,202500,0.2299,0.2299,0.2299,0.2299,100,0
JOB.US,5,20250226,203000,0.2299,0.23,0.226901,0.226901,10060,0
JOB.US,5,20250226,204500,0.2299,0.2299,0.2299,0.2299,200,0
JOB.US,5,20250226,210000,0.2298,0.2298,0.2298,0.2298,1500,0
JOB.US,5,20250226,211500,0.2282,0.2282,0.2282,0.2282,3675,0
JOB.US,5,20250226,212000,0.2281,0.2281,0.2281,0.2281,100,0
JOB.US,5,20250226,212500,0.2277,0.2277,0.2277,0.2277,102,0
JOB.US,5,20250226,213000,0.227,0.2293,0.227,0.2293,600,0
JOB.US,5,20250226,213500,0.2269,0.2276,0.2263,0.2265,12708,0
JOB.US,5,20250226,214000,0.2293,0.2293,0.2293,0.2293,200,0
JOB.US,5,20250226,214500,0.22845,0.22845,0.22845,0.22845,200,0
JOB.US,5,20250226,215000,0.2293,0.2293,0.2293,0.2293,472,0
JOB.US,5,20250226,215500,0.2297,0.2297,0.2267,0.2267,3199,0
JOB.US,5,20250227,154500,0.2289,0.229,0.2289,0.229,30022,0
JOB.US,5,20250227,155000,0.227699,0.227699,0.227699,0.227699,144,0
JOB.US,5,20250227,155500,0.2266,0.2266,0.2266,0.2266,5000,0
JOB.US,5,20250227,160000,0.229699,0.229699,0.229699,0.229699,212,0
JOB.US,5,20250227,160500,0.2289,0.2289,0.2289,0.2289,100,0
JOB.US,5,20250227,161000,0.2284,0.2284,0.2284,0.2284,1116,0
JOB.US,5,20250227,161500,0.2268,0.2268,0.2268,0.2268,310,0
JOB.US,5,20250227,163000,0.2284,0.2284,0.2267,0.2267,1316,0
JOB.US,5,20250227,164000,0.2284,0.2284,0.2266,0.2284,11312,0
JOB.US,5,20250227,164500,0.2275,0.2275,0.226989,0.226989,1550,0
JOB.US,5,20250227,173000,0.2284,0.229,0.2284,0.229,3786,0
JOB.US,5,20250227,180000,0.2282,0.23,0.2282,0.2299,1590,0
JOB.US,5,20250227,180500,0.2299,0.2299,0.2299,0.2299,6500,0
JOB.US,5,20250227,181500,0.23,0.23,0.23,0.23,100,0
JOB.US,5,20250227,182000,0.2267,0.2267,0.2266,0.2266,1000,0
JOB.US,5,20250227,183000,0.22815,0.22815,0.22815,0.22815,4000,0
JOB.US,5,20250227,190000,0.2266,0.2266,0.2266,0.2266,100,0
JOB.US,5,20250227,190500,0.2296,0.2296,0.2296,0.2296,681,0
JOB.US,5,20250227,191500,0.2296,0.2296,0.2296,0.2296,2000,0
JOB.US,5,20250227,192500,0.2276,0.2295,0.2274,0.229,700,0
JOB.US,5,20250227,193000,0.2267,0.2294,0.2267,0.2288,2800,0
JOB.US,5,20250227,193500,0.2273,0.2294,0.2267,0.2283,2499,0
JOB.US,5,20250227,194000,0.2274,0.2294,0.2274,0.2293,1100,0
JOB.US,5,20250227,200000,0.2271,0.2294,0.2266,0.2274,1960,0
JOB.US,5,20250227,200500,0.2266,0.2275,0.2251,0.2258,15336,0
JOB.US,5,20250227,201000,0.2262,0.2262,0.225751,0.225751,650,0
JOB.US,5,20250227,202500,0.2253,0.2253,0.2241,0.2241,5100,0
JOB.US,5,20250227,203000,0.224301,0.224301,0.224301,0.224301,415,0
JOB.US,5,20250227,204500,0.224601,0.224601,0.224601,0.224601,891,0
JOB.US,5,20250227,205000,0.2231,0.2231,0.2231,0.2231,100,0
JOB.US,5,20250227,205500,0.2231,0.2258,0.2231,0.2258,6632,0
JOB.US,5,20250227,211500,0.2261,0.2261,0.2261,0.2261,500,0
JOB.US,5,20250227,212500,0.2231,0.2231,0.223,0.223,1157,0
JOB.US,5,20250227,214000,0.2249,0.2249,0.2249,0.2249,400,0
JOB.US,5,20250227,215000,0.225,0.2263,0.225,0.2263,2100,0
JOB.US,5,20250227,215500,0.2254,0.2254,0.2254,0.2254,326,0
JOB.US,5,20250228,153000,0.2266,0.2266,0.2266,0.2266,500,0
JOB.US,5,20250228,153500,0.224,0.224,0.224,0.224,3000,0
JOB.US,5,20250228,154000,0.2236,0.2236,0.2235,0.2235,4200,0
JOB.US,5,20250228,154500,0.222,0.222,0.222,0.222,1000,0
JOB.US,5,20250228,155000,0.2215,0.2219,0.2215,0.2219,720,0
JOB.US,5,20250228,155500,0.2236,0.2236,0.2236,0.2236,100,0
JOB.US,5,20250228,160000,0.2223,0.222301,0.2223,0.222301,450,0
JOB.US,5,20250228,162500,0.2235,0.2235,0.2235,0.2235,460,0
JOB.US,5,20250228,163500,0.2236,0.2236,0.2236,0.2236,700,0
JOB.US,5,20250228,164500,0.221,0.221,0.221,0.221,1398,0
JOB.US,5,20250228,165000,0.2205,0.2236,0.2205,0.2236,761,0
JOB.US,5,20250228,165500,0.2203,0.2203,0.2203,0.2203,20000,0
JOB.US,5,20250228,170000,0.22195,0.22195,0.22195,0.22195,1500,0
JOB.US,5,20250228,171000,0.2235,0.2235,0.2235,0.2235,1112,0
JOB.US,5,20250228,171500,0.2203,0.2203,0.216,0.216,10780,0
JOB.US,5,20250228,172000,0.2185,0.2185,0.2185,0.2185,100,0
JOB.US,5,20250228,172500,0.2165,0.2185,0.2165,0.2185,900,0
JOB.US,5,20250228,173500,0.2231,0.2231,0.2231,0.2231,434,0
JOB.US,5,20250228,174000,0.223099,0.223099,0.223099,0.223099,200,0
JOB.US,5,20250228,175000,0.2231,0.2231,0.2231,0.2231,600,0
JOB.US,5,20250228,180000,0.2204,0.2204,0.2204,0.2204,100,0
JOB.US,5,20250228,181000,0.221,0.221,0.221,0.221,100,0
JOB.US,5,20250228,182000,0.221,0.2235,0.221,0.2235,314,0
JOB.US,5,20250228,182500,0.221,0.225,0.221,0.221,14014,0
JOB.US,5,20250228,183500,0.2236,0.2236,0.2236,0.2236,198,0
JOB.US,5,20250228,184000,0.2205,0.2205,0.2205,0.2205,100,0
JOB.US,5,20250228,185000,0.221,0.2234,0.221,0.2234,3100,0
JOB.US,5,20250228,190000,0.221,0.221,0.221,0.221,100,0
JOB.US,5,20250228,190500,0.2205,0.2205,0.2195,0.219501,9280,0
JOB.US,5,20250228,191500,0.2195,0.2195,0.2195,0.2195,366,0
JOB.US,5,20250228,192500,0.2207,0.2207,0.2207,0.2207,100,0
JOB.US,5,20250228,193000,0.2195,0.2196,0.2195,0.2196,8854,0
JOB.US,5,20250228,194000,0.22,0.2232,0.22,0.2232,200,0
JOB.US,5,20250228,194500,0.22,0.22,0.22,0.22,100,0
JOB.US,5,20250228,195500,0.223,0.223,0.223,0.223,200,0
JOB.US,5,20250228,200000,0.22,0.22,0.22,0.22,100,0
JOB.US,5,20250228,201000,0.223,0.223,0.223,0.223,200,0
JOB.US,5,20250228,201500,0.22,0.22,0.22,0.22,100,0
JOB.US,5,20250228,202000,0.223,0.2255,0.223,0.2255,362,0
JOB.US,5,20250228,202500,0.2254,0.2254,0.2254,0.2254,300,0
JOB.US,5,20250228,203000,0.2227,0.2227,0.2227,0.2227,3045,0
JOB.US,5,20250228,204000,0.2254,0.2254,0.221,0.221,1221,0
JOB.US,5,20250228,204500,0.2248,0.2248,0.2209,0.2209,1837,0
JOB.US,5,20250228,205500,0.2248,0.2248,0.2248,0.2248,298,0
JOB.US,5,20250228,210000,0.2247,0.2247,0.2208,0.2208,8960,0
JOB.US,5,20250228,211000,0.2203,0.2209,0.2176,0.2195,30460,0
JOB.US,5,20250228,211500,0.2201,0.2209,0.2177,0.2209,32313,0
JOB.US,5,20250228,212000,0.2201,0.2208,0.2178,0.2178,2700,0
JOB.US,5,20250228,212500,0.2182,0.2182,0.2178,0.218,300,0
JOB.US,5,20250228,213000,0.2181,0.2181,0.2178,0.2178,8100,0
JOB.US,5,20250228,213500,0.2176,0.2208,0.2175,0.2175,840,0
JOB.US,5,20250228,214000,0.2175,0.2233,0.2175,0.2196,36200,0
JOB.US,5,20250228,214500,0.2196,0.2196,0.2196,0.2196,487,0
JOB.US,5,20250228,215000,0.2183,0.2193,0.218,0.2182,620,0
JOB.US,5,20250228,215500,0.2181,0.2182,0.218,0.2182,844,0
JOB.US,5,20250303,153000,0.222,0.225,0.222,0.225,1625,0
JOB.US,5,20250303,153500,0.224,0.224,0.224,0.224,500,0
JOB.US,5,20250303,154000,0.2216,0.2249,0.2216,0.2244,1770,0
JOB.US,5,20250303,154500,0.2243,0.2243,0.2243,0.2243,1000,0
JOB.US,5,20250303,155500,0.22039,0.22039,0.22039,0.22039,2000,0
JOB.US,5,20250303,160000,0.22,0.2225,0.22,0.2225,1000,0
JOB.US,5,20250303,160500,0.2212,0.2223,0.2212,0.2223,250,0
JOB.US,5,20250303,161000,0.2221,0.2224,0.2221,0.2224,1300,0
JOB.US,5,20250303,163000,0.2233,0.225,0.2233,0.2249,740,0
JOB.US,5,20250303,163500,0.2201,0.2236,0.2201,0.2236,1135,0
JOB.US,5,20250303,164000,0.225,0.225,0.225,0.225,700,0
JOB.US,5,20250303,164500,0.2249,0.2249,0.2249,0.2249,100,0
JOB.US,5,20250303,165500,0.2249,0.2249,0.2249,0.2249,1903,0
JOB.US,5,20250303,172000,0.2247,0.2247,0.2247,0.2247,1800,0
JOB.US,5,20250303,173500,0.22,0.22,0.22,0.22,9200,0
JOB.US,5,20250303,174500,0.2222,0.2222,0.2222,0.2222,120,0
JOB.US,5,20250303,175500,0.2201,0.2246,0.2201,0.2246,5720,0
JOB.US,5,20250303,180500,0.2266,0.2266,0.220401,0.220401,3100,0
JOB.US,5,20250303,181000,0.227,0.227,0.227,0.227,400,0
JOB.US,5,20250303,182000,0.2267,0.2267,0.2267,0.2267,700,0
JOB.US,5,20250303,182500,0.2265,0.2265,0.2265,0.2265,139,0
JOB.US,5,20250303,183500,0.2265,0.2266,0.2265,0.2266,1000,0
JOB.US,5,20250303,184500,0.2272,0.2274,0.2272,0.2274,1000,0
JOB.US,5,20250303,185000,0.2273,0.2273,0.2273,0.2273,100,0
JOB.US,5,20250303,185500,0.2274,0.2274,0.2274,0.2274,100,0
JOB.US,5,20250303,190500,0.227,0.2271,0.227,0.2271,1321,0
JOB.US,5,20250303,191000,0.227,0.227,0.227,0.227,100,0
JOB.US,5,20250303,192000,0.2254,0.228,0.2253,0.228,2152,0
JOB.US,5,20250303,192500,0.2279,0.23,0.2279,0.23,57474,0
JOB.US,5,20250303,193000,0.2317,0.2341,0.2317,0.2341,200,0
JOB.US,5,20250303,193500,0.234,0.2341,0.234,0.2341,457,0
JOB.US,5,20250303,194500,0.229,0.229,0.229,0.229,1300,0
JOB.US,5,20250303,195000,0.23115,0.23115,0.229,0.229,667,0
JOB.US,5,20250303,195500,0.23,0.23,0.2295,0.2295,320,0
JOB.US,5,20250303,200000,0.2297,0.2297,0.2297,0.2297,1200,0
JOB.US,5,20250303,200500,0.2298,0.23,0.2298,0.2299,2167,0
JOB.US,5,20250303,201000,0.2327,0.2327,0.2299,0.2299,1000,0
JOB.US,5,20250303,201500,0.2299,0.23,0.2299,0.2299,600,0
JOB.US,5,20250303,202000,0.22995,0.22995,0.2299,0.2299,900,0
JOB.US,5,20250303,202500,0.23,0.23,0.23,0.23,2286,0
JOB.US,5,20250303,203000,0.2319,0.2319,0.2308,0.2308,700,0
JOB.US,5,20250303,203500,0.2307,0.2308,0.2299,0.229933,9817,0
JOB.US,5,20250303,204000,0.23,0.23,0.229,0.229,12109,0
JOB.US,5,20250303,204500,0.2291,0.2291,0.229,0.229,345,0
JOB.US,5,20250303,205000,0.229,0.229,0.22875,0.229,2147,0
JOB.US,5,20250303,205500,0.2284,0.229,0.2282,0.229,8781,0
JOB.US,5,20250303,210000,0.229,0.2315,0.2252,0.2315,12205,0
JOB.US,5,20250303,210500,0.229,0.229,0.229,0.229,5855,0
JOB.US,5,20250303,211000,0.229,0.229,0.228,0.229,3069,0
JOB.US,5,20250303,211500,0.2279,0.2296,0.2273,0.2284,8140,0
JOB.US,5,20250303,212000,0.229,0.2292,0.2282,0.229,8579,0
JOB.US,5,20250303,212500,0.229,0.2291,0.2202,0.2238,82603,0
JOB.US,5,20250303,213000,0.2234,0.2241,0.2234,0.2241,4346,0
JOB.US,5,20250303,214000,0.2205,0.2205,0.2205,0.2205,532,0
JOB.US,5,20250303,214500,0.2227,0.2241,0.2227,0.2241,422,0
JOB.US,5,20250303,215000,0.2233,0.2248,0.2205,0.2205,5916,0
JOB.US,5,20250303,215500,0.2245,0.2245,0.221,0.221,6554,0
JOB.US,5,20250304,153000,0.224,0.224,0.224,0.224,9750,0
JOB.US,5,20250304,154000,0.2249,0.2249,0.2249,0.2249,500,0
JOB.US,5,20250304,155000,0.224,0.224,0.224,0.224,100,0
JOB.US,5,20250304,160000,0.2246,0.2246,0.2246,0.2246,200,0
JOB.US,5,20250304,161000,0.2202,0.22135,0.2202,0.22135,600,0
JOB.US,5,20250304,162500,0.2214,0.2214,0.2211,0.2212,20500,0
JOB.US,5,20250304,163000,0.2218,0.2218,0.221,0.2218,366,0
JOB.US,5,20250304,165500,0.221,0.221,0.221,0.221,500,0
JOB.US,5,20250304,170000,0.2214,0.2214,0.2214,0.2214,100,0
