<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBH.US,5,20250224,153000,10.75,10.75,10.75,10.75,100,0
NBH.US,5,20250224,154500,10.75,10.76,10.75,10.76,2200,0
NBH.US,5,20250224,155000,10.75,10.75,10.74,10.74,200,0
NBH.US,5,20250224,160000,10.745,10.745,10.745,10.745,100,0
NBH.US,5,20250224,161500,10.745,10.745,10.745,10.745,200,0
NBH.US,5,20250224,162000,10.745,10.745,10.74,10.745,700,0
NBH.US,5,20250224,162500,10.745,10.745,10.745,10.745,100,0
NBH.US,5,20250224,163000,10.745,10.745,10.745,10.745,200,0
NBH.US,5,20250224,163500,10.74,10.74,10.74,10.74,100,0
NBH.US,5,20250224,164000,10.74,10.74,10.74,10.74,100,0
NBH.US,5,20250224,165000,10.75,10.75,10.75,10.75,200,0
NBH.US,5,20250224,165500,10.732,10.734,10.73,10.73,2600,0
NBH.US,5,20250224,170000,10.73,10.73,10.73,10.73,703,0
NBH.US,5,20250224,175500,10.73,10.73,10.73,10.73,200,0
NBH.US,5,20250224,180500,10.73,10.73,10.71,10.71,3679,0
NBH.US,5,20250224,181500,10.72,10.72,10.7121,10.7121,302,0
NBH.US,5,20250224,184000,10.7119,10.7119,10.7119,10.7119,4361,0
NBH.US,5,20250224,184500,10.71,10.72,10.7,10.715,9154,0
NBH.US,5,20250224,185000,10.715,10.715,10.715,10.715,100,0
NBH.US,5,20250224,190000,10.7092,10.72,10.7,10.72,7275,0
NBH.US,5,20250224,191500,10.7,10.7,10.7,10.7,742,0
NBH.US,5,20250224,193500,10.68,10.68,10.68,10.68,100,0
NBH.US,5,20250224,194500,10.68,10.68,10.68,10.68,200,0
NBH.US,5,20250224,195000,10.68,10.68,10.68,10.68,200,0
NBH.US,5,20250224,195500,10.68,10.68,10.68,10.68,200,0
NBH.US,5,20250224,200000,10.68,10.68,10.67,10.67,1166,0
NBH.US,5,20250224,200500,10.665,10.67,10.665,10.67,200,0
NBH.US,5,20250224,201000,10.675,10.675,10.67,10.67,200,0
NBH.US,5,20250224,201500,10.67,10.67,10.67,10.67,200,0
NBH.US,5,20250224,202000,10.67,10.675,10.67,10.675,600,0
NBH.US,5,20250224,202500,10.675,10.675,10.675,10.675,2000,0
NBH.US,5,20250224,203000,10.67,10.67,10.67,10.67,300,0
NBH.US,5,20250224,203500,10.67,10.67,10.67,10.67,100,0
NBH.US,5,20250224,204000,10.67,10.675,10.67,10.67,472,0
NBH.US,5,20250224,204500,10.67,10.67,10.67,10.67,1265,0
NBH.US,5,20250224,205000,10.67,10.67,10.67,10.67,300,0
NBH.US,5,20250224,205500,10.675,10.675,10.67,10.6748,2700,0
NBH.US,5,20250224,210500,10.6729,10.6729,10.6729,10.6729,1552,0
NBH.US,5,20250224,213500,10.68,10.69,10.68,10.69,700,0
NBH.US,5,20250224,214500,10.695,10.695,10.695,10.695,100,0
NBH.US,5,20250224,215000,10.7,10.7,10.68,10.68,430,0
NBH.US,5,20250224,215500,10.69,10.69,10.69,10.69,220,0
NBH.US,5,20250225,153000,10.720125,10.74,10.72,10.74,7508,0
NBH.US,5,20250225,155000,10.75,10.75,10.745,10.745,300,0
NBH.US,5,20250225,155500,10.7599,10.7599,10.7599,10.7599,280,0
NBH.US,5,20250225,162000,10.755,10.755,10.755,10.755,100,0
NBH.US,5,20250225,162500,10.7598,10.77,10.7598,10.76,3516,0
NBH.US,5,20250225,163000,10.77,10.77,10.77,10.77,900,0
NBH.US,5,20250225,163500,10.77,10.77,10.77,10.77,600,0
NBH.US,5,20250225,164000,10.77,10.77,10.77,10.77,700,0
NBH.US,5,20250225,164500,10.77,10.77,10.77,10.77,300,0
NBH.US,5,20250225,165500,10.77,10.77,10.77,10.77,600,0
NBH.US,5,20250225,170500,10.77,10.77,10.77,10.77,100,0
NBH.US,5,20250225,171500,10.77,10.77,10.77,10.77,100,0
NBH.US,5,20250225,173000,10.7689,10.7689,10.7689,10.7689,300,0
NBH.US,5,20250225,174500,10.7503,10.77,10.7503,10.77,334,0
NBH.US,5,20250225,175000,10.77,10.77,10.77,10.77,100,0
NBH.US,5,20250225,175500,10.78,10.78,10.78,10.78,300,0
NBH.US,5,20250225,180000,10.78,10.78,10.77,10.77,600,0
NBH.US,5,20250225,180500,10.78,10.78,10.78,10.78,100,0
NBH.US,5,20250225,181000,10.78,10.78,10.77,10.77,600,0
